name_as_recorded,role,name_agr,source_authority_uri,instance_of,authorized_label,structured_value
Abū al-Ḥasan Sa'ad,scribe,,,human,Abū al-Ḥasan Sa'ad,Q116235219
"Abū al-Layth al-Samarqandī, Naṣr ibn Muḥammad, -983",author,,http://id.loc.gov/authorities/names/n82268136,human,Abou al-Layth As Samarqandî,Q938348
"Abū al-Layth al-Samarqandī, Naṣr ibn Muḥammad, -983",author,ابو الليث السمرقندي، نصر بن محمد، -983؟,,human,Abou al-Layth As Samarqandî,Q938348
"Abū al-Qāsim Khalaf ibn ʻAbbās al-Zahrāwī, -1013",author,أبو القاسم خلف بن عباس الزهراوي، -1013,http://id.loc.gov/authorities/names/n80103641,human,Abu al-Qasim al-Zahrawi,Q311495
"Abū Bakr al-Ḥaṣṣār, active 12th century",author,ابو بكر الحصار، active 12th century,http://id.loc.gov/authorities/names/no2016124755,human,Abu Bakr al-Hassar,Q4116723
"Accademia platonica (Florence, Italy)",author,,http://id.loc.gov/authorities/names/n85068842,organization,Platonic Academy,Q4579791
Acciaiuoli family,author,,,human,Acciaioli family,Q339067
"According to a sixteenth-century Latin poem formerly pasted inside the manuscript’s upper cover, the volume was transferred in 1504 from the Benedictine abbey of St. Peter in Salzburg, to the Cistercian abbey of Raitenhaslach, Bavaria (founded 1143, suppressed in 1803);",former owner,,,organization;organization,St Peter's Archabbey Salzburg;Raitenhaslach Cistercian Abbey,Q675735;Q1775833
Accursius of Parma,author,,,human,Accursius Parmensis,Q104884907
Acquired by David Eugene Smith (1860-1944) in 1936.,former owner,,,human,David Eugene Smith,Q1174369
Acquired by David Eugene Smith (1860-1944) in Naples in 1938.,former owner,,,human,David Eugene Smith,Q1174369
"Acquired by Karen Gould (1946-2012) from Goodspeed’s Bookshop, Boston, July 6, 1981; gift of Lewis Gould to the Nelson-Atkins Museum of Art in 2012 in his wife's memory.",former owner,,,human;organization;human,Karen L. Gould;Goodspeed's Book Shop;Lewis L. Gould,Q6369801;Q114419595;Q112391468
"Acquired by Karen Gould (1946-2012) from Phillip Pirages, possibly his catalogue 24, November 1987; gift of Lewis Gould to the Nelson-Atkins Museum of Art in 2012 in his wife's memory.",former owner,,,human;human;organization,Karen L. Gould;Lewis L. Gould;Phillip J. Pirages Fine Books & Manuscripts,Q6369801;Q112391468;Q116790542
Acquired by Karen Gould Fund. Gift of Lewis Gould to the Nelson-Atkins Museum of Art in 2014 in his wife's memory.,former owner,,,human;human,Karen L. Gould;Lewis L. Gould,Q6369801;Q112391468
"Acquired by Linda Ehrsam Voigts from Bernard M. Rosenthal in 1975, and given by her to the Karen Gould Collection of the Nelson-Atkins Museum of Art in 2012.",former owner,,,human;human;human,Karen L. Gould;Linda Ehrsam Voigts;Bernard M. Rosenthal,Q6369801;Q66985346;Q94805275
Acquired by Linda Ehrsam Voigts from Philip Pirages and given by her to the Karen Gould Collection of the Nelson-Atkins Museum of Art in 2012.,former owner,,,human;human;organization,Karen L. Gould;Linda Ehrsam Voigts;Phillip J. Pirages Fine Books & Manuscripts,Q6369801;Q66985346;Q116790542
"Acquired from Dr. Erich Junkelmann of Munich, f. 1 in 1930, and f. 2 ca. 1930. Earlier (pre-1956?) call number: Cabinet 28, Folder 3.",former owner,,,human,Erich Junkelmann,Q30104528
Acquired in 1989 from P. Pirages.,former owner,,,organization,Phillip J. Pirages Fine Books & Manuscripts,Q116790542
Acquired in 1990 from P. Pirages.,former owner,,,organization,Phillip J. Pirages Fine Books & Manuscripts,Q116790542
Acquired in 1991 from P. Pirages.,former owner,,,organization,Phillip J. Pirages Fine Books & Manuscripts,Q116790542
Acquired in 2000 from H.P. Kraus.,former owner,,,organization,H. P. Kraus (firm),Q113864096
"Acquired prior to 1952, probably from Edward L. Stevenson (1858-1944).",former owner,,,human,Edward Luther Stevenson,Q52155622
Adam of Buckfield,author,,,human,Adam of Bockenfield,Q2824030
Adam of Eynsham,author,,,human,Adam of Eynsham,Q4680065
"Adam, magister",author,,,human,Adamo,Q21548167
"Adam, magister, -1408",author,,,human,"Adam, magister",Q116064221
"Adimari, Lionardo di Paolo",former owner,,,human,Lionardo di Paolo Adimari,Q116235269
"Aditya Bahadur Dinha, Mahārāja",former owner,,,human,Mahārāja Aditya Bahadur Dinha,Q114242454
Adolfus von Wien 14th cent.,author,,,human,Adolf von Wien,Q364908
"Adrian VI, Pope, 1459-1523",author,,http://id.loc.gov/authorities/names/n80020628,human,Adrian VI,Q57087
Aegidius Carlerii,author,,,human,Gilles Carlier,Q115217720
Aegidius Columna (Aegidius Romanus),author,,,human,Giles of Rome,Q380647
Aegidius de Fuscarariis,author,,,human,Egidio Foscarari,Q41569530
Aegidius of Paris (Aegidius Parisiensis),author,,,human,Gilles de Paris,Q5355
Aegidius Romanus,author,,,human,Giles of Rome,Q380647
Aelfric,author,,,human,Ælfric of Eynsham,Q271377
Aelfric Abbot of Eynsham.,author,,,human,Ælfric of Eynsham,Q271377
Aelian 3rd cent.,author,,,human,Aelian,Q313782
Aelianus Tacitus,author,,,human,Aelianus Tacticus,Q380793
Aelred of Rievaulx,author,,,human,Aelred of Rievaulx,Q380845
"Aelred of Rievaulx, Saint 1110-1167.",author,,,human,Aelred of Rievaulx,Q380845
Aeneas Silvius Piccolomini (Pius II),author,,,human,Pius II,Q101437
Aesop,author,,,human,Aesop,Q43423
Aesop.,author,,,human,Aesop,Q43423
"Africanus, Sextus Julius.",author,,,human,Sextus Julius Africanus,Q317014
"Aga Khan, Sadruddin, Prince, 1933-2003",former owner,,,human,Prince Sadruddin Aga Khan,Q123987
"Aga Khan, Sadruddin, Prince, 1933-2003",former owner,,http://id.loc.gov/authorities/names/n78075292,human,Prince Sadruddin Aga Khan,Q123987
"Agarius, Petrus",scribe,,,human,Petrus Agarius,Q116235295
"Agnese, Battista 16th cent.",author,,,human,Battista Agnese,Q612967
"Agnese, Battista, active 16th century",author,,http://id.loc.gov/authorities/names/n81089266,human,Battista Agnese,Q612967
Agostino Dati,author,,,human,Agostino Dati,Q5659931
"Agostino della Scarperia, d. 1340.",author,,,human,Agostino da Scarperia,Q3606836
Agostino della Scarperia.,author,,,human,Agostino da Scarperia,Q3606836
Agostino Staccoli,author,,,human,Agostino Staccoli,Q45535876
Aḥmad al-Mudarris,former owner,احمد المدرس،,,human,Aḥmad al-Mudarris,Q114242427
Aḥmad ibn Mubārak Luṭf Allāh,former owner,احمد بن مبارك لطف الله،,,human,Aḥmad ibn Mubārak Luṭf Allāh,Q114242455
Ahmad ibn Muhammad Rasis,author,,,human,Ahmad ibn Muhammad al-Razi,Q8192126
"Āmulī, Rukn ibn Sharaf al-Dīn, active 1456",author,"آملى، رکن بن شرف الدىن, active 1456",,human,Rukn ibn Sharaf al-Dīn Āmulī,Q114242429
Ailred of Rievaulx,author,,,human,Aelred of Rievaulx,Q380845
"Akbar, Emperor of Hindustan, 1542-1605",former owner,,http://id.loc.gov/authorities/names/n80002413,human,Akbar,Q8597
"Aken, Hein van.",author,,,human,Hein van Aken,Q2395779
"Akhaṇḍānanda, Muni",author,,,human,Muni Akhaṇḍānanda,Q114242416
"Akhtarī, Muṣṭafá ibn Aḥmad, -1560 or 1561",author,اختري، مصطفى بن احمد,,human,Ahterî,Q21600909
"Alagona, Arthelouche de.",author,,,human,Artelouche de Alagona,Q53561928
"Alāʼīyawī, Maḥmūd ibn ʻAbd al-Raḥmān",author,,,human,Maḥmūd ibn ʻAbd al-Raḥmān Alāʼīyawī,Q114242456
Alain Chartier,author,,,human,Alain Chartier,Q982038
"Alamanno, di Bernardo di Alamanni de Medici",author,,,human,Alamanno de' Medici,Q116181729
Alan of Lille,author,,,human,Alain de Lille,Q4313
Alanus ab Insulis,author,,,human,Alain de Lille,Q4313
"Alanus, de Insulis, -1202",author,,http://id.loc.gov/authorities/names/n50035344,human,Alain de Lille,Q4313
"Albert Figdor, 1843-1927",former owner,,,human,Albert Figdor,Q1552207
Albert of Saxony,author,,,human,Albertus de Saxonia,Q61044
Albertano da Brescia,author,,,human,Albertanus of Brescia,Q2831705
Albertano da Brescia 13th cent.,author,,,human,Albertanus of Brescia,Q2831705
"Albertano, da Brescia, active 13th century",author,,http://id.loc.gov/authorities/names/n86825133.html,human,Albertanus of Brescia,Q2831705
"Albertano, da Brescia, active 13th century",author,,http://id.loc.gov/authorities/names/n86825133,human,Albertanus of Brescia,Q2831705
Albertanus of Brescia,author,,,human,Albertanus of Brescia,Q2831705
Albertino Mussato,author,,,human,Albertino Mussato,Q737321
Alberto Pio 1475-1531,author,,,human,Alberto III Pio,Q1754523
Alberto Trotti?,author,,,human,Alberto Trotti,Q113779031
Albertus de Gandino,author,,,human,Albertus Gandinus,Q3608315
Albertus de Saxonia (Albert of Halberstadt),author,,,human,Albertus de Saxonia,Q61044
Albertus Magnus,author,,,human,Albertus Magnus,Q60059
"Albertus Magnus, Saint 1193?-1280.",author,,,human,Albertus Magnus,Q60059
"Albertus, de Saxonia, -1390",author,,,human,Albertus de Saxonia,Q61044
"Albertus, Magnus, Saint, 1193?-1280",author,,,human,Albertus Magnus,Q60059
"Albertus, Magnus, Saint, 1193?-1280",author,,http://id.loc.gov/authorities/names/n81007973,human,Albertus Magnus,Q60059
"Albohazen Haly, son of Abenragel",author,,,human,Haly Abenragel,Q2081331
"Albrecht, Bishop of Strassburg, 1440-1506",author,,,human,Albrecht von Pfalz-Mosbach,Q1739358
Alcherus of Clairvaux,author,,,human,Alcher of Clairvaux,Q2832136
Alcinous fl. 2nd cent.,author,,,human,Alcinous,Q936686
Alcuin,author,,,human,Alcuin,Q154332
Alcuin of York,author,,,human,Alcuin,Q154332
"Alcuin, 735-804",author,,,human,Alcuin,Q154332
"Alderotti, Taddeo 1223-1295.",author,,,human,Taddeo Alderotti,Q328138
"Alderotti, Taddeo, 1223-1295",author,,http://id.loc.gov/authorities/names/n80095827,human,Taddeo Alderotti,Q328138
Aldhelm Saint 640?-709.,author,,,human,Aldhelm,Q709718
Aldobrandino da Siena,author,,,human,Aldobrandino da Siena,Q2832270
"Aldobrandino, Brunetto d'",scribe,,,human,Brunetto d'Aldobrandino,Q116235342
"Aldobrandino, da Siena, -1287",author,,http://id.loc.gov/authorities/names/nr98037023,human,Aldobrandino da Siena,Q2832270
Alessandro da Sassoferrato,author,,,human,Alessandro Oliva,Q579749
Alessandro degli Angeli.,author,,,human,Alessandro degli Angeli,Q59627685
Alessandro Piccolomini,author,,,human,Alessandro Piccolomini,Q250089
"Alessandro, da Sassoferrato, Cardinal",author,,,human,Alessandro da Sassoferrato,Q116235361
Alexander Boswell,author,,,human,Alexander Boswell,Q2833088
Alexander de Villa Dei,author,,,human,Alexander of Villedieu,Q692413
Alexander de Villa Dei ca. 1175-1240,author,,,human,Alexander of Villedieu,Q692413
Alexander de Villa Dei.,author,,,human,Alexander of Villedieu,Q692413
Alexander IV,author,,,human,Alexander IV,Q169915
Alexander Nequam,author,,,human,Alexander Neckam,Q1974885
Alexander of Canterbury,author,,,human,Alexander of Canterbury,Q4720494
Alexander of Hales,author,,,human,Alexander of Hales,Q457968
Alexander of Roes,author,,,human,Alexander of Roes,Q10882562
Alexander VI,author,,,human,Alexander VI,Q108316
"Alexander VI, Pope, 1431-1503",author,,http://id.loc.gov/authorities/names/n50058829,human,Alexander VI,Q108316
"Alexander, de Villa Dei",author,,http://id.loc.gov/authorities/names/n87113424,human,Alexander of Villedieu,Q692413
Alfonso de Vargas y Toledo.,author,,,human,Alphonsus Vargas,Q115217863
Alfonso X King of Castile and Leon 1221-1284.,author,,,human,Alfonso X of Castile and Leon,Q47595
Alfonso X of Castile,author,,,human,Alfonso X of Castile and Leon,Q47595
Alfonso X of Castille,author,,,human,Alfonso X of Castile and Leon,Q47595
"Alfonso X, the Learned, King of Castile and León",author,,,human,Alfonso X of Castile and Leon,Q47595
Alfraganus,author,,,human,Ahmad ibn Muhammad ibn Kathīr al-Farghānī,Q336550
"Alguadez, Meir ben Solomon, active 1390-1410",author,,http://id.loc.gov/authorities/names/nb2007009872,human,Meir ben Solomon Alguadez,Q111981544
"al-Ḥājj ʻAbd al-Qādir ibn al-Sayyid ʻAbd Allāh al-Asṭawānī, active 1846",former owner,الحاج عبد القادر بن السيد عبد الله الاسطواني، active 1846،,,human,al-Ḥājj ʻAbd al-Qādir ibn al-Sayyid ʻAbd Allāh al-Asṭawānī,Q116649271
"Alighieri, Jacopo. ""Capitoli sulla Divina commedia di Dante Alighieri,"" 197v-198:",author,,,human,Jacopo Alighieri,Q1161153
al-Khwarizmi,author,,,human,Al-Khwarizmi,Q9038
Alkindi,author,,,human,Al-Kindi,Q179759
"Alkusei, Thomas",former owner,,,human,Thomas Alkusei,Q116235828
"Allan, Henry",former owner,,http://id.loc.gov/authorities/names/nb2004302701,human,Henry Allan,Q116064463
"Allan, Samuel",former owner,,,human,Samuel Allan,Q116172594
"Allegri, Bernardo",author,,,human,Bernardo Allegri,Q116040860
"Allen, William H",former owner,,http://id.loc.gov/authorities/names/n86811333,human,William H. Allen,Q64020626
"Alleyn, James",former owner,,,human,Sir James Alleyn,Q56063918
"Almosnino, Moses ben Baruch, approximately 1515-approximately 1580",author,,http://id.loc.gov/authorities/names/n86031042,human,Moses Almosnino,Q6915684
"Almost certainly acquired in fall, 1930, from Dr. Erich Junkelmann of Munich. Earlier (pre-1956?) call number: Cabinet 28, Folder 3.",former owner,,,human,Erich Junkelmann,Q30104528
"Almost certainly from the Cistercian abbey of Pontigny, and probably from the Volumine uno, Decreta Gratiani no. 153 in the late twelfth century catalogue of Pontigny, no. 100 in the early seventeenth-century catalogue, no. 235 in the catalogue of 1778, no. 7 in the catalogue of 1791,",former owner,,,organization,Pontigny Abbey,Q591296
Alphonsus,author,,,human,Alphonsus Joseph Maria van Engelen,Q102219546
Alphonsus de Spina,author,,,human,Alphonso de Spina,Q372817
Alphonsus of Burgos,author,,,human,Abner of Burgos,Q322560
"Altemps, Giovanni Angelo, duca di Gallese, -1620",former owner,,http://id.loc.gov/authorities/names/nr99016327,human,Giovanni Angelo Altemps,Q55225064
"Altsaʻadi, Seʻadyah ben Yehudah",former owner,"אלצעבי, סדעיה בן יהודה",,human,Seʻadyah ben Yehudah Altsaʻadi,Q116235831
Alulfus of Tournai,author,,,human,Alulphe of Tournai,Q46592455
"Amadio, Andrea",author,,,human,Andrea Amadio,Q3615472
"Amadori, Andrea",author,,http://id.loc.gov/authorities/names/nr00031831,human,Andrea Amadori,Q99501447
Amans Alexis Monteil (1769-1850),former owner,,,human,Amans-Alexis Monteil,Q2841108
"Amari, Michele, 1806-1889",former owner,,http://id.loc.gov/authorities/names/n50024133,human,Michele Amari,Q703569
Ambrose,author,,,human,Ambrose,Q43689
Ambrose of Milan,author,,,human,Ambrose,Q43689
Ambrose of Milan,author,,http://viaf.org/viaf/100227669,human,Ambrose,Q43689
"Ambrose of Milan, attributed to",author,,,human,Ambrose,Q43689
"Ambrose Saint, Bishop of Milan d. 397.",author,,,human,Ambrose,Q43689
"Ambrose, Saint, Bishop of Milan, -397",author,,http://id.loc.gov/authorities/names/n79029712,human,Ambrose,Q43689
Ambrosiaster,author,,,human,Ambrosiaster,Q689146
Ambrosiaster.,author,,,human,Ambrosiaster,Q689146
Ambrosius Camaldulensis,author,,,human,Ambrose Traversari,Q458842
'Amr,author,,,human,'Amr ibn al-'As,Q314781
"Amram, David Werner, 1866-1939",former owner,,http://id.loc.gov/authorities/names/n85197110,human,David Werner Amram,Q5240973
"Amsdorff, Nicolaus von, 1483-1565",author,,http://id.loc.gov/authorities/names/n2001065930,human,Nicolaus von Amsdorf,Q63188
Anacreon.,author,,,human,Anacreon,Q213484
"Anastasius Sinaita, Saint fl. 640-700.",author,,,human,Anastasius Sinaita,Q473291
Anaximenes of Lampsacus,author,,,human,Anaximenes of Lampsacus,Q221787
Ancona (Italy). Anziani,author,,,organization,Palazzo degli Anziani,Q3891178
"and finally no. 73 in the list prepared after the sequestration of Pontigny at the French Revolution, described there as in-folio atlantico, elegans et completus dismembered probably in Auxerre in the early nineteenth century; John William Bradley (1830-1916), who gave it to C. L. Ricketts in 1913; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,human;human,John William Bradley;Coella Lindsay Ricketts,Q52148380;Q116771179
"and in 1578 great-granddaughter, Catharina ven den Steen (wife of Jan de Langue, secretary of Brielle), all recorded inside the upper cover; A. D. Schinkel (1784-1864), of The Hague, printer; his sale, The Hague, 21 November 1864, lot 3; William Bragge (1823–1884); probably no. 54 in Burlington Fine Arts Club 1874, p. 11, lent by Bragge; his sale, Sotheby’s, 7 June 1876, lot 221, to Ellis;",former owner,,,human;human,Adrianus David Schinkel;William Bragge,Q55901559;Q15453218
"and pagination in arabic numerals during the revision under Angéline de Lossy, abbess 1755-96;sold with the Beaupré manuscripts in 1797; John Ruskin (1819-1900), who owned six volumes from two sets of choirbooks from Beaupré and removed the present leaves himself;",former owner,,,human,John Ruskin,Q179126
Andrés de Escobar,author,,,human,Andreas de Escobar,Q2849009
Andrea Alciati,author,,,human,Andrea Alciato,Q464471
Andrea Alciati 1492-1550,author,,,human,Andrea Alciato,Q464471
Andrea da Barberino,author,,,human,Andrea da Barberino,Q2564714
Andrea Dandolo,author,,,human,Andrea Dandolo,Q353193
Andrea de Petra,author,,,human,Andreas de Petra,Q764665
Andrea Domenico Fiocco,author,,,human,Lucius Fenestella,Q20010809
"Andrea, da Barberino, approximately 1370-",author,,http://id.loc.gov/authorities/names/n97025851,human,Andrea da Barberino,Q2564714
"Andrea, Stefano d', active 1531",author,,,human,Stefano d'Andrea,Q116235844
Andreas de Escobar,author,,,human,Andreas de Escobar,Q2849009
Andreas de Isernia,author,,,human,Andrea da Isernia,Q3616124
Andreas Didaci de Escobar,author,,,human,Andreas de Escobar,Q2849009
"Andres de Escobar, Bishop",author,,,human,Andreas de Escobar,Q2849009
"Andrew of Crete, Saint ca. 660-740.",author,,,human,Andrew of Crete,Q372688
Angela of Foligno 1248?-1309.,author,,,human,Angela of Foligno,Q240297
"Angeli, Alessandro degli.",author,,,human,Alessandro degli Angeli,Q59627685
"Angelo Carletti, 1411-1495",author,,http://id.loc.gov/authorities/names/n88070683,human,Angelo Carletti di Chivasso,Q3616927
Angelo de Gambiglioni,author,,,human,Angelo Gambiglioni,Q3617010
Angelo Poliziano,author,,,human,Poliziano,Q250414
Angelus de Aretio (Angelus de Gambilionibus),author,,,human,Angelo Gambiglioni,Q3617010
Angelus de Periglis,author,,,human,Angelo de' Perigli,Q3617290
"Angeriano, Girolamo, active 16th century",author,,http://id.loc.gov/authorities/names/n96035418,human,Girolamo Angeriano,Q3768890
"Anglicus, Thomas.",author,,,human,Thomas Maulfelt,Q113762907
"Anne Holte (1733-1799), wife of Sir Charles Holte (1721-1782), with her signature on the flyleaf; armorial bookplate with the arms of her daughter Mary Elizabeth (1757-1819) impaling those of Mary’s husband, Abraham Bracebridge (c. 1747-1832), of Atherstone Hall, Warwickshire;",former owner,,,human;human;human;human,Anne Jesson;Charles Holte;Mary Elizabeth Holte;Abraham Bracebridge,Q61358972;Q26899116;Q75453592;Q76006713
Anonymus Neveleti,author,,,human,Gualterus Anglicus,Q3778129
Anselm,author,,,human,Anselm of Canterbury,Q43939
Anselm of Canterbury,author,,,human,Anselm of Canterbury,Q43939
"Anselm, Saint, Archbishop of Canterbury, 1033-1109",author,,http://id.loc.gov/authorities/names/n50024763.html,human,Anselm of Canterbury,Q43939
"Anselm, Saint, Archbishop of Canterbury, 1033-1109",author,,http://viaf.org/viaf/100187025,human,Anselm of Canterbury,Q43939
"Ansermus, Robusti",scribe,,,human,Robusti Ansermus,Q116235851
"Anṣārī, ʻAlī ibn ʻAbd Allāh",scribe,انصاري، علي بن عبد الله، ǂe scribe,,human,ʻAlī ibn ʻAbdallah Anṣārī,Q116235860
"Ant. W.M. Mensing, 1866-1936",former owner,,,human,Antonius Mensing,Q55934916
"Antelmi, Bonifazio.",author,,,human,Bonifazio Vitalini,Q4942016
Antonino Castaldo,author,,,human,Antonino Castaldo,Q109837947
Antoninus de Florentia,author,,,human,Antoninus of Florence,Q773822
Antoninus Florentinus,author,,,human,Antoninus of Florence,Q773822
Antoninus of Florence,author,,,human,Antoninus of Florence,Q773822
"Antoninus Saint, Archbishop of Florence 1389-1459.",author,,,human,Antoninus of Florence,Q773822
"Antoninus, Saint, Archbishop of Florence, 1389-1459",author,,http://viaf.org/viaf/89209643,human,Antoninus of Florence,Q773822
"Antoninus, Saint, Archbishop of Florence, 1389-1459",author,,http://id.loc.gov/authorities/names/n86859662,human,Antoninus of Florence,Q773822
Antonio da Tempo,author,,,human,Antonio da Tempo,Q3620368
"Antonio di Domenice, di Ciacco",author,,,human,Antonio di Domenice di Ciacco,Q116235870
Antonio di Niccolò degli Alberti,author,,,human,Antonio Alberti,Q3619153
Antonio Panormita,author,,,human,Antonio Beccadelli,Q599858
Antonio Pierozzi,author,,,human,Antoninus of Florence,Q773822
Antonius Azaro de Parma,author,,,human,Antonio d'Azario,Q111473621
Antonius de Butrio,author,,,human,Antonius de Butrio,Q3620350
Antonius Vincentius,author,,,human,Antoine Vincent,Q112436611
"Apel, Nikolaus, 1482-1545",author,,,human,Nikolaus Apel,Q28004827
Apicio,author,,,human,Apicius,Q114982
Apicius,author,,http://id.loc.gov/authorities/names/n84238685,human,Marcus Gavius Apicius,Q117841
Apollonius of Tyana.,author,,,human,Apollonius of Tyana,Q297040
"Appleby, Thomas, 16th century",former owner,,,human,Thomas Appleby,Q116235879
"Aqsarāʼī, Muḥammad ibn Muḥammad, active 14th century",author,اقسرائي، محمد بن محمد، active 14th century,http://id.loc.gov/authorities/names/nr2001006661,human,Muḥammad ibn Muḥammad Aqsarāʼī,Q116235892
Aquiles Estaço,author,,,human,Achilles Statius,Q4673751
Arator Subdiaconus fl. 513-544.,author,,,human,Arator,Q39454
Aratus,author,,,human,Aratus,Q180671
"Archer, Michell",author,,,human,Michell Archer,Q116236850
Archipresbyter Leo,author,,,human,Leo Archpriest,Q1818805
Ardillonius,scribe,,,human,Ardillonius,Q116235905
"Aresty, Esther Bradford",former owner,,,human,Esther Bradford Aresty,Q18619001
"Aretino, Pietro, 1492-1556",author,,http://id.loc.gov/authorities/names/n79089193,human,Pietro Aretino,Q296272
Aristides Quintilianus.,author,,,human,Aristides Quintilianus,Q378236
Aristotle,author,,,human,Aristotle,Q868
Aristotle,author,,http://id.loc.gov/authorities/names/n79004182,human,Aristotle,Q868
Aristotle (Aristoteles),author,,,human,Aristotle,Q868
Aristotle pseud.,author,,,human,Pseudo-Aristotle,Q1783131
Aristotle.,author,,,human,Aristotle,Q868
Arles (France),author,,http://id.loc.gov/authorities/names/n79089381,organization,Arles,Q48292
"Armellini Medici, Francesco de', Cardinal, 1470-1527",author,,,human,Francesco Armellini Pantalassi de' Medici,Q2374621
"Arms of first owner: azure a flame gules and or accompanied in chief by an inverted crescent argent. Owned by the Earl of Hopetoun (his sale, London, 1889, n. 110) to Matthews for Daniel B. Fearing, who gave it to the Grolier Club in 1908.",former owner,,,human;human,"John Hope, 1st Marquess of Linlithgow;Daniel B. Fearing",Q335178;Q76009758
"Arms of first owners: 1, azure a six-pointed star or between three crescents or; 2, gules a bend sable charged with three small cups (?) or. George Bruce collection; given to the Grolier Club in July 1894 by David Wolfe Bruce.",former owner,,,human;human,George Bruce;David Wolfe Bruce,Q2757147;Q116598092
"Arms of the first owner: or three gateways with two turrets gules, with the initials A.P.; Samuel Putnam Avery collection; exhibited at the Grolier Club in 1892, n. 97; given to the Grolier Club in 1918 by Samuel Putnam Avery, Jr.",former owner,,,human;human,"Samuel Putnam Avery;Samuel P. Avery, Jr.",Q3819081;Q66712995
"Arms: 1, azure a fesse argent between three wheels argent; 2, argent a crescent azure and in chief a label of three points gules. Henry W. Poor sale (New York, 17 November 1908, I, n. 800) to G. D. Smith. Bequest to the Grolier Club by Beverly Chew.",former owner,,,human;human;human,Henry William Poor;George D. Smith;Beverly Chew,Q5730239;Q116594130;Q116598881
Arnald Abbot of Bonneval.,author,,,human,Arnaud of Bonneval,Q91016408
Arnaldus de Villanova,author,,,human,Arnaldus de Villa Nova,Q356568
Arnaldus de Villanova,author,,http://viaf.org/viaf/100189814,human,Arnaldus de Villa Nova,Q356568
"Arnaldus, de Villanova, -1311",author,,http://id.loc.gov/authorities/names/n50001534,human,Arnaldus de Villa Nova,Q356568
"Arnaldus, de Villanova, d. 1311",author,,,human,Arnaldus de Villa Nova,Q356568
Arnold of Villa Nova,author,,,human,Arnaldus de Villa Nova,Q356568
Arnoldus de Villanova,author,,,human,Arnaldus de Villa Nova,Q356568
Arnoul de Bohéries,author,,,human,Arnulf of Bohéries,Q88017720
"Arnoul, de Bohéries, 12th century",author,,,human,Arnulf of Bohéries,Q88017720
Arnulf of Lisieux,author,,,human,Arnulf of Lisieux,Q584833
Arrigucci family,author,,,organization,Arrigucci family,Q116712171
"Arrigucci, Federico",author,,,human,Federico Arrigucci,Q116235914
"Arte della lana (Guild : Florence, Italy)",author,,http://id.loc.gov/authorities/names/nr94031062,organization,Wool Guild,Q542935
Artelouche de Alagona.,author,,,human,Artelouche de Alagona,Q53561928
