genre_as_recorded,vocab,source_authority_uri,authorized_label,structured_value,ds_qid
Antiphonaries--Germany--15th century,aat,,antiphonaries;Germany;Fifteenth century,http://vocab.getty.edu/aat/300188812;http://id.worldcat.org/fast/1210272;http://id.worldcat.org/fast/923962,Q6845;Q3032;Q154
Antiphonaries--Germany--18th century,aat,,antiphonaries;Germany;Eighteenth century,http://vocab.getty.edu/aat/300188812;http://id.worldcat.org/fast/1210272;http://id.worldcat.org/fast/904058,Q6845;Q3032;Q3024
Antiphonaries--Italy--14th century,aat,,antiphonaries;Italy;Fourteenth century,http://vocab.getty.edu/aat/300188812;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/933420,Q6845;Q249;Q295
Antiphonaries--Italy--15th century,aat,,antiphonaries;Italy;Fifteenth century,http://vocab.getty.edu/aat/300188812;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/923962,Q6845;Q249;Q154
Antiphonaries--Italy--16th century,rbgenr,,Antiphonaries;Italy;Sixteenth century,http://id.loc.gov/vocabulary/rbmscv/cv00118;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1119851,Q10815;Q249;Q335
Antiphonaries--Italy--17th century,aat,,antiphonaries;Italy;Seventeenth century,http://vocab.getty.edu/aat/300188812;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1113663,Q6845;Q249;Q2771
Antiphonaries--Spain--Toledo--14th century,aat,,antiphonaries;Spain--Toledo;Fourteenth century,http://vocab.getty.edu/aat/300188812;http://id.worldcat.org/fast/1204571;http://id.worldcat.org/fast/933420,Q6845;Q7141;Q295
Antiphons (Music),lcgft,,Antiphons (Music),http://id.worldcat.org/fast/1920005,Q38426
Aphorisms,aat,,aphorisms,http://vocab.getty.edu/aat/300253001,Q7680
Aphorisms and Proverbs,,,Sayings,http://id.worldcat.org/fast/1920779,Q5810
Apocryphal and legendary literature,fast,,Apocryphal and legendary literature,http://id.worldcat.org/fast/1424027,Q7112
apologetics,ds-genre,,Apologetic writings,http://id.worldcat.org/fast/1423698,Q6975
Apologetic writings,fast,(OCoLC)fst01423698,Apologetic writings,http://id.worldcat.org/fast/1423698,Q6975
Apologetic writings,fast,,Apologetic writings,http://id.worldcat.org/fast/1423698,Q6975
Apologetic writings,lcgft,,Apologetic writings,http://id.worldcat.org/fast/1423698,Q6975
Arabic scripts,aat,,Arabic scripts,http://vocab.getty.edu/aat/300208615,Q38427
Arabic scripts--Egypt--17th century,aat,,Arabic scripts;Egypt;Seventeenth century,http://vocab.getty.edu/aat/300208615;http://id.worldcat.org/fast/1208755;http://id.worldcat.org/fast/1113663,Q38427;Q11259;Q2771
Arabic scripts--Iran--16th century,aat,,Arabic scripts;Iran;Sixteenth century,http://vocab.getty.edu/aat/300208615;http://id.worldcat.org/fast/1204889;http://id.worldcat.org/fast/1119851,Q38427;Q16384;Q335
Archives,fast,,Archives,http://id.worldcat.org/fast/1423700,Q4174
Armorial bindings,rbbin,,Armorial bindings,http://id.loc.gov/vocabulary/rbmscv/cv00132,Q12580
Armorial bindings,rbmscv,,Armorial bindings,http://id.loc.gov/vocabulary/rbmscv/cv00132,Q12580
Armorial bindings (Binding),rbbin,,Armorial bindings,http://id.loc.gov/vocabulary/rbmscv/cv00132,Q12580
Armorial bindings (Binding)--England--16th century,rbbin,,Armorial bindings;England;Sixteenth century,http://id.loc.gov/vocabulary/rbmscv/cv00132;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/1119851,Q12580;Q320;Q335
Armorial bindings (Binding)--England--17th century,rbbin,,Armorial bindings;England;Seventeenth century,http://id.loc.gov/vocabulary/rbmscv/cv00132;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/1113663,Q12580;Q320;Q2771
Armorial bindings (Binding)--Italy--16th century,rbbin,,Armorial bindings;Italy;Sixteenth century,http://id.loc.gov/vocabulary/rbmscv/cv00132;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1119851,Q12580;Q249;Q335
Armorial bindings (Provenance),rbprov,,Armorial bindings,http://id.loc.gov/vocabulary/rbmscv/cv00132,Q12580
Armorial bookplates,rbmscv,,Armorial bookplates,http://id.loc.gov/vocabulary/rbmscv/cv00136,Q16277
Armorial bookplates (Provenance),rbprov,,Armorial bindings,http://id.loc.gov/vocabulary/rbmscv/cv00132,Q12580
Armorials,aat,,armorials (reference sources),http://vocab.getty.edu/aat/300255028,Q19866
Armorials,rbmscv,,Armorials,http://id.loc.gov/vocabulary/rbmscv/cv00965,Q16263
Armorials--England--16th century,aat,,armorials (reference sources);England;Sixteenth century,http://vocab.getty.edu/aat/300255028;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/1119851,Q19866;Q320;Q335
Armorials--England--16th century,,,armorials (reference sources);England;Sixteenth century,http://vocab.getty.edu/aat/300255028;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/1119851,Q19866;Q320;Q335
Armorial stamps,rbmscv,,Armorial stamps,http://id.loc.gov/vocabulary/rbmscv/cv00139,Q16391
Art,lcgft,http://id.loc.gov/authorities/genreForms/gf2017027218,Art,http://id.worldcat.org/fast/1423702,Q38573
Art,fast,(OCoLC)fst01423702,Art,http://id.worldcat.org/fast/1423702,Q38573
Art,fast,,Art,http://id.worldcat.org/fast/1423702,Q38573
Art,lcgft,,Art,http://id.worldcat.org/fast/1423702,Q38573
Arthurian romances,lcgft,,Arthurian romances,http://id.worldcat.org/fast/1726527,Q42542
Articles of incorporation,aat,,articles of incorporation,http://vocab.getty.edu/aat/300027597,Q4818
Artificial grains,lobt,,artificial grains,http://w3id.org/lob/concept/1507,Q26965
astronomical,ds-genre,,astronomy,http://vocab.getty.edu/aat/300054534,Q42421
Astronomical charts,aat,,astronomical charts,http://vocab.getty.edu/aat/300028164,Q26872
Atlases,aat,,atlases,http://vocab.getty.edu/aat/300028053,Q2772
Atlases (Geographic),aat,,atlases,http://vocab.getty.edu/aat/300028053,Q2772
Atlases (Geographic),rbgenr,,Atlases (Geographic),http://id.loc.gov/vocabulary/rbmscv/cv00161,Q38428
Atlases (Geographic)--France--16th century,rbgenr,,Atlases (Geographic);France;Sixteenth century,http://id.loc.gov/vocabulary/rbmscv/cv00161;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1119851,Q38428;Q152;Q335
Atlases (Geographic)--France--17th century,aat,,atlases;France;Seventeenth century,http://vocab.getty.edu/aat/300028053;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1113663,Q2772;Q152;Q2771
Atlases (Geographic)--France--17th century,rbgenr,,Atlases (Geographic);France;Seventeenth century,http://id.loc.gov/vocabulary/rbmscv/cv00161;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1113663,Q38428;Q152;Q2771
Atlases (Geographic)--Goa (India : State)--16th century,rbgenr,,Atlases (Geographic);India--Goa (State);Sixteenth century,http://id.loc.gov/vocabulary/rbmscv/cv00161;http://id.worldcat.org/fast/1334913;http://id.worldcat.org/fast/1119851,Q38428;Q38429;Q335
Atlases (Geographic)--Italy--15th century,rbgenr,,Atlases (Geographic);Italy;Fifteenth century,http://id.loc.gov/vocabulary/rbmscv/cv00161;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/923962,Q38428;Q249;Q154
Atlases (Geographic)--Italy--15th Century,rbgenr,,Atlases (Geographic);Italy;Fifteenth century,http://id.loc.gov/vocabulary/rbmscv/cv00161;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/923962,Q38428;Q249;Q154
Atlases (Geographic)--Italy--16th century,aat,,atlases;Italy;Sixteenth century,http://vocab.getty.edu/aat/300028053;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1119851,Q2772;Q249;Q335
Atlases (Geographic)--Italy--16th century,rbgenr,,Atlases (Geographic);Italy;Sixteenth century,http://id.loc.gov/vocabulary/rbmscv/cv00161;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1119851,Q38428;Q249;Q335
Atlases (Geographic)--Italy--17th century,rbgenr,,Atlases (Geographic);Italy;Seventeenth century,http://id.loc.gov/vocabulary/rbmscv/cv00161;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1113663,Q38428;Q249;Q2771
Atlases (Geographic)--Portugal--16th century,rbgenr,,Atlases (Geographic);Portugal;Sixteenth century,http://id.loc.gov/vocabulary/rbmscv/cv00161;http://id.worldcat.org/fast/1208476;http://id.worldcat.org/fast/1119851,Q38428;Q7091;Q335
Atlases (Geographic)--Spain--16th century,rbgenr,,Atlases (Geographic);Spain;Sixteenth century,http://id.loc.gov/vocabulary/rbmscv/cv00161;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/1119851,Q38428;Q343;Q335
Atlases (Geographic)--Spain--17th century,rbgenr,,Atlases (Geographic);Spain;Seventeenth century,http://id.loc.gov/vocabulary/rbmscv/cv00161;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/1113663,Q38428;Q343;Q2771
Atlases--Spain--16th century,aat,,atlases;Spain;Sixteenth century,http://vocab.getty.edu/aat/300028053;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/1119851,Q2772;Q343;Q335
Atlases--Spain--17th century,aat,,atlases;Spain;Seventeenth century,http://vocab.getty.edu/aat/300028053;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/1113663,Q2772;Q343;Q2771
Auction copies (Provenance),rbprov,,Auction copies,http://id.loc.gov/vocabulary/rbmscv/cv00969,Q26594
Autobiographies,aat,,autobiographies (literary genre),http://vocab.getty.edu/aat/300080104,Q38430
Autobiographies,fast,,Autobiographies,http://id.worldcat.org/fast/1919894,Q42538
Autobiographies,lcgft,,Autobiographies,http://id.worldcat.org/fast/1919894,Q42538
Autobiographies,lcgft,http://id.loc.gov/authorities/genreForms/gf2014026047,Autobiographies,http://id.worldcat.org/fast/1919894,Q42538
Autobiographies,rvmgf,,Autobiographies,http://id.worldcat.org/fast/1919894,Q42538
autobiographies (literary works),aat,,autobiographies (literary genre),http://vocab.getty.edu/aat/300080104,Q38430
Autographs,aat,,autographs (manuscripts),http://vocab.getty.edu/aat/300028571,Q3518
Autographs,fast,,Autographs,http://id.worldcat.org/fast/1423715,Q7185
Autographs,rbmscv,,Autographs,http://id.loc.gov/vocabulary/rbmscv/cv00177,Q38431
Autographs (manuscripts),aat,,autographs (manuscripts),http://vocab.getty.edu/aat/300028571,Q3518
Autographs (manuscripts)--Georgia (Republic)--Tʻbilisi--19th century,aat,,autographs (manuscripts);Georgia (Republic)--Tʻbilisi;Nineteenth century,http://vocab.getty.edu/aat/300028571;http://id.worldcat.org/fast/1206337;http://id.worldcat.org/fast/1037841,Q3518;Q48760;Q3538
Autographs (manuscripts)--Iran--19th century,aat,,autographs (manuscripts);Iran;Nineteenth century,http://vocab.getty.edu/aat/300028571;http://id.worldcat.org/fast/1204889;http://id.worldcat.org/fast/1037841,Q3518;Q16384;Q3538
Autographs (manuscripts)--Iran--Iṣfahān--17th century,aat,,autographs (manuscripts);Iran--Iṣfahān;Seventeenth century,http://vocab.getty.edu/aat/300028571;http://id.worldcat.org/fast/1220534;http://id.worldcat.org/fast/1113663,Q3518;Q48723;Q2771
Autographs (manuscripts)--Iran--Mahābād--19th century,aat,,autographs (manuscripts);Iran--Mahābād;Nineteenth century,http://vocab.getty.edu/aat/300028571;http://id.worldcat.org/fast/1302984;http://id.worldcat.org/fast/1037841,Q3518;Q48750;Q3538
Autographs (manuscripts)--Iran--Tehran--19th century,aat,,autographs (manuscripts);Iran--Tehran;Nineteenth century,http://vocab.getty.edu/aat/300028571;http://id.worldcat.org/fast/1204877;http://id.worldcat.org/fast/1037841,Q3518;Q48736;Q3538
Autographs (manuscripts)--Islamic countries--17th century,aat,,autographs (manuscripts);Islamic countries;Seventeenth century,http://vocab.getty.edu/aat/300028571;http://id.worldcat.org/fast/1244130;http://id.worldcat.org/fast/1113663,Q3518;Q2810;Q2771
Autographs (manuscripts)--Islamic countries--19th century,aat,,autographs (manuscripts);Islamic countries;Nineteenth century,http://vocab.getty.edu/aat/300028571;http://id.worldcat.org/fast/1244130;http://id.worldcat.org/fast/1037841,Q3518;Q2810;Q3538
Autographs (manuscripts)--Islamic countries--20th century,aat,,autographs (manuscripts);Islamic countries;Twentieth century,http://vocab.getty.edu/aat/300028571;http://id.worldcat.org/fast/1244130;http://id.worldcat.org/fast/1159810,Q3518;Q2810;Q5942
Autographs (manuscripts)--Islamic Empire--15th century,aat,,autographs (manuscripts);Islamic Empire;Fifteenth century,http://vocab.getty.edu/aat/300028571;http://id.worldcat.org/fast/1244134;http://id.worldcat.org/fast/923962,Q3518;Q11211;Q154
Autographs (manuscripts)--Turkey--Istanbul--19th century,aat,,autographs (manuscripts);Turkey--Istanbul;Nineteenth century,http://vocab.getty.edu/aat/300028571;http://id.worldcat.org/fast/1204833;http://id.worldcat.org/fast/1037841,Q3518;Q4823;Q3538
Autographs (Provenance),rbprov,,Autographs,http://id.loc.gov/vocabulary/rbmscv/cv00177,Q38431
Ballads--France,rbgenr,,Ballads;France,http://id.loc.gov/vocabulary/rbmscv/cv00202;http://id.worldcat.org/fast/1204289,Q42565;Q152
Bark papers (Paper)--Indonesia,rbpap,,Bark papers;Indonesia,http://id.loc.gov/vocabulary/rbmscv/cv00974;http://id.worldcat.org/fast/1209242,Q42569;Q38456
Bark papers (Paper)--Indonesia--19th century,rbpap,,Bark papers;Indonesia;Nineteenth century,http://id.loc.gov/vocabulary/rbmscv/cv00974;http://id.worldcat.org/fast/1209242;http://id.worldcat.org/fast/1037841,Q42569;Q38456;Q3538
benedictionals,aat,,benedictionals,http://vocab.getty.edu/aat/300198389,Q42557
Beneventan script,local,,Beneventan minuscule,http://vocab.getty.edu/aat/300194411,Q38432
Bestiaries--France--13th century,aat,,bestiaries;France;Thirteenth century,http://vocab.getty.edu/aat/300201056;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1150138,Q38433;Q152;Q245
Bevelled edge boards,rbmscv,,Bevelled edge boards,http://id.loc.gov/vocabulary/rbmscv/cv00211,Q16274
Bevelled edge-boards,rbmscv,,Bevelled edge boards,http://id.loc.gov/vocabulary/rbmscv/cv00211,Q16274
Bible--France--13th century,aat,,Bibles;France;Thirteenth century,http://vocab.getty.edu/aat/300264513;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1150138,Q3561;Q152;Q245
Bibles,aat,,Bibles,http://vocab.getty.edu/aat/300264513,Q3561
Bibles,ds-genre,,Bibles,http://vocab.getty.edu/aat/300264513,Q3561
Bibles,lcsh,,Bible,http://id.worldcat.org/fast/1356024,Q4267
Bibles--England--13th century,aat,,Bibles;England;Thirteenth century,http://vocab.getty.edu/aat/300264513;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/1150138,Q3561;Q320;Q245
Bibles--France--13th century,aat,,Bibles;France;Thirteenth century,http://vocab.getty.edu/aat/300264513;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1150138,Q3561;Q152;Q245
Bibles--France--14th century,aat,,Bibles;France;Fourteenth century,http://vocab.getty.edu/aat/300264513;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/933420,Q3561;Q152;Q295
Bibles--Spain--13th century,aat,,Bibles;Spain;Thirteenth century,http://vocab.getty.edu/aat/300264513;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/1150138,Q3561;Q343;Q245
biblical,ds-genre,,biblical,http://vocab.getty.edu/aat/300263186,Q19856
biblical / scriptural,ds-genre,,biblical;religious texts,http://vocab.getty.edu/aat/300263186;http://vocab.getty.edu/aat/300220519,Q19856;Q42399
biblical / scriptural / pastoral,ds-genre,,biblical;religious texts;pastors (clergy),http://vocab.getty.edu/aat/300263186;http://vocab.getty.edu/aat/300220519;http://vocab.getty.edu/aat/300025771,Q19856;Q42399;Q42402
Bibliographies,fast,,Bibliographies,http://id.worldcat.org/fast/1919895,Q11383
bifolia,aat,(CStmoGRI)aatgf300201054,bifolia,http://vocab.getty.edu/aat/300201054,Q1353
Bifolia,aat,,bifolia,http://vocab.getty.edu/aat/300201054,Q1353
Binders' tickets (Binding)--19th century,rbbin,,Binders' tickets;Nineteenth century,http://id.loc.gov/vocabulary/rbmscv/cv00702;http://id.worldcat.org/fast/1037841,Q5842;Q3538
Binding components,aat,,binding components,http://vocab.getty.edu/aat/300194225,Q38435
Bindings and binding components--Spain--17th century,aat,,bindings (gathered matter components);binding components;Spain;Seventeenth century,http://vocab.getty.edu/aat/300055023;http://vocab.getty.edu/aat/300194225;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/1113663,Q38434;Q38435;Q343;Q2771
Bindings and binding components--Spain--18th century,aat,,bindings (gathered matter components);binding components;Spain;Eighteenth century,http://vocab.getty.edu/aat/300055023;http://vocab.getty.edu/aat/300194225;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/904058,Q38434;Q38435;Q343;Q3024
Bio-bibliography,fast,,Bio-bibliography,http://id.worldcat.org/fast/1423685,Q48734
Biographies,fast,(OCoLC)fst01919896,Biographies,http://id.worldcat.org/fast/1919896,Q3051
Biographies,fast,,Biographies,http://id.worldcat.org/fast/1919896,Q3051
Biographies,lcgft,http://id.loc.gov/authorities/genreForms/gf2014026049,Biographies,http://id.worldcat.org/fast/1919896,Q3051
Biographies,lcgft,,Biographies,http://id.worldcat.org/fast/1919896,Q3051
Biographies,rbgenr,,Biographies,http://id.loc.gov/vocabulary/rbmscv/cv00185,Q38436
Biographies,rvmgf,,Biographies,http://id.worldcat.org/fast/1919896,Q3051
Biographies (literary works),aat,,biographies (literary genre),http://vocab.getty.edu/aat/300080102,Q4223
Biography,fast,(OCoLC)fst01423686,Biographies,http://id.worldcat.org/fast/1919896,Q3051
Biography,openn-form/genre,,biographies (literary genre),http://vocab.getty.edu/aat/300080102,Q4223
Biography,,https://id.nlm.nih.gov/mesh/D019215,biographies (literary genre),http://vocab.getty.edu/aat/300080102,Q4223
blind stamping,aat,,blind stamping,http://vocab.getty.edu/aat/300192907,Q19853
Blind stamps,rbmscv,,Blind stamps,http://id.loc.gov/vocabulary/rbmscv/cv00225,Q48501
Blind tooled (decoration),lobt,,blind-tooled (decoration),http://w3id.org/lob/concept/2288,Q27291
Blind tooled (decoration),openn-form/genre,,blind-tooled (decoration),http://w3id.org/lob/concept/2288,Q27291
Blind tooled bindings,rbbin,,Blind tooled bindings,http://id.loc.gov/vocabulary/rbmscv/cv00632,Q5877
Blind tooled bindings,rbmscv,,Blind tooled bindings,http://id.loc.gov/vocabulary/rbmscv/cv00632,Q5877
