as_recorded,split
"Manuscript note: Almost precisely the same second-campaign upgrading of the Hours of the Virgin to the English format occurs in the Jeanson Hours by the same artist. It was clearly a problem in this particular workshop.|Bibliography: De Ricci 1935, p. 635; Herlihy 1991, plate on front cover.|ff. 1-170v: Gregory Clark kindly reports that the artist or his workshop also contributed to two other Books of Hours illuminated in Rouen, the Oldhall Hours (London, BL, Harley MS 2900) and Cambridge, St. John’s College, MS 240, both made for the English market.|ff. 1-170v: Latin.|ff. 5r-169r: The text comprises: a Calendar, of Sarum use (fol. 5r); the Gospel Sequences (fol. 17r); the Hours of the Virgin, Use of Sarum (fol. 23r), incorporating the Hours of the Cross. To bring it into conformity with the English practice, then, additional bifolia were subsequently inserted into quires viii–xi, each with the required miniature for the Hours of the Cross, together with blank pages for text which the scribe must have intended to supply when an exemplar became available; the Penitential Psalms (fol. 83r) with the 15 Gradual Psalms and Litany (including Saints Swithun, Birinus and Edith); the Office of the Dead (fol. 112r); the Commendation of Souls (fol. 144r); and the prayers to the Virgin, Obsecro te and O intemerata (fol. 163r), all ending on fol. 169r.The prayers Obsecro te and O intemerata are made out for male use. The book is likely to have been commissioned by a member of the English army of occupation.","Manuscript note: Almost precisely the same second-campaign upgrading of the Hours of the Virgin to the English format occurs in the Jeanson Hours by the same artist. It was clearly a problem in this particular workshop.|Bibliography: De Ricci 1935, p. 635; Herlihy 1991, plate on front cover.|ff. 1-170v: Gregory Clark kindly reports that the artist or his workshop also contributed to two other Books of Hours illuminated in Rouen, the Oldhall Hours (London, BL, Harley MS 2900) and Cambridge, St. John’s College, MS 240, both made for the English market.|ff. 1-170v: Latin.|ff. 5r-169r: The text comprises: a Calendar, of Sarum use (fol. 5r); the Gospel Sequences (fol. 17r); the Hours of the Virgin, Use of Sarum (fol. 23r), incorporating the Hours of the Cross.|To bring it into conformity with the English practice, then, additional bifolia were subsequently inserted into quires viii–xi, each with the required miniature for the Hours of the Cross, together with blank pages for text which the scribe must have intended to supply when an exemplar became available;|the Penitential Psalms (fol. 83r) with the 15 Gradual Psalms and Litany (including Saints Swithun, Birinus and Edith); the Office of the Dead (fol. 112r); the Commendation of Souls (fol. 144r); and the prayers to the Virgin, Obsecro te and O intemerata (fol. 163r), all ending on fol. 169r.|The prayers Obsecro te and O intemerata are made out for male use. The book is likely to have been commissioned by a member of the English army of occupation."
"Manuscript note: An illuminator’s working pattern-book, comprises a series of exquisite specimen alphabets and decorated initials, with elaborate infilling and sample borders in penwork in coloured inks with heightening in gold.|Bibliography: Grolier Club 1892, p. 15, no. 34; Bierstadt 1895, p. 24; De Ricci 1935, p. 655; Steinberg 1942-43, p. 193, no. 9; Padovani 1954, pp. 583 and 591-92; Miner 1965, pp. 54 and 59, no. 38, with plate; Pächt and Alexander 1970, p. 25; Drogin 1980, p. 147, pl. 125; Kristeller 1990, p. 220; Alexander 1992, p. 175, n. 34; Scheller 1995, pp. 85-87, fig. 4, and p. 254; Elen 1995, pp. 165-69; Alexander 1995, p. 213, no. 109; Hindman and Rowe 2001, pp. 266-68 and fig. 151; G. Z. Zanichelli in Bollati 2004, p. 339-40; David 2006, pp. 26-27, n. 34; Barker 2009, p. 76; De Hamel and Lovett 2010, p. 13 and fig. 6.|ff. 19: The manuscript was painted by Guiniforte da Vimercate mostly on the rectos only of fols. 1-15 (the first two quires) and probably on fol. 19v. A second artist, who signs himself Basilius de Gallis (fol. 16v), supplied initials on fols. 16v, 17r, 18r and 19r (the latter perhaps left unfinished, and completed later). Probably in the early sixteenth century, a much less competent decorator has added mostly border designs to pages that were still blank (fols. 4v, part of 5r, 15v, 16r, 17v and 18v). Two other late fifteenth-century alphabetical pattern-books from Ricketts' collection are now in the Newberry Library in Chicago, Wing ZW 141.48 and 141.481 (Saenger 1989, pp. 230-31). His two seventeenth-century German calligraphic patternbooks, however, are in the Lilly Library, one dated 1645 and the other 1628 (Ricketts A and B).|ff. 19: Latin.","Manuscript note: An illuminator’s working pattern-book, comprises a series of exquisite specimen alphabets and decorated initials, with elaborate infilling and sample borders in penwork in coloured inks with heightening in gold.|Bibliography: Grolier Club 1892, p. 15, no. 34; Bierstadt 1895, p. 24; De Ricci 1935, p. 655; Steinberg 1942-43, p. 193, no. 9; Padovani 1954, pp. 583 and 591-92; Miner 1965, pp. 54 and 59, no. 38, with plate; Pächt and Alexander 1970, p. 25; Drogin 1980, p. 147, pl. 125; Kristeller 1990, p. 220; Alexander 1992, p. 175, n. 34; Scheller 1995, pp. 85-87, fig. 4, and p. 254;|Elen 1995, pp. 165-69; Alexander 1995, p. 213, no. 109; Hindman and Rowe 2001, pp. 266-68 and fig. 151; G. Z. Zanichelli in Bollati 2004, p. 339-40; David 2006, pp. 26-27, n. 34; Barker 2009, p. 76; De Hamel and Lovett 2010, p. 13 and fig. 6.|ff. 19: The manuscript was painted by Guiniforte da Vimercate mostly on the rectos only of fols. 1-15 (the first two quires) and probably on fol. 19v. A second artist, who signs himself Basilius de Gallis (fol. 16v), supplied initials on fols. 16v, 17r, 18r and 19r (the latter perhaps left unfinished, and completed later).|Probably in the early sixteenth century, a much less competent decorator has added mostly border designs to pages that were still blank (fols. 4v, part of 5r, 15v, 16r, 17v and 18v). Two other late fifteenth-century alphabetical pattern-books from Ricketts' collection are now in the Newberry Library in Chicago, Wing ZW 141.48 and 141.481 (Saenger 1989, pp. 230-31).|His two seventeenth-century German calligraphic patternbooks, however, are in the Lilly Library, one dated 1645 and the other 1628 (Ricketts A and B).|ff. 19: Latin."
"Manuscript note: At least 19 separate or loosely-stitched leaves from the same volume are known. Phillipps evidently did not realise that they were actually part of his MS 322, which was re-sold by the Phillipps heirs to Brussels in 1888, and is now Brussels, Bibliothèque royale, ms II. 930. That volume, now dutifully bound, comprises 70 leaves only, lacking its opening gathering and breaking off defectively at book IX, chapter 19. Allowing for one further leaf (untraced), the Lilly leaf came next, and would have been fol. 72 if it had remained with the book. It is from the Gregorialis, book IX, chapter 20, to chapter 22. Other detached leaves of the manuscript, which have emerged at various times from the Phillipps collection, are: 1, book X: 2-4, now private collection, London; 2, book X: 8-10, now Oslo and London, Schøyen Collection, MS 95, fol. 2 (bought with others from Quaritch cat. 11-47, 1991, no. 93; Griffiths 1995, p. 38, no. 95, as English); 3, book X: 10-12, now Stanford University Library, M.299/4/2/118; 4, book X: 13, to book XI: 13, a complete gathering, now Schøyen Collection, MS 95, fols. 3-10 (bought from Quaritch, cat. 1088, 1988, no. 24); 5, book XI: 14-17, now Schøyen Collection, MS 95, fols. 11-12; 6, book XI: 17-19, now Tokyo, Keio University Library, 170X@9@180/118; 7, book XI: 19 to book XII: 2, now Tokyo, Takamiya Collection, MS 45, fol. 30; 8, book XII: 2-4, now Schøyen Collection, MS 95, fol. 1; and 9, book XII: 4-7, now London, private collection.|Bibliography: Schenkl 1892, p. 154; Faye and Bond 1962, p. 181; De Hamel 2004, pp. 29, 32 and 44, no. 30.|One leaf: Latin.|One leaf: Contains Book IX, chapter 20 to chapter 22.|Incipit, One leaf: cognitionum redeunt que.|Explicit, One leaf: tspargitur ab interna.","Manuscript note: At least 19 separate or loosely-stitched leaves from the same volume are known. Phillipps evidently did not realise that they were actually part of his MS 322, which was re-sold by the Phillipps heirs to Brussels in 1888, and is now Brussels, Bibliothèque royale, ms II. 930.|That volume, now dutifully bound, comprises 70 leaves only, lacking its opening gathering and breaking off defectively at book IX, chapter 19. Allowing for one further leaf (untraced), the Lilly leaf came next, and would have been fol. 72 if it had remained with the book. It is from the Gregorialis, book IX, chapter 20, to chapter 22.|Other detached leaves of the manuscript, which have emerged at various times from the Phillipps collection, are: 1, book X: 2-4, now private collection, London; 2, book X: 8-10, now Oslo and London, Schøyen Collection, MS 95, fol. 2 (bought with others from Quaritch cat. 11-47, 1991, no. 93; Griffiths 1995, p. 38, no. 95, as English);|3, book X: 10-12, now Stanford University Library, M.299/4/2/118; 4, book X: 13, to book XI: 13, a complete gathering, now Schøyen Collection, MS 95, fols. 3-10 (bought from Quaritch, cat. 1088, 1988, no. 24); 5, book XI: 14-17, now Schøyen Collection, MS 95, fols. 11-12; 6, book XI: 17-19, now Tokyo, Keio University Library, 170X@9@180/118;|7, book XI: 19 to book XII: 2, now Tokyo, Takamiya Collection, MS 45, fol. 30; 8, book XII: 2-4, now Schøyen Collection, MS 95, fol. 1; and 9, book XII: 4-7, now London, private collection.|Bibliography: Schenkl 1892, p. 154; Faye and Bond 1962, p. 181; De Hamel 2004, pp. 29, 32 and 44, no. 30.|One leaf: Latin.|One leaf: Contains Book IX, chapter 20 to chapter 22.|Incipit, One leaf: cognitionum redeunt que.|Explicit, One leaf: tspargitur ab interna."
"Manuscript note: At least two other volumes from the same set of manuscripts survive, written by the same scribe and illuminated by the same artists. One is Los Angeles, J. Paul Getty Museum MS Ludwig VI.6, with antiphons from the first Sunday in Advent to Epiphany, with sanctoral. The second is London, BL, Add. MS 30084, bought in 1876, which follows with antiphons from the first Sunday after Epiphany to the eve of Palm Sunday, with sanctoral. The Lilly volume follows directly from the end of the British Library manuscript.|Bibliography: De Ricci 1935, p. 630.|ff.1r-.220v: The ms. preserves the designer’s written instructions to the illuminator, noting beside many of the spaces which the scribe had left whether the initial was to be painted as “folia”, i.e., a floral initial (e.g., fols. 170v, 184v and 201v), or “ystoriata”, which means with a picture (e.g., fols. 67v, 119v, 133r, 167r, 199v and 207v, all supplied with historiated initials). Occasionally, the instruction called for “ystoriata” but the initials actually painted are merely very large floral designs instead (e.g., fols. 136v and 157v). Exactly the same feature appears in the companion volume, Add. MS 30084. In that manuscript all fourteen of the illustrated initials are marked “ystoriata”, sometimes partly cropped, and 21 of the floral initials are marked “folia”, or close variants, including “foglia”, “foglo”, “fogla” and “foliata”. Examples of similar guide words describing intended gradings of manuscript initials are listed by Scott 1995.|ff.1r-.220v: Latin.|ff. 1-220r: Begins with the Magnificat antiphon for Vespers on the eve of Palm Sunday, followed by the summer portion of the Temporal to the first week after Pentecost, perhaps originally designed to end on fol. 164v, at the end of quire xx (see collation). Seven further gatherings now follow, with catchwords in smaller script, with antiphons for the Annunciation (fol. 165r, 25 March), the Common of Saints (fol. 174r), and Saint Peter Martyr (fol. 184v, 6 April, Dominican, canonised 1253), Saints Philip and James (fol. 193v, 1 May), the Holy Cross (fol. 197v, 3 May) and the Crown of Thorns (fol. 206r, 4 May), ending on fol. 214v. Around 1700 additions were made at the end for newer feasts, including Saint Katherine of Siena (canonised 1461, marked here “Odinis Nostri”, showing that the manuscript was still in Dominican hands) and Blessed Pope Pius (Pius V, presumably between his beatification in 1672 and canonisation in 1712).|Explicit, ff. 1-220r: Clarifica me pater.","Manuscript note: At least two other volumes from the same set of manuscripts survive, written by the same scribe and illuminated by the same artists. One is Los Angeles, J. Paul Getty Museum MS Ludwig VI.6, with antiphons from the first Sunday in Advent to Epiphany, with sanctoral.|The second is London, BL, Add. MS 30084, bought in 1876, which follows with antiphons from the first Sunday after Epiphany to the eve of Palm Sunday, with sanctoral. The Lilly volume follows directly from the end of the British Library manuscript.|Bibliography: De Ricci 1935, p. 630.|ff.1r-.220v: The ms. preserves the designer’s written instructions to the illuminator, noting beside many of the spaces which the scribe had left whether the initial was to be painted as “folia”, i.e., a floral initial (e.g., fols. 170v, 184v and 201v), or “ystoriata”, which means with a picture (e.g., fols. 67v, 119v, 133r, 167r, 199v and 207v, all supplied with historiated initials).|Occasionally, the instruction called for “ystoriata” but the initials actually painted are merely very large floral designs instead (e.g., fols. 136v and 157v). Exactly the same feature appears in the companion volume, Add. MS 30084. In that manuscript all fourteen of the illustrated initials are marked “ystoriata”, sometimes partly cropped,|More on initials: and 21 of the floral initials are marked “folia”, or close variants, including “foglia”, “foglo”, “fogla” and “foliata”. Examples of similar guide words describing intended gradings of manuscript initials are listed by Scott 1995.|ff.1r-.220v: Latin.|ff. 1-220r: Begins with the Magnificat antiphon for Vespers on the eve of Palm Sunday, followed by the summer portion of the Temporal to the first week after Pentecost, perhaps originally designed to end on fol. 164v, at the end of quire xx (see collation). Seven further gatherings now follow, with catchwords in smaller script, with antiphons for the Annunciation (fol. 165r, 25 March),|More antiphons: the Common of Saints (fol. 174r), and Saint Peter Martyr (fol. 184v, 6 April, Dominican, canonised 1253), Saints Philip and James (fol. 193v, 1 May), the Holy Cross (fol. 197v, 3 May) and the Crown of Thorns (fol. 206r, 4 May), ending on fol. 214v.|Around 1700 additions were made at the end for newer feasts, including Saint Katherine of Siena (canonised 1461, marked here “Odinis Nostri”, showing that the manuscript was still in Dominican hands) and Blessed Pope Pius (Pius V, presumably between his beatification in 1672 and canonisation in 1712).|Explicit, ff. 1-220r: Clarifica me pater."
"Manuscript note: At lesat 32 illustrated leaves from this manuscript are recorded.|Bibliography: De Ricci 1935, p. 620; Silver 1991, p. 3, no. 6 (with plate on p. 4); Holcomb, Dale and Janis 2008, p. 180.|One leaf: The numbering of the scenes shows that there were at least three separate sequences of pictures. The first sequence ended with a picture of King David, author of the Psalms, facing to the right. The most plausible explanation is that these are, in fact, prefatory pictures from an extremely elaborate Psalter, with three cycles of full-page illustrations, probably prefixing psalm 1 (which explains the David image), psalm 50 and psalm 100, respectively. See de Hamel, 2010 for a reconstruction of the sequences.|One leaf: Latin.|One leaf: The four scenes in the Ricketts leaf are numbered II-V, and show the Visitation (Comment la vierge marie s’en va en l’ostel de Elizabeth..; the Nativity of Christ, with the ox and ass looking into the manger (Comment la vierge marie enfanta"" the Annunciation to the Shepherds, gazing upwards to an angel holding a scroll puer natus est(Comment les angles and the Adoration of the Magi, kneeling and pointing to a star above the door of the stable (Comment les trois Roys..","Manuscript note: At lesat 32 illustrated leaves from this manuscript are recorded.|Bibliography: De Ricci 1935, p. 620; Silver 1991, p. 3, no. 6 (with plate on p. 4); Holcomb, Dale and Janis 2008, p. 180.|One leaf: The numbering of the scenes shows that there were at least three separate sequences of pictures. The first sequence ended with a picture of King David, author of the Psalms, facing to the right.|The most plausible explanation is that these are, in fact, prefatory pictures from an extremely elaborate Psalter, with three cycles of full-page illustrations, probably prefixing psalm 1 (which explains the David image), psalm 50 and psalm 100, respectively. See de Hamel, 2010 for a reconstruction of the sequences.|One leaf: Latin.|One leaf: The four scenes in the Ricketts leaf are numbered II-V, and show the Visitation (Comment la vierge marie s’en va en l’ostel de Elizabeth..; the Nativity of Christ, with the ox and ass looking into the manger|{scenes} (Comment la vierge marie enfanta"" the Annunciation to the Shepherds, gazing upwards to an angel holding a scroll puer natus est(Comment les angles and the Adoration of the Magi, kneeling and pointing to a star above the door of the stable (Comment les trois Roys.."
"Manuscript note: Bifolium from center of quire.|Bifolium: Consuelo Dutschke has suggested that the vertical ruling could be for a calendar. Linda Voigts notes that it resembles the lineation necessary for the grids for tables, mathematical or—more likely—astronomical-astrological tables. See John Murdoch, Antiquity and the Middle Ages (Album of Science) New York, 1984, Chapter 9, “Tabulae: Calculational and Stored Information.” Almanacs containing extensive tables became common in the fifteenth century, from grandiose (BL, Arundel MS 66 illuminated for Henry VII of England) to workaday versions.|Bifolium: The feasts whose texts are included in this bifolium run from that of Saint Agatha (5 February) through Saint Peter ad vincula (1 August).|Incipit, Bifolium: f. 22v V. Venite ad me. In sancti petri ad vincula. Sicut.|Explicit, Bifolium: f. 21r Vidimus in civitate dei nostri in monte sancto eius alleluia.","Manuscript note: Bifolium from center of quire.|Bifolium: Consuelo Dutschke has suggested that the vertical ruling could be for a calendar. Linda Voigts notes that it resembles the lineation necessary for the grids for tables, mathematical or—more likely—astronomical-astrological tables.|See John Murdoch, Antiquity and the Middle Ages (Album of Science) New York, 1984, Chapter 9, “Tabulae: Calculational and Stored Information.” Almanacs containing extensive tables became common in the fifteenth century, from grandiose (BL, Arundel MS 66 illuminated for Henry VII of England) to workaday versions.|Bifolium: The feasts whose texts are included in this bifolium run from that of Saint Agatha (5 February) through Saint Peter ad vincula (1 August).|Incipit, Bifolium: f. 22v V. Venite ad me. In sancti petri ad vincula. Sicut.|Explicit, Bifolium: f. 21r Vidimus in civitate dei nostri in monte sancto eius alleluia."
"Manuscript note: Both the script and the decoration are close in style to the Capucins’ Bible (Paris, BnF, mss lat. 16743-46) and the Manerius Bible (Paris, Bibliothèque de Ste-Geneviève mss 8-10), both made probably in Champagne, perhaps in Troyes (Cahn 1996, II, pp. 96-98, no. 79, and pp. 99-102, no. 81). The figure of Saint John here has a close parallel with a man in identical pose in the second volume of the Manerius Bible, fol. 162r (ibid, fig. 199). The Ricketts cutting is not a missing piece from either manuscript, since both still have their initials for I John, but it may be from a third sister manuscript. A cutting possibly from the same manuscript with the opening of I Kings was sold at Christie’s, 22 June 1983, lot 149, now privately owned in Germany.|One cutting: Latin.|One cutting: Recto shows II Peter 3: 14-17, a few lines from the end of the epistle (traces of a red explicit are visible at the lower right). Typical incipt of John I is ""Quod fuit ab initio"".|Explicit, One cutting: Quod fuit ab initio.","Manuscript note: Both the script and the decoration are close in style to the Capucins’ Bible (Paris, BnF, mss lat. 16743-46) and the Manerius Bible (Paris, Bibliothèque de Ste-Geneviève mss 8-10), both made probably in Champagne, perhaps in Troyes (Cahn 1996, II, pp. 96-98, no. 79, and pp. 99-102, no. 81).|The figure of Saint John here has a close parallel with a man in identical pose in the second volume of the Manerius Bible, fol. 162r (ibid, fig. 199). The Ricketts cutting is not a missing piece from either manuscript, since both still have their initials for I John, but it may be from a third sister manuscript.|A cutting possibly from the same manuscript with the opening of I Kings was sold at Christie’s, 22 June 1983, lot 149, now privately owned in Germany.|One cutting: Latin.|One cutting: Recto shows II Peter 3: 14-17, a few lines from the end of the epistle (traces of a red explicit are visible at the lower right). Typical incipt of John I is ""Quod fuit ab initio"".|Explicit, One cutting: Quod fuit ab initio."
"Manuscript note: Both the unexpectedly informal script of the leaves and their meandering tendrils of narrow illuminated plant stems, broken by flashes of highly burnished gold, are all consistent with book production in Austria, especially in Vienna. A comparable Latin Bible, from Genesis to Psalms, is Vienna, ÖNB, Cod. 1187, illuminated in Vienna around 1440 by the Albrecht Master, who also painted a prayerbook for Albrecht II, archduke of Austria 1404-39, king of Germany 1438-39 (ÖNB, Cod. 2722; Schmidt 2005, p. 452, fig. 6, and passim). The present leaves were bought in 1930 at the moment when many Austrian monasteries were selling manuscripts (see above, no. 55). A cutting from the manuscript’s opening leaf is described in Les Enluminures, cat. 5 (1996), no. 34 (afterwards illustrated in Alexander 2000, p. 15, fig. 7), and is now in private hands in North America. A leaf with the text for Leviticus 27: 21-34 and the capitula list for Numbers, is Columbia, University of Missouri, Ellis Library, Special Collections, Rare Res. BS 1254. L3M6. 1450.|Bibliography: De Ricci 1935, p. 620.|3 leaves: The leaves here show traces of old folio numbers. They are: (a) fol. 153, capitula list for Deuteronomy; (b) fol. 185, prologue Tandem finito . . .to . . . debeamus aure transireStegmüller no. 311) and the opening of the capitula list for Joshua; and (c) fol. 186, the end of the capitula list and Joshua to 1: 17. An entire Bible on such a scale would perhaps fill about 700 to 800 leaves, and would probably have been divided into two to three volumes. A curious feature of the present Bible is that each book clearly opened with capitula lists, tables of contents based on a chapter numbering which was older than the thirteenth century.|3 leaves: Latin.|3 leaves: The leaves here show traces of old folio numbers. They are: (a) fol. 153, capitula list for Deuteronomy; (b) fol. 185, prologue ""Tandem finito . . ."" to "". . . debeamus aure transire"" (Stegmüller no. 311) and the opening of the capitula list for Joshua; and (c) fol. 186, the end of the capitula list and Joshua to 1: 17.","Manuscript note: Both the unexpectedly informal script of the leaves and their meandering tendrils of narrow illuminated plant stems, broken by flashes of highly burnished gold, are all consistent with book production in Austria, especially in Vienna.|A comparable Latin Bible, from Genesis to Psalms, is Vienna, ÖNB, Cod. 1187, illuminated in Vienna around 1440 by the Albrecht Master, who also painted a prayerbook for Albrecht II, archduke of Austria 1404-39, king of Germany 1438-39 (ÖNB, Cod. 2722; Schmidt 2005, p. 452, fig. 6, and passim).|The present leaves were bought in 1930 at the moment when many Austrian monasteries were selling manuscripts (see above, no. 55). A cutting from the manuscript’s opening leaf is described in Les Enluminures, cat. 5 (1996), no. 34 (afterwards illustrated in Alexander 2000, p. 15, fig. 7), and is now in private hands in North America.|A leaf with the text for Leviticus 27: 21-34 and the capitula list for Numbers, is Columbia, University of Missouri, Ellis Library, Special Collections, Rare Res. BS 1254. L3M6. 1450.|Bibliography: De Ricci 1935, p. 620.|3 leaves: The leaves here show traces of old folio numbers. They are: (a) fol. 153, capitula list for Deuteronomy; (b) fol. 185, prologue Tandem finito . . .to . . . debeamus aure transireStegmüller no. 311) and the opening of the capitula list for Joshua; and (c) fol. 186, the end of the capitula list and Joshua to 1: 17.|An entire Bible on such a scale would perhaps fill about 700 to 800 leaves, and would probably have been divided into two to three volumes. A curious feature of the present Bible is that each book clearly opened with capitula lists, tables of contents based on a chapter numbering which was older than the thirteenth century.|3 leaves: Latin.|3 leaves: The leaves here show traces of old folio numbers. They are: (a) fol. 153, capitula list for Deuteronomy; (b) fol. 185, prologue ""Tandem finito . . ."" to "". . . debeamus aure transire"" (Stegmüller no. 311) and the opening of the capitula list for Joshua; and (c) fol. 186, the end of the capitula list and Joshua to 1: 17."
"Manuscript note: By the fifteenth century the manuscript had apparently lost a leaf or two at the beginning, and the stained and darkened f. 1r here was the first to survive. Around 1796 given to the seminary library in Turin, where it was kept as ms 15, 72 leaves, subsequently disbound (Leclercq 1951, p. 76). 61 leaves are in Beinecke Library, as Marston MS 151, beginning at the point where f.2v here breaks off (Lutz 1972; Shailor 1992, pp. 286-92). Six leaves are in the Detroit Public Library (Faye and Bond 1962, p. 297), and one leaf is in the University of California in Los Angeles (Ferrari And Rouse 1991, p. 93). Two leaves remain unaccounted for.|Bibliography: Halporn 1961, pp. 224-27; Faye and Bond 1962, p. 180; Leclercq 1964, p. 217; Grégoire 1966, p. 72; Ferrari and Rouse 1991, p. 93; Bondeelle-Souchier 1991, p. 133; Shailor 1992, p. 291; Bischoff 1998, p. 137, no. 643; Baroffio 1999, p. 25.|ff. 1-2: Ferrari and Rouse (1991, p. 93) compare the script with Monza, Biblioteca capitolare c. 5/65, written in Monza.|ff. 1-2: Latin.|2 leaves, consecutive: Extracts from Bede's Homiliae 1:3 (Gregoire 1966, p. 78, no. 11; Hurst 1960, pp. 14-15, lines 9-136). The volume from which these leaves come was the oldest known to Gregoire, although he did not search comprehensively. A late medieval note across the lower margin gives the by-then missing opening of the homily, linked by a little tie-mark to the top of the page. Rubric identifying the text as Bede's homily is in a much later hand (19th c?).","Manuscript note: By the fifteenth century the manuscript had apparently lost a leaf or two at the beginning, and the stained and darkened f. 1r here was the first to survive. Around 1796 given to the seminary library in Turin, where it was kept as ms 15, 72 leaves, subsequently disbound (Leclercq 1951, p. 76).|61 leaves are in Beinecke Library, as Marston MS 151, beginning at the point where f.2v here breaks off (Lutz 1972; Shailor 1992, pp. 286-92). Six leaves are in the Detroit Public Library (Faye and Bond 1962, p. 297), and one leaf is in the University of California in Los Angeles (Ferrari And Rouse 1991, p. 93). Two leaves remain unaccounted for.|Bibliography: Halporn 1961, pp. 224-27; Faye and Bond 1962, p. 180; Leclercq 1964, p. 217; Grégoire 1966, p. 72; Ferrari and Rouse 1991, p. 93; Bondeelle-Souchier 1991, p. 133; Shailor 1992, p. 291; Bischoff 1998, p. 137, no. 643; Baroffio 1999, p. 25.|ff. 1-2: Ferrari and Rouse (1991, p. 93) compare the script with Monza, Biblioteca capitolare c. 5/65, written in Monza.|ff. 1-2: Latin.|2 leaves, consecutive: Extracts from Bede's Homiliae 1:3 (Gregoire 1966, p. 78, no. 11; Hurst 1960, pp. 14-15, lines 9-136). The volume from which these leaves come was the oldest known to Gregoire, although he did not search comprehensively.|A late medieval note across the lower margin gives the by-then missing opening of the homily, linked by a little tie-mark to the top of the page. Rubric identifying the text as Bede's homily is in a much later hand (19th c?)."
"Manuscript note: Calendar (lacking January and December) -- Hours of the Virgin (Use of Paris) -- Penitential Psalms -- Hours of the Cross -- Hours of the Holy Spirit -- O intimerata -- Obsecro te -- Gospel lections -- Prayers to the Virgin -- Memorial to St. Barbara -- Office of the Dead (abbreviated) -- French prayers (Doulce Dame and Doulx Dieu).|Manuscript note: Miniatures: Annunication (f. 11) -- David in Prayer (f. 61) -- Crucifixion (f. 77v) -- Pentecost (f. 81) -- Burial Service (f. 101).|161 x 116 (95 x 60) mm.: Ms. mid 15th-century France.|161 x 116 (95 x 60) mm.: In Latin.|161 x 116 (95 x 60) mm.: Cropping of margins with some loss of decoration.|161 x 116 (95 x 60) mm.: Binding: modern brown morocco with gold-tooling and green silk doublures, signed on recto of back flyleaf ""Otto,"" Knoll, New York. In full red morocco split case with binder's title: Horae xv century (case discarded, 2014: damaged and too small for binding).","Manuscript note: Calendar (lacking January and December) -- Hours of the Virgin (Use of Paris) -- Penitential Psalms -- Hours of the Cross -- Hours of the Holy Spirit -- O intimerata -- Obsecro te -- Gospel lections -- Prayers to the Virgin -- Memorial to St. Barbara -- Office of the Dead (abbreviated) -- French prayers (Doulce Dame and Doulx Dieu).|Manuscript note: Miniatures: Annunication (f. 11) -- David in Prayer (f. 61) -- Crucifixion (f. 77v) -- Pentecost (f. 81) -- Burial Service (f. 101).|161 x 116 (95 x 60) mm.: Ms. mid 15th-century France.|161 x 116 (95 x 60) mm.: In Latin.|161 x 116 (95 x 60) mm.: Cropping of margins with some loss of decoration.|161 x 116 (95 x 60) mm.: Binding: modern brown morocco with gold-tooling and green silk doublures, signed on recto of back flyleaf ""Otto,"" Knoll, New York. In full red morocco split case with binder's title: Horae xv century (case discarded, 2014: damaged and too small for binding)."
