material_as_recorded,authorized_label,structured_value
"parchment, illuminations ;",parchment,http://vocab.getty.edu/aat/300011851
"parchment, illuminations in gold and colors",parchment,http://vocab.getty.edu/aat/300011851
"parchment, illustration",parchment,http://vocab.getty.edu/aat/300011851
"parchment, illustrations",parchment,http://vocab.getty.edu/aat/300011851
"parchment, illustrations, music",parchment,http://vocab.getty.edu/aat/300011851
"parchment, illustrations.",parchment,http://vocab.getty.edu/aat/300011851
"parchment, initials.",parchment,http://vocab.getty.edu/aat/300011851
"parchment, music",parchment,http://vocab.getty.edu/aat/300011851
"parchment, music, illustrations",parchment,http://vocab.getty.edu/aat/300011851
"parchment, music (diastematic neumes).",parchment,http://vocab.getty.edu/aat/300011851
"parchment, orn, decorated initials.",parchment,http://vocab.getty.edu/aat/300011851
"parchment, orn, illustrations.",parchment,http://vocab.getty.edu/aat/300011851
"parchment, orn, initial.",parchment,http://vocab.getty.edu/aat/300011851
"parchment, orn: drawing: eagle.",parchment,http://vocab.getty.edu/aat/300011851
"parchment, ornamented initial, penwork.",parchment,http://vocab.getty.edu/aat/300011851
"parchment, orn initial.",parchment,http://vocab.getty.edu/aat/300011851
"parchment, paper",parchment;paper,http://vocab.getty.edu/aat/300011851|http://vocab.getty.edu/aat/300014109
"parchment, penwork initials throughout",parchment,http://vocab.getty.edu/aat/300011851
"parchment, penwork initials throughout, added s. xiv",parchment,http://vocab.getty.edu/aat/300011851
"parchment, semi-translucent",parchment,http://vocab.getty.edu/aat/300011851
"parchment, translucent",parchment,http://vocab.getty.edu/aat/300011851
parchment;,parchment,http://vocab.getty.edu/aat/300011851
parchment ;,parchment,http://vocab.getty.edu/aat/300011851
parchment :,parchment,http://vocab.getty.edu/aat/300011851
parchment.,parchment,http://vocab.getty.edu/aat/300011851
parchment (9 paper),parchment;paper,http://vocab.getty.edu/aat/300011851|http://vocab.getty.edu/aat/300014109
parchment (goat),parchment,http://vocab.getty.edu/aat/300011851
parchment|paper,parchment;paper,http://vocab.getty.edu/aat/300011851;http://vocab.getty.edu/aat/300014109
parchment|paper|paper and parchment,parchment;paper,http://vocab.getty.edu/aat/300011851|http://vocab.getty.edu/aat/300014109
parchment|paper and parchment,parchment;paper,http://vocab.getty.edu/aat/300011851|http://vocab.getty.edu/aat/300014109
parchment|silk,parchment;silk,http://vocab.getty.edu/aat/300011851|http://vocab.getty.edu/aat/300243428
parchment and paper,parchment;paper,http://vocab.getty.edu/aat/300011851;http://vocab.getty.edu/aat/300014109
"parchment and paper, color illustrations",parchment;paper,http://vocab.getty.edu/aat/300011851|http://vocab.getty.edu/aat/300014109
"parchment and paper, color illustrations, music",parchment;paper,http://vocab.getty.edu/aat/300011851|http://vocab.getty.edu/aat/300014109
"parchment and paper, illustrations",parchment;paper,http://vocab.getty.edu/aat/300011851|http://vocab.getty.edu/aat/300014109
parchmetn,parchment,http://vocab.getty.edu/aat/300011851
rag paper,paper,http://vocab.getty.edu/aat/300014109
stone,stone,http://vocab.getty.edu/aat/300011176
tinted smooth paper,paper,http://vocab.getty.edu/aat/300014109
translucent parchment,parchment,http://vocab.getty.edu/aat/300011851
vellulm,parchment,http://vocab.getty.edu/aat/300011851
vellum,parchment,http://vocab.getty.edu/aat/300011851
"vellum, col. ill ",parchment,http://vocab.getty.edu/aat/300011851
"vellum, col. ill.;",parchment,http://vocab.getty.edu/aat/300011851
"vellum, color illustrations",parchment,http://vocab.getty.edu/aat/300011851
"vellum, illuminated in gold and colors",parchment,http://vocab.getty.edu/aat/300011851
vellum and paper,parchment;paper,http://vocab.getty.edu/aat/300011851|http://vocab.getty.edu/aat/300014109
wood,wood,http://vocab.getty.edu/aat/300011914
wove paper,paper,http://vocab.getty.edu/aat/300014109
,undetermined,http://vocab.getty.edu/aat/300379012
