subject_as_recorded,subfield_codes,vocab,source_authority_uri,authorized_label,structured_value
Adhan--Early works to 1800.,a--v,0,,Adhan;Early works,http://id.worldcat.org/fast/1742302;http://id.worldcat.org/fast/1411636
Adhan.,a,fast,(OCoLC)fst01742302,Adhan,http://id.worldcat.org/fast/1742302
Administration,a,fast,http://id.worldcat.org/fast/1351613,Administration,http://id.worldcat.org/fast/1351613
Administration.,a,fast,http://id.worldcat.org/fast/1351613,Administration,http://id.worldcat.org/fast/1351613
Adriatic Sea,a,0,,Mediterranean Sea--Adriatic Sea,http://id.worldcat.org/fast/1239504
Adriatic Sea.,a,0,,Mediterranean Sea--Adriatic Sea,http://id.worldcat.org/fast/1239504
Advaita,a,0,,Advaita,http://id.worldcat.org/fast/797410
Advaita,a,0,http://id.loc.gov/authorities/subjects/sh85001058,Advaita,http://id.worldcat.org/fast/797410
Advaita,a,fast,http://id.worldcat.org/fast/797410,Advaita,http://id.worldcat.org/fast/797410
Advaita--Early works to 1800,a--x,0,,Advaita;Early works,http://id.worldcat.org/fast/797410;http://id.worldcat.org/fast/1411636
Advaita--Early works to 1800,a--v,0,http://id.loc.gov/authorities/subjects/sh2007100676,Advaita;Early works,http://id.worldcat.org/fast/797410;http://id.worldcat.org/fast/1411636
Aesthetics,a,fast,http://id.worldcat.org/fast/798702,Aesthetics,http://id.worldcat.org/fast/798702
"Aesthetics, Indic",a,fast,http://id.worldcat.org/fast/798781,"Aesthetics, Indic",http://id.worldcat.org/fast/798781
"Aesthetics, Indic",a,0,http://id.loc.gov/authorities/subjects/sh85001462,"Aesthetics, Indic",http://id.worldcat.org/fast/798781
Aesthetics--Poetry,a--v,0,,Aesthetics;Poetry,http://id.worldcat.org/fast/798702;http://id.worldcat.org/fast/1423828
Affinity (Law)--Early works to 1800,a--v,0,,Affinity (Law);Early works,http://id.worldcat.org/fast/798890;http://id.worldcat.org/fast/1411636
Affinity (Law)--Early works to 1800.,a--v,0,,Affinity (Law);Early works,http://id.worldcat.org/fast/798890;http://id.worldcat.org/fast/1411636
Africa,a,fast,(OCoLC)fst01239509,Africa,http://id.worldcat.org/fast/1239509
"Africa, North--Description and travel",a--x,0,,North Africa;Voyages and travels,http://id.worldcat.org/fast/1239515;http://id.worldcat.org/fast/1169308
Africa--Description and travel--Early works to 1800,a--x--v,0,,Africa;Voyages and travels;Early works,http://id.worldcat.org/fast/1239509;http://id.worldcat.org/fast/1169308;http://id.worldcat.org/fast/1411636
Africa--Description and travel--Early works to 1800.,a--x--v,0,,Africa;Voyages and travels;Early works,http://id.worldcat.org/fast/1239509;http://id.worldcat.org/fast/1169308;http://id.worldcat.org/fast/1411636
Africa.,a,fast,(OCoLC)fst01239509,Africa,http://id.worldcat.org/fast/1239509
Agama,a,fast,http://id.worldcat.org/fast/800080,Agama,http://id.worldcat.org/fast/800080
Agama,a,0,http://id.loc.gov/authorities/subjects/sh85002033,Agama,http://id.worldcat.org/fast/800080
Aghorīs,a,0,http://id.loc.gov/authorities/subjects/sh86001295,Aghorīs,http://id.worldcat.org/fast/800288
Aghorīs,a,fast,http://id.worldcat.org/fast/800288,Aghorīs,http://id.worldcat.org/fast/800288
Agni (Hindu deity),a,0,,Agni (Hindu deity),http://id.worldcat.org/fast/800393
Agnihotra (Hindu rite),a,fast,http://id.worldcat.org/fast/800396,Agnihotra (Hindu rite),http://id.worldcat.org/fast/800396
Agnihotra (Hindu rite),a,0,http://id.loc.gov/authorities/subjects/sh85002227,Agnihotra (Hindu rite),http://id.worldcat.org/fast/800396
Agnihotra (Hindu rite)--Early works to 1800,a--v,0,,Agnihotra (Hindu rite);Early works,http://id.worldcat.org/fast/800396;http://id.worldcat.org/fast/1411636
Agniṣṭoma (Hindu rite),a,fast,http://id.worldcat.org/fast/1737600,Agniṣṭoma (Hindu rite),http://id.worldcat.org/fast/1737600
Agniṣṭoma (Hindu rite),a,0,http://id.loc.gov/authorities/subjects/sh2003007140,Agniṣṭoma (Hindu rite),http://id.worldcat.org/fast/1737600
Agriculture,a,fast,http://id.worldcat.org/fast/801355,Agriculture,http://id.worldcat.org/fast/801355
Agriculture--Early works to 1800,a--v,0,http://id.loc.gov/authorities/subjects/sh2007100872,Agriculture;Early works,http://id.worldcat.org/fast/801355;http://id.worldcat.org/fast/1411636
Agriculture--Early works to 1800.,a--v,0,http://id.loc.gov/authorities/subjects/sh2007100872,Agriculture;Early works,http://id.worldcat.org/fast/801355;http://id.worldcat.org/fast/1411636
Agriculture--Economic aspects,a--x,fast,http://id.worldcat.org/fast/801415,Agriculture--Economic aspects,http://id.worldcat.org/fast/801415
Agriculture--Economic aspects--France--History,a--x--z--x,0,,Agriculture--Economic aspects;France;History,http://id.worldcat.org/fast/801415;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/958235
Agriculture--Economic aspects--France--History.,a--x--z--x,0,,Agriculture--Economic aspects;France;History,http://id.worldcat.org/fast/801415;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/958235
Agriculture--Economic aspects--Italy,a--x--z,0,http://id.loc.gov/authorities/subjects/sh2007100846,Agriculture--Economic aspects;Italy,http://id.worldcat.org/fast/801415;http://id.worldcat.org/fast/1204565
Agriculture--Economic aspects--Italy.,a--x--z,0,http://id.loc.gov/authorities/subjects/sh2007100846,Agriculture--Economic aspects;Italy,http://id.worldcat.org/fast/801415;http://id.worldcat.org/fast/1204565
Agriculture--Economic aspects.,a--x,fast,http://id.worldcat.org/fast/801415,Agriculture--Economic aspects,http://id.worldcat.org/fast/801415
Agriculture--Religious aspects--Hinduism,a--x--x,0,http://id.loc.gov/authorities/subjects/sh2019001010,Agriculture--Religious aspects--Hinduism,http://id.worldcat.org/fast/2004291
Agriculture--Religious aspects--Hinduism,a--x--x,fast,http://id.worldcat.org/fast/2004291,Agriculture--Religious aspects--Hinduism,http://id.worldcat.org/fast/2004291
Agriculture.,a,fast,http://id.worldcat.org/fast/801355,Agriculture,http://id.worldcat.org/fast/801355
Alassio (Italy),a,0,http://id.loc.gov/authorities/names/n85039139,Italy--Alassio,http://id.worldcat.org/fast/1232716
Albenga (Italy),a,0,http://id.loc.gov/authorities/names/n80001314,Italy--Albenga,http://id.worldcat.org/fast/1207333
Albi (France),a,0,http://id.loc.gov/authorities/names/n81043405,France--Albi,http://id.worldcat.org/fast/1213039
Albigenses,a,0,http://id.loc.gov/authorities/subjects/sh85003228,Albigenses,http://id.worldcat.org/fast/804195
Albigenses,a,fast,http://id.worldcat.org/fast/804195,Albigenses,http://id.worldcat.org/fast/804195
Albigenses.,a,0,http://id.loc.gov/authorities/subjects/sh85003228,Albigenses,http://id.worldcat.org/fast/804195
Albigenses.,a,fast,http://id.worldcat.org/fast/804195,Albigenses,http://id.worldcat.org/fast/804195
Albums--Italy,a--z,0,,Albums;Italy,http://id.worldcat.org/fast/804224;http://id.worldcat.org/fast/1204565
Albums--Italy.,a--z,0,,Albums;Italy,http://id.worldcat.org/fast/804224;http://id.worldcat.org/fast/1204565
Alchemy,a,fast,http://id.worldcat.org/fast/804245,Alchemy,http://id.worldcat.org/fast/804245
Alchemy--Bibliography,a--x,0,,Alchemy--Bibliography,http://id.worldcat.org/fast/1424492
Alchemy--Bibliography,a--x,fast,http://id.worldcat.org/fast/1424492,Alchemy--Bibliography,http://id.worldcat.org/fast/1424492
Alchemy--Bibliography.,a--x,fast,http://id.worldcat.org/fast/1424492,Alchemy--Bibliography,http://id.worldcat.org/fast/1424492
Alchemy--Bibliography.,a--x,0,,Alchemy--Bibliography,http://id.worldcat.org/fast/1424492
Alchemy--Early works to 1800,a--v,0,http://id.loc.gov/authorities/subjects/sh2007100968,Alchemy;Early works,http://id.worldcat.org/fast/804245;http://id.worldcat.org/fast/1411636
Alchemy--Early works to 1800.,a--v,0,http://id.loc.gov/authorities/subjects/sh2007100968,Alchemy;Early works,http://id.worldcat.org/fast/804245;http://id.worldcat.org/fast/1411636
Alchemy--India,a--z,0,,Alchemy;India,http://id.worldcat.org/fast/804245;http://id.worldcat.org/fast/1210276
Alchemy--Manuscripts,a--v,0,,Alchemy--Manuscripts,http://id.worldcat.org/fast/804250
Alchemy--Poetry--Early works to 1800,a--v--v,0,,Alchemy;Poetry;Early works,http://id.worldcat.org/fast/804245;http://id.worldcat.org/fast/1423828;http://id.worldcat.org/fast/1411636
Alchemy--Poetry--Early works to 1800.,a--v--v,0,,Alchemy;Poetry;Early works,http://id.worldcat.org/fast/804245;http://id.worldcat.org/fast/1423828;http://id.worldcat.org/fast/1411636
Alchemy.,a,fast,http://id.worldcat.org/fast/804245,Alchemy,http://id.worldcat.org/fast/804245
Alcoholism--Religious aspects--Islam,a--x--x,fast,(OCoLC)fst00804537,Alcoholism--Religious aspects--Islam,http://id.worldcat.org/fast/804537
Alcoholism--Religious aspects--Islam--Early works to 1800,a--x--x--v,0,(uri) http://id.loc.gov/authorities/subjects/sh85003292,Alcoholism--Religious aspects;Islam;Early works,http://id.worldcat.org/fast/804530;http://id.worldcat.org/fast/979776;http://id.worldcat.org/fast/1411636
Alcoholism--Religious aspects--Islam--Early works to 1800.,a--x--x--v,0,(uri) http://id.loc.gov/authorities/subjects/sh85003292,Alcoholism--Religious aspects;Islam;Early works,http://id.worldcat.org/fast/804530;http://id.worldcat.org/fast/979776;http://id.worldcat.org/fast/1411636
Alcoholism--Religious aspects--Islam.,a--x--x,fast,(OCoLC)fst00804537,Alcoholism--Religious aspects--Islam,http://id.worldcat.org/fast/804537
Algebra,a,fast,http://id.worldcat.org/fast/804885,Algebra,http://id.worldcat.org/fast/804885
Algebra--Early works to 1800,a--v,0,http://id.loc.gov/authorities/subjects/sh2007100984,Algebra;Early works,http://id.worldcat.org/fast/804885;http://id.worldcat.org/fast/1411636
Algebra--Early works to 1800.,a--v,0,http://id.loc.gov/authorities/subjects/sh2007100984,Algebra;Early works,http://id.worldcat.org/fast/804885;http://id.worldcat.org/fast/1411636
Algebra.,a,fast,http://id.worldcat.org/fast/804885,Algebra,http://id.worldcat.org/fast/804885
Aljamía,a,fast,(OCoLC)fst00805361,Aljamía,http://id.worldcat.org/fast/805361
Aljamía--Texts--Early works to 1800,a--v--v,0,,Aljamía;Texts;Early works,http://id.worldcat.org/fast/805361;http://id.worldcat.org/fast/1423705;http://id.worldcat.org/fast/1411636
Allahabad (India),a,0,http://id.loc.gov/authorities/names/n80049520,India--Allahabad,http://id.worldcat.org/fast/1278576
Allahabad (India)--Early works to 1800,a--v,0,,India--Allahabad;Early works,http://id.worldcat.org/fast/1278576;http://id.worldcat.org/fast/1411636
Allegories,a,fast,http://id.worldcat.org/fast/805512,Allegories,http://id.worldcat.org/fast/805512
Allegories,a,0,http://id.loc.gov/authorities/subjects/sh85003641,Allegories,http://id.worldcat.org/fast/805512
Allegory,,openn-keywords,,Allegory,http://id.worldcat.org/fast/805516
Allersberg (Germany),a,0,http://id.loc.gov/authorities/names/n78042928,Germany--Allersberg,http://id.worldcat.org/fast/1203587
Almucantar--Early works to 1800,a--v,0,,Almucantar;Early works,http://id.worldcat.org/fast/805884;http://id.worldcat.org/fast/1411636
Almucantar--Early works to 1800.,a--v,0,,Almucantar;Early works,http://id.worldcat.org/fast/805884;http://id.worldcat.org/fast/1411636
Alphabet books,a,fast,(OCoLC)fst00805964,Alphabet books,http://id.worldcat.org/fast/805964
Alphabet books,a,0,,Alphabet books,http://id.worldcat.org/fast/805964
Alphabet--Religious aspects--Hinduism,a--x--x,fast,http://id.worldcat.org/fast/805954,Alphabet--Religious aspects--Hinduism,http://id.worldcat.org/fast/805954
Alphabet--Religious aspects--Hinduism,a--x--x,0,http://id.loc.gov/authorities/subjects/sh85003823,Alphabet--Religious aspects--Hinduism,http://id.worldcat.org/fast/805954
Alphabets,a,fast,http://id.worldcat.org/fast/805974,Alphabets,http://id.worldcat.org/fast/805974
Alphabets--Specimens,a--v,0,,Alphabets;Specimens,http://id.worldcat.org/fast/805974;http://id.worldcat.org/fast/1423861
Alphabets--Specimens.,a--v,0,,Alphabets;Specimens,http://id.worldcat.org/fast/805974;http://id.worldcat.org/fast/1423861
Alphabets.,a,fast,http://id.worldcat.org/fast/805974,Alphabets,http://id.worldcat.org/fast/805974
Altars,a,fast,http://id.worldcat.org/fast/806095,Altars,http://id.worldcat.org/fast/806095
Altars--India,a--z,0,,Altars;India,http://id.worldcat.org/fast/806095;http://id.worldcat.org/fast/1210276
Amalfi (Italy)--History--15th century,a--x--y,0,,Italy--Amalfi;History;Fifteenth century,http://id.worldcat.org/fast/1204570;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/923962
Amalfi (Italy)--History--15th century.,a--x--y,0,,Italy--Amalfi;History;Fifteenth century,http://id.worldcat.org/fast/1204570;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/923962
Ambassadors,a,fast,http://id.worldcat.org/fast/806713,Ambassadors,http://id.worldcat.org/fast/806713
Ambassadors--France--16th century,a--z--y,0,,Ambassadors;France;Sixteenth century,http://id.worldcat.org/fast/806713;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1119851
Ambassadors--France--16th century.,a--z--y,0,,Ambassadors;France;Sixteenth century,http://id.worldcat.org/fast/806713;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1119851
Ambassadors--Italy--Florence--16th century,a--z--z--y,0,,Ambassadors;Italy--Florence;Sixteenth century,http://id.worldcat.org/fast/806713;http://id.worldcat.org/fast/1204699;http://id.worldcat.org/fast/1119851
Ambassadors--Italy--Florence--16th century.,a--z--z--y,0,,Ambassadors;Italy--Florence;Sixteenth century,http://id.worldcat.org/fast/806713;http://id.worldcat.org/fast/1204699;http://id.worldcat.org/fast/1119851
Ambassadors--Italy--Venice--16th century,a--z--z--y,0,,Ambassadors;Italy--Venice;Sixteenth century,http://id.worldcat.org/fast/806713;http://id.worldcat.org/fast/1204473;http://id.worldcat.org/fast/1119851
Ambassadors--Italy--Venice--16th century.,a--z--z--y,0,,Ambassadors;Italy--Venice;Sixteenth century,http://id.worldcat.org/fast/806713;http://id.worldcat.org/fast/1204473;http://id.worldcat.org/fast/1119851
Ambassadors.,a,fast,http://id.worldcat.org/fast/806713,Ambassadors,http://id.worldcat.org/fast/806713
Ameglia (Italy),a,0,http://id.loc.gov/authorities/names/nr94037511,Italy--Ameglia,http://id.worldcat.org/fast/1270599
America,a,fast,http://id.worldcat.org/fast/1239786,America,http://id.worldcat.org/fast/1239786
America.,a,fast,http://id.worldcat.org/fast/1239786,America,http://id.worldcat.org/fast/1239786
Amulets,,openn-subjects,,Amulets,http://id.worldcat.org/fast/808063
Amulets (Hinduism),a,fast,http://id.worldcat.org/fast/808067,Amulets (Hinduism),http://id.worldcat.org/fast/808067
Amulets (Hinduism),a,0,http://id.loc.gov/authorities/subjects/sh85004691,Amulets (Hinduism),http://id.worldcat.org/fast/808067
Amulets--India,a--z,0,,Amulets;India,http://id.worldcat.org/fast/808063;http://id.worldcat.org/fast/1210276
Ancestor worship,a,fast,http://id.worldcat.org/fast/808464,Ancestor worship,http://id.worldcat.org/fast/808464
Ancestor worship--Hinduism,a--x,0,http://id.loc.gov/authorities/subjects/sh85004852,Ancestor worship--Hinduism,http://id.worldcat.org/fast/808468
Ancestor worship--Hinduism,a--x,fast,http://id.worldcat.org/fast/808468,Ancestor worship--Hinduism,http://id.worldcat.org/fast/808468
Ancestor worship--Hinduism--Early works to 1800,a--x--x,0,,Ancestor worship--Hinduism;Hinduism;Early works,http://id.worldcat.org/fast/808468;http://id.worldcat.org/fast/957121;http://id.worldcat.org/fast/1411636
Ancestor worship--India,a--z,0,,Ancestor worship;India,http://id.worldcat.org/fast/808464;http://id.worldcat.org/fast/1210276
Ancona (Italy : Province)--History,a--x,0,,Italy--Ancona (Province);History,http://id.worldcat.org/fast/1334218;http://id.worldcat.org/fast/958235
Ancona (Italy : Province)--History.,a--x,0,,Italy--Ancona (Province);History,http://id.worldcat.org/fast/1334218;http://id.worldcat.org/fast/958235
Ancona (Italy)--Commerce--16th century,a--x--y,0,,Italy--Ancona;Commerce;Sixteenth century,http://id.worldcat.org/fast/1207342;http://id.worldcat.org/fast/869279;http://id.worldcat.org/fast/1119851
Ancona (Italy)--Commerce--16th century.,a--x--y,0,,Italy--Ancona;Commerce;Sixteenth century,http://id.worldcat.org/fast/1207342;http://id.worldcat.org/fast/869279;http://id.worldcat.org/fast/1119851
"Ancona (Italy)--History, Military",a--x,0,,"Italy--Ancona;History, Military",http://id.worldcat.org/fast/1207342;http://id.worldcat.org/fast/1353231
"Ancona (Italy)--History, Military.",a--x,0,,"Italy--Ancona;History, Military",http://id.worldcat.org/fast/1207342;http://id.worldcat.org/fast/1353231
Ancona (Italy)--History--15th century,a--x--y,0,,Italy--Ancona;History;Fifteenth century,http://id.worldcat.org/fast/1207342;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/923962
Ancona (Italy)--History--15th century.,a--x--y,0,,Italy--Ancona;History;Fifteenth century,http://id.worldcat.org/fast/1207342;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/923962
Ancona (Italy)--History--16th century,a--x--y,0,,Italy--Ancona;History;Sixteenth century,http://id.worldcat.org/fast/1207342;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1119851
Ancona (Italy)--History--16th century.,a--x--y,0,,Italy--Ancona;History;Sixteenth century,http://id.worldcat.org/fast/1207342;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1119851
"Ancona (Italy)--History--Siege, 1174",a--x--y,0,,Italy--Ancona;History,http://id.worldcat.org/fast/1207342;http://id.worldcat.org/fast/958235
"Ancona (Italy)--History--Siege, 1174.",a--x--y,0,,Italy--Ancona;History,http://id.worldcat.org/fast/1207342;http://id.worldcat.org/fast/958235
"Ancona (Italy)--History--Siege, 1383",a--x--y,0,,Italy--Ancona;History,http://id.worldcat.org/fast/1207342;http://id.worldcat.org/fast/958235
"Ancona (Italy)--History--Siege, 1383.",a--x--y,0,,Italy--Ancona;History,http://id.worldcat.org/fast/1207342;http://id.worldcat.org/fast/958235
Andalusia (Spain)--History--13th century--Sources,a--x--y--v,0,,Spain--Andalusia;History;Thirteenth century;Sources,http://id.worldcat.org/fast/1217626;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1150138;http://id.worldcat.org/fast/1423900
Andalusia (Spain)--History--13th century--Sources.,a--x--y--v,0,,Spain--Andalusia;History;Thirteenth century;Sources,http://id.worldcat.org/fast/1217626;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1150138;http://id.worldcat.org/fast/1423900
Andenne (Belgium)--Church history,a--x,0,,Belgium--Andenne;Church history,http://id.worldcat.org/fast/1253903;http://id.worldcat.org/fast/1411629
Andenne (Belgium)--Church history.,a--x,0,,Belgium--Andenne;Church history,http://id.worldcat.org/fast/1253903;http://id.worldcat.org/fast/1411629
Anecdotes,a,fast,(OCoLC)fst00808608,Anecdotes,http://id.worldcat.org/fast/808608
Anecdotes--Arab countries--Early works to 1800,a--z--v,0,,Anecdotes;Arab countries;Early works,http://id.worldcat.org/fast/1423876;http://id.worldcat.org/fast/1240128;http://id.worldcat.org/fast/1411636
Angels,a,fast,http://id.worldcat.org/fast/808746,Angels,http://id.worldcat.org/fast/808746
Angels--Christianity--History of doctrines--Early works to 1800,a--x--x--v,0,,Angels--Christianity;Christianity;Early works,http://id.worldcat.org/fast/1766563;http://id.worldcat.org/fast/859599;http://id.worldcat.org/fast/1411636
