title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label
al-Bayān wa al-tidhkār fī ṣinʻat ʻamal al-ghubār,البيان و التذكار في صنعة عمل الغبار.,,,al-Bayān wa al-tidhkār fī ṣinʻat ʻamal al-ghubār
Al Beharistan,,,,Al-Beharistan
Alchemical compendium,,,,Alchemical miscellany
Alchemical miscellany,,,,Alchemical miscellany
Aldobrando Delci power of attorney,,,,Power of attorney
Alessandri family power of attorney,,,,Power of attorney
Alessandro Piccolomini nomination,,,,Nomination
Alexander ...etc,,,,Alexander
Alfonso Petrucci property instructions,,,,Instructions
Alfonso Petrucci public instrument,,,,Instrument
Algorismus,,,,Algorismus
"Algorismus, cum glosa / John of Sacro Bosco",,,,Algorismus
Algorismus ... etc,,,,Algorismus
al-Hidāyah,الهداية.,Hidāyah fī sharḥ al-Bidāyah,هداية في شرح البداية,Hidāyah fī sharḥ al-Bidāyah
al-Juzʼ al-awwal,الجزء الاول.,Qurʼan.,قرآن.,Qurʼan
al-Juzʼ al-ḥādī wa-al-ʻishrūn,الجزء الحادي والعشرون.,Qurʼan.,قرآن.,Qurʼan
al-Juzʼ al-ḥādī ʻashr,الجزء الحادي عشر.,Qurʼan.,قرآن.,Qurʼan
al-Juzʼ al-khāmis wa-al-ʻishrūn,الجزء الخامس والعشرون.,Qurʼan.,قرآن.,Qurʼan
al-Juzʼ al-khāmis ʻashar min al-rabʻah al-sharīfah,الجزء الخامس عشر من الربعة الشريفة.,Qurʼan.,قرآن.,Qurʼan
al-Juzʼ al-rābiʻ,الجزء الرابع.,Qurʼan.,قرآن.,Qurʼan
al-Juzʼ al-rābiʻ wa-al-ʻishrūn,الجزء الرابع والعشرون.,Qurʼan.,قرآن.,Qurʼan
al-Juzʼ al-rābiʻ ʻashar,الجزء الرابع عشر.,Qurʼan.,قرآن.,Qurʼan
al-Juzʼ al-rābiʻ ʻashar min al-rabʻah al-sharīfah,الجزء الرابع عشر من الربعة الشريفة.,Qurʼan.,قرآن.,Qurʼan
al-Juzʼ al-sābiʻ wa-al-ʻishrūn,الجزء السابع والعشرون.,Qurʼan.,قرآن.,Qurʼan
al-Juzʼ al-sādis,الجزء السادس.,Qurʼan.,قرآن.,Qurʼan
al-Juzʼ al-sādis ʻashar,الجزء السادس عشر.,Qurʼan.,قرآن.,Qurʼan
al-Juzʼ al-tāsiʻ,الجزء التاسع.,Qurʼan.,قرآن.,Qurʼan
al-Juzʼ al-tāsiʻ ʻashar,الجزء التاسع عشر.,Qurʼan.,قرآن.,Qurʼan
al-Juzʼ al-thalāthūn,الجزء الثلاثون.,Qurʼan.,قرآن.,Qurʼan
al-Juzʼ al-thāmin,الجزء الثامن.,Qurʼan.,قرآن.,Qurʼan
al-Juzʼ al-thāmin wa-al-ʻishrūn,الجزء الثامن والعشرون.,Qurʼan.,قرآن.,Qurʼan
al-Juzʼ al-thāmin ʻashar,الجزء الثامن عشر.,Qurʼan.,قرآن.,Qurʼan
al-Juzʼ al-thānī wa-al-ʻishrūn,الجزء الثاني والعشرون.,Qurʼan.,قرآن.,Qurʼan
al-Kullīyāt,الكليات.,Qānūn fī al-ṭibb.,قانون في الطب.,Qānūn fī al-ṭibb
Almi viri Francisci Senensis Vita miraculorum fertilis,,,,Almi viri Francisci Senensis vita
al-Mujallad al-rābiʻ min al-mathnawī al-maʻnawī al-hādī ilá ṣirāṭ al-sawī,المجلّد الرابع من المثنوي المعنوي الهادي الى صراط السوي.,Mas̲navī.,مثنوى.,Mas̲navī
al-Mulakhkhaṣ fī al-hayʼah,الملخص في الهيئة.,Sharḥ al-Jaghmīnī,شرح الجغميني,Sharḥ al-Jaghmīnī
al-Niṣf al-thānī min juzʼ aḥad ʻashar,النصف الثاني من جزء احد عشر.,Qurʼan.,قرآن.,Qurʼan
Alphabetical index to Medici (?) account book,,,,Account book
Alphabetum malarum mulierum ... etc,,,,Alphabetum malarum mulierum
al-Qāmūs al-muḥīṭ,القاموس المحيط.,,,al-Qāmūs al-muḥīṭ
al-Qurʼān,القرآن.,Qurʼan.,قرآن.,Qurʼan
al-Qurʼān,القرآن.,Qurʼan.,قرآن,Qurʼan
al-Qurʼān,القرآن.,Qurʼan.,,Qurʼan
al-Qurʼān,القرآن,Qurʼan.,قرآن.,Qurʼan
al-Shifāʼ al-sharīf,الشفاء الشريف.,Shifāʼ fī taʻrīf ḥuqūq al-Muṣṭafá,شفاء في تعريف حقوق المصطفى,Shifāʼ fī taʻrīf ḥuqūq al-Muṣṭafá
Altar Card with the Deposition from the Cross,,,,Altar card
"Altera apologia pro rege christianissimo contra caesarianos, in qua de causis belli inter regem et caesarem recens orti brevissime et verissime agitur",,,,Apologia pro rege christianissimo contra caesarianos
al-Thānī min al-ṣiḥāḥ,الثاني من الصحاح.,Ṣiḥāḥ.,صحاح.,Ṣiḥāḥ
Alvise Mocenigo I notice,,,,Notice
Amadís de Gaula,,,,Amadís de Gaula
A Myrour to lewde men and wymmen,,,,A Myrour to Lewde Men and Wymmen
Andrea Amadio botanical illustrations,,,,Illustrations
Andrea di Nanni Todeschini Piccolomini legal document,,,,Legal documents
Andrea di Sommariva power of attorney,,,,Power of attorney
André Blondet agreement,,,,Agreement
Angiola Pagani power of attorney,,,,Power of attorney
Anglezarke indenture,,,,Indenture
"An inventary of all and singular the goodes and chattells and debtes of John Ffox, late of Chacumbe in the countie of Northampton, gentleman deceased",,,,Inventory
Anne de Montmorency nomination,,,,Nomination
Annotata in libellos Aristotelis Parva naturalia appellatos,,,,Parva naturalia;Commentary on Parva naturalia
Annotated copy of Tacitus' Germania,,,,Germania
Annotated copy of Terence's works,,,,Commentary on Terence
Annotations,,,,Annotations
"Annuntiatio Sacri Jubilaei instantis anni centesimi, et declaratio quod prosequenda illius plenissima indulgentia a christifidelibus fieri debeat",,,,Annuntiatio Sacri Jubilaei
Anthems; known as the Gostling manuscript,,,,Anthems
Anthology,,,,Anthology
"Antiphon, psalm, and versicle for the aspersion of holy water",,,,Antiphonary;Psalm;Versicle
Antiphonal,,,,Antiphonary
"Antiphonal, Temporal (Summer)",,,,Antiphonary
"Antiphonal, Temporal (Winter)",,,,Antiphonary
Antiphonal leaf with historiated initial leaf D depicting Christ healing the blind,,,,Antiphonary
Antiphonal Music,,,,Antiphonary
Antiphonal with Historiated Initial 'D',,,,Antiphonary
Antiphonari,,Antiphonary (Manuscript Kenneth Spencer Research Library. MS J4:1),,Antiphonary
Antiphonarium,,Antiphonal,,Antiphonary
Antiphonary,,Antiphonary  (Manuscript Kenneth Spencer Research Library. MS J5:1),,Antiphonary
Antiphonary,,,,Antiphonary
"Antiphonary, diurnal (Ambrosian Rite)",,,,Antiphonary
"Antiphonary, Dominican use",,,,Antiphonary
"Antiphonary, Feast of Saint Bartholomew",,,,Antiphonary
Antiphonary and lectionary,,,,Antiphonary;Lectionary
Antiphonary for Christmas,,,,Antiphonary
Antiphonary for the feast of a virgin,,,,Antiphonary
Antiphonary fragment,,,,Antiphonary
Antiphonary fragments,,,,Antiphonary
Antiphonary leaf with historiated D depicting St. John the Baptist,,,,Antiphonary
"Antiphonary - Pentecost, three days following",,,,Antiphonary
Antiphoner,,,,Antiphonary
"Antiphoner, Gradual",,,,Antiphonary;Gradual
Antiquitates Judaicae,,,,Antiquitates judaicae
"Antoninus Florentinus: Summa Sacrae Theologiae, luris Pontifici et Caesarei",,,,Summa Theologiae
Antonio Acciaioli will,,,,Will
Antonio Cilli deed,,,,Deed
Antonio Cocchi Donati will,,,,Will
Antonio de' Grifoni power of attorney,,,,Power of attorney
Antonio Mannucci power of attorney,,,,Power of attorney
Antonio Maria d'Enea di Giacomo Todeschini Piccolomini transcript of emancipation,,,,Transcript of emancipation
Anwār al-tanzīl wa-asrār al-taʼwīl,انوار التنزيل واسرار التأويل.,Anwār al-tanzīl wa-asrār al-taʼwīl.,انوار التنزيل واسرار التأويل.,Anwār al-tanzīl wa-asrār al-taʼwīl
Apocalypse,,,,Apocalypse
Apologia cuiusdam regiae famae studiosi,,Apologia cuiusdam regiae famae studiosi,,Apologia cuiusdam regiae famae studiosi
Apparatus domini Bernardi Raymundi in sexto libro decretalium,,,,Decretales Gregorii IX
Apparatus in quinque libros Decretalium,,,,Apparatus super libros Decretalium
Apparatus super constitutionibus Concilii Viennensis,,,,Constitutionibus concilii viennensis
Appointment of attorney-at-law,,,,Appointment
Appointment of executor,,,,Appointment
Appointment of legal representatives,,,,Appointment
Appointment of mediator,,,,Appointment
Appointment of mediators,,,,Appointment
Arcangelo Paffiere will,,,,Will
Archdiocese of Siena nomination,,,,Nomination
Arezzo Laude,,,,Arezzo Laude
Argumenta,,,,Arguments
Armenian,,,,Armenian fragment
Armorial,,,,Armorial
Arrigucci family papers,,,,Family documents
Ars epistolandi ... etc,,,,Ars epistolandi
Ars poetica,,,,Ars poetica
Ars Poetica (Art of Poetry); Carmen seculare; Epistolae (Epistles); Odes,,,,Ars poetica;Carmen seculare;Epistles;Odes
Ars Poetica and Epistulae,,,,Ars poetica;Epistles
Arte della lana legal decision,,,,Legal decision
Ascanio Maria Sforza notarial document,,,,Notarial documents
Ascetic miscellany,,,,Ascetic miscellany
"Assise del alta corte del regno di Hierusalem et Cypro, tradutte da francese in lingua italiana, de ordine dela serenissimo ducal signoria de Venetia /",,Livre des assises,,Livre des assises
"Assise del alta corte del regno di Hierusalem et Cypro, tradutte da francese m'lingua italiana, de ordine dela serenissimo ducal signoria de Venetia /",,Livre des assises,,Livre des assises
Assise of all manner of breade,,,,Assise of all manner of breade
Assizes of Romania,,Liber consuetudinum Imperii Romaniae.,,Liber consuetudinum Imperii Romaniae
Astronomical and astrological tables,,,,Astronomy
Astronomical anthology,,,,Astronomy
Astronomical compendium,,,,Astronomy
Astronomical fragments,,,,Astronomy
Astronomical treatises and tables,,,,Astronomy
Astronomy lecture notes,,,,Astronomy
Auctoritates logicae veteris,,,,Auctoritates logicae veteris
August calendar labor,,,,Calendar;August
Augustinian missal (use of Rome),,Missal (Augustinian),,Missal
Aureli Augustini beatissimi de civitate Dei,,De civitate Dei (De Valle),,De civitate Dei
Aurora,,,,Aurora
"Axiomata, adagia, et dicteria juris",,,,"Axiomata, adagia, et dicteria juris"
Baldinus Ceccharini legal claim,,,,Legal claim
Balia grant,,,,Grant
Balia of Siena grant,,,,Grant
Balia of Siena privilege,,,,Privileges
"Bartholomaeus de Sancto Concordio, Summa de Casibus Conscientiae (Incunable Leaf)",,,,Summa de casibus conscientiae
Bartolomea Villani deed,,,,Deed
Bartolomeo Chellini and Giovanfrancesco de' Carli act of exchange,,,,Act of exchange
Bartolomeo di Piero power of attorney,,,,Power of attorney
Barzizza and other works,,,,Works
Basis grammatice,,,,Basis grammatice
Batista Piccolomini petition,,,,Petition
Beatissimi Ieronimi presbiteri in sistum picthagoricum,,,,In sistum picthagoricum
Bellum Catilinae,,,,De coniuratione Catilinae
Benedetto degli Armaleoni power of attorney,,,,Power of attorney
Benedictional?,,,,Benedictional
Benedictiones episcopales ... etc,,,,Benedictiones episcopales
Beneventan fragment 3. Apocrypha,,,,Apocrypha
Bernardo Carnesecchi legal decision,,,,Legal decision
Bernardo di San Miniato petition for tax adjustment,,,,Tax adjustment
Bernardo di Ventura power of attorney,,,,Power of attorney
Bertin family documents,,,,Family documents
"Beschreibung des Lanndtags welcher von dem durchleuchtigen hochgebornnen Fürsten und Herrn, Herrn Wilhelmen Pfaltzgrauen bei Rhein, Herzogen in Obern unnd Nidern Bairn auf den 27 Tag Novembers geen Münnchen aufgeschriben, auch daselbs gehallten unnd was damals auf irer f. ge. Proposition durch gemijne Stennd dazemal versambleter Lanndschafft von Tag zu Tag gehanndlet unnd enntlich beschlossen worden ist, anno 1583, volgt hochermellts unnsers ge. f. unnd Herrns genedig Erforderung an alle Lanndsessen auffganngen ... etc",,,,Beschreibung des Lanndtags
Beschreibung dess Lanndtags der auff Absterben weillendt des durchleuchtigen hochgebornnen Fürstenn und Herrn Herzog Albrechts in Bayrn hochloblicher Gedechtnus von seiner f.g. Son dem auch durchleuchtigen hochgebornnen Fürsten und Herrn Hertzog Wilhelmen alss angehendem ainigem regierenden Lanndsfürsten auf den dritten Tag Decembris geen Minchen ausgeschriben,,,,Beschreibung des Lanndtags
Bet Elohim,,,,Bet elohim
Betrothal and Marriage Ritual (perhaps from a Missal),,,,Betrothal and marriage ritual
Betta Giubbettari power of attorney,,,,Power of attorney
Bhāgavatapurāṇa,بهگوت پوران.,Puranas.,,Puranas
Bible,,Bible.,,Bible
Bible,,,,Bible
"Bible, Atlantic Bible",,,,Bible
"Bible, Epistles",,,,Bible;Epistles
"Bible, glossed Epistles of Paul",,,,Bible;Epistles
"Bible, glossed Mark",,,,Bible;Gospel of Mark
"Bible, glossed minor prophets; Missal",,,,Bible;Minor prophets;Missal
"Bible, Gospel of John",,,,Bible;Gospel of John
"Bible, Gospels",,,,Bible;Gospels
"Bible, II Kings 13:5 - II Kings 15:10",,,,Bible;Kings
"Bible, Matthew",,,,Bible;Gospel of Matthew
"Bible, N.T.",,,,Bible;New Testament
"Bible, N.T., Acts",,,,Bible;New Testament;Acts
"Bible, N. T., Acts of the Apostles",,,,Bible;New Testament;Acts of the Apostles
"Bible, N.T., Apocrypha",,,,Bible;New Testament;Apocrypha
"Bible, N.T., Epistles of James, Peter, and the First Epistle of John",,,,Bible;New Testament;Epistles
"Bible, N.T., Ezekiel",,,,Bible;New Testament;Ezekiel
"Bible, N. T. , glossed",,,,Bible;New Testament
"Bible, N.T., Gospel of John",,,,Bible;New Testament;Gospel of John
"Bible, N.T., Gospel of Matthew, glossed",,,,Bible;New Testament;Gospel of Matthew
"Bible, N.T., John",,,,Bible;New Testament;Gospel of John
"Bible, N.T., Luke",,,,Bible;New Testament;Gospel of Luke
"Bible, N. T., Mark",,,,Bible;New Testament;Gospel of Mark
"Bible, N.T., Numbers",,,,Bible;New Testament;Numbers
"Bible, N.T., Revelations",,,,Bible;New Testament;Revelations
"Bible, N.T., Timothy",,,,Bible;New Testament;Timothy
"Bible, O.T.",,,,Bible;Old Testament
"Bible, O. T.",,,,Bible;Old Testament
"Bible, O. T., Ecclesiasticus",,,,Bible;Old Testament;Ecclesiasticus
"Bible, O.T., Genesis, glossed",,,,Bible;Old Testament;Genesis
"Bible, O.T., Psalter",,,,Bible;Old Testament;Psalter
"Bible, Tours",,,,Bible
"Bible, with glossa ordinaria",,,,Bible;Glossa ordinaria
Bible; Notes on a church synod,,,,Bible;Notes on a church synod
Bible: Book of Tobit,,,,Bible;Tobit
Bible: Colossians 4 - Thessalonians 1,,,,Bible;Epistles
Bible: Ecclesiastes,,,,Bible;Ecclesiastes
Bible: Ecclesiastes 16:18 - 25:2,,,,Bible;Ecclesiastes
Bible: Esther 16:10 - end; Jerome's Prologue to Esdra; excerpts from I Esdra and II Esdra,,,,Bible
"Bible: Exodus 22:28 - 23:3,11-15",,,,Bible;Exodus
"Bible: Ezra, Chapter 6",,,,Bible;Ezra
"Bible: Ezra 2() - 6:4; Tobias, Prologue 1:1-4, 23",,,,Bible
Bible: Hebrews 1:1-9,,,,Bible;Hebrews;Epistles
Bible: Jeremiah 5:27 - 6:27,,,,Bible;Jeremiah
Bible: Job 35:10-37:21,,,,Bible;Job
Bible: Judith 5:2 - 8:1; Job 1:15 - 6:29,,,,Bible;Judith;Job
Bible: Judith 8:1 - 11:10,,,,Bible;Judith
Bible: Kings III 22:54 - Kings IV 1:3,,,,Bible;Kings
Bible: Luke 15:15-27; 16:19 - 17:2,,,,Bible;Gospel of Luke
Bible: Mark and Prologue to Luke,,,,Bible;Gospel of Mark
Bible: Numbers,,,,Bible;Numbers
Bible: Romans,,,,Bible;Romans;Epistles
Bible. Latin. Vulgate. 12--,,,,Bible
Bible Commentary,,,,Bible commentary
Bible Commentary: Rabanus Maurus on Deuteronomy,,,,Bible commentary
"Bible Commentary on the Book of Job, Chapter 10",,,,Bible commentary
"Bible Concordance, Conrad of Halberstadt's",,,,Bible commentary
Bible Concordance: Luc - Lus,,,,Biblical concordance
Bible du XIIIe siècle,,,,Bible
Bible historiale,,,,Bible
Bible in mnemonic form,,,,Bible
Bible leaf,,Bible.,,Bible
Bible leaf on uterine vellum,,,,Bible
Bible study guide,,,,Bible
Biblia,,Bible.,,Bible
Biblia pequeña,,,,Bible
Biblia sacra,,Bible.,,Bible
Biblia Sacra Latina,,Bible.,,Bible
"Biblia sacra Latina, liber Prophetarium",,Bible.,,Bible;Prophets
Biblia sacra manuscripta,,Bible.,,Bible
Biblia Veteris et Novi Testamenti,,,,Bible;Old Testament;New Testament
Biblical Commentary,,,,Bible commentary
Biblical commentary,,,,Bible commentary
Biblical commentary on the Old Testament--I Kings - Esther,,,,Bible commentary
"Biblical commentary on the Pentateuch (Exodus, Leviticus, Numbers)",,,,Bible commentary
Biblical genealogies,,,,Bible genealogies
Biblical History,,,,Bible history
Bifolium from a book of hours,,,,Book of hours
Bifolium from Liber completus in iudiciis stellarum,,Bāriʻ fī aḥkām al-nujūm.,,Bāriʻ fī aḥkām al-nujūm
Bill of exchange dispute,,,,Bill of exchange
Bill of sale of land,,,,Bill of sale
Bill of sale of vineyard land,,,,Bill of sale
Biography of Petrarch; Glosse de libris meteororum (Gloss on the Book of Meteors); Glosse de libris meteororum IV (Gloss on the Book of Meteors IV),,,,Miscellany
Bishop,,,,Illuminated initial
Bishop kneeling in prayer,,,,Miniature
Bishop of Osma legal instrument,,,,Legal documents
Bishop Pietro Flores document,,,,Ecclesiastical document
Bisnu Purān,بسن پران.,Puranas.,,Puranas
Blancandin et l'Orgueilleuse d'Amour,,Blancandin.,,Blancandin
Bohun Bible,,,,Bible
Bonum universale de apibus,,,,Bonum universale de apibus
Book mark,,,,Book mark
Book of deeds to various territorial acquisitions,,,,Deed
Book of hours,,Book of hours (Manuscript Kenneth Spencer Research Library. MS A10),,Book of hours
Book of hours,,Book of hours (Manuscript Kenneth Spencer Research Library. MS 9/1:A15),,Book of hours
Book of hours,,Book of hours (Manuscript. Kenneth Spencer Research Library. MS 18E:1),,Book of hours
Book of hours,,Book of hours (Manuscript Kenneth Spencer Research Library. MS A6),,Book of hours
Book of hours,,Book of hours (Manuscript Kenneth Spencer Research Library. MS A16),,Book of hours
Book of Hours,,,,Book of hours
Book of hours,,,,Book of hours
"Book of Hours, excerpt Hours of the Cross",,,,Book of hours
"Book of Hours, in Latin and French (printed)",,,,Book of hours
"Book of Hours, Psalms from Hours of the Virgin",,,,Book of hours;Psalter
"Book of Hours, Use of Besançon?",,,,Book of hours
"Book of Hours, Use of Bourges",,,,Book of hours
"Book of Hours, use of Bourges",,,,Book of hours
"Book of Hours, Use of Châlons",,,,Book of hours
"Book of Hours, Use of Coutances",,,,Book of hours
"Book of Hours, use of Dol",,,,Book of hours
"Book of Hours, use of Evreux",,,,Book of hours
"Book of Hours, use of Paris",,,,Book of hours
"Book of Hours, use of Poitiers",,,,Book of hours
"Book of Hours, use of Rennes",,,,Book of hours
"Book of Hours, use of Rome",,,,Book of hours
"Book of Hours, Use of Rome, Heures Mixtes",,,,Book of hours
"Book of Hours, use of Rome; Litany and Prayers",,,,Book of hours;Litany;Prayers
"Book of hours, use of Rouen",,,,Book of hours
"Book of Hours, Use of Sarum (""The John Browne Hours"")",,,,Book of hours;John Brown Hours
"Book of Hours, Use of Soissons?",,,,Book of hours
"Book of Hours, use of Tours",,,,Book of hours
"Book of Hours, Use of Troyes",,,,Book of hours
"Book of Hours, Use of Utrecht",,,,Book of hours
"Book of Hours, Use of Utrecht; Scenes from the Life of Christ",,,,Book of hours;Scenes from the life of Christ
Book of Hours; Miniature,,,,Book of hours
"Book of Hours: Penitential Psalms 31, 50",,,,Book of hours
Book of Hours (Bifolium),,,,Book of hours
Book of Hours (in French),,,,Book of hours
Book of hours (Manuscript Kenneth Spencer Research Library. MS 9/1:C4),,,,Book of hours
Book of hours (Smith College Ms. 254),,,,Book of hours
Book of hours (Smith College Ms. 255),,,,Book of hours
Book of hours (Smith College Ms. 274),,,,Book of hours
Book of hours (Smith College Ms.  288 ),,,,Book of hours
Book of Hours (Use of Dol.),,,,Book of hours
Book of hours bifolium,,,,Book of hours
Book of Hours by the Master of the Dark Eyes,,,,Book of hours
Book of hours calendar leaf,,,,Book of hours
Book of Hours for Sarum Use,,,,Book of hours
Book of hours fragment,,,,Book of hours
Book of hours leaf,,,,Book of hours
Book of Hours or Psalter,,,,Book of hours;Psalter
"Book of the Gospels, incomplete",,Bible.,,Bible;Gospels
Book on the configuration of the orb,,,,Book on the configuration of the orb
Books III-V of al-Qānūn fī al-ṭibb,,Qānūn fī al-ṭibb.,قانون في الطب.,Qānūn fī al-ṭibb
Books II-V of al-Qānūn fī al-ṭibb,,Qānūn fī al-ṭibb.,قانون في الطب.,Qānūn fī al-ṭibb
Border detail fragment,,,,Illuminated initial
Border Fragment,,,,Border fragment
Boundary dispute,,,,Dispute
Brancacci family documents,,,,Family documents
Breviary,,,,Breviary
"Breviary, 17th Sunday after Pentecost and the following four days",,,,Breviary
"Breviary, 1st-2nd Sunday of Advent",,,,Breviary
"Breviary, 3rd Sunday of November and 20th day after Pentecost",,,,Breviary
"Breviary, after the 1st Sunday in Lent and Ember Saturday, with neumes",,,,Breviary
"Breviary, Aug. 6-7",,,,Breviary
"Breviary, Cistercian use",,,,Breviary
"Breviary, Feast of Saint Lawrence, Aug. 10",,,,Breviary
"Breviary, noted",,,,Breviary
"Breviary, Octave of the Epiphany (Jan. 13), with commemoration of Saints Remigius and Hilary",,,,Breviary
"Breviary, Psalter",,,,Breviary;Psalter
"Breviary, Saint Michael the Archangel, Sept. 29",,,,Breviary
"Breviary, Susanna, Aug. 11",,,,Breviary
"Breviary, Use of Ghent",,,,Breviary
"Breviary, Visitation, July 2nd",,,,Breviary
"Breviary, with neumes",,,,Breviary
"Breviary (non-Roman), Saints Firminus, Cyprian and Justina, Cosmas and Damian, Sept. 26-27",,,,Breviary
"Breviary (not Roman), Saints Cornelius and Cyprian, Saint Ursula and Companions, Sept. 16 and Oct. 21",,,,Breviary
Breviary (or Psalter),,,,Breviary;Psalter
Breviary collages,,,,Breviary
Breviary for Augustinian use,,,,Breviary
Breviary fragments,,,,Breviary
Breviary fragments,,Breviary (Salisbury),,Breviary
Breviary leaf,,,,Breviary
Breviary of Elisabeth von Walmden,,,,Breviary
Breviary or Sequentiary,,,,Breviary;Sequentiary
Britton,,,,Britton
Bruno Burelli power of attorney,,,,Power of attorney
Brut Chronicle,,,,Chronicle
Buch von den probierten Künsten,,,,Buch von den probierten Künsten
Buch von den probierten Kü̈̈nsten,,,,Buch von den probierten Künsten
Bucolica,,Works.,,Bucolics
Bucolica,,,,Bucolics
Bucolics,,,,Bucolics
Bullae Sanctorum Pontificum,,,,Bull
Bulla Leonis X cum insertis Eugenii in Concilio Florentino,,,,Bull
Bullarium Augustinianum,,,,Bull
"Bull of Innocent VIII, 1405",,,,Bull
Buonanno de' Malecarni power of attorney,,,,Power of attorney
Cacciacomes family conditions for peace,,,,Conditions for peace
Caius Plinius secundus de Morte Valerii M.,,,,De morte Valerii Martialis
Calendar,,,,Calendar
"Calendar, July-October",,,,Calendar
Calendar for year 1064 AH,,,,Calendar
Calendarium and ephemerides,,,,Calendarium;Ephemerides
Calendar leaf from a book of hours or breviary,,,,Calendar
Calendar table,,,,Calendar
Calligraphic manual,,,,Calligraphy
Camera Apostolica document,,,,Ecclesiastical document
Camera della Biccherna legal document,,,,Legal documents
Camera della Biccherna license,,,,License
Canones vel operationes in operando quadrante,,,,Canones vel operationes in operando quadrante
Canonical Epistles,,,,Epistles
Canon law,,,,Canon law
Canon Law: 'De Iure Iurando' and Concerning Emperor Henry by a Pope,,,,De lure lurando;Concerning emperor Henry by a pope
Canon Law: De Religiosis,,,,De religiosis
Canon Law: Excerpts from the Decretals,,,,Decretals
Canon Law: Treatise on Matrimony,,,,Canon law;Treatise on marriage
Canon law (?),,,,Canon law
Canon law collection,,,,Canon law
Canon Law Commentary,,,,Commentary on canon law
"Canon Law Commentary, Chapters 7-8 (examination of candidates for ordination)",,,,Commentary on canon law
Canon law miscellany,,,,Canon law
Canon law summa,,,,Canon law
Canon Law Treatise,,,,Treatise on canon law
Canon super almanach; De 12 signis et eorum naturis in generali,,,,Canon super almanach;De 12 signis et eorum naturis in generali
Canonziere,,,,Canzoniere
Canzoniere,,,,Canzoniere
Capitolario de le parte et ordeni del officio di magistri signori tre savii areveder le raxon dela Illustrissima Signoria per conto del cancello de le 30 e 40 per cento,,,,Capitolario de le parte et ordeni del officio di magistri signori
