ds_id,date_added,date_last_updated,source_type,holding_institution,holding_institution_as_recorded,holding_institution_id_number,holding_institution_shelfmark,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place,production_place_label,production_date_as_recorded,production_date,century,century_aat,dated,uniform_title,uniform_title_as_recorded,uniform_title_agr,title_as_recorded_245,title_as_recorded_245_agr,genre_as_recorded,genre_vocabulary,genre,genre_label,subject_as_recorded,subject,subject_label,author_as_recorded,author_as_recorded_agr,author,author_wikidata,author_instance_of,author_label,artist_as_recorded,artist_as_recorded_agr,artist,artist_label,artist_wikidata,artist_instance_of,scribe_as_recorded,scribe_as_recorded_agr,scribe,scribe_label,scribe_wikidata,scribe_instance_of,language_as_recorded,language,language_label,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner,former_owner_label,former_owner_wikidata,former_owner_instance_of,material_as_recorded,material,material_label,physical_description,note,acknowledgements,data_processed_at,data_source_modified,source_file
,,,marc-xml,Q766145,University of Oregon,99900470285101852,"Eugene, OR, Special Collections and University Archives, University of Oregon, Deed 002.","",,"","","",1434,1434,15,http://vocab.getty.edu/aat/300404465,,,"","",Deed,"",Manuscripts (documents)|Deeds--Germany--15th century,aat|rbgenr,http://vocab.getty.edu/aat/300028569|,manuscripts (documents)|,"Manuscripts, Medieval--Oregon--Eugene|Manuscripts, Medieval|Oregon--Eugene",http://id.worldcat.org/fast/1008422;http://id.worldcat.org/fast/1204579;http://id.worldcat.org/fast/1205922|http://id.worldcat.org/fast/1008422|http://id.worldcat.org/fast/1205922,"Manuscripts, Medieval;Oregon;Oregon--Eugene|Manuscripts, Medieval|Oregon--Eugene","","","","","","","","","","","","","","","","","","",In German,Q188,German,"","","","","","",parchment,http://vocab.getty.edu/aat/300011851,parchment,Extent: 1 sheet : parchment ; 34 x 49 cm.,"Manuscript document.|Title devised by cataloger.|Seals: One red wax seal.|Lettering: Single column, 38 lines.",,2022-09-16T16:08:24-04:00,2020-05-13,/Users/emeryr/code/upenn-libraries/ds-scripts/scripts/../data/prototype-data/oregon/oregon-marc-014.xml
,,,marc-xml,Q766145,University of Oregon,99900470285201852,"Eugene, OR, Special Collections and University Archives, University of Oregon, MS 050.","",,"","","",1546,1546,16,http://vocab.getty.edu/aat/300404510,,,"","",Deed,"","Manuscripts, Latin (medieval and modern)|Seals (marks)|Deeds",lcsh|aat|rbgenr,http://id.worldcat.org/fast/1008399|http://vocab.getty.edu/aat/300417667|,"Manuscripts, Latin (Medieval and modern)|seals (marks)|",Manuscripts--Oregon--Eugene|Manuscripts|Oregon--Eugene,http://id.worldcat.org/fast/1424060;http://id.worldcat.org/fast/1204579;http://id.worldcat.org/fast/1205922|http://id.worldcat.org/fast/1424060|http://id.worldcat.org/fast/1205922,Manuscripts;Oregon;Oregon--Eugene|Manuscripts|Oregon--Eugene,"","","","","","","","","","","","","","","","","","",In Latin,Q397,Latin,"Burgess, Edward Sandford, 1855-1928|Burgess, Julia",|,"",Edward Sandford Burgess|Julia Burgess,Q5820022|Q75469750,human|human,parchment,http://vocab.getty.edu/aat/300011851,parchment,Extent: 1 sheet : parchment ; 165 mm x 380 mm.,"Manuscript document.|Title devised by cataloger.|Names include 'Mariona Bayly, vidua [widow],"", ""Thomas Bayly"" and ""Johend (Johi) Jones"". Text begins ""Omnibus xpi Fidelibus"". Ends ""vicesimo quarto Novembris anno Regni Henrici Octavi dei gra[tia] anglie. Franc et Hibernia Regis Fidei defensoris et terra ecclesia anglicana et Hibernia, sup[ic]nu Capitis tricesimo octavo."" On verso, three lines ending ""Henric[i] octavi xxxviii..."" Written in a later hand: ""24 Nov. 38 Hen. VIII (1546).""|Bottom edge folded up to secure 2 signatures (one literate, one not), then threaded with 2 parchment ribbons 3/4"" wide which formerly carried red wax seals (fragments of which remain separately)",,2022-09-16T16:08:24-04:00,2020-05-20,/Users/emeryr/code/upenn-libraries/ds-scripts/scripts/../data/prototype-data/oregon/oregon-marc-015.xml
,,,marc-xml,Q766145,University of Oregon,99900470481401852,"Eugene, OR, Special Collections and University Archives, University of Oregon, MS 76.","",,"","","",1400,1400,15,http://vocab.getty.edu/aat/300404465,,,"","",Book of hours calendar leaf,"",Manuscripts|Calendars--14th century,aat|rbgenr,http://vocab.getty.edu/aat/300028569|,manuscripts (documents)|,"Manuscripts, Medieval--Oregon--Eugene|Manuscripts, Medieval|Oregon--Eugene",http://id.worldcat.org/fast/1008422;http://id.worldcat.org/fast/1204579;http://id.worldcat.org/fast/1205922|http://id.worldcat.org/fast/1008422|http://id.worldcat.org/fast/1205922,"Manuscripts, Medieval;Oregon;Oregon--Eugene|Manuscripts, Medieval|Oregon--Eugene","","","","","","","","","","","","","","","","","","",In Latin,Q397,Latin,"","","","","","",parchment,http://vocab.getty.edu/aat/300011851,parchment,Extent: 1 sheet : parchment ; 103 x 74 mm.,Manuscript document.|Title devised by cataloger.,,2022-09-16T16:08:24-04:00,2020-05-14,/Users/emeryr/code/upenn-libraries/ds-scripts/scripts/../data/prototype-data/oregon/oregon-marc-016.xml
,,,marc-xml,Q766145,University of Oregon,99900470481501852,"Eugene, OR, Special Collections and University Archives, University of Oregon, MS 77.","",,"","","",1201-1500,1201^1500,13;14;15,http://vocab.getty.edu/aat/300404505;http://vocab.getty.edu/aat/300404506;http://vocab.getty.edu/aat/300404465,,,"","",Choirbook leaf with hymn dedicated to Saint Hilarion,"",Manuscripts (documents)|Choirbooks|Hymns (documents),aat|aat|aat,http://vocab.getty.edu/aat/300028569|http://vocab.getty.edu/aat/300026422|http://vocab.getty.edu/aat/300167054,manuscripts (documents)|choirbooks|hymns,"Manuscripts, Medieval--Oregon--Eugene|Manuscripts, Medieval|Oregon--Eugene",http://id.worldcat.org/fast/1008422;http://id.worldcat.org/fast/1204579;http://id.worldcat.org/fast/1205922|http://id.worldcat.org/fast/1008422|http://id.worldcat.org/fast/1205922,"Manuscripts, Medieval;Oregon;Oregon--Eugene|Manuscripts, Medieval|Oregon--Eugene","","","","","","","","","","","","","","","","","","",In Latin,Q397,Latin,"","","","","","",parchment,http://vocab.getty.edu/aat/300011851,parchment,Extent: 1 leaf : parchment ; 434 x 319 mm.,Manuscript document.|Title devised by cataloger.|Lettering: Written in a Gothic script.|Annotations: Marginal and interlinear annotations in a 16th century hand.,,2022-09-16T16:08:24-04:00,2020-05-14,/Users/emeryr/code/upenn-libraries/ds-scripts/scripts/../data/prototype-data/oregon/oregon-marc-017.xml
,,,marc-xml,Q766145,University of Oregon,99900470481701852,"Eugene, OR, Special Collections and University Archives, University of Oregon, MS 84.","",,"","","",1301-1400,1301^1400,14,http://vocab.getty.edu/aat/300404506,,,"","",Leaf from a pre-15th century manuscript used as binding waste,"",Manuscripts (documents),aat,http://vocab.getty.edu/aat/300028569,manuscripts (documents),"Manuscripts, Medieval--Oregon--Eugene|Manuscripts, Medieval|Oregon--Eugene",http://id.worldcat.org/fast/1008422;http://id.worldcat.org/fast/1204579;http://id.worldcat.org/fast/1205922|http://id.worldcat.org/fast/1008422|http://id.worldcat.org/fast/1205922,"Manuscripts, Medieval;Oregon;Oregon--Eugene|Manuscripts, Medieval|Oregon--Eugene","","","","","","","","","","","","","","","","","","",In Latin,Q397,Latin,"","","","","","",parchment,http://vocab.getty.edu/aat/300011851,parchment,Extent: 1 leaf : parchment ; 321 x 253 mm.,Manuscript document.|Title devised by cataloger.|Lettering: Textura script.|Leaf recovered from the binding of a manuscript written by Nicolas of Lyra: Catena Aurea in Epistolas Pauli.,,2022-09-16T16:08:24-04:00,2020-05-14,/Users/emeryr/code/upenn-libraries/ds-scripts/scripts/../data/prototype-data/oregon/oregon-marc-018.xml
,,,marc-xml,Q766145,University of Oregon,99900470481801852,"Eugene, OR, Special Collections and University Archives, University of Oregon, MS 82.","",,"","","",1420,1420,15,http://vocab.getty.edu/aat/300404465,,,"","",Leaf from a Breviary,"",Manuscripts (documents),aat,http://vocab.getty.edu/aat/300028569,manuscripts (documents),"Manuscripts, Medieval--Oregon--Eugene|Manuscripts, Medieval|Oregon--Eugene",http://id.worldcat.org/fast/1008422;http://id.worldcat.org/fast/1204579;http://id.worldcat.org/fast/1205922|http://id.worldcat.org/fast/1008422|http://id.worldcat.org/fast/1205922,"Manuscripts, Medieval;Oregon;Oregon--Eugene|Manuscripts, Medieval|Oregon--Eugene","","","","","","","","","","","","","","","","","","",In Latin,Q397,Latin,"","","","","","",parchment,http://vocab.getty.edu/aat/300011851,parchment,Extent: 1 leaf : parchment ; 120 x 83 mm.,Manuscript document.|Title devised by cataloger.|Lettering: Textura script.,,2022-09-16T16:08:24-04:00,2020-05-14,/Users/emeryr/code/upenn-libraries/ds-scripts/scripts/../data/prototype-data/oregon/oregon-marc-019.xml
,,,marc-xml,Q766145,University of Oregon,99900470481901852,"Eugene, OR, Special Collections and University Archives, University of Oregon, MS 78.","",,"","","",1201-1500,1201^1500,13;14;15,http://vocab.getty.edu/aat/300404505;http://vocab.getty.edu/aat/300404506;http://vocab.getty.edu/aat/300404465,,,"","","Miniature leaf, possibly from a psalter","",Manuscripts (documents),aat,http://vocab.getty.edu/aat/300028569,manuscripts (documents),"Manuscripts, Medieval--Oregon--Eugene|Manuscripts, Medieval|Oregon--Eugene",http://id.worldcat.org/fast/1008422;http://id.worldcat.org/fast/1204579;http://id.worldcat.org/fast/1205922|http://id.worldcat.org/fast/1008422|http://id.worldcat.org/fast/1205922,"Manuscripts, Medieval;Oregon;Oregon--Eugene|Manuscripts, Medieval|Oregon--Eugene","","","","","","","","","","","","","","","","","","",In Latin,Q397,Latin,"","","","","","",parchment,http://vocab.getty.edu/aat/300011851,parchment,Extent: 1 unnumbered leaf : parchment ; 112 x 78 mm.,Manuscript document.|Title devised by cataloger.|Lettering: Written in a Gothic hand.,,2022-09-16T16:08:24-04:00,2020-05-14,/Users/emeryr/code/upenn-libraries/ds-scripts/scripts/../data/prototype-data/oregon/oregon-marc-020.xml
,,,marc-xml,Q766145,University of Oregon,99900470482001852,"Eugene, OR, Special Collections and University Archives, University of Oregon, MS 75.","",,"","","",1401-1500,1401^1500,15,http://vocab.getty.edu/aat/300404465,,,"","",Book of hours fragment,"",Books of hours|Illuminated manuscripts|Illuminated initials (layout features)|Vellum (parchment)|Prayers and devotions,aat|aat|aat|aat|fast,http://vocab.getty.edu/aat/300026457|http://vocab.getty.edu/aat/300265483|http://vocab.getty.edu/aat/300417548|http://vocab.getty.edu/aat/300011852|http://id.worldcat.org/fast/1423909,books of hours|illuminated manuscripts|decorated initials|vellum (parchment)|Prayers and devotions,"Books of hours--Germany|Manuscripts, Latin (Medieval and modern)--Oregon--Eugene|Manuscripts, German--Oregon--Eugene|Books of hours|Manuscripts, German|Manuscripts, Latin (Medieval and modern)|Germany|Oregon--Eugene|Catholic Church--Prayers and devotions|Catholic Church",http://id.worldcat.org/fast/836484;http://id.worldcat.org/fast/1210272|http://id.worldcat.org/fast/1008399;http://id.worldcat.org/fast/1204579;http://id.worldcat.org/fast/1205922|http://id.worldcat.org/fast/1008346;http://id.worldcat.org/fast/1204579;http://id.worldcat.org/fast/1205922|http://id.worldcat.org/fast/836484|http://id.worldcat.org/fast/1008346|http://id.worldcat.org/fast/1008399|http://id.worldcat.org/fast/1210272|http://id.worldcat.org/fast/1205922|http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1423909|http://id.worldcat.org/fast/531720,"Books of hours;Germany|Manuscripts, Latin (Medieval and modern);Oregon;Oregon--Eugene|Manuscripts, German;Oregon;Oregon--Eugene|Books of hours|Manuscripts, German|Manuscripts, Latin (Medieval and modern)|Germany|Oregon--Eugene|Catholic Church;Prayers and devotions|Catholic Church","","","","","","","","","","","","","","","","","","",In Latin,Q397,Latin,"","","","","","",parchment,http://vocab.getty.edu/aat/300011851,parchment,Extent: 1 leaf : parchment ; 162 x 122 mm.,Manuscript leaf (two pages) from a book of hours.|Title devised by cataloger.|Lettering: Written in a Gothic hand.,,2022-09-16T16:08:24-04:00,2020-05-14,/Users/emeryr/code/upenn-libraries/ds-scripts/scripts/../data/prototype-data/oregon/oregon-marc-021.xml
,,,marc-xml,Q766145,University of Oregon,99900470482301852,"Eugene, OR, Special Collections and University Archives, University of Oregon, MS 83.","",,"","","",1260,1260,13,http://vocab.getty.edu/aat/300404505,,,"","",Leaf possibly from Saint Albertus Magnus's Speculum astronomiae,"",Manuscripts (documents),aat,http://vocab.getty.edu/aat/300028569,manuscripts (documents),"Manuscripts, Medieval--Oregon--Eugene|Manuscripts, Medieval|Oregon--Eugene",http://id.worldcat.org/fast/1008422;http://id.worldcat.org/fast/1204579;http://id.worldcat.org/fast/1205922|http://id.worldcat.org/fast/1008422|http://id.worldcat.org/fast/1205922,"Manuscripts, Medieval;Oregon;Oregon--Eugene|Manuscripts, Medieval|Oregon--Eugene","Albertus, Magnus, Saint, 1193?-1280","","",Q60059,human,Albertus Magnus,"","","","","","","","","","","","",In Latin,Q397,Latin,"","","","","","",parchment,http://vocab.getty.edu/aat/300011851,parchment,Extent: 1 leaf : parchment ; 188 x 136 mm.,Manuscript document.|Title devised by cataloger.|Lettering: Textura script.,,2022-09-16T16:08:24-04:00,2020-05-14,/Users/emeryr/code/upenn-libraries/ds-scripts/scripts/../data/prototype-data/oregon/oregon-marc-022.xml
,,,marc-xml,Q766145,University of Oregon,99900470482401852,"Eugene, OR, Special Collections and University Archives, University of Oregon, MS 80.","",,"","","",1450,1450,15,http://vocab.getty.edu/aat/300404465,,,"","",Leaf from a psalter,"",Manuscripts (documents)|Psalters (books),aat|aat,http://vocab.getty.edu/aat/300028569|http://vocab.getty.edu/aat/300026477,manuscripts (documents)|psalters (books),"Manuscripts, Medieval--Oregon--Eugene|Manuscripts, Medieval|Oregon--Eugene",http://id.worldcat.org/fast/1008422;http://id.worldcat.org/fast/1204579;http://id.worldcat.org/fast/1205922|http://id.worldcat.org/fast/1008422|http://id.worldcat.org/fast/1205922,"Manuscripts, Medieval;Oregon;Oregon--Eugene|Manuscripts, Medieval|Oregon--Eugene","","","","","","","","","","","","","","","","","","",In Latin,Q397,Latin,"","","","","","",parchment,http://vocab.getty.edu/aat/300011851,parchment,Extent: 1 leaf : parchment ; 110 x 75 mm.,Manuscript document.|Title devised by cataloger.|Lettering: Written in Textura script.|Annotations: Numeric annotations.,,2022-09-16T16:08:24-04:00,2020-05-14,/Users/emeryr/code/upenn-libraries/ds-scripts/scripts/../data/prototype-data/oregon/oregon-marc-023.xml
,,,marc-xml,Q766145,University of Oregon,99900470482501852,"Eugene, OR, Special Collections and University Archives, University of Oregon, MS 79.","",,"","","",1301-1400,1301^1400,14,http://vocab.getty.edu/aat/300404506,,,"","",Leaf from a vernacular book of hours,"",Manuscripts (documents),aat,http://vocab.getty.edu/aat/300028569,manuscripts (documents),"Manuscripts, Medieval--Oregon--Eugene|Manuscripts, Medieval|Oregon--Eugene",http://id.worldcat.org/fast/1008422;http://id.worldcat.org/fast/1204579;http://id.worldcat.org/fast/1205922|http://id.worldcat.org/fast/1008422|http://id.worldcat.org/fast/1205922,"Manuscripts, Medieval;Oregon;Oregon--Eugene|Manuscripts, Medieval|Oregon--Eugene","","","","","","","","","","","","","","","","","","",In Dutch,Q7411,Dutch,"","","","","","",parchment,http://vocab.getty.edu/aat/300011851,parchment,Extent: 1 leaf : parchment ; 122 x 187 mm.,Manuscript document.|Title devised by cataloger.|Lettering: Textura.,,2022-09-16T16:08:24-04:00,2020-05-14,/Users/emeryr/code/upenn-libraries/ds-scripts/scripts/../data/prototype-data/oregon/oregon-marc-024.xml
,,,marc-xml,Q766145,University of Oregon,99900470482601852,"Eugene, OR, Special Collections and University Archives, University of Oregon, Deed 1.","",,"","","",1434,1434,15,http://vocab.getty.edu/aat/300404465,,,"","","Deed, 1434 June 29, declaring that William Bokenham, Alexander Webster, and John Golle give to John Costyn, et al, land in Weasenham","",Manuscripts (documents)|Deeds--England--Norfolk--15th century,aat|rbgenr,http://vocab.getty.edu/aat/300028569|,manuscripts (documents)|,"Manuscripts, Medieval--Oregon--Eugene|Manuscripts, Medieval|Oregon--Eugene|Bokenham, William|Costyn, John.--(Dyer)|Golle, John|Webster, Alexander|Wryghte, Thomas|Ede, William,--witness",http://id.worldcat.org/fast/1008422;http://id.worldcat.org/fast/1204579;http://id.worldcat.org/fast/1205922|http://id.worldcat.org/fast/1008422|http://id.worldcat.org/fast/1205922||||http://id.worldcat.org/fast/169468||,"Manuscripts, Medieval;Oregon;Oregon--Eugene|Manuscripts, Medieval|Oregon--Eugene||||Webster, Alexander, 1707-1784||","","","","","","","","","","","","","","","","","","",In Latin,Q397,Latin,"","","","","","",parchment,http://vocab.getty.edu/aat/300011851,parchment,Extent: 1 sheet : parchment ; 93 x 308 mm.,"Manuscript document.|Title devised by cataloger.|Dated: 12 Henry VI.|Seals: Three red wax seals, two damaged, with a third seal well preserved.|Lettering: Single column, nine lines in an Anglicana hand.",,2022-09-16T16:08:24-04:00,2020-05-14,/Users/emeryr/code/upenn-libraries/ds-scripts/scripts/../data/prototype-data/oregon/oregon-marc-025.xml
,,,marc-xml,Q766145,University of Oregon,99900475478201852,"Eugene, OR, Special Collections and University Archives, University of Oregon, MS 81.","",,"","","",1201-1300,1201^1300,13,http://vocab.getty.edu/aat/300404505,,,"","","Leaf from a bible, including a portion of Genesis","",Manuscripts (documents),aat,http://vocab.getty.edu/aat/300028569,manuscripts (documents),"Manuscripts, Medieval--Oregon--Eugene|Manuscripts, Medieval|Oregon--Eugene",http://id.worldcat.org/fast/1008422;http://id.worldcat.org/fast/1204579;http://id.worldcat.org/fast/1205922|http://id.worldcat.org/fast/1008422|http://id.worldcat.org/fast/1205922,"Manuscripts, Medieval;Oregon;Oregon--Eugene|Manuscripts, Medieval|Oregon--Eugene","","","","","","","","","","","","","","","","","","",In Latin,Q397,Latin,"","","","","","",parchment,http://vocab.getty.edu/aat/300011851,parchment,Extent: 1 sheet : parchment ; 162 x 111 mm.,Manuscript document.|Title devised by cataloger.|Lettering: Written in a Carolingian minuscule script.,,2022-09-16T16:08:24-04:00,2020-05-14,/Users/emeryr/code/upenn-libraries/ds-scripts/scripts/../data/prototype-data/oregon/oregon-marc-026.xml
,,,marc-xml,Q766145,University of Oregon,99900477830501852,"Eugene, OR, Special Collections and University Archives, University of Oregon, MS 008.","",,"","","",1450,1450,15,http://vocab.getty.edu/aat/300404465,,,"","",Questiones Super Secundo Sententiarum,"","Manuscripts, Latin (medieval and modern)|Early works|History",lcsh|fast|fast,http://id.worldcat.org/fast/1008399|http://id.worldcat.org/fast/1411636|http://id.worldcat.org/fast/1411628,"Manuscripts, Latin (Medieval and modern)|Early works|History","Theology, Doctrinal--History--Middle Ages, 600-1500--Early works to 1800|Manuscripts, Medieval--Oregon--Eugene|Manuscripts, Medieval|Theology, Doctrinal--Middle Ages|Oregon--Eugene|Peter Lombard,--Bishop of Paris,--approximately 1100-1160.--Sententiarum libri II",http://id.worldcat.org/fast/1149617;http://id.worldcat.org/fast/1411628;http://id.worldcat.org/fast/1020301;http://id.worldcat.org/fast/1411636|http://id.worldcat.org/fast/1008422;http://id.worldcat.org/fast/1204579;http://id.worldcat.org/fast/1205922|http://id.worldcat.org/fast/1008422|http://id.worldcat.org/fast/1907241|http://id.worldcat.org/fast/1205922|http://id.worldcat.org/fast/1841039;http://id.worldcat.org/fast/1356925,"Theology, Doctrinal;History;Middle Ages;Early works|Manuscripts, Medieval;Oregon;Oregon--Eugene|Manuscripts, Medieval|Theology, Doctrinal--Middle Ages|Oregon--Eugene|Peter Lombard, Bishop of Paris, approximately 1100-1160;Sententiarum libri IV (Peter Lombard, Bishop of Paris)","Bonaventure, Saint, Cardinal, approximately 1217-1274","","",Q43746,human,Bonaventure,"","","","","","","","","","","","",In Latin,Q397,Latin,"Burgess, Edward Sandford, 1855-1928|Burgess, Julia",|,"",Edward Sandford Burgess|Julia Burgess,Q5820022|Q75469750,human|human,parchment and paper,http://vocab.getty.edu/aat/300011851;http://vocab.getty.edu/aat/300014109,parchment;paper,Extent: 148 unnumbered leaves : parchment and paper ; 220 x 290 mm bound to 225 x 298 mm.,Manuscript codex.|Title devised by cataloger.,,2022-09-16T16:08:24-04:00,2019-12-11,/Users/emeryr/code/upenn-libraries/ds-scripts/scripts/../data/prototype-data/oregon/oregon-marc-027.xml
,,,marc-xml,Q766145,University of Oregon,99900477830601852,"Eugene, OR, Special Collections and University Archives, University of Oregon, MS 033.","",,"","","",1440-1450,1440^1450,15,http://vocab.getty.edu/aat/300404465,,,"","",Comoediae,"","Manuscripts, Latin (medieval and modern)",lcsh,http://id.worldcat.org/fast/1008399,"Manuscripts, Latin (Medieval and modern)",Manuscripts--Oregon--Eugene|Manuscripts|Oregon--Eugene,http://id.worldcat.org/fast/1424060;http://id.worldcat.org/fast/1204579;http://id.worldcat.org/fast/1205922|http://id.worldcat.org/fast/1424060|http://id.worldcat.org/fast/1205922,Manuscripts;Oregon;Oregon--Eugene|Manuscripts|Oregon--Eugene,Terence,"","",Q172048,human,Terence,"","","","","","","","","","","","",In Latin,Q397,Latin,"Burgess, Edward Sandford, 1855-1928|Burgess, Julia",|,"",Edward Sandford Burgess|Julia Burgess,Q5820022|Q75469750,human|human,paper,http://vocab.getty.edu/aat/300014109,paper,Extent: 144 leaves paper ; 215 x 145 mm.,Manuscript codex.|Title devised by cataloger.,,2022-09-16T16:08:24-04:00,2020-03-08,/Users/emeryr/code/upenn-libraries/ds-scripts/scripts/../data/prototype-data/oregon/oregon-marc-028.xml
,,,marc-xml,Q766145,University of Oregon,99900477830901852,"Eugene, OR, Special Collections and University Archives, University of Oregon, MS 014.","",,"","","",1401-1500,1401^1500,15,http://vocab.getty.edu/aat/300404465,,,"","",De Consideratione,"","Manuscripts, Latin (medieval and modern)|Early works|History",lcsh|fast|fast,http://id.worldcat.org/fast/1008399|http://id.worldcat.org/fast/1411636|http://id.worldcat.org/fast/1411628,"Manuscripts, Latin (Medieval and modern)|Early works|History","Manuscripts, Medieval--Oregon--Eugene|Popes--Primacy--Early works to 1800|Papacy--History--Early works to 1800|Manuscripts, Medieval|Papacy|Popes--Primacy|Oregon--Eugene",http://id.worldcat.org/fast/1008422;http://id.worldcat.org/fast/1204579;http://id.worldcat.org/fast/1205922|http://id.worldcat.org/fast/1071284;http://id.worldcat.org/fast/1411636|http://id.worldcat.org/fast/1052284;http://id.worldcat.org/fast/1411628;http://id.worldcat.org/fast/1411636|http://id.worldcat.org/fast/1008422|http://id.worldcat.org/fast/1052284|http://id.worldcat.org/fast/1071284|http://id.worldcat.org/fast/1205922,"Manuscripts, Medieval;Oregon;Oregon--Eugene|Popes--Primacy;Early works|Papacy;History;Early works|Manuscripts, Medieval|Papacy|Popes--Primacy|Oregon--Eugene","Bernard, of Clairvaux, Saint, 1090 or 1091-1153","","",Q188411,human,Bernard of Clairvaux,"","","","","","","","","","","","",In Latin,Q397,Latin,"Burgess, Edward Sandford, 1855-1928|Burgess, Julia",|,"",Edward Sandford Burgess|Julia Burgess,Q5820022|Q75469750,human|human,paper,http://vocab.getty.edu/aat/300014109,paper,Extent: 86 leaves : paper ; 120 x 202 mm bound to 124 x 210 mm.,Manuscript codex.|Title devised by cataloger.,,2022-09-16T16:08:24-04:00,2020-01-15,/Users/emeryr/code/upenn-libraries/ds-scripts/scripts/../data/prototype-data/oregon/oregon-marc-029.xml
,,,marc-xml,Q766145,University of Oregon,99900477831201852,"Eugene, OR, Special Collections and University Archives, University of Oregon, MS 013.","",,"","","",1401-1500,1401^1500,15,http://vocab.getty.edu/aat/300404465,,,Phaedo.,"",Phaedon,"","Manuscripts, Latin (medieval and modern)|Early works",lcsh|fast,http://id.worldcat.org/fast/1008399|http://id.worldcat.org/fast/1411636,"Manuscripts, Latin (Medieval and modern)|Early works","Manuscripts, Medieval--Oregon--Eugene|Immortality--Early works to 1800|Immortality|Manuscripts, Medieval|Oregon--Eugene",http://id.worldcat.org/fast/1008422;http://id.worldcat.org/fast/1204579;http://id.worldcat.org/fast/1205922|http://id.worldcat.org/fast/967853;http://id.worldcat.org/fast/1411636|http://id.worldcat.org/fast/967853|http://id.worldcat.org/fast/1008422|http://id.worldcat.org/fast/1205922,"Manuscripts, Medieval;Oregon;Oregon--Eugene|Immortality;Early works|Immortality|Manuscripts, Medieval|Oregon--Eugene",Plato,"","",Q859,human,Plato,"","","","","","","","","","","","",In Latin,Q397,Latin,"Burgess, Edward Sandford, 1855-1928|Burgess, Julia",|,"",Edward Sandford Burgess|Julia Burgess,Q5820022|Q75469750,human|human,fine vellum,http://vocab.getty.edu/aat/300011851,parchment,Extent: 34 leaves : fine vellum ; 252 x 179mm.,Manuscript codex.|This translation is by humanist scholar Leonardo Bruni. Probably made from a manuscript brought to Italy by Chrysoloras.|Title devised by cataloger.,,2022-09-16T16:08:24-04:00,2020-01-15,/Users/emeryr/code/upenn-libraries/ds-scripts/scripts/../data/prototype-data/oregon/oregon-marc-030.xml
