subject_as_recorded,subfield_codes,vocab,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
Yūsuf and Zulaykhā--Portraits--Specimens,a--v--v,0,,Yūsuf and Zulaykhā;Portraits;Specimens,http://id.worldcat.org/fast/1796586;http://id.worldcat.org/fast/1423831;http://id.worldcat.org/fast/1423861,Q48946;Q199;Q239,,,
"Niʻmat Allāh Valī, 1330?-1431",a;d,0,,"Niʻmat Allāh Valī, 1330?-1431",http://id.worldcat.org/fast/138288,Q48947,,,
Khānaqāh-i Niʻmat Allāhī,a,0,,Khānaqāh-i Niʻmat Allāhī,http://id.worldcat.org/fast/555403,Q48948,,,
"Ṭabasī, Ḥasan, active 14th century. Miftāḥ al-kunūz",a;d;t,0,,,,,,,
"Ḥusayn ibn ʻAlī, -680--Poetry",a;d--v,0,,"Ḥusayn ibn ʻAlī, -680;Poetry",http://id.worldcat.org/fast/1825184;http://id.worldcat.org/fast/1423828,Q42452;Q247,,,
"Ṭūsī, Naṣīr al-Dīn Muḥammad ibn Muḥammad, 1201-1274. Tansūqʹnāmah-i Īlkhānī",a;d;t,0,,,,,,,
"Nīshāpūrī, Ḥusayn ibn Muḥammad, -1499. Muʻammāʼ",a;d;t,0,,,,,,,
"Muḥammad, Prophet, -632--Name--Early works to 1800",a;c;d--x--v,0,,"Muḥammad, Prophet, -632;Names, Personal;Early works",http://id.worldcat.org/fast/1836298;http://id.worldcat.org/fast/1032478;http://id.worldcat.org/fast/1411636,Q3639;Q48949;Q300,,,
"Ḥusayn ibn ʻAlī, -680",a;d,fast,,"Ḥusayn ibn ʻAlī, -680",http://id.worldcat.org/fast/1825184,Q42452,,,
"Nasafī, ʻUmar ibn Muḥammad, 1068?-1142. ʻAqāʼid",a;d;t,0,,,,,"ʻAqāʼid (Nasafī, ʻUmar ibn Muḥammad)",http://id.worldcat.org/fast/1381144,Q11181
"Nāṣir al-Dīn Shāh, Shah of Iran, 1831-1896",a;c;d,0,http://id.loc.gov/authorities/names/n79102800,"Nāṣir al-Dīn Shāh, Shah of Iran, 1831-1896",http://id.worldcat.org/fast/42232,Q48950,,,
Qurʼan--Use,a--x,0,http://id.loc.gov/authorities/subjects/sh85072990,Qurʼan,http://id.worldcat.org/fast/1842877,Q11441,,,
"Muḥaqqiq al-Ḥillī, Jaʻfar ibn al-Ḥasan, 1205 or 1206-1277. Mukhtaṣar al-nāfiʻ",a;d;t,0,,"Mukhtaṣar al-nāfiʻ (Muḥaqqiq al-Ḥillī, Jaʻfar ibn al-Ḥasan)",http://id.worldcat.org/fast/2056789,Q48951,,,
"Muḥammad, Prophet, -632--Family--Poetry",a;c;d--x--v,0,,"Muḥammad, Prophet, -632;Families;Poetry",http://id.worldcat.org/fast/1836298;http://id.worldcat.org/fast/1728849;http://id.worldcat.org/fast/1423828,Q3639;Q5939;Q247,,,
"Ḥāfiẓ, active 14th century. Dīvān",a;d;t,0,,Dīvān (Ḥāfiẓ),http://id.worldcat.org/fast/1365498,Q48952,,,
Dīvān (Ḥāfiẓ),a,fast,(OCoLC)fst01365498,Dīvān (Ḥāfiẓ),http://id.worldcat.org/fast/1365498,Q48952,,,
"Sirāj Allāh, Muḥammad, active 19th century. Sirāj-i anjan.--Daftar 2",a;d;t--n,0,,,,,,,
"Sirāj Allāh, Muḥammad, active 19th century. Sirāj-i anjan.--Daftar 1",a;d;t--n,0,,,,,,,
Ḥirz al-Yamānī,a,0,,"Ḥusayn ibn ʻAlī, -680",http://id.worldcat.org/fast/1825184,Q42452,,,
Duʻāʾ al-Sayfī,a,0,,,,,,,
"Būṣīrī, Sharaf al-Dīn Muḥammad ibn Saʻīd, 1213?-1296? Burdah",a;d;t,0,http://id.loc.gov/authorities/names/n92075027,,,,"Burdah (Būṣīrī, Sharaf al-Dīn Muḥammad ibn Saʻīd)",http://id.worldcat.org/fast/1362420,Q38619
"Muḥammad, Prophet, -632--Poetry--Early works to 1800",a;c;d--v--v,0,,,,,"Muḥammad, Prophet, -632;Poetry;Early works",http://id.worldcat.org/fast/1836298;http://id.worldcat.org/fast/1423828;http://id.worldcat.org/fast/1411636,Q3639;Q247;Q300
"ʻInāyat Allāh, -approximately 1671. Bahār-i dānish",a;d;t,0,http://id.loc.gov/authorities/names/n2017064561,,,,,,
"ʻAbd al-Qādir al-Jīlānī, -1166. Risālah al-ghawthīyah",a;d;t,0,,,,,,,
"Paracelsus, 1493-1541--Early works to 1800",a;d--v,0,,"Paracelsus, 1493-1541;Early works",http://id.worldcat.org/fast/60974;http://id.worldcat.org/fast/1411636,Q48953;Q300,,,
"Muḥammad, Prophet, -632--Family--Prayers and devotions--Early works to 1800",a;c;d--x--v--v,0,,"Muḥammad, Prophet, -632;Families;Prayers and devotions;Early works",http://id.worldcat.org/fast/1836298;http://id.worldcat.org/fast/1728849;http://id.worldcat.org/fast/1423909;http://id.worldcat.org/fast/1411636,Q3639;Q5939;Q3052;Q300,,,
"Ḥāfiẓ Raḥmat K̲h̲ān̲, 1710?-1774",a;d,0,http://id.loc.gov/authorities/names/no99061152,"Ḥāfiẓ Raḥmat K̲h̲ān̲, 1710?-1774",http://id.worldcat.org/fast/437404,Q48954,,,
"Jalāl al-Dīn Rūmī, Maulana, 1207-1273. Mas̲navī",a;c;d;t,0,http://id.loc.gov/authorities/names/n81058129--(uri) http://id.loc.gov/authorities/names/n81058129--(uri) http://viaf.org/viaf/sourceID/LC%7cn81058129,"Mas̲navī (Jalāl al-Dīn Rūmī, Maulana)",http://id.worldcat.org/fast/1362351,Q48910,,,
"Mas̲navī (Jalāl al-Dīn Rūmī, Maulana)",a,fast,(OCoLC)fst01362351,"Mas̲navī (Jalāl al-Dīn Rūmī, Maulana)",http://id.worldcat.org/fast/1362351,Q48910,,,
"Solomon, King of Israel",a;c,0,http://id.loc.gov/authorities/names/n80024516,"Solomon, King of Israel",http://id.worldcat.org/fast/50906,Q48955,,,
"Nāṣir al-Dīn Shāh, Shah of Iran, 1831-1896",a;c;d,0,,"Nāṣir al-Dīn Shāh, Shah of Iran, 1831-1896",http://id.worldcat.org/fast/42232,Q48950,,,
"Nāṣir al-Dīn Shāh, Shah of Iran, 1831-1896",a;c;d,fast,,"Nāṣir al-Dīn Shāh, Shah of Iran, 1831-1896",http://id.worldcat.org/fast/42232,Q48950,,,
"Jāmī, 1414-1492",a;d,0,,"Jāmī, 1414-1492",http://id.worldcat.org/fast/37983,Q48956,,,
"Burhān al-Sharīʻah, Maḥmūd ibn ʻUbayd Allāh, -1274 or 1275. Wiqāyat al-riwāyah",a;d;t,0,,,,,,,
"Shādhilī, Abū al-Ḥasan ʻAlī ibn ʻAbd Allāh, approximately 1196-1258. Ḥizb al-baḥr",a;d;t,0,,,,,,,
"Jighmīnī, Maḥmūd ibn Muḥammad, -1221?. Qānūnchah",a;d;t,0,,,,,,,
"Sirāj Allāh, Muḥammad, active 19th century. Sirāj-i anjan",a;d;t,0,,,,,,,
"Ilāhʹābādī, Muḥibb Allāh. Taswīyah",a;t,0,,,,,,,
Saʻdī. Būstān,a;t,0,http://id.loc.gov/authorities/names/n2019211164,Būstān (Saʻdī),http://id.worldcat.org/fast/1366471,Q48957,,,
Qurʼan--Commentaries,a--x,0,,,,,Qurʼan;Commentaries,http://id.worldcat.org/fast/1842877;http://id.worldcat.org/fast/1423723,Q11441;Q2812
