subject_as_recorded,subfield_codes,vocab,source_authority_uri,authorized_label,structured_value,ds_qid
Actions and defenses.,a,fast,http://id.worldcat.org/fast/796238,Actions and defenses,http://id.worldcat.org/fast/796238,Q7485
Actions and defenses (Islamic law),a,fast,,Actions and defenses (Islamic law),http://id.worldcat.org/fast/796257,Q7718
Actions and defenses (Islamic law)--Early works to 1800,a--v,0,,Actions and defenses (Islamic law);Early works,http://id.worldcat.org/fast/796257;http://id.worldcat.org/fast/1411636,Q7718;Q300
Actions and defenses--18th century,a--y,0,,Actions and defenses;Eighteenth century,http://id.worldcat.org/fast/796238;http://id.worldcat.org/fast/904058,Q7485;Q3024
Actions and defenses--Early works to 1800,a--v,0,,Actions and defenses;Early works,http://id.worldcat.org/fast/796238;http://id.worldcat.org/fast/1411636,Q7485;Q300
Actions and defenses--Italy--Milan--15th century,a--z--z--y,0,,Actions and defenses;Italy--Milan;Fifteenth century,http://id.worldcat.org/fast/796238;http://id.worldcat.org/fast/1208698;http://id.worldcat.org/fast/923962,Q7485;Q2808;Q154
Actions and defenses--Italy--Milan--15th century.,a--z--z--y,0,,Actions and defenses;Italy--Milan;Fifteenth century,http://id.worldcat.org/fast/796238;http://id.worldcat.org/fast/1208698;http://id.worldcat.org/fast/923962,Q7485;Q2808;Q154
Actions and defenses--Spain--Early works to 1800,a--z--v,0,,Actions and defenses;Spain;Early works,http://id.worldcat.org/fast/796238;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/1411636,Q7485;Q343;Q300
Acupuncture--Early works to 1800,a--v,0,,Acupuncture;Early works,http://id.worldcat.org/fast/796357;http://id.worldcat.org/fast/1411636,Q12607;Q300
Acupuncture--Early works to 1800.,a--v,0,,Acupuncture;Early works,http://id.worldcat.org/fast/796357;http://id.worldcat.org/fast/1411636,Q12607;Q300
Acupuncture points--Early works to 1800,a--v,0,,Acupuncture points;Early works,http://id.worldcat.org/fast/796375;http://id.worldcat.org/fast/1411636,Q12654;Q300
Acupuncture points--Early works to 1800.,a--v,0,,Acupuncture points;Early works,http://id.worldcat.org/fast/796375;http://id.worldcat.org/fast/1411636,Q12654;Q300
Adam (Biblical figure)--Islamic interpretations--Early works to 1800,a;c--x--v,0,,Islamic interpretations of Adam;Early works,http://id.worldcat.org/fast/1353429;http://id.worldcat.org/fast/1411636,Q11381;Q300
Adhan,a,fast,(OCoLC)fst01742302,Adhan,http://id.worldcat.org/fast/1742302,Q11547
Adhan.,a,fast,(OCoLC)fst01742302,Adhan,http://id.worldcat.org/fast/1742302,Q11547
Adhan--Early works to 1800,a--v,0,,Adhan;Early works,http://id.worldcat.org/fast/1742302;http://id.worldcat.org/fast/1411636,Q11547;Q300
