subject_as_recorded,subfield_codes,vocab,source_authority_uri,authorized_label,structured_value,authorized_label_add,structured_value_add
Italy--Rural conditions.,a--x,0,http://id.loc.gov/authorities/subjects/sh2008115577,Italy;Rural conditions,http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1101474,,
Italy--Sicily.,a--z,fast,http://id.worldcat.org/fast/1204499,Italy--Sicily,http://id.worldcat.org/fast/1204499,,
Italy--Siena.,a--z,fast,http://id.worldcat.org/fast/1204409,Italy--Siena,http://id.worldcat.org/fast/1204409,,
Italy--Social life and customs.,a--x,0,http://id.loc.gov/authorities/subjects/sh85069026,Italy;Manners and customs,http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1007815,,
Italy--Tuscany.,a--z,fast,http://id.worldcat.org/fast/1204477,Italy--Tuscany,http://id.worldcat.org/fast/1204477,,
Italy--Urbino.,a--z,fast,http://id.worldcat.org/fast/1204497,Italy--Urbino,http://id.worldcat.org/fast/1204497,,
Italy--Venice.,a--z,fast,http://id.worldcat.org/fast/1204473,Italy--Venice,http://id.worldcat.org/fast/1204473,,
Italy--Verona.,a--z,fast,http://id.worldcat.org/fast/1204568,Italy--Verona,http://id.worldcat.org/fast/1204568,,
Italy--Vicenza.,a--z,fast,http://id.worldcat.org/fast/1204960,Italy--Vicenza,http://id.worldcat.org/fast/1204960,,
Jerusalem--Description and travel.,a--x,0,http://id.loc.gov/authorities/subjects/sh88002640,Middle East--Jerusalem;Voyages and travels,http://id.worldcat.org/fast/1216276;http://id.worldcat.org/fast/1169308,,
Jerusalem--History.,a--x,0,http://id.loc.gov/authorities/subjects/sh85069905,Middle East--Jerusalem;History,http://id.worldcat.org/fast/1216276;http://id.worldcat.org/fast/958235,,
"Jerusalem--History--Latin Kingdom, 1099-1244--Sources.",a--x--y--v,0,,Middle East--Jerusalem;History;Sources,http://id.worldcat.org/fast/1216276;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1423900,,
Jerusalem--History--Prophecies.,a--x--x,0,,Middle East--Jerusalem;History--Prophecies;Prophecies,http://id.worldcat.org/fast/1216276;http://id.worldcat.org/fast/958268;http://id.worldcat.org/fast/1922509,,
Jerusalem--In Christianity--Early works to 1800.,a--x--v,0,,Middle East--Jerusalem;Early works,http://id.worldcat.org/fast/1216276;http://id.worldcat.org/fast/1411636,,
"Jesuit drama, Latin (Medieval and modern)",a,0,http://id.loc.gov/authorities/subjects/sh87002421,"Jesuit drama, Latin (Medieval and modern)",http://id.worldcat.org/fast/982359,,
"Jesuit drama, Latin (Medieval and modern)",a,fast,http://id.worldcat.org/fast/982359,"Jesuit drama, Latin (Medieval and modern)",http://id.worldcat.org/fast/982359,,
Jewish astronomy.,a,fast,http://id.worldcat.org/fast/982662,Jewish astronomy,http://id.worldcat.org/fast/982662,,
Jewish astronomy--Early works to 1800.,a--v,0,,Jewish astronomy;Early works,http://id.worldcat.org/fast/982662;http://id.worldcat.org/fast/1411636,,
Jewish diaspora.,a,fast,http://id.worldcat.org/fast/982746,Jewish diaspora,http://id.worldcat.org/fast/982746,,
Jewish diaspora--Early works to 1800.,a--v,0,,Jewish diaspora;Early works,http://id.worldcat.org/fast/982746;http://id.worldcat.org/fast/1411636,,
Jewish illumination of books and manuscripts.,a,0,http://id.loc.gov/authorities/subjects/sh85064367,Jewish illumination of books and manuscripts,http://id.worldcat.org/fast/1730505,,
Jewish illumination of books and manuscripts.,a,fast,http://id.worldcat.org/fast/1730505,Jewish illumination of books and manuscripts,http://id.worldcat.org/fast/1730505,,
Jewish law.,a,fast,http://id.worldcat.org/fast/982801,Jewish law,http://id.worldcat.org/fast/982801,,
Jewish law.,a,0,http://id.loc.gov/authorities/subjects/sh85070287,Jewish law,http://id.worldcat.org/fast/982801,,
Jewish magic.,a,fast,http://id.worldcat.org/fast/1730508,Jewish magic,http://id.worldcat.org/fast/1730508,,
Jewish magic--Early works to 1800.,a--v,0,,Jewish magic;Early works,http://id.worldcat.org/fast/1730508;http://id.worldcat.org/fast/1411636,,
Jewish philosophy.,a,fast,http://id.worldcat.org/fast/1730516,Jewish philosophy,http://id.worldcat.org/fast/1730516,,
Jewish philosophy--Early works to 1800.,a--v,0,http://id.loc.gov/authorities/subjects/sh2008109244,Jewish philosophy;Early works,http://id.worldcat.org/fast/1730516;http://id.worldcat.org/fast/1411636,,
Jewish religious poetry.,a,fast,http://id.worldcat.org/fast/982943,Jewish religious poetry,http://id.worldcat.org/fast/982943,,
Jewish religious poetry.,a,0,http://id.loc.gov/authorities/subjects/sh85070332,Jewish religious poetry,http://id.worldcat.org/fast/982943,,
Jews.,a,fast,http://id.worldcat.org/fast/983135,Jews,http://id.worldcat.org/fast/983135,,
Jews--Early works to 1800.,a--v,0,,Jews;Early works,http://id.worldcat.org/fast/983135;http://id.worldcat.org/fast/1411636,,
Jews--History--586 B.C.-70 A.D.,a--x--y,0,http://id.loc.gov/authorities/subjects/sh85070402,Jews;History,http://id.worldcat.org/fast/983135;http://id.worldcat.org/fast/958235,,
Jews--History--Early works to 1800.,a--x--v,0,,Jews;History;Early works,http://id.worldcat.org/fast/983135;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1411636,,
"Jews--History--Rebellion, 66-73.",a--x--y,0,http://id.loc.gov/authorities/subjects/sh85070405,Jews;History;Jewish Rebellion (66-73 A.D.),http://id.worldcat.org/fast/983135;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1404530,,
Jews--Italy--History--15th century.,a--z--x--y,0,,Jews;Italy;History;Fifteenth century,http://id.worldcat.org/fast/983135;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/923962,,
Jews--Italy--Livorno--History.,a--z--z--x,0,,Jews;Italy--Livorno;History,http://id.worldcat.org/fast/983135;http://id.worldcat.org/fast/1206206;http://id.worldcat.org/fast/958235,,
Jews--Italy--Mantua--History.,a--z--z--x,0,,Jews;Italy--Mantua;History,http://id.worldcat.org/fast/983135;http://id.worldcat.org/fast/1204700;http://id.worldcat.org/fast/958235,,
Jews--Italy--Pisa--History.,a--z--z--x,0,,Jews;Italy--Pisa;History,http://id.worldcat.org/fast/983135;http://id.worldcat.org/fast/1204823;http://id.worldcat.org/fast/958235,,
Jews--Italy--Sicily--History--Sources.,a--z--z--x--v,0,,Jews;Italy--Sicily;History,http://id.worldcat.org/fast/983135;http://id.worldcat.org/fast/1204499;http://id.worldcat.org/fast/958235,,
Jews--Mexico--Early works to 1800.,a--z--v,0,,Jews;Mexico;Early works,http://id.worldcat.org/fast/983135;http://id.worldcat.org/fast/1211700;http://id.worldcat.org/fast/1411636,,
Jews--Persecutions.,a--x,fast,http://id.worldcat.org/fast/983322,Jews--Persecutions,http://id.worldcat.org/fast/983322,,
Jews--Persecutions--Spain.,a--x--z,0,http://id.loc.gov/authorities/subjects/sh00008504,Jews--Persecutions;Spain,http://id.worldcat.org/fast/983322;http://id.worldcat.org/fast/1204303,,
Jews--Poland--History--16th century.,a--z--x--y,0,,Jews;Poland;History;Sixteenth century,http://id.worldcat.org/fast/983135;http://id.worldcat.org/fast/1206891;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1119851,,
Jews--Spain--Early works to 1800.,a--z--v,0,,Jews;Spain;Early works,http://id.worldcat.org/fast/983135;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/1411636,,
Judaism.,a,fast,http://id.worldcat.org/fast/984280,Judaism,http://id.worldcat.org/fast/984280,,
Judaism--Controversial literature.,a--x,fast,http://id.worldcat.org/fast/984291,Judaism--Controversial literature,http://id.worldcat.org/fast/984291,,
Judaism--Controversial literature--Early works to 1800.,a--v--v,0,http://id.loc.gov/authorities/subjects/sh2008122499,Judaism--Controversial literature;Controversial literature;Early works,http://id.worldcat.org/fast/984291;http://id.worldcat.org/fast/1423907;http://id.worldcat.org/fast/1411636,,
"Judaism--History--Medieval and early modern period, 425-1789.",a--x--y,0,http://id.loc.gov/authorities/subjects/sh85070851,Judaism;History;425-1789,http://id.worldcat.org/fast/984280;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1355929,,
Judaism--Liturgy.,a--x,fast,http://id.worldcat.org/fast/984346,Judaism--Liturgy,http://id.worldcat.org/fast/984346,,
Judaism--Liturgy--Texts.,a--x--v,0,http://id.loc.gov/authorities/subjects/sh85070856,Judaism--Liturgy--Texts,http://id.worldcat.org/fast/984354,,
Judaism--Relations--Christianity--Early works to 1800.,a--x--x--v,0,,Judaism;Interfaith relations;Christianity;Early works,http://id.worldcat.org/fast/984280;http://id.worldcat.org/fast/1353343;http://id.worldcat.org/fast/859599;http://id.worldcat.org/fast/1411636,,
Judaism--Roman rite.,a--x,fast,http://id.worldcat.org/fast/984397,Judaism--Roman rite,http://id.worldcat.org/fast/984397,,
Judaism--Roman rite--Liturgy.,a--x--x,fast,http://id.worldcat.org/fast/984398,Judaism--Roman rite--Liturgy,http://id.worldcat.org/fast/984398,,
Judaism--Roman rite--Liturgy--Texts.,a--x--x--v,0,,Judaism--Roman rite;Liturgics;Texts,http://id.worldcat.org/fast/984397;http://id.worldcat.org/fast/1000579;http://id.worldcat.org/fast/1423705,,
Judgment Day.,a,fast,http://id.worldcat.org/fast/984594,Judgment Day,http://id.worldcat.org/fast/984594,,
Judgment Day--Early works to 1800.,a--v,0,,Judgment Day;Early works,http://id.worldcat.org/fast/984594;http://id.worldcat.org/fast/1411636,,
"Jugurthine War, 111-105 B.C.",a,0,http://id.loc.gov/authorities/subjects/sh85070981,Jugurthine War (111-105 B.C.),http://id.worldcat.org/fast/984778,,
Kingdom of God--Early works to 1800.,a--v,0,,,,Kingdom of God;Early works,http://id.worldcat.org/fast/987680;http://id.worldcat.org/fast/1411636
Kings and rulers.,a,fast,http://id.worldcat.org/fast/987694,Kings and rulers,http://id.worldcat.org/fast/987694,,
Kings and rulers--Duties.,a--x,0,http://id.loc.gov/authorities/subjects/sh85072418,Kings and rulers--Duties,http://id.worldcat.org/fast/987703,,
Kings and rulers--Duties.,a--x,fast,http://id.worldcat.org/fast/987703,Kings and rulers--Duties,http://id.worldcat.org/fast/987703,,
Kings and rulers--Duties--Early works to 1800.,a--x--v,0,http://id.loc.gov/authorities/subjects/sh2008106307,Kings and rulers--Duties;Taxation;Early works,http://id.worldcat.org/fast/987703;http://id.worldcat.org/fast/1143876;http://id.worldcat.org/fast/1411636,,
Knights and knighthood.,a,fast,http://id.worldcat.org/fast/988113,Knights and knighthood,http://id.worldcat.org/fast/988113,,
Knights and knighthood--Fiction.,a--v,0,http://id.loc.gov/authorities/subjects/sh2008106309,Knights and knighthood;Fiction,http://id.worldcat.org/fast/988113;http://id.worldcat.org/fast/1423787,,
"Knowledge, Theory of.",a,fast,http://id.worldcat.org/fast/988194,"Knowledge, Theory of",http://id.worldcat.org/fast/988194,,
"Knowledge, Theory of--Early works to 1800.",a--v,0,http://id.loc.gov/authorities/subjects/sh2008106319,"Knowledge, Theory of;Early works",http://id.worldcat.org/fast/988194;http://id.worldcat.org/fast/1411636,,
Labyrinths.,a,fast,http://id.worldcat.org/fast/990468,Labyrinths,http://id.worldcat.org/fast/990468,,
Labyrinths--Early works to 1800.,a--v,0,,Labyrinths;Early works,http://id.worldcat.org/fast/990468;http://id.worldcat.org/fast/1411636,,
Ladino language.,a,fast,http://id.worldcat.org/fast/990678,Ladino language,http://id.worldcat.org/fast/990678,,
Ladino language--Texts.,a--v,0,,Ladino language;Texts,http://id.worldcat.org/fast/990678;http://id.worldcat.org/fast/1423705,,
Lamporecchio (Italy)--History.,a--x,0,,Italy--Lamporecchio;History,http://id.worldcat.org/fast/1269898;http://id.worldcat.org/fast/958235,,
Lancashire (England)--History.,a--x,0,http://id.loc.gov/authorities/subjects/sh2008115976,England--Lancashire;History,http://id.worldcat.org/fast/1204978;http://id.worldcat.org/fast/958235,,
Lancashire (England)--History--Sources.,a--x--v,0,,England--Lancashire;History;Sources,http://id.worldcat.org/fast/1204978;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1423900,,
Land grants.,a,fast,http://id.worldcat.org/fast/991259,Land grants,http://id.worldcat.org/fast/991259,,
Land grants--Italy.,a--z,0,,Land grants;Italy,http://id.worldcat.org/fast/991259;http://id.worldcat.org/fast/1204565,,
Landlord and tenant.,a,fast,http://id.worldcat.org/fast/991718,Landlord and tenant,http://id.worldcat.org/fast/991718,,
Landlord and tenant--France.,a--z,0,http://id.loc.gov/authorities/subjects/sh2008106614,Landlord and tenant;France,http://id.worldcat.org/fast/991718;http://id.worldcat.org/fast/1204289,,
Land tenure.,a,fast,http://id.worldcat.org/fast/991362,Land tenure,http://id.worldcat.org/fast/991362,,
Land tenure--France--Early works to 1800.,a--z--v,0,,,,Land tenure;France;Early works,http://id.worldcat.org/fast/991362;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1411636
Land tenure--France--History.,a--z--x,0,http://id.loc.gov/authorities/subjects/sh2009128607,Land tenure;France;History,http://id.worldcat.org/fast/991362;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/958235,,
Land tenure--France--History--16th century.,a--z--x--y,0,,Land tenure;France;History;Sixteenth century,http://id.worldcat.org/fast/991362;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1119851,,
Land titles--Registration and transfer.,a--x,fast,http://id.worldcat.org/fast/991447,Land titles--Registration and transfer,http://id.worldcat.org/fast/991447,,
Land titles--Registration and transfer--France--History.,a--x--z--x,0,,Land titles--Registration and transfer;France;History,http://id.worldcat.org/fast/991447;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/958235,,
Land titles--Registration and transfer--Italy--History.,a--x--z--x,0,,Land titles--Registration and transfer;Italy;History,http://id.worldcat.org/fast/991447;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/958235,,
Land value taxation.,a,fast,http://id.worldcat.org/fast/991657,Land value taxation,http://id.worldcat.org/fast/991657,,
Land value taxation--France--16th century.,a--z--y,0,,Land value taxation;France;Sixteenth century,http://id.worldcat.org/fast/991657;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1119851,,
Land value taxation--France--17th century.,a--z--y,0,,Land value taxation;France;Seventeenth century,http://id.worldcat.org/fast/991657;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1113663,,
Land value taxation--France--18th century.,a--z--y,0,,Land value taxation;France;Eighteenth century,http://id.worldcat.org/fast/991657;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/904058,,
Language and languages--Philosophy--Early works to 1800.,a--x--v,0,,,,Language and languages--Philosophy;Philosophy;Early works,http://id.worldcat.org/fast/992193;http://id.worldcat.org/fast/1060777;http://id.worldcat.org/fast/1411636
Larciano (Italy)--History.,a--x,0,,Italy--Larciano;History,http://id.worldcat.org/fast/1249741;http://id.worldcat.org/fast/958235,,
Latin America.,a,fast,http://id.worldcat.org/fast/1245945,Latin America,http://id.worldcat.org/fast/1245945,,
Latin drama.,a,fast,http://id.worldcat.org/fast/993101,Latin drama,http://id.worldcat.org/fast/993101,,
Latin drama (Comedy),a,fast,http://id.worldcat.org/fast/993105,Latin drama (Comedy),http://id.worldcat.org/fast/993105,,
Latin drama (Comedy)--Early works to 1800.,a--v,0,,Latin drama (Comedy);Early works,http://id.worldcat.org/fast/993105;http://id.worldcat.org/fast/1411636,,
Latin drama (Tragedy),a,fast,http://id.worldcat.org/fast/993112,Latin drama (Tragedy),http://id.worldcat.org/fast/993112,,
Latin drama (Tragedy)--Early works to 1800.,a--v,0,,Latin drama (Tragedy);Early works,http://id.worldcat.org/fast/993112;http://id.worldcat.org/fast/1411636,,
Latin drama--Early works to 1800.,a--v,0,,Latin drama;Early works,http://id.worldcat.org/fast/993101;http://id.worldcat.org/fast/1411636,,
"Latin Empire, 1204-1261--Statutes.",a--x,0,,"Europe--Latin Empire, 1204-1261;Statutes",http://id.worldcat.org/fast/1245946;http://id.worldcat.org/fast/1132185,,
"Latin language, Medieval and modern.",a,fast,http://id.worldcat.org/fast/993284,"Latin language, Medieval and modern",http://id.worldcat.org/fast/993284,,
"Latin language, Medieval and modern--Dictionaries--German--Early works to 1800.",a--v--x--v,0,,"Latin language, Medieval and modern;Dictionaries;German language;Early works",http://id.worldcat.org/fast/993284;http://id.worldcat.org/fast/1423826;http://id.worldcat.org/fast/941408;http://id.worldcat.org/fast/1411636,,
"Latin language, Medieval and modern--Grammar--Early works to 1800.",a--x--v,0,,,,"Latin language, Medieval and modern--Grammar;Early works",http://id.worldcat.org/fast/993287;http://id.worldcat.org/fast/1411636
"Latin language, Medieval and modern--Rhetoric.",a--x,0,,"Latin language, Medieval and modern--Rhetoric",http://id.worldcat.org/fast/993299,,
"Latin language, Medieval and modern--Rhetoric.",a--x,fast,http://id.worldcat.org/fast/993299,"Latin language, Medieval and modern--Rhetoric",http://id.worldcat.org/fast/993299,,
"Latin language, Medieval and modern--Study and teaching--Early works to 1800.",a--x--v,0,,,,"Latin language, Medieval and modern--Study and teaching;Early works",http://id.worldcat.org/fast/1425786;http://id.worldcat.org/fast/1411636
Latin language.,a,fast,http://id.worldcat.org/fast/993125,Latin language,http://id.worldcat.org/fast/993125,,
Latin language--Dictionaries.,a--x,fast,http://id.worldcat.org/fast/993150,Latin language--Dictionaries,http://id.worldcat.org/fast/993150,,
Latin language--Dictionaries--Early works to 1700.,a--v--v,0,http://id.loc.gov/authorities/subjects/sh2009128906,Latin language--Dictionaries;Dictionaries;Early works,http://id.worldcat.org/fast/993150;http://id.worldcat.org/fast/1423826;http://id.worldcat.org/fast/1411636,,
Latin language--Grammar.,a--x,fast,http://id.worldcat.org/fast/993167,Latin language--Grammar,http://id.worldcat.org/fast/993167,,
Latin language--Grammar--Early works to 1500.,a--x--v,0,http://id.loc.gov/authorities/subjects/sh86003452,Latin language--Grammar;Early works,http://id.worldcat.org/fast/993167;http://id.worldcat.org/fast/1411636,,
Latin language--Metrics and rhythmics.,a--x,fast,http://id.worldcat.org/fast/993203,Latin language--Metrics and rhythmics,http://id.worldcat.org/fast/993203,,
Latin language--Metrics and rhythmics.,a--x,0,http://id.loc.gov/authorities/subjects/sh85074955,Latin language--Metrics and rhythmics,http://id.worldcat.org/fast/993203,,
Latin language--Metrics and rhythmics--Early works to 1800.,a--x--v,0,http://id.loc.gov/authorities/subjects/sh2009128935,Latin language--Metrics and rhythmics;Early works,http://id.worldcat.org/fast/993203;http://id.worldcat.org/fast/1411636,,
Latin language--Orthography and spelling.,a--x,fast,http://id.worldcat.org/fast/993213,Latin language--Orthography and spelling,http://id.worldcat.org/fast/993213,,
Latin language--Orthography and spelling--Early works to 1800.,a--x--v,0,,Latin language--Orthography and spelling;Early works,http://id.worldcat.org/fast/993213;http://id.worldcat.org/fast/1411636,,
Latin language--Study and teaching.,a--x,fast,http://id.worldcat.org/fast/993236,Latin language--Study and teaching,http://id.worldcat.org/fast/993236,,
Latin language--Study and teaching--Early works to 1800.,a--x--v,0,,Latin language--Study and teaching;Early works,http://id.worldcat.org/fast/993236;http://id.worldcat.org/fast/1411636,,
Latin language--Syntax.,a--x,fast,http://id.worldcat.org/fast/993250,Latin language--Syntax,http://id.worldcat.org/fast/993250,,
Latin language--Syntax--Early works to 1800.,a--x--v,0,,Latin language--Syntax;Early works,http://id.worldcat.org/fast/993250;http://id.worldcat.org/fast/1411636,,
"Latin letters, Medieval and modern.",a,fast,http://id.worldcat.org/fast/993329,"Latin letters, Medieval and modern",http://id.worldcat.org/fast/993329,,
"Latin letters, Medieval and modern.",a,0,http://id.loc.gov/authorities/subjects/sh87002317,"Latin letters, Medieval and modern",http://id.worldcat.org/fast/993329,,
"Latin letters, Medieval and modern--Early works to 1800.",a--v,0,,"Latin letters, Medieval and modern;Early works",http://id.worldcat.org/fast/993329;http://id.worldcat.org/fast/1411636,,
"Latin literature, Medieval and modern.",a,0,http://id.loc.gov/authorities/subjects/sh85074968,"Latin literature, Medieval and modern",http://id.worldcat.org/fast/993349,,
"Latin literature, Medieval and modern.",a,fast,http://id.worldcat.org/fast/993349,"Latin literature, Medieval and modern",http://id.worldcat.org/fast/993349,,
Latin literature.,a,fast,http://id.worldcat.org/fast/993331,Latin literature,http://id.worldcat.org/fast/993331,,
Latin literature--Early works to 1800.,a--v,0,,Latin literature;Early works,http://id.worldcat.org/fast/993331;http://id.worldcat.org/fast/1411636,,
Latin literature--Study and teaching.,a--x,fast,http://id.worldcat.org/fast/993344,Latin literature--Study and teaching,http://id.worldcat.org/fast/993344,,
Latin literature--Study and teaching--Early works to 1800.,a--x--v,0,,Latin literature--Study and teaching;Early works,http://id.worldcat.org/fast/993344;http://id.worldcat.org/fast/1411636,,
Latin Orient.,a,0,http://id.loc.gov/authorities/subjects/sh85074970,Middle East--Latin Orient,http://id.worldcat.org/fast/1245947,,
"Latin poetry, Medieval and modern.",a,fast,http://id.worldcat.org/fast/993385,"Latin poetry, Medieval and modern",http://id.worldcat.org/fast/993385,,
"Latin poetry, Medieval and modern.",a,0,http://id.loc.gov/authorities/subjects/sh85074975,"Latin poetry, Medieval and modern",http://id.worldcat.org/fast/993385,,
"Latin poetry, Medieval and modern--Early works to 1800.",a--v,0,,"Latin poetry, Medieval and modern;Early works",http://id.worldcat.org/fast/993385;http://id.worldcat.org/fast/1411636,,
"Latin poetry, Medieval and modern--Italy--Early works to 1800.",a--z--v,0,,"Latin poetry, Medieval and modern;Italy;Early works",http://id.worldcat.org/fast/993385;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1411636,,
Latin poetry.,a,fast,http://id.worldcat.org/fast/993373,Latin poetry,http://id.worldcat.org/fast/993373,,
Latin poetry.,a,0,http://id.loc.gov/authorities/subjects/sh85074974,Latin poetry,http://id.worldcat.org/fast/993373,,
Latin poetry--Early works to 1800.,a--v,0,,Latin poetry;Early works,http://id.worldcat.org/fast/993373;http://id.worldcat.org/fast/1411636,,
Law.,a,fast,http://id.worldcat.org/fast/993678,Law,http://id.worldcat.org/fast/993678,,
Law--Italy--Città di Castello.,a--z--z,0,,Law;Italy--Città di Castello,http://id.worldcat.org/fast/993678;http://id.worldcat.org/fast/1204564,,
Law--Italy--History.,a--z--x,0,http://id.loc.gov/authorities/subjects/sh2008106786,Law;Italy;History,http://id.worldcat.org/fast/993678;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/958235,,
Law--Italy--History--16th century--Sources.,a--z--x--y--x,0,,Law;Italy;History;Sixteenth century,http://id.worldcat.org/fast/993678;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1119851,,
Law--Italy--Livorno.,a--z--z,0,,Law;Italy--Livorno,http://id.worldcat.org/fast/993678;http://id.worldcat.org/fast/1206206,,
Law--Italy--Naples (Kingdom)--Early works to 1800.,a--z--z--v,0,,Law;Italy;Naples (Kingdom);Early works,http://id.worldcat.org/fast/993678;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1205419;http://id.worldcat.org/fast/1411636,,
Law--Italy--Reggio Emilia.,a--z--z,0,,Law;Italy--Reggio Emilia,http://id.worldcat.org/fast/993678;http://id.worldcat.org/fast/1204878,,
Law--Jerusalem (Latin Kingdom).,a--z,0,,Law;Middle East--Jerusalem (Latin Kingdom),http://id.worldcat.org/fast/993678;http://id.worldcat.org/fast/1265802,,
Law--Netherlands--Drenthe--Early works to 1800.,a--z--z--v,0,,Law;Netherlands--Drenthe;Early works,http://id.worldcat.org/fast/993678;http://id.worldcat.org/fast/1205603;http://id.worldcat.org/fast/1411636,,
Law--Netherlands--Overijssel--Early works to 1800.,a--z--z--v,0,,Law;Netherlands--Overijssel;Early works,http://id.worldcat.org/fast/993678;http://id.worldcat.org/fast/1204296;http://id.worldcat.org/fast/1411636,,
Law--Spain.,a--z,0,http://id.loc.gov/authorities/subjects/sh85075188,Law;Spain,http://id.worldcat.org/fast/993678;http://id.worldcat.org/fast/1204303,,
Law--Spain--16th century.,a--z--y,0,,Law;Spain;Sixteenth century,http://id.worldcat.org/fast/993678;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/1119851,,
Law--Switzerland.,a--z,0,http://id.loc.gov/authorities/subjects/sh85075191,Law;Switzerland,http://id.worldcat.org/fast/993678;http://id.worldcat.org/fast/1205401,,
Lawyers.,a,fast,http://id.worldcat.org/fast/994346,Lawyers,http://id.worldcat.org/fast/994346,,
Lawyers--Italy--Florence--History--16th century.,a--z--z--x--y,0,,Lawyers;Italy--Florence;History,http://id.worldcat.org/fast/994346;http://id.worldcat.org/fast/1204699;http://id.worldcat.org/fast/958235,,
Learning and scholarship.,a,fast,http://id.worldcat.org/fast/994857,Learning and scholarship,http://id.worldcat.org/fast/994857,,
Learning and scholarship--Early works to 1800.,a--v,0,http://id.loc.gov/authorities/subjects/sh2008106875,Learning and scholarship;Early works,http://id.worldcat.org/fast/994857;http://id.worldcat.org/fast/1411636,,
"Learning and scholarship--History--Medieval, 500-1500.",a--x--y,0,http://id.loc.gov/authorities/subjects/sh85075531,Learning and scholarship;History;500-1500,http://id.worldcat.org/fast/994857;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1355938,,
Lectionaries.,a,fast,http://id.worldcat.org/fast/995270,Lectionaries,http://id.worldcat.org/fast/995270,,
Lectionaries--Early works to 1800.,a--v,0,,,,Lectionaries;Early works,http://id.worldcat.org/fast/995270;http://id.worldcat.org/fast/1411636
Lectionaries--Specimens.,a--v,0,,Lectionaries;Specimens,http://id.worldcat.org/fast/995270;http://id.worldcat.org/fast/1423861,,
Legal documents.,a,fast,http://id.worldcat.org/fast/995459,Legal documents,http://id.worldcat.org/fast/995459,,
Legal documents.,a,0,http://id.loc.gov/authorities/subjects/sh85075742,Legal documents,http://id.worldcat.org/fast/995459,,
Legal maxims (Canon law),a,fast,http://id.worldcat.org/fast/995509,Legal maxims (Canon law),http://id.worldcat.org/fast/995509,,
Legal maxims (Canon law)--Early works to 1800.,a--v,0,,Legal maxims (Canon law);Early works,http://id.worldcat.org/fast/995509;http://id.worldcat.org/fast/1411636,,
Legal maxims (Roman law),a,fast,http://id.worldcat.org/fast/995511,Legal maxims (Roman law),http://id.worldcat.org/fast/995511,,
Legal maxims (Roman law)--Early works to 1800.,a--v,0,,Legal maxims (Roman law);Early works,http://id.worldcat.org/fast/995511;http://id.worldcat.org/fast/1411636,,
Legends--Rome--Poetry.,a--z--v,0,http://id.loc.gov/authorities/subjects/sh2008106703,Legends;Rome (Empire);Poetry,http://id.worldcat.org/fast/995592;http://id.worldcat.org/fast/1204885;http://id.worldcat.org/fast/1423828,,
Lent.,a,fast,http://id.worldcat.org/fast/996188,Lent,http://id.worldcat.org/fast/996188,,
Lent--Early works to 1800.,a--v,0,,Lent;Early works,http://id.worldcat.org/fast/996188;http://id.worldcat.org/fast/1411636,,
Lent--Liturgy.,a--x,fast,http://id.worldcat.org/fast/996190,Lent--Liturgy,http://id.worldcat.org/fast/996190,,
Lent--Liturgy--Texts.,a--x--v,0,,Lent--Liturgy;Liturgics;Texts,http://id.worldcat.org/fast/996190;http://id.worldcat.org/fast/1000579;http://id.worldcat.org/fast/1423705,,
"Letters, Papal.",a,0,http://id.loc.gov/authorities/subjects/sh85076241,"Letters, Papal",http://id.worldcat.org/fast/996800,,
"Letters, Papal.",a,fast,http://id.worldcat.org/fast/996800,"Letters, Papal",http://id.worldcat.org/fast/996800,,
Letters--Early works to 1800.,a--v,0,,,,Correspondence;Early works,http://id.worldcat.org/fast/2003288;http://id.worldcat.org/fast/1411636
"Letter writing, German.",a,fast,http://id.worldcat.org/fast/996724,"Letter writing, German",http://id.worldcat.org/fast/996724,,
