title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label,standard_title
al-Fatḥ al-ẓāhir wa-al-naṣr al-bāhir fī fann ramy al-ṭūb wa-al-qunburah,الفتح الظاهر والنصر الباهر في فن رمي الطوب والقنبرة.,,,,
Alfonso Petrucci property instructions,,,,,
Alfonso Petrucci public instrument,,,,,
al-Ḥawḍ. Baḥr al-dumūʻ,الحوض. بحر الدموع.,,,,
al-Isfār ʻan qalm al-aẓfār,,,,,
al-Kashf wa-al-tabyīn fī ghurūr al-khalq ajmaʻīn,,,,,
Allegoriae sacrae scripturae,,,,,
al-Mulāḥaẓah al-intiqādiyah fī al-sīrah al-Muḥammadīyah,الملاحظة الانتقادية في السيرة المحمدية.,,,,
al-Mulakhkhaṣ fī al-hayʼah,الملخص في الهيئة.,,,,
al-Muqaddimah al-Ghaznawīyah,المقدمة الغزنوية.,,,,
al-Nuṭq al-mafhūm min ahl al-ṣamt al-maʻlūm,,,,,
Alphabet,,,,,
Alphabetical dictionary (of legal terms?),,,,,
al-Qāmūs al-muḥīṭ,القاموس المحيط.,,,,
al-Qawl al-aẓhar fī jawāz libs al-aḥmar,,,,,
al-Risālah al-dāmighah lil-fāsiq... etc,الرسالة الدامغة للفاسق... إلخ..,,,,
al-Risālah al-salāmīyah,,,,,
al-Ṣulḥ bayna al-ikhwān fī ḥukm ibāḥat al-dukhān,,,,,
al-Suʼāl wa-al-murād fī jawāz istiʻmāl al-misk wa-al-ʻanbar wa-al-zabād,,,,,
al-Tārīkh al-kanāʼisī,التاريخ الكنائسي,,,,
al-Taṣrīḥ fī sharḥ al-tasrīḥ,,,,,
"Altera apologia pro rege christianissimo contra caesarianos, in qua de causis belli inter regem et caesarem recens orti brevissime et verissime agitur",,,,,
al-Tuḥfah al-shāhīyah fī al-hayʼah,التحفة الشاهية في الهيئة.,,,,
Alvise Mocenigo I notice,,,,,
al-Wishāḥ fī fawāʼid al-nikāḥ,,,,,
"An inventary of all and singular the goodes and chattells and debtes of John Ffox, late of Chacumbe in the countie of Northampton, gentleman deceased",,,,,
André Blondet agreement,,,,,
Anglezarke indenture,,,,,
Anīs al-munqaṭiʻīn,,,,,
Anne de Montmorency nomination,,,,,
Annotations,,,,,
Antonio Maria d'Enea di Giacomo Todeschini Piccolomini transcript of emancipation,,,,,
Apparatus super constitutionibus Concilii Viennensis,,,,,
Appointment,,,,,
Appointment of attorney-at-law,,,,,
Appointment of executor,,,,,
Appointment of legal representatives,,,,,
Appointment of mediator,,,,,
Appointment of mediators,,,,,
Archdiocese of Siena nomination,,,,,
Argumenta,,,,,
Armorial,,,,,
Ars epistolandi ... etc,,,,,
Arte della lana legal decision,,,,,
Asās sirr al-akyās,,,,,
Astrological material?,,,,,
Ayyuhā al-akh,,,,,
Ayyuhā al-walad,,,,,
Badāʼiʻ al-funūn,بدائع الفنون.,,,,
Badīʻ al-ḥisāb,بدیع الحساب.,,,,
Baḥr al-dumūʻ,,,,,
Baḥr al-ʻUyūn,بحر العیون.,,,,
Bāb fī al-luʻb bi-al-maysir,,,,,
Baldinus Ceccharini legal claim,,,,,
Balia grant,,,,,
Balia of Siena grant,,,,,
Balia of Siena privilege,,,,,
Bartolomeo Chellini and Giovanfrancesco de' Carli act of exchange,,,,,
Basis grammatice,,,,,
Batista Piccolomini petition,,,,,
Bernardo Carnesecchi legal decision,,,,,
Bernardo di San Miniato petition for tax adjustment,,,,,
"Beschreibung des Lanndtags welcher von dem durchleuchtigen hochgebornnen Fürsten und Herrn, Herrn Wilhelmen Pfaltzgrauen bei Rhein, Herzogen in Obern unnd Nidern Bairn auf den 27 Tag Novembers geen Münnchen aufgeschriben, auch daselbs gehallten unnd was damals auf irer f. ge. Proposition durch gemijne Stennd dazemal versambleter Lanndschafft von Tag zu Tag gehanndlet unnd enntlich beschlossen worden ist, anno 1583, volgt hochermellts unnsers ge. f. unnd Herrns genedig Erforderung an alle Lanndsessen auffganngen ... etc",,,,,
Beschreibung dess Lanndtags der auff Absterben weillendt des durchleuchtigen hochgebornnen Fürstenn und Herrn Herzog Albrechts in Bayrn hochloblicher Gedechtnus von seiner f.g. Son dem auch durchleuchtigen hochgebornnen Fürsten und Herrn Hertzog Wilhelmen alss angehendem ainigem regierenden Lanndsfürsten auf den dritten Tag Decembris geen Minchen ausgeschriben,,,,,
Bet Elohim,,,,,
Bhedadhikkāra,"भेदधिक्कार,",,,,
Biblical concordance,,,,,
Bīst bāb dar ʻilm-i usṭurlāb,بیست باب در علم اسطرلاب.,,,,
Bill of exchange dispute,,,,,
Bill of sale of land,,,,,
Bill of sale of vineyard land,,,,,
Bishop Pietro Flores document,,,,,
Bodhāyanacayanaprayoga,"भोधायनचयनप्रयोग,",,,,
"Book I, 4,5,6",,,,,
Book on the configuration of the orb,,,,,
Boundary dispute,,,,,
Brief Discourse of the Estate of the Kingdoms of Spayne and Portugall,,,,,
Bughyat al-nussāk fī al-kalām ʻalá al-siwāk,,,,,
Cacciacomes family conditions for peace,,,,,
Calendarium and ephemerides,,,,,
Camera Apostolica document,,,,,
Camera della Biccherna license,,,,,
Canones vel operationes in operando quadrante,,,,,
Canzone,,,,,
Capitolario de le parte et ordeni del officio di magistri signori tre savii areveder le raxon dela Illustrissima Signoria per conto del cancello de le 30 e 40 per cento,,,,,
"Capitoli della Compagnia della gloriosa Vergine Maria, et di Santo Egidio advocati et protectori delli huominj del Castello di Romena, nuovamente fatti et ordinati per gli prudenti huomini, cioè Francesco di San Giovanni, priore di dicta Compagnia, Bidoro d'Antonio, Camarlingo in essa ... etc. /",,,,,
"Capitoli, esentioni, et privilegii delli huomini et commune di Montedoglio ... dalli gran duchi di Toscana confirmati",,,,,
Capitula Mirabelle,,,,,
Cardinal Philippus record of sale,,,,,
Cardinal Pietro Lodovico Borgia license,,,,,
Carlo de Piccolomini land petitions,,,,,
Carmen de nuptiis Pauli Sfortiae et Lucretiae Piae,,,,,
Carmina,,,,,
Carmine alla Beata Vergine Maria,,,,,
Cartas nupciales,,,,,
Causae juridicae,,,,,
Charles VIII decree,,,,,
Charter granting a dowry to his daughter,,,,,
Charter granting seigneurial rights to Raimundus Berengarius and his wife Dulcia,,,,,
Chiarini correspondence,,,,,
Chrestomathy of Latin authors,,,,,
Christophorus Hegendorfyne Doctor of the Law to the right wyse and excellent man Lorde Thomas Reibin senator of francofort by syde oderani his singuler good patron wyssheth healthe,,,,,
Chronica de la edificatione et destructione del Cassaro Anconitano...etc. /,,,,,
Chy fait mencion comment le Roy Henry d'Engleterre renvoya la Reyne Izabel jadis femme du Roy Richard d'Engleterre en France et de ceulx qui le rechevirent,,,,,
Città di Castello authorization of sale,,,,,
Clemens PP. XII.,,,,,
Collectanea opusculorum eruditorum et historicorum,,,,,
Collection of administrative documents,,,,,
Collection of alphabets and encoded correspondence,,,,,
Collection of documents,,,,,
Collection of documents concerning inheritance,,,,,
Collection of French poetry,,,,,
Collection of hymns and antiphons,,,,,
Collection of laws for the use of the Podestà di Rovigo,,,,,
"Collection of laws, edicts, and proclamations",,,,,
Collection of prayers,,,,,
Collection of texts on the calendar,,,,,
Collection of treatises on Sufism and Islam,,,,,
Comitis Gabutii de Montealbodio juveniles & amatoriae epistolae,,,,,
Commentarius cum quaestionibus in universam Aristotelis philosophiam naturalem,,,,,
Commentary on the Doctrinale puerorum,,,,,
Commission,,,,,
Commonplace book and recipe book,,,,,
Comoediae,,,,,
Compendio delle istorie di Pisa,,,,,
Compendium iuris canonici,,,,,
Compendium of legal texts,,,,,
Compendium of Logic,,,,,
Compendium religiosi vivendi,,,,,
Compte des biens rentes et revenues de le livree du commun des chapellains de l'eglise Saint Ame en Douay,,,,,
Comptes Adrien de le Borve,,,,,
Concession of nobility,,,,,
Conciones aliquot domesticae,,,,,
Conclusiones,,,,,
"Conclusiones""",,,,,
Confessio,,,,,
Confirmation,,,,,
Confirmation of sale,,,,,
"Confutatio libelli Philippi Melanchtonis cuius titulus est De officio principum, quod mandatum dei praecipiat eis tollere abusus ecclesiasticos /",,,,,
Consilium,,,,,
Consilium generale decision,,,,,
Consilium generale grant of plenary power,,,,,
Constitutiones nonnullae magnificae communitatis Parmae /,,,,,
Contra impedimiam,,,,,
Contract,,,,,
Contracti inter particulas personas,,,,,
Contratti de beni di Firenze della famiglia Concini,,,,,
Conventio inter rectores ospitalis civitatis placentie et D. Antonium Francescum Finellum,,,,,
Cookery book,,De re coquinaria.,,,
Copia schedula,,,,,
Copies of documents pertaining to the Ospedale della Misericordia in Lucca,,,,,
Copies of documents relating to water rights in Milan,,,,,
Corregidor of the Villa de Oropesa in the Valle de Cochabamba,,,,,
Correspondence of Wilhelm IV,,,,,
Court record of proceedings in a lawsuit against Isabel Garcia,,,,,
Crestomazia di poeti italiani del Cinquecento,,,,,
Cristoforo di Guidantonio de Piccolomini rental agreement,,,,,
Cronica de la o'rden de los éremitaños del glorioso Padre Sancto Augustin,,,,,
Cronica de origine et situ oppidi Montalbodi,,,,,
"Cronica di tutti li Dogi di Venetia sino á quello che hora vive, con le armi loro",,,,,
"Cronica dopo la morte del Duca Alessandro de' Medici, fino al 1555",,,,,
Curia Romana proclamation,,,,,
Darr al-ghamāmah fī durr al-ṭaylasān wa-al-ʻadhabah wa-al-ʻimāmah,,,,,
De accidentibus animae rationalis,,,,,
De diversis prologis martilogii per quos patet quantam diligentiam sancti et antiqui ad conpilationem huius opusculi habeant.,,,,,
De haeresibus,,,,,
De Merles,,,,,
DE NUPTIIS PAULLI SFORTIAE ET LU/ CRETIAE PIAE/ ACHILLIS STATII LUSITANI/ CARMEN,,,,,
De philosophia naturali,,,,,
De sacramentis ... etc,,,,,
De sacro bello contra Turcos commentarius,,,,,
Declaration of receipt of dowry,,,,,
Declaration of receipt of ox,,,,,
Declaratorio sopra la regola del padre nostro sancto Benedetto ... etc,,,,,
"Decretals of Gregory IX, commentary on",,,,,
Decreto di banco feneratitio,,,,,
Deed,,,,,
Deed of exchange,,,,,
Deed of sale,,,,,
"Deed, 1434 June 29, declaring that William Bokenham, Alexander Webster, and John Golle give to John Costyn, et al, land in Weasenham",,,,,
"Del estatuto Toledano, i çierta apologia",,,,,
"Der Bischoff zue Cöllen, den Maleuolis vnd bellenden Hundtenn herwieder... etc",,,,,
"Describit iter suum ad brundisi, sermo Vus",,,,,
Designation of factor,,,,,
Designation of procurator,,,,,
Dhūrtasvāmibhāṣyatīkā,"धूर्तस्वामिभाष्यतीका,",,,,
Dialogue on the Marriage of Queen Elizabeth,,,,,
"Diaria Pii Papae IV, Pii Papae V, Gregorii Papae XIII",,,,,
Diario historico de successi del concilio di Trento,,,,,
"Diatribe de heraldorum origine, officio, collegio, etc.",,,,,
Didactic poem on surveying and measurement of areas (taksīr),,,,,
Die Klag vom Wolf am Hage,,,,,
Dieudonné Cabanier homage,,,,,
Digest,,,,,
Digestorum prooemium,,,,,
Digestum novumwith gloss,,,,,
Dîvân-i Kutb al-arifin,ديوان قطب العارفين.,,,,
Diocese of Arezzo nomination,,,,,
"Diploma issued to Adam, son of Teutio",,,,,
Discurso cerca de los cuentos de las brujas,,,,,
"Disputations on the Physics, Metaphysics and De anima of Aristotle",,,,,
Distribution of property,,,,,
Doctrinale,,,,,
Document,,,,,
Document concerning property rights dispute,,,,,
"Document conferring nobility upon Iacobo Gianotti, 1644 February 10, Vienna",,,,,
Documents concerning Genoa and Finale Ligure,,,,,
Documents concerning land ownership in Pixerécourt,,,,,
Documents concerning the governance of Passau,,,,,
Documents concerning the seigniory of Basville-en-Roumois,,,,,
Documents of the town of Châtenois,,,,,
"Dogale. Decree of Domenico Contarini, Doge of Venice, concerning the acquisition in feoffe of Cazzabella, in the territory of Asola Bresciana, by the brothers Counts Francesco and Girolamo Avogadro of Asolo",,,,,
Dominica 20 post festum trinitatis,,,,,
Dominica IIII [verso],,,,,
Dominica in ramis palmarum euangelium secundum Mattheum,,,,,
Dominica prima post octavas penthecostes,,,,,
Dominici Capranici Card. Vita ad Card. Papien. Baptistae Pogii,,,,,
Don Antonio Bartoli petition,,,,,
Don Giovanni di Bartolo inheritance acknowledgment,,,,,
Donation to the convent of Santa Giulia,,,,,
Dos discursos de la cifra,,,,,
Dowry arrangements,,,,,
Dowry receipt,,,,,
Dowry record,,,,,
"Draft of a dispatch to Ramon de Cordova, Viceroy of Sicily",,,,,
Dubia,,,,,
Duo dialogi de philosophia morali,,,,,
ʻIr siḥon,,,,,
ʻIẓat al-albāb wa-dhakhīrat al-iktisāb,,,,,
Edict against reforming tendencies,,,,,
Edict concerning Jews in Livorno and Pisa,,,,,
Edicts concerning Jews in Mantua,,,,,
Ein Gedicht darinn angezaigt wirt wie frum Herzog Heinrich zu Braunschweig unnd wie böss die Luterischen sein,,,,,
"Einn schönn neu Liedt vonn dem abgefallnenn unnd ubell erweldenn Bischoff von Collnn, im Thonn wie mann denn armenn Judas singt",,,,,
Emperor Sigismund appointment,,,,,
"Encyclopaedia historica et filosophica, latine et italice",,,,,
"Endorsement on contract concerning a dowry and legacy, 1694 March 20, St.-Germain?, France",,,,,
Epitaphium Comitis henrici,,,,,
Epitaphium petri comestoris,,,,,
Epitaphium Senecae,,,,,
Epitaphorum libellus,,,,,
Epithoma,,,,,
Epithome artis epistolaris ... etc,,,,,
Epitome,,,,,
"Escrit Par N. JARRY, M. DC. LI",,,,,
Ex libris Paris de Grassis Bononiensis,,,,,
Ex quo vocabularii autentici varii,,,,,
Ex quo vocabularii varii et autentici,,,,,
Examination of witnesses,,,,,
Excerpt from the book of civil cases of the court of San Miniato,,,,,
Excerpt from the book of statutes of San Genino(?),,,,,
Excerpt from the book of the Uffizio della mercanzia of Florence,,,,,
Excerpta ex operibus Sancti Augustini,,,,,
Excerptiones de arte grammatica,,,,,
"Excerpts possibly made by Sir Isaac Newton (1642-1727) from Dickinson's alchemical tract, Epistola Edmundi Dickinson MD. & medici regii ad Theodorum Mundanum philosophum adeptum: De quintessentia philosophorum et De vera physiologia, una cum quaestionibus aliquot de secreta materia physica (Oxford: Sheldonian Theatre, 1686)",,,,,
Excerpts regarding Josephus and Eusebius of Caesarea,,,,,
Executoria a pedimiento,,,,,
Expositiones difficiliorum vocabulorum de bibliotheca per ordinem alphabeti,,,,,
Extensive handwritten marginal notes in a printed book containing three texts,,,,,
Extracts from and commentaries on Liber bellorum Domini,,,,,
Extratto da un libro de razza da cavalli del re Ferrante vechio de Aragona,,,,,
f. 1 verso,,,,,
"Familie nobiles Romanorum, Familie eorundem plebeie",,,,,
Fawāʼid al-ḥabīb. Zinjār al-ḥukamāʼ,فوائد الحبيب. زنجار الحكماء.,,,,
Fazio de Piccolomini claim,,,,,
Ferdinand I privileges,,,,,
Feudal rents,,,,,
Feudal sentence,,,,,
Feuer Buech,,,,,
Filza di scritture de signori Medici,,,,,
Filza di scritture dell'Arrigucci,,,,,
Filza LII: segnata: F.3 Gondi et altri,,,,,
Filza Xma segnata con la lettera K: come apparisce al suo estratto sotto: n. 344,,,,,
"Filza XV segnata con la lettera P, come appare all'estratto sotto, n. 441",,,,,
Financial agreement,,,,,
Financial document excerpt,,,,,
Financial recommendations for Francis I,,,,,
Financial records,,,,,
Fine for physical injury,,,,,
For the Wormes,,,,,
Formata ut conmendata,,,,,
Forty homilies on the Gospels,,,,,
Four English devotional works,,,,,
Four Lines of Calligraphy from the Qasidat al-Burda,,,,,
Four treatises on astrolabes and astronomy,,,,,
"Fragments of accounts rendered to Mahaut d'Artois, Countess of Burgundy",,,,,
Francesco Bernardo indulgence,,,,,
Francesco Cosci appointment,,,,,
Francesco Soderini indulgence,,,,,
Francis I brevet,,,,,
Franciscans of Metz,,,,,
Fraternità di Santa Maria petition,,,,,
Genealogical chronicle fragment of the kings of England to Kimbelinus and Arvigarus,,,,,
Genealogical chronicle of the kings of England to Edward IV,,,,,
"Genealogical information and chart, 1705 November",,,,,
Genelogies of the Erles of Lecestre and Chester,,,,,
Generale consilium partis Guelforum decision,,,,,
German religious and literary miscellany,,,,,
Giacoma di Ugo conveyance,,,,,
Giacomo Tornieri letter to Bernardo Giunta,,,,,
Gift,,,,,
Gift of a prebend,,,,,
Giovanni d'Andrea di Nanni Todeschini Piccolomini grant of legitimation,,,,,
Giovanni di Urbano Piccolomini del Testa estate arbitration,,,,,
Giovanni Piccolomini guardianship agreement,,,,,
Giovanni Piccolomini petition,,,,,
Giovanni Scala profession of faith excerpt,,,,,
Giovenco de' Medici election,,,,,
Girolamo Piccolomini appointment,,,,,
Giulio Antonio absolution,,,,,
Gondi-Medici miscellany,,,,,
Grammar,,,,,
Grammatica latina,,,,,
Grammatical text,,,,,
Grant,,,,,
Grant in fee simple,,,,,
Grant in frankalmoigne,,,,,
Grant of arms,,,,,
Grecismus Cornutus ... etc,,,,,
Gregory de Chastellar agreement,,,,,
Guelf party affiliation excerpt,,,,,
Guerino Meschino,,Guerrino il Meschino,,,
Guild records,,,,,
Guild regulations,,,,,
Haft paykar,هفت پيکر.,,,,
Hādhā kitāb irshād /,هذا كتاب ارشاد /,,,,
Hādhā kitāb sih zabān,هذا کتاب سه زبان.,,,,
Hādhā min Khawāṣs al-manāzil wa-hiya fī al-maghrib anwāʼ,هذا من خواص المنازل وهي في المغرب انواء.,,,,
Handbook of commercial arithmetic,,,,,
Harangue de Monsieur l'Evêque de Chartres prononcée devant le Roy,,,,,
Haza rūznāme-yi Dārendevī,هذا روز نامۀ دارندوى.,,,,
Herbal ... etc,,,,,
Herbal in the tradition of Dioscorides,,,,,
Here bigynneth ye letanye,,,,,
Here bigynneth ye vii P,,,,,
ḥadāʼiq al-ḥaqāʼiq fī mawāʼiẓ al-khalāʼiq,,,,,
Ḥāshiyah ʻalá Sharḥ al-Saʻd ʻalá al-ʻAqāʼid al-Nasafīyah,حاشية على شرح السعد على العقائد النسفية.,,,,
Ḥall al-Mūjiz,حل الموجز.,,,,
Ḥall al-ṭilsam wa-kashf al-sirr al-mubham,حل الطلسم وكشف السر المبهم.,,,,
Ḥaṭṭ al-niqāb ʻan wujūh aʻmāl al-ḥisāb,حط النقاب عن وجوه اعمال الحساب.,,,,
Ḥeshbon mahalkhot ha-kokhavim,,,,,
Histoire de la mort de Henri IV,,,,,
"Historia de la gloriosa virgen y martyr Leocadia, patrona de Toledo",,,,,
Historia de Papa Allexandro et Phridrico Barba Rossa,,,,,
Historiated initial cut from an illuminated manuscript,,,,,
History of Marechal de Gassion,,,,,
History of the Reformation in Switzerland from mid-1529 through 1532 ... etc,,,,,
Homilia 106: De timore Dei et correctione linguarum,,,,,
Homilia Bede in fest Annunciationis,,,,,
"Horatius Flaccus, Quintus, Opera, with Commentary by Christopher Landinus (Incunable Leaf)",,,,,
"Horatius Flaccus, Quintus, Opera, with Commentary by Christophorus Landinus",,,,,
"Hybrid book of letters of Poliziano, Symmachus, and Laudinus",,,,,
Hybrid compendium of Seneca's tragedies and scholarly apparatus,,,,,
Iʻlām al-tilmīdh bi-aḥkām al-nabīdh,,,,,
Igeret orḥot ʻolam ... etc,,,,,
Īḍāḥ al-maqāṣid li-farāʼid al-fawāʼid,ايضاح المقاصد لفرائد الفوائد.,,,,
III. KLS. Augusti. Passio,,,,,
Il modo di innamorarsi del Signor,,,,,
Il Publico di Lorenzo Spirito Perugino nel quale si contiene il Lamento di Perugia essendo sogiogata,,,,,
Il tempio di castitade,,,,,
Il vendemmiatore ... etc. /,,,,,
Illumineirr buch künstlich alle Farben zu machen und bereidenn allen Briefmalern sampt andern solcher kunsten liebhabern nutzlich unnd gutt zu wissen,,,,,
Illustrations to Georg von Peurbach's Novae theoricae planetarum,,,,,
In epistolam Johannis ad Parthos (Sermons on the first epistle of Saint John),,,,,
In nomine domini nostri ihesu,,,,,
In quatuor Evangelistas,,,,,
Incipit epistola beati Eusebii discipuli sancti Iheronimi ad beatum damasum portuensem episcopum et ad christianissimum theodonium romanorum senatorem de morte gloriosissimi Iheronimi doctoris eximii. Salutatio seu epistola,,,,,
Incipit exposicio regule beati Augustini episcopi secundum fratrem humbertum Magistrum ordinis predicatorum,,,,,
Incipit expositio beatissimj ambrosii super beati immaculati,,,,,
Incomplete text on letter magic,,,,,
"Indenture, 1607 May 12, between John Williams of London and Richard Shelly of Itchingfield (Etchingfield), Sussex regarding the transfer of a tenement in St. John's Street in Clerkenwell, London",,,,,
Indictio currens,,,,,
Indulgence,,,,,
Informacio recepta super conversione sarracenorum ad fidem catholicam,,,,,
Innocent IV privilege,,,,,
Inscription,,,,,
"Inscription: the flyleaf (fol. 1v), ""iIste liber est in custodia Elizabet de wal[m]den quem scribere fecit ad laudem dei si q[uequam] in eo legerit oret pro ea propter deum"", ‘This book is in the keeping of Elisabeth von Walmden who had it written to the praise of God; whoever reads from it, may she pray for her, for the sake of God’, to which another hand (perhaps hers) adds in vita & post mort",,,,,
Instructions to Nicolaus Theupulo,,,,,
Instrumenta della condizione dei beni di Santa Crestina a livello perpetuo fatte l'anno 1490 da Antonio di Dominice di Ciacco Ciacchi e si paga lire sette servono per fare celebrare lo messe...,,,,,
Instrumenta feudorum castri Sone,,,,,
Instrumenta magnificorum fratrum de Tartaleonibus,,,,,
Inventions or devises,,,,,
Inventory of possessions,,,,,
Inventory of the possessions of Abbot Balthasar Dason,,,,,
Irshād al-sārī,إرشاد الساري.,,,,
Isti sunt accusandi in placito christianitatis et in ecclesia quando fuerit necessarium,,,,,
"Istromenti di quittanze, ed altri contratti a favore del Sr.? Cesare Ressano &? suoi interessi particolari",,,,,
Istruzioni a voi Signor Pietro d'Agostino della relazione che s'aver à Sua Maestà delle cose di Sicilia ... etc,,,,,
"Istruzioni, memoriali, lettere, ricordi",,,,,
Italian Notarial Loan Record,,,,,
Jacopo Nannis de Piccolomini debt agreement,,,,,
Jadāvil-i ikhtiyārāt,جداول اختيارات.,,,,
Jāmiʻ al-ʻulūm,جامع العلوم.,,,,
Jihat al-waḥdah,جهة الوحدة.,,,,
Joanna I grant of pension,,,,,
Johannis Tostii clarissimorum Witebergensium professorum descriptio,,,,,
John Elys deed,,,,,
John Eyr mortgage,,,,,
"Journals, 1697 December 8 to 1698 July 5",,,,,
Junnat al-amān al-wāqiyah wa-junnat al-īmān al-bāqiyah,جنة الأمان الواقية وجنة الايمان الباقية.,,,,
"Juramentbuech, darinnen aller Beambten alsz Burgermaister, Ratsherinn, Stattschreiber, neuen Burger und anderer Aide, den sie in Antrettung ihrer Dienst und Pflichten publice laysten müssen, zu finden",,,,,
Kāfiyat al-ṭālib al-rabbānī li-Risālat Ibn Abī Zayd al-Qayrawānī. Fatḥ al-mannān ʻalá naẓm mawrid al-ẓamʼān,كافية الطالب الرباني لرسالة ابن ابي زيد القيرواني. فتح المنان على نظم مورد الظمآن.,,,,
Kāmil al-sināʻah al-tibbīyah ... etc,,,,,
Kanz al-daqāʼiq,كنز الدقائق.,,,,
Kashf al-asrār ʻan ḥikam al-ṭuyūr wa-al-azʹhār,,,,,
Kharīdat al-ʻajāʼib wa farīḍat al-gharāʼib,خريدة العجائب و فريضة الغرائب.,,,,
Khulāṣat al-ḥisāb,خلاصة الحساب.,,,,
Kitāb Alghāz fī al-lughah al-ʻArabīyah,كتاب الغاز في اللغة العربية.,,,,
Kitāb al-iʻtibar wa-aʻqāb al-surūr wa-al-aḥzān,,,,,
Kitāb al-Kashf wa-al-bayān. Īḍāḥ al-rumūz fī al-burhān,كتاب الكشف والبيان. ايضاح الرموز في البرهان.,,,,
Kitāb al-Tawākiz al-muḥarrarah wa-al-ḍamāʼir al-mustakhbarah,كتاب التواكز المحررة والضمائر المستخبرة.,,,,
Kitāb fī istīʻāb al-wujūh al-mumkinah fī ṣanʻat al-asṭurlāb,كتاب في استيعاب الوجوه الممكنة في صنعة الاسطرلاب.,,,,
Kitāb-i Surkhāb dar ʻilm-i raml,کتاب سرخاب در علم رمل.,,,,
"Kurtze Verzeichnus was auf den drittenn Tag Heuwmonats Anno 1582 zwijschen Herrenn Jacob Christoffel Blaarer Bischoff zu Brundruth und den? Unnderthonen der Herrschaft zu Pfeffingen, durch die Gesandten der siben catholischen Orthen der Eijdtgnossschaft, als Lutzern, Urij, Schwijtz, Underwalden, Zug, Frijburg und Solothurn, von wegen Religions sachen fürgenommen uund verhandlet worden, wie volgt",,,,,
"La chimie, couleurs, parfumerie",,,,,
La declaracion de tous les haulx fais et glorieuses aventures du duc Phelippe du Bourgoingne,,,,,
La regla y constituciones de la cofradia y congregacion y cofrades del glorioso y bienaventurado señor sant Pedro martyr,,,,,
La vita de Sancto Orso,,,,,
La vita e ... la conversione del nostro segniore jhesu christo,,,,,
"La vray-disant, advocate des dames",,,,,
Ladino manuscript,,,,,
Laghuvākyavṛttiprakāśikā,"लघुवाक्यवृत्तिप्रकाशिका,",,,,
Land sale contract,,,,,
Lanndtafel dess Fürstenthümbs Obern und Nidern Bairn,,,,,
"Lantrecht van Zallant, van Twenthe, van Vullenhoe, van Drenthe, mit anderen priviligien des landes van Overijssel",,,,,
Laṭāʼif al-kalām fī aḥkām al-aʻwām,لطائف الكلام في احكام الاعوام.,,,,
Laude spirituali,,,,,
Laurentius pisanus presbiter Leonardo datho presbitero salutem,,,,,
"Laurentius Quaglielmus Ty Iulio Lutio Mancino, S. P. D.,",,,,,
"Laurentius Quglielmus Tij, De arte metrica, De pedibus",,,,,
Law Codex,,,,,
Le Château périlleux,,,,,
Le constitutione delle Suore della penitentia de Santo Domenico del Terzo Ordine del Monasterio di Santo Vincentio di Firenze vocato Annalena,,,,,
