title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label
al-Juzʼ al-rābiʻ ʻashar,الجزء الرابع عشر.,Qurʼan.,قرآن.,Qurʼan
al-Juzʼ al-rābiʻ ʻashar min al-rabʻah al-sharīfah,الجزء الرابع عشر من الربعة الشريفة.,Qurʼan.,قرآن.,Qurʼan
al-Juzʼ al-rābiʻ wa-al-ʻishrūn,الجزء الرابع والعشرون.,Qurʼan.,قرآن.,Qurʼan
al-Juzʼ al-sābiʻ wa-al-ʻishrūn,الجزء السابع والعشرون.,Qurʼan.,قرآن.,Qurʼan
al-Juzʼ al-sādis,الجزء السادس.,Qurʼan.,قرآن.,Qurʼan
al-Juzʼ al-sādis ʻashar,الجزء السادس عشر.,Qurʼan.,قرآن.,Qurʼan
al-Juzʼ al-tāsiʻ,الجزء التاسع.,Qurʼan.,قرآن.,Qurʼan
al-Juzʼ al-tāsiʻ ʻashar,الجزء التاسع عشر.,Qurʼan.,قرآن.,Qurʼan
al-Juzʼ al-thāmin,الجزء الثامن.,Qurʼan.,قرآن.,Qurʼan
al-Juzʼ al-thāmin ʻashar,الجزء الثامن عشر.,Qurʼan.,قرآن.,Qurʼan
al-Juzʼ al-thāmin wa-al-ʻishrūn,الجزء الثامن والعشرون.,Qurʼan.,قرآن.,Qurʼan
al-Juzʼ al-thānī wa-al-ʻishrūn,الجزء الثاني والعشرون.,Qurʼan.,قرآن.,Qurʼan
al-Juzʼ al-thalāthūn,الجزء الثلاثون.,Qurʼan.,قرآن.,Qurʼan
al-Kullīyāt,الكليات.,Qānūn fī al-ṭibb.,قانون في الطب.,Qānūn fī al-ṭibb
Almi viri Francisci Senensis Vita miraculorum fertilis,,,,Almi viri Francisci Senensis vita
al-Mujallad al-rābiʻ min al-mathnawī al-maʻnawī al-hādī ilá ṣirāṭ al-sawī,المجلّد الرابع من المثنوي المعنوي الهادي الى صراط السوي.,Mas̲navī.,مثنوى.,Mas̲navī
al-Mulakhkhaṣ fī al-hayʼah,الملخص في الهيئة.,Sharḥ al-Jaghmīnī,شرح الجغميني,Sharḥ al-Jaghmīnī
al-Niṣf al-thānī min juzʼ aḥad ʻashar,النصف الثاني من جزء احد عشر.,Qurʼan.,قرآن.,Qurʼan
Alphabetical index to Medici (?) account book,,,,Account book
Alphabetum malarum mulierum ... etc,,,,Alphabetum malarum mulierum
al-Qurʼān,القرآن.,Qurʼan.,قرآن.,Qurʼan
al-Qurʼān,القرآن.,Qurʼan.,قرآن,Qurʼan
al-Qurʼān,القرآن.,Qurʼan.,,Qurʼan
al-Qurʼān,القرآن,Qurʼan.,قرآن.,Qurʼan
al-Shifāʼ al-sharīf,الشفاء الشريف.,Shifāʼ fī taʻrīf ḥuqūq al-Muṣṭafá,شفاء في تعريف حقوق المصطفى,Shifāʼ fī taʻrīf ḥuqūq al-Muṣṭafá
al-Thānī min al-ṣiḥāḥ,الثاني من الصحاح.,Ṣiḥāḥ.,صحاح.,Ṣiḥāḥ
Amadís de Gaula,,,,Amadís de Gaula
Andrea Amadio botanical illustrations,,,,Illustrations
Andrea di Nanni Todeschini Piccolomini legal document,,,,Legal documents
Andrea di Sommariva power of attorney,,,,Power of attorney
Angiola Pagani power of attorney,,,,Power of attorney
Annotata in libellos Aristotelis Parva naturalia appellatos,,,,Parva naturalia;Commentary on Parva naturalia
Annotated copy of Tacitus' Germania,,,,Germania
Annotated copy of Terence's works,,,,Commentary on Terence
Anthems; known as the Gostling manuscript,,,,Anthems
Anthology,,,,Anthology
"Antiphon, psalm, and versicle for the aspersion of holy water",,,,Antiphonary;Psalm;Versicle
Antiphonal,,,,Antiphonary
Antiphonal Music,,,,Antiphonary
"Antiphonal, Temporal (Summer)",,,,Antiphonary
"Antiphonal, Temporal (Winter)",,,,Antiphonary
Antiphonarium,,Antiphonal,,Antiphonary
Antiphonary,,,,Antiphonary
Antiphonary and lectionary,,,,Antiphonary;Lectionary
Antiphonary fragment,,,,Antiphonary
Antiphonary fragments,,,,Antiphonary
"Antiphonary, diurnal (Ambrosian Rite)",,,,Antiphonary
"Antiphonary, Dominican use",,,,Antiphonary
Antiphoner,,,,Antiphonary
"Antiphoner, Gradual",,,,Antiphonary;Gradual
"Antoninus Florentinus: Summa Sacrae Theologiae, luris Pontifici et Caesarei",,,,Summa Theologiae
Antonio Acciaioli will,,,,Will
Antonio Cilli deed,,,,Deed
Antonio Cocchi Donati will,,,,Will
Antonio de' Grifoni power of attorney,,,,Power of attorney
Antonio Mannucci power of attorney,,,,Power of attorney
Anwār al-tanzīl wa-asrār al-taʼwīl,انوار التنزيل واسرار التأويل.,Anwār al-tanzīl wa-asrār al-taʼwīl.,انوار التنزيل واسرار التأويل.,Anwār al-tanzīl wa-asrār al-taʼwīl
Apocalypse,,,,Apocalypse
Apologia cuiusdam regiae famae studiosi,,Apologia cuiusdam regiae famae studiosi,,Apologia cuiusdam regiae famae studiosi
Apparatus domini Bernardi Raymundi in sexto libro decretalium,,,,Decretales Gregorii IX
Apparatus in quinque libros Decretalium,,,,Apparatus super libros Decretalium
Arcangelo Paffiere will,,,,Will
Arrigucci family papers,,,,Family documents
Ars poetica,,,,Ars poetica
Ars Poetica (Art of Poetry); Carmen seculare; Epistolae (Epistles); Odes,,,,Ars poetica;Carmen seculare;Epistles;Odes
Ars Poetica and Epistulae,,,,Ars poetica;Epistles
Ascanio Maria Sforza notarial document,,,,Notarial documents
Ascetic miscellany,,,,Ascetic miscellany
"Assise del alta corte del regno di Hierusalem et Cypro, tradutte da francese m'lingua italiana, de ordine dela serenissimo ducal signoria de Venetia /",,Livre des assises,,Livre des assises
Assise of all manner of breade,,,,Assise of all manner of breade
Assizes of Romania,,Liber consuetudinum Imperii Romaniae.,,Liber consuetudinum Imperii Romaniae
Astronomical and astrological tables,,,,Astronomy
Astronomical anthology,,,,Astronomy
Astronomical compendium,,,,Astronomy
Astronomical fragments,,,,Astronomy
Astronomical treatises and tables,,,,Astronomy
Astronomy lecture notes,,,,Astronomy
Auctoritates logicae veteris,,,,Auctoritates logicae veteris
Aurora,,,,Aurora
"Axiomata, adagia, et dicteria juris",,,,"Axiomata, adagia, et dicteria juris"
"Bartholomaeus de Sancto Concordio, Summa de Casibus Conscientiae (Incunable Leaf)",,,,Summa de casibus conscientiae
Bartolomea Villani deed,,,,Deed
Bartolomeo di Piero power of attorney,,,,Power of attorney
Beatissimi Ieronimi presbiteri in sistum picthagoricum,,,,In sistum picthagoricum
Bellum Catilinae,,,,De coniuratione Catilinae
Benedetto degli Armaleoni power of attorney,,,,Power of attorney
Benedictional?,,,,Benedictional
Benedictiones episcopales ... etc,,,,Benedictiones episcopales
Bernardo di Ventura power of attorney,,,,Power of attorney
Bertin family documents,,,,Family documents
Betta Giubbettari power of attorney,,,,Power of attorney
Bhāgavatapurāṇa,بهگوت پوران.,Puranas.,,Puranas
Bible,,,,Bible
Bible,,Bible.,,Bible
Bible Commentary,,,,Bible commentary
Bible in mnemonic form,,,,Bible
Bible leaf,,Bible.,,Bible
Bible leaf on uterine vellum,,,,Bible
Bible study guide,,,,Bible
"Bible, Atlantic Bible",,,,Bible
"Bible, Epistles",,,,Bible;Epistles
"Bible, glossed Mark",,,,Bible;Gospel of Mark
"Bible, II Kings 13:5 - II Kings 15:10",,,,Bible;Kings
"Bible, N. T. , glossed",,,,Bible;New Testament
"Bible, N. T., Mark",,,,Bible;New Testament;Gospel of Mark
"Bible, N.T.",,,,Bible;New Testament
"Bible, N.T., Acts",,,,Bible;New Testament;Acts
"Bible, N.T., Apocrypha",,,,Bible;New Testament;Apocrypha
"Bible, N.T., Epistles of James, Peter, and the First Epistle of John",,,,Bible;New Testament;Epistles
"Bible, N.T., Ezekiel",,,,Bible;New Testament;Ezekiel
"Bible, N.T., Gospel of John",,,,Bible;New Testament;Gospel of John
"Bible, N.T., John",,,,Bible;New Testament;Gospel of John
"Bible, N.T., Luke",,,,Bible;New Testament;Gospel of Luke
"Bible, N.T., Numbers",,,,Bible;New Testament;Numbers
"Bible, N.T., Revelations",,,,Bible;New Testament;Revelations
"Bible, N.T., Timothy",,,,Bible;New Testament;Timothy
"Bible, O. T.",,,,Bible;Old Testament
"Bible, O. T., Ecclesiasticus",,,,Bible;Old Testament;Ecclesiasticus
"Bible, O.T.",,,,Bible;Old Testament
"Bible, O.T., Genesis, glossed",,,,Bible;Old Testament;Genesis
"Bible, O.T., Psalter",,,,Bible;Old Testament;Psalter
"Bible, Tours",,,,Bible
"Bible, with glossa ordinaria",,,,Bible;Glossa ordinaria
Bible; Notes on a church synod,,,,Bible;Notes on a church synod
Biblia,,Bible.,,Bible
Biblia pequeña,,,,Bible
Biblia sacra,,Bible.,,Bible
Biblia Sacra Latina,,Bible.,,Bible
"Biblia sacra Latina, liber Prophetarium",,Bible.,,Bible;Prophets
Biblia sacra manuscripta,,Bible.,,Bible
Biblia Veteris et Novi Testamenti,,,,Bible;Old Testament;New Testament
Biblical Commentary,,,,Bible commentary
Biblical commentary,,,,Bible commentary
Biblical commentary on the Old Testament--I Kings - Esther,,,,Bible commentary
"Biblical commentary on the Pentateuch (Exodus, Leviticus, Numbers)",,,,Bible commentary
Biblical genealogies,,,,Bible genealogies
Biblical History,,,,Bible history
Bifolium from a book of hours,,,,Book of hours
Bifolium from Liber completus in iudiciis stellarum,,Bāriʻ fī aḥkām al-nujūm.,,Bāriʻ fī aḥkām al-nujūm
Bishop of Osma legal instrument,,,,Legal documents
Bisnu Purān,بسن پران.,Puranas.,,Puranas
Blancandin et l'Orgueilleuse d'Amour,,Blancandin.,,Blancandin
Bohun Bible,,,,Bible
Bonum universale de apibus,,,,Bonum universale de apibus
Book of deeds to various territorial acquisitions,,,,Deed
Book of Hours,,,,Book of hours
Book of hours,,,,Book of hours
Book of Hours (Bifolium),,,,Book of hours
Book of Hours (Use of Dol.),,,,Book of hours
Book of hours bifolium,,,,Book of hours
Book of hours calendar leaf,,,,Book of hours
Book of Hours for Sarum Use,,,,Book of hours
Book of hours fragment,,,,Book of hours
Book of hours leaf,,,,Book of hours
Book of Hours or Psalter,,,,Book of hours;Psalter
"Book of Hours, excerpt Hours of the Cross",,,,Book of hours
"Book of Hours, Psalms from Hours of the Virgin",,,,Book of hours;Psalter
"Book of Hours, use of Dol",,,,Book of hours
"Book of Hours, use of Evreux",,,,Book of hours
"Book of Hours, use of Paris",,,,Book of hours
"Book of Hours, use of Poitiers",,,,Book of hours
"Book of Hours, use of Rome",,,,Book of hours
"Book of Hours, Use of Rome, Heures Mixtes",,,,Book of hours
"Book of hours, use of Rouen",,,,Book of hours
Book of Hours; Miniature,,,,Book of hours
Books III-V of al-Qānūn fī al-ṭibb,,Qānūn fī al-ṭibb.,قانون في الطب.,Qānūn fī al-ṭibb
Books II-V of al-Qānūn fī al-ṭibb,,Qānūn fī al-ṭibb.,قانون في الطب.,Qānūn fī al-ṭibb
Brancacci family documents,,,,Family documents
Breviary,,,,Breviary
Breviary collages,,,,Breviary
Breviary for Augustinian use,,,,Breviary
Breviary fragments,,,,Breviary
Breviary fragments,,Breviary (Salisbury),,Breviary
Breviary leaf,,,,Breviary
Breviary of Elisabeth von Walmden,,,,Breviary
Breviary or Sequentiary,,,,Breviary;Sequentiary
"Breviary, noted",,,,Breviary
"Breviary, Psalter",,,,Breviary;Psalter
"Breviary, Use of Ghent",,,,Breviary
Britton,,,,Britton
Bruno Burelli power of attorney,,,,Power of attorney
Buch von den probierten Kü̈̈nsten,,,,Buch von den probierten Künsten
Buch von den probierten Künsten,,,,Buch von den probierten Künsten
Bucolica,,,,Bucolics
Bucolics,,,,Bucolics
"Bull of Innocent VIII, 1405",,,,Bull
Bulla Leonis X cum insertis Eugenii in Concilio Florentino,,,,Bull
Bullae Sanctorum Pontificum,,,,Bull
Bullarium Augustinianum,,,,Bull
Buonanno de' Malecarni power of attorney,,,,Power of attorney
Caius Plinius secundus de Morte Valerii M.,,,,De morte Valerii Martialis
Calendar,,,,Calendar
Calendar for year 1064 AH,,,,Calendar
Calendar leaf from a book of hours or breviary,,,,Calendar
Calendar table,,,,Calendar
Calligraphic manual,,,,Calligraphy
Camera della Biccherna legal document,,,,Legal documents
Canon law,,,,Canon law
Canon law (?),,,,Canon law
Canon law miscellany,,,,Canon law
Canon super almanach; De 12 signis et eorum naturis in generali,,,,Canon super almanach;De 12 signis et eorum naturis in generali
Canonical Epistles,,,,Epistles
Canonziere,,,,Canzoniere
Canzoniere,,,,Canzoniere
Capitoli della Scuola di Purificatone della Vergine e di Sancto Zenobiot,,,,Capitoli della Scuola di Purificazione della Vergine e di Santo Zenobio
Carmen paschale,,Paschale carmen,,Paschale carmen
Carmen saeculare,,,,Carmen saeculare
Carretto family papers,,,,Family documents
"Carta ejecutoria de Hidalguia granted in favor of Diego de Alarcón Quintana de la Villa de la Torre and his sons, unnamed",,,,Carta executoria de hidalguia
Carta executoria de hidalguia a pedimiento,,,,Carta executoria de hidalguia
"Carta executoria de hidalguia a pedimiento de Rrodrigo Calera, vezino de Villarrobledo",,,,Carta executoria de hidalguia
Cartolarii /,,,,Cartulary
Cartulary,,,,Cartulary
Caterina Buonaventura power of attorney,,,,Power of attorney
Cato maior vel de senectute,,,,Cato maior
Cato maior vel de senectute Paradoxa,,,,Cato maior;Paradoxa
Cecco di Nardo deed,,,,Deed
Cenni Pagliaiolo power of attorney,,,,Power of attorney
Certain astrological and astronomical figures,,,,Astronomy
Chant book,,,,Chant book
Checca Serotini power of attorney,,,,Power of attorney
"Choir Book, Gradual",,,,Choir book;Gradual
Choir psalter,,,,Psalter
Choir psalter gatherings,,,,Psalter
Choirbook leaf with hymn dedicated to Saint Hilarion,,,,Choir book
"Chomincia lo libro di lamore di troiolo & da chriseida, Capitulum primum,",,,,Filostrato
Chronicle,,,,Chronicle
"Chronicle, Dominican",,,,Chronicle
Chy commenchent les eures de la crois,,,,Book of hours
Cistercian liturgical psalter,,,,Psalter
Ciulla Casini power of attorney,,,,Power of attorney
Claves sacre scripture,,,,Claves sacre scripture
Codex,,,,Codex
"Codex, Liber Sextus",,,,Codex
Collation of L'ethica d'Aristotile ridotta in compendio,,,,Nicomachean Ethics
Collationes patrum,,,,Lives of the Fathers
Collectarium,,,,Collectarium
Collection of astronomical texts,,,,Astronomy
Collection of notarial documents,,,,Notarial documents
Collection of prayers and selections from the Qurʼān,,,,Qurʼan
Commentaria ad Rhetoricam Ciceronis,,,,Explanationes in Ciceronis Rhetoricam
Commentaria super praedicamenta Aristotelis,,,,"Commentary on Aristotle, Categories;Categories"
Commentaries on Acts of the Apostles,,,,Commentary on Acts;Acts
Commentaries on Aristotle,,,,Commentary on Aristotle
Commentaries on Aristotle and Porphyry,,,,Commentary on Aristotle;Commentary on Porphyry
Commentaries on canon law,,Corpus juris canonici,,Corpus juris canonici
Commentaries on De generatione et corruptione and Meteorologica,,,,Commentary on De generatione et corruptione;Commentary on Meteorologica
Commentaries on the De generatione et corruptione and Analytica,,,,Commentary on De generatione et corruptione;Commentary on Analytica
Commentarii in Politicorum Aristotelis libris,,,,"Commentary on Aristotle, Politics;Politics"
Commentariorum in Matthaeum Libri Octo,,,,Commentary on Matthew;Gospel of Matthew
Commentarius in Ezechielem prophetam,,,,Commentary on Ezekiel;Ezekiel
Commentary,,,,Commentary
Commentary on Andria and Eunuch,,,,Commentary on Andria;Commentary on Eunuch
"Commentary on Aristotle, Analytica Priora (?)",,,,"Commentary on Aristotle, Prior Analytics;Prior Analytics"
Commentary on Genesis and 1-2 Kings,,,,Commentary on Genesis;Commentary on Kings;Genesis;Kings
Commentary on the Clementines,,,,Commentary on Corpus Juris Canonici
Commentary on the Ephemerides of Regiomontanus,,,,Commentary on the Ephemerides;Ephemerides
Commentary on the Ethica Nicomachea,,,,Commentary on Nichomachean Ethics
Commentary on the Pauline Epistles,,,,Commentary on Epistles;Epistles
Commentary on the Sentences of Peter Lombard,,,,Commentary on the Sentences
Compendium historiae in genealogia Christi,,,,Compendium historiae in genealogia Christi
Compendium in Cantica canticorum,,,,Compendium in Cantica canticorum
Compendium theologicae veritatis,,,,Compendium theologicae veritatis
Computus Cirometralis,,Ars computistica,,Ars computistica
Concini family papers,,,,Family documents
Confessione generale,,,,Confessione generale
Confirmation of grants,,,,Grant
Consejo de Inquisición (Spain) genealogy for Bartholome Escola,,,,Spanish Inquisition
Consejo de Inquisición (Spain) genealogy for Marçal Traveria,,,,Spanish Inquisition
Consejo de Inquisición (Spain) genealogy for Miguel Ros Pelayre,,,,Spanish Inquisition
Consilium generale legal document,,,,Legal documents
Consilium notarial document,,,,Notarial documents
Constitution and rules,,,,Constitution and rules
Contemplations of the dread and love of God ... etc,,Contemplations of the dread and love of God.,,Contemplations of the dread and love of God
Contra Appionem,,,,Against Apion
Coppetto Coppetti power of attorney,,,,Power of attorney
Copy of Pope Pius II bull,,,,Bull
Cose di geometria /,,"Summa de arithmetica, geometria, proportioni et proportionalità.",,"Summa de arithmetica, geometria, proportioni et proportionalità"
Cosmographia /,,De chorographia,,De chorographia
Cosmographies,,,,De chorographia
Council notarial document,,,,Notarial documents
Crispi Sallustii de Catheline conjuracione liber,,Bellum Catilinae,,De coniuratione Catilinae
Curia episcopalis notarial document,,,,Notarial documents
Débat sur le roman de la rose,,,,"The Debate on the ""Romance of the Rose"""
Dalāʼil al-khayrāt wa shawāriq al-anwār fī dhikr al-ṣalāh ʻalá al-nabī al-mukhtār,دلائل الخيرات و شوارق الانوار في ذكر الصلاة على النبي المختار.,Dalāʼil al-khayrāt,دلائل الخيرات.,Dalāʼil al-khayrāt
Dalāʼil al-khayrāt wa shawāriq al-anwār fī dhikr al-ṣalāh ʻalá al-nabī al-mukhtār,دلائل الخيرات و شوارق الانوار في ذكر الصلوة على النبي المختار.,Dalāʼil al-khayrāt.,دلائل الخيرات.,Dalāʼil al-khayrāt
Dalāʼil al-khayrāt wa shawāriq al-anwār fī dhikr al-ṣalawāt ʻalá al-nabī al-mukhtār,دلائل الخيرات و شوارق الانوار في ذكر الصلوات على النبي المختار.,Dalāʼil al-khayrāt.,دلائل الخيرات.,Dalāʼil al-khayrāt
Dalāʼil al-khayrāt... etc,دلائل الخيرات... إلخ.,,,Dalāʼil al-khayrāt
Das Amtbuch,,,,Office book
Davanzato di Fagno power of attorney,,,,Power of attorney
De Amore Dei,,,,De Amore Dei
De amore et dilectione Dei (On the love and favor of God); De doctrina dicendi et tacendi (On the doctrine of speaking and keeping silent); De ritu et moribus Indorum (On the rites and ways of the Indians); Historia de preliis Alexandri Magni (History of the battles of Alexander the Great); Pseudo-Sibylline Prophecy; Sermones quattuor (Four sermons),,,,De amore Dei;Liber de doctrina dicendi et tacendi;De ritu et moribus Indorum;Historia de preliis Alexandri Magni;Sibylline Oracles;Sermons
"De amore et dilectione dei et proximi, ac de forma vitae ... etc",,,,Liber de amore et dilectione dei et proximi et aliarum rerum et de forma vitae
De arca Noe morali et mystica,,,,De arca Noe
De arte metrica,,,,De arte metrica
De Bello Catilinae and De Bello Jugurthinum,,,,De Bello Catilinae;De Bello Jugurthinum
De Canticis canticorum,,,,Cantica Canticorum
De casibus conscientiae ... etc,,,,Summa de casibus conscientiae
De casu diaboli (On the Fall of the Devil),,,,De casu diaboli
De censuris ecclesiasticis; Three papal bulls,,,,Tractatus de censuris ecclesiasticis;Bull
De civitate Dei,,,,De civitate Dei
De claustro animae,,,,De claustro animae
De coloribus urinae ... etc,,,,De coloribus urinae
De conceptu virginali et de originali peccatu,,,,De conceptu virginali et originali peccato
De conscientia aedificandi,,,,De conscientia aedificandi
De Consideratione,,,,De consideratione
De consideratione (On Consideration),,,,De consideratione
De consolatione philosophiae,,,,De consolatione philosophiae
De consolatione philosophiae,,De consolatione philosophiae,,De consolatione philosophiae
De consolatione philosophiae / Boetius,,De consolatione philosohiae,,De consolatione philosophiae
De consolatione philosophiae; De mirabilis mundi; Grammatical treatise ?; Unidentified theological treatise; Miscellany,,,,De consolatione philosophiae;De mirabilibus mundi;Grammar;Theology;Miscellany
De corpore et sanguine Domini,,,,De corpore et sanguine Domini
De decem praeceptis decalogi,,,,De decem praeceptis decalogi
De descriptione terre sancte ... etc,,,,De descriptione terre sancte
De die iudicii,,,,De die iudicii
De duobus amantibus,,,,De duobus amantibus
De duodecim abusionibus saeculi,,,,De duodecim abusivis
De educatione liberorum et eorum claris morbis,,,,De educatione liberorum et eorum claris moribus
De Emendacione Vite sive Regula Vivendi,,,,Emendatio Vitae
De excellentibus ducibus exterarum gentium,,,,De excellentibus ducibus exterarum gentium
De finibus,,,,De finibus
De forma honestae vitae; De institutione monachorum,,,,De forma honestae vitae;De institutione monachorum
De heresis adversus chirstainum fidem,,,,De heresis adversus christianum fidem
De humana miseria,,,,De humana miseria
De improbatione concentricorum et epicyclorum ... etc,,,,De improbatione concentricorum et epicyclorum
De institutione musica,,,,De institutione musica
De intellectu,,,,De intellectu
De ira Dei,,,,De ira Dei
De la rapina di Proserpina,,De raptu Proserpinae.,,De raptu Proserpinae
De las doze cargas,,Aqui se contiene una disputa o controversia.,,Aqui se contiene una disputa o controversia
De legibus,,,,De legibus
De libero arbitrio,,,,De libero arbitrio
De locis et mirabilibus mundi,,,,De locis et mirabilibus mundi
De ludo schacchorum seu de moribus hominum et officiis nobilium ... etc,,,,Liber super ludo scachorum
De medicina equorum,,,,De medicina equorum
de memoria et reminiscentia,,,,De memoria et reminiscentia
De miseria condicionis humane,,,,De Miseria Condicionis Humane
De misericordia,,,,De misericordia
De miseriis curialium,,,,De miseriis curialium
De morte Hieronymi ad Damasum,,,,De morte Hieronymi ad Damasum
De morte Valerii Martialis,,,,De morte Valerii Martialis
De natura rerum,,De natura rerum.,,De natura rerum
De Officiis,,,,De officiis
De officiis,,,,De officiis
De opificio Dei,,,,De opificio Dei
De Oratore,,,,De oratore
De origine rerum,,,,De origine rerum
De ortu et obitu sanctorum,,,,De ortu et obitu Patrum
De patriarchis,,,,De patriarchis
De perversitate quorundam religiosorum,,,,De perversitate quorundam religiosorum
De philosophia mundi ... etc,,Philosophia mundi,,Philosophia mundi
De planctu naturae,,,,De planctu naturae
De processione Spiritus sancti,,,,De processione Spiritus sancti
De quattuor virtutibus caritatis (On the four virtues of charity),,,,De quattuor virtutibus caritatis
De re medicina,,Circa instans,,Circa instans
De regimine principium ... etc,,Secretum secretorum.,,Secretum secretorum
De reparatione lapsi hominis,,,,De reparatione lapsi hominis
De republica Veneta /,,,,De republica Veneta
De rota verae et falsae religionis,,,,De rota verae et falsae religionis
De secretis mulierum,,De secretis mulierum.,,De secretis mulierum
De sermone domini in monte habito (On the sermon on the mount) and other treatises; De superbia (On pride) and other treatises; Expositio dominice orationis (Exposition on the lord's prayer),,,,Sermons;De superbia;Orationes
De simplicibus,,,,De simplicibus
de somno et vigilia,,,,De somno et vigilia
De spectaculis,,,,De spectaculis
De spiritu et anima ... etc,,,,Liber de spiritu et anima
De summo bono,,,,De summo bono
De tribus diebus,,,,De tribus diebus
De Trinitate,,,,De Trinitate
De urinarum judiciis,,,,Carmina de urinarum iudiciis et de pulsibus
De venatione divini amoris,,,,De venatione divini amoris
De vera religione,,,,De vera religione
De verbis apostolis,,,,De verbis apostolis
De Viribus Herbarum /,,,,De Viribus Herbarum /
De viris illustribus urbis Romae,,,,De viris illustribus urbis Romae
De Virtutibus S. Martini,,,,De virtutibus sancti Martini
De vita christiana,,,,De vita christiana
De vita contemplativa,,,,De vita contemplativa
De vita contemplativa et activa,,,,De vita contemplativa
De Vita Imperatorum,,,,De vita imperatorum
De vita xii Caesarum ... etc. /,,,,De vita Caesarum
Decameron,,Decamerone.,,Decameron
Decretales abbreviate,,Decretales Gregorii IX.,,Decretales Gregorii IX
Decretales Gregorii IX,,Decretales Gregorii IX,,Decretales Gregorii IX
Decretals,,,,Decretals
Decretum,,,,Decretals
Decretumor Concordantia discordantium canonum,,,,Decretum Gratiani
"Deed of a dowry of 250,000 ducats to Maria de Urria",,,,Deed
Deed of confiscated property,,,,Deed
Defensio Civitatis Neapolitane Petri Gravina Canonici Neapolitani Carmen quo Perthenope alloquitur,,,,Defensio Civitatis Neapolitanae
"Del bene de la vechiezza, Italian translation of De bono senectutis, made by Anchise Straccha of Bolzano (fl. 17th century)",,,,Libro del bene della Vecchiezza
Del Pero family deed,,,,Deed
Der ordo iudiciarius,,,,Ordo iudiciarius
Descriptio Terrae Sanctae,,,,Descriptio Terrae Sanctae
Detti family papers,,,,Family documents
Devotional book,,,,Devotional book
Devotional exercises on the life of Christ for the seven days of the week,,,,Devotional book
Devotional miscellany,,,,Devotional book
Devotional roll,,,,Devotional book
Ḍawʼ al-sirāj,ضوء السراج.,,,Ḍawʼ al-sirāj
Dialogi,,,,Dialogues
Dialogorum libri IV,,,,Dialogues
"Diary and book of accounts, circa 1654-1666, written from Bedfordshire (Petenhall), Cambridgeshire (Tadlow), Portsmouth, and Windsor Parke near London?",,,,Accounts book
Dicta aliquorum philosophorum,,,,Liber de dictis philosophorum antiquorum
Dictionary leaves,,,,Dictionary
Dictionary of synonyms,,,,Dictionary
Dīwān Tāj al-ʻārifīn wa-sulṭān al-ʻāshiqīn min al-shuʻarāʼ bi-lā muʻāriḍ ʻUmar ibn Fāriḍ,ديوان تاج العارفين وسلطان العاشقين من الشعراء بلا معارض عمر بن فارض.,Poems,,Poems
Diocese of Siena legal decision,,,,Legal documents
