title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label
Acciaiuoli family correspondence,,,,Family documents
Account book,,,,Account book
Account book and record of transactions,,,,Account book
Account book of Vincenzo Spada,,,,Account book
Account of payments,,,,Account book
Accounts book,,,,Accounts book
Accounts of William Pawlett in Dorset,,,,Accounts book
Acerba,,,,Acerba
"Acknowledgement by brother Wouter Everaerts of monastic house, in Flemish",,,,Acknowledgement
"Acknowledgment of debts incurred by Louis, Duke of Orléans, and his company, to be paid by Jean, Duke of Berry",,,,Acknowledgment of debts
"Acknowledgment of debts incurred by Louis, Duke of Orléans, and his company, to be paid by Jean, Duke of Berry",,,,Acknowledgment of debts
Acknowledgment of loan,,,,Loan
A collection of devotional tracts,,,,Devotional literature
A collection of Italian lyric poetry; primarily Petrarch's Canzoniere,,,,Canzoniere
A collection of mediaeval devotional works in Italian,,,,Devotional literature
A collection of uncatalogued leaves,,,,Leaves
Acta pronumptiationis tenute et licentie generalis pro Bernardo Alamanni de Medicis,,,,Acta pronumptiationis tenute et licentie generalis
Act concerning the monastery of San Spirito,,,,Act concerning monasteries
Act of exchange of property,,,,Act of property exchange
Acts,,,,Acts
Ādāb al-baḥth ... etc,آداب البحث ... الخ.,,,Ādāb al-baḥth
Ādāb al-baḥth ... etc,آداب البحث ... الخ.,,,Ādāb al-baḥth
Ad adolescentes de legendis libris gentilium (Address to young men on the right use of greek literature),,,,Ad adolescentes de legendis libris gentilium
Adam Luce Dominici deed of sale,,,,Deed
Adbhutottarakāṇḍe śrīsītārāmayor ayodhyāgamanaṃ,अद्भुतोत्तरकाण्डे श्रीसीतारामयोरयोध्यागमनं,Adbhutarāmāyaṇa,,Adbhutarāmāyaṇa
"Additions to Statuta, constitutiones ac decreta ducalis provincae Friniani",,,,"Statuta, constitutiones ac decreta"
Addresses and letters,,,,Letters
Adhikaraṇamālā,अधिकरणमाला,Vaiyāsikanyāyamālā,,Vaiyāsikanyāyamālā
Ādhikaraṇaratnamālā,आधिकरणरत्नमाला,Nyāyamālāvistara,,Nyāyamālāvistara
Adhyātmarāmāyaṇa,अध्यात्मरामायण,Puranas,,Puranas
Adhyātmarāmāyaṇa āraṇyakhaṇḍa,अध्यात्मरामायण आरण्यखण्ड,Puranas,,Puranas
Adhyātmarāmāyaṇa ayodhyakāṇḍa,अध्यात्मरामायण अयोध्यकाण्ड,Puranas,,Puranas
Adhyātmarāmāyaṇa kiṣkindhākāṇḍa,अध्यात्मरामायण किष्किन्धाकाण्ड,Puranas,,Puranas
Adhyātmarāmāyaṇa sundarakāṇḍa,अध्यात्मरामायण सुन्दरकाण्ड,Puranas,,Puranas
Adhyātmarāmāyaṇa uttarakāṇḍa,अध्यात्मरामायण उत्तरकण्ड,Puranas,,Puranas
Adhyātmarāmāyaṇa yuddhakāṇḍa,अध्यात्मरामायण युद्धकाण्ड,Puranas,,Puranas
"Ad invictissimum Maximilianum II, el. Romanum Imperatorem Augustum",,,,To Maximilian II
A discourse of Predestination & Grace Between Theodidactus and Philalethes,,,,Discourse on predestination
Ādityahṛdaya,आदित्यहृदय,Rāmāyaṇa,,Rāmāyaṇa
Ādityahṛdaya,आदित्यहृदय,Yogavāsiṣṭha,,Yogavāsiṣṭha
Ādityahṛdayastotra,आदित्यहृदयस्तोत्र,Puranas,,Puranas
Ādityavrata,आदित्यव्रत,Puranas,,Puranas
Admission letter to the Third Order Secular of St. Francis,,,,Letters
Admonitio ad Nonsuindam reclusam,,,,Admonitio ad Nonsuindam reclusam
Adoration of the Magi,,,,Miniature
A Drawing of a Woman by a Tree with a Peacock,,,,Drawing of a Woman by a Tree with a Peacock
"A Drawing of Sayyid Jalal Bukhari, Seated",,,,Drawing of Sayyid Jalal Bukhari
A dream of bounden dutie,,,,A Dream of Bounden Dutie
Ad statutum positum sub rubrica de contractibus cum minoribus,,,,Ad statutum positum sub rubrica de contractibus cum minoribus
Aduḥkhanavamīkathā,अदुःखनवमीकथा,Puranas,,Puranas
Aduḥkhanavamīvratakathā,अदुःखनवमीव्रतकथा,Puranas,,Puranas
Advaitānanda,अद्वैतानन्द,Pañcadaśī,,Pañcadaśī
Advaitasiddhi,अद्वैतसिद्धि,Advaitabrahmasiddhi,,Advaitabrahmasiddhi
Advaitasiddhiṭīkā,अद्वैतसिद्धिटीका,Gauḍabrahmānandī,,Gauḍabrahmānandī
Adventures of Hatim Tai,,Qiṣṣah-i Ḥātim Ṭāʼī (Romance),قصه حاتم طائى (Romance),Qiṣṣah-i Ḥātim Ṭāʼī
Ādyabhāgavataślokaṭīkārambhaḥ,आद्यभागवतश्लोकटीकारम्भः,Bhāgavataślokaṭīkā,भागवतप्रथमश्लोकटीका,Bhāgavataślokaṭīkā
Aeneas Siluius in Europam,,In Europam,,In Europam
Aeneid,,,,Aeneid
Africa,,,,Africa
Āgamapradhānamāṇḍūkākhya prakaraṇa,आगमप्रधानमाण्डूकाख्य प्रकरण,Gauḍapādakārikā,,Gauḍapādakārikā
Āgamaśāstravivaraṇa,आगमशास्त्रविवरण,Māṇḍūkyopaniṣadbhāṣya,,Māṇḍūkyopaniṣadbhāṣya
A geometricall extraction for all affected to the mathematickes,,,,A geometrical extraction for all affected to the mathemematiks
Āghāz-i kitāb-i Vīsparad bā maʻnī-i Fārsī tarjumah kardah mīnavīsam,آغاز ظتاب وىس)رد با معنى فارسى ترجمه ظرده مىنوىسم.,,,Āghāz-i kitāb-i Vīsparad bā maʻnī-i Fārsī tarjumah kardah mīnavīsam
Agnihotrahomaprayoga,"अग्निहोत्रहोमप्रयोग,",,,Agnihotrahomaprayoga
Agnirvaidevānāmavamo viṣṇuḥ,अग्निर्वैदेवानामवमो विष्णुः,Brahmanas,,Brahmanas
Agnisūkta,अग्निसूक्त,Vedas,,Vedas
Agnus castus with additional medical recipes,,,,Agnus castus
Agreement,,,,Agreement
Agreement pertaining to the rents and privileges of the Canons Regular of Urgel,,,,Agreement
A Heu Glossary,,,,Glossary
Aitareyabrāhmaṇa,ऐतरेयब्राह्मण,Brahmanas,,Brahmanas
Aitareyaṃ,ऐतरेयं,Upanishads,,Upanishads
Aitareyāraṇyaka,ऐतरेयारण्यक,Aranyakas,,Aranyakas
Aitareyopaniṣad,ऐतरेयोपनिषद्,Upanishads,,Upanishads
Ajaib al-Makhlugat un Gharaib al-Manjudet (Wonders of Creation),,"ʻAjāʼib al-makhlūqāt,",,ʻAjāʼib al-makhlūqāt
Ajbīyah. al-Salām la-ki yā Maryam,[أجبية]. السلام لك يا مريم,,,Ajbīyah. Al-Salām la-ki yā Maryam
Ajbīyah. al-Salām la-ki yā Maryam.,[أجبية]. السلام لك يا مريم,,,Ajbīyah. Al-Salām la-ki yā Maryam
Ākāśabhairavakalpa,,Tantras,,Tantras
Ākhyātaviveka,आख्यातविवेक,Ākhyātavāda,,Ākhyātavāda
Akulāgama mahātantra yogasārasamuccaya,अकुलागम महातन्त्र योगसारसमुच्चय,Tantras,,Tantras
al-Abjad,الأبجد.,,,al-Abjad
al-Abjad],الأبجد.,,,al-Abjad
al-Aḍwā' al-bahijah fī ibrāz daqāʼiq al-Munfarijah,الاضواء البهجة في ابراز دقايق المنفرجة.,,,al-Aḍwā' al-bahijah fī ibrāz daqāʼiq al-Munfarijah
al-Aḍwā' al-bahijah fī ibrāz daqāʼiq al-Munfarijah,الاضواء البهجة في ابراز دقايق المنفرجة.,,,al-Aḍwā' al-bahijah fī ibrāz daqāʼiq al-Munfarijah
al-Ajwibah al-Nāṣirīyah /,الاجوبة الناصرية /,Ajwibah al-Nāṣirīyah fī baʻḍ masāʼil al-bādiyah,اجوبة الناصرية في بعض المسائل البادية,Ajwibah al-Nāṣirīyah fī baʻḍ masāʼil al-bādiyah
Alamanno Taviani power of attorney,,,,Power of attorney
al-Anwār al-qamarīyah sharḥ al-Qaṣīdah al-Maqqarīyah,الانوار القمرية شرح القصيدة المقرية.,,,al-Anwār al-qamarīyah sharḥ al-Qaṣīdah al-Maqqarīyah
al-Anwār al-qamarīyah sharḥ al-Qaṣīdah al-Maqqarīyah,الانوار القمرية شرح القصيدة المقرية.,,,al-Anwār al-qamarīyah sharḥ al-Qaṣīdah al-Maqqarīyah
al-Awwal al-thālith min Kitāb al-Tahdhīb fī ikhtiṣār Kitāb al-Tahdhīb tahdhīb al-kamāl fī asmāʼ al-rijāl jamaʻa al-Shaykh al-Imām al-Ḥāfiẓ Abī al-Ḥujjaj Yūsuf ibn al-Zakī ʻAbd al-Raḥmān ibn Yūsuf al-Mizzī al-Kalbī ... /,"الاول الثالث من كتاب التهذيب في اختصار كتاب التهذيب تهذيب الكمال في اسماء
				الرجال /","Tahdhīb fī ikhtiṣār Kitāb al-Tahdhīb tahdhīb al-kamāl fī asmāʼ
				al-rijāl",تهذيب في اختصار كتاب التهذيب تهذيب الكمال في اسماء الرجال,Tahdhīb fī ikhtiṣār Kitāb al-Tahdhīb tahdhīb al-kamāl fī asmāʼ al-rijāl
al-Awwal al-thālith min Kitāb al-Tahdhīb fī ikhtiṣār Kitāb al-Tahdhīb tahdhīb al-kamāl fī asmāʼ al-rijāl jamaʻa al-Shaykh al-Imām al-Ḥāfiẓ Abī al-Ḥujjaj Yūsuf ibn al-Zakī ʻAbd al-Raḥmān ibn Yūsuf al-Mizzī al-Kalbī ... /,"الاول الثالث من كتاب التهذيب في اختصار كتاب التهذيب تهذيب الكمال في اسماء
				الرجال /","Tahdhīb fī ikhtiṣār Kitāb al-Tahdhīb tahdhīb al-kamāl fī asmāʼ
				al-rijāl",تهذيب في اختصار كتاب التهذيب تهذيب الكمال في اسماء الرجال,Tahdhīb fī ikhtiṣār Kitāb al-Tahdhīb tahdhīb al-kamāl fī asmāʼ al-rijāl
al-Awwal min al-ʻInāyah sharḥ al-Hidāyah,الاول من العناية شرح الهداية.,ʻInāyah ʻalá al-Hidāyah,عناية على الهداية,ʻInāyah ʻalá al-Hidāyah
al-Bayān wa al-tidhkār fī ṣinʻat ʻamal al-ghubār,البيان و التذكار في صنعة عمل الغبار.,,,al-Bayān wa al-tidhkār fī ṣinʻat ʻamal al-ghubār
al-Bayān wa al-tidhkār fī ṣinʻat ʻamal al-ghubār,البيان و التذكار في صنعة عمل الغبار.,,,al-Bayān wa al-tidhkār fī ṣinʻat ʻamal al-ghubār
Al Beharistan,,,,Al-Beharistan
"Album of English manuscripts; poems, epigrams and letters written between 1450 and 1790",,,,Miscellany
"Alchemical, medical and technical compilation",,,,Scientific miscellany
Alchemical compendium,,,,Alchemical miscellany
Alchemical manuscript(s),,,,Alchemical manuscript
Alchemical miscellany,,,,Alchemical miscellany
"Alchemical miscellany, including a table of transmutable metals",,,,Alchemical miscellany
al-Dhukhr,الذخر.,,,Dhukhr
Aldobrando Delci power of attorney,,,,Power of attorney
al-Durr al-mukhtār fī sharḥ Tanwīr al-abṣār /,الدر المختار في شرح تنوير الابصار /,,,Durr al-mukhtār fī sharḥ Tanwīr al-abṣār
al-Durr al-munaẓẓam fī madḥ al-ḥabīb al-aʻẓam,الدر المنظم في مدح الحبيب الاعظم.,,,Durr al-munaẓẓam fī madḥ al-ḥabīb al-aʻẓam
al-Durr al-munaẓẓam fī madḥ al-ḥabīb al-aʻẓam,الدر المنظم في مدح الحبيب الاعظم.,,,Durr al-munaẓẓam fī madḥ al-ḥabīb al-aʻẓam
al-Durr al-muntaẓam bi-al-shiʻr al-multazam fī madḥ al-Nabī /,الدر المنتظم بالشعر الملتزم في مدح النبي /,,,Durr al-muntaẓam bi-al-shiʻr al-multazam fī madḥ al-Nabī
al-Durr al-muntaẓam bi-al-shiʻr al-multazam fī madḥ al-Nabī /,الدر المنتظم بالشعر الملتزم في مدح النبي /,,,Durr al-muntaẓam bi-al-shiʻr al-multazam fī madḥ al-Nabī
Alessandri family power of attorney,,,,Power of attorney
Alessandro Piccolomini nomination,,,,Nomination
Alexander ...etc,,,,Alexander
Alexandreis,,,,Alexandreis
al-Farāyid al-Burhānīyah fī taḥqīq al-Fawāyid al-Fanārīyah,الفرايد البرهانية في تحقيق الفوايد الفنارية.,Farāʼid al-Burhānīyah fī taḥqīq al-Fawāʼid al-Fanārīyah,فرائد البرهانية في تحقيق الفوائد الفنارية,Farāʼid al-Burhānīyah fī taḥqīq al-Fawāʼid al-Fanārīyah
al-Farāyid al-Burhānīyah fī taḥqīq al-Fawāyid al-Fanārīyah,الفرايد البرهانية في تحقيق الفوايد الفنارية.,Farāʼid al-Burhānīyah fī taḥqīq al-Fawāʼid al-Fanārīyah,فرائد البرهانية في تحقيق الفوائد الفنارية,Farāʼid al-Burhānīyah fī taḥqīq al-Fawāʼid al-Fanārīyah
al-Fawākih al-Badrīyah fī al-aqḍiyah al-ḥukmīyah,الفواكه البدرية في الاقضية الحكمية.,,,Fawākih al-Badrīyah fī al-aqḍiyah al-ḥukmīyah
al-Fawāyid al-ghazīrah fī ḥadīth Barīrah,الفوايد الغزيره في حديث بريره.,Fawāʼid al-ghazīrah fī ḥadīth Barīrah.,فوائد الغزيرة في حديث بريرة.,Fawāʼid al-ghazīrah fī ḥadīth Barīrah
al-Fawāʼid al-Fanārīyah ... etc,الفوائد الفنارية ... الخ.,,,Fawāʼid al-Fanārīyah
al-Fawāʼid al-Fanārīyah ... etc,الفوائد الفنارية ... الخ.,,,Fawāʼid al-Fanārīyah
Alfonso Petrucci property instructions,,,,Instructions
Alfonso Petrucci public instrument,,,,Instrument
al-Futūḥāt al-rabbānīyah fī hazīmat al-Faransāwīyah,الفتوحات الربانية في هزيمة الفرنساوية.,,,Futūḥāt al-rabbānīyah fī hazīmat al-Faransāwīyah
al-Futūḥāt al-rabbānīyah fī hazīmat al-Faransāwīyah,الفتوحات الربانية في هزيمة الفرنساوية.,,,Futūḥāt al-rabbānīyah fī hazīmat al-Faransāwīyah
Algorismus,,,,Algorismus
"Algorismus, cum glosa / John of Sacro Bosco",,,,Algorismus
Algorismus ... etc,,,,Algorismus
al-Ḥadhāqah fī anwāʻ al-ʻalāqah /,الحذاقة في انواع العلاقة.,,,Ḥadhāqah fī anwāʻ al-ʻalāqah
al-Ḥadhāqah fī anwāʻ al-ʻalāqah /,الحذاقة في انواع العلاقة.,,,Ḥadhāqah fī anwāʻ al-ʻalāqah
al-Ḥawāshī al-mujammaʻah min sharḥ al-aḥādīth al-muttabaʻah /,الحواشى المجمعة من شرح الاحاديث المتبعه /,Minhāj al-muḥaddithīn.,منهاج المحدثين.,Minhāj al-muḥaddithīn
al-Hayʼah al-sanīyah,الهيئة السنية.,Hayʼah al-sanīyah fī al-hayʼah al-sunnīyah,هيئه السنية في الهيئه السنية,Hayʼah al-sanīyah fī al-hayʼah al-sunnīyah
al-Hayʼah al-sanīyah,الهيئة السنية.,Hayʼah al-sanīyah fī al-hayʼah al-sunnīyah,هيئه السنية في الهيئه السنية,Hayʼah al-sanīyah fī al-hayʼah al-sunnīyah
al-Hidāyah,الهداية.,Hidāyah fī sharḥ al-Bidāyah,هداية في شرح البداية,Hidāyah fī sharḥ al-Bidāyah
al-Hidāyah,الهداية.,Hidāyah fī sharḥ al-Bidāyah,هداية في شرح البداية,Hidāyah fī sharḥ al-Bidāyah
al-Ḥudūd li-abwāb al-fiqh,الحدود لابواب الفقه.,,,Ḥudūd li-abwāb al-fiqh
al-Īḍāḥ ... etc,الايضاح ... الخ,,,Īḍāḥ
al-Īḍāḥ ... etc,الايضاح ... الخ,,,Īḍāḥ
al-Īḍāḥ fī al-waqf wa-al-ibtidāʼ /,الايضاح في الوقف والابتدى /,,,Īḍāḥ fī al-waqf wa-al-ibtidāʼ
al-Īḍāḥ fī al-waqf wa-al-ibtidāʼ /,الايضاح في الوقف والابتدى /,,,Īḍāḥ fī al-waqf wa-al-ibtidāʼ
al-Ijāzah,الاجازة.,,,Ijāzah
al-Intibāh li-muʻālajat al-bāh ... etc,الانتباه لمعالجة الباه ... الخ.,,,Intibāh li-muʻālajat al-bāh
al-Intibāh li-muʻālajat al-bāh ... etc,الانتباه لمعالجة الباه ... الخ.,,,Intibāh li-muʻālajat al-bāh
al-Intiṣār,الانتصار.,,,Intiṣār
al-Jabr wa al-muqābalah,الجبر والمقابلة.,,,al-Jabr wa al-muqābalah
al-Jalīs al-laṭīf wa-al-nadīm al-ẓarīf ... etc,الجليس اللطيف والنديم الظريف ... الخ.,,,Jalīs al-laṭīf wa-al-nadīm al-ẓarīf
al-Jalīs al-laṭīf wa-al-nadīm al-ẓarīf ... etc,الجليس اللطيف والنديم الظريف ... الخ.,,,Jalīs al-laṭīf wa-al-nadīm al-ẓarīf
al-Jazl al-muʻtamad al-mufīd,الجزل المعتمد المفيد.,,,Jazl al-muʻtamad al-mufīd
al-Jazl al-muʻtamad al-mufīd,الجزل المعتمد المفيد.,,,Jazl al-muʻtamad al-mufīd
al-Juzʼ... min kitāb Tārīkh madīnat Dimashq,الجزء...من كتاب تاريخ مدينة دمشق.,Tārīkh madīnat Dimashq.,تاريخ مدينة دمشق.,Tārīkh madīnat Dimashq
al-Juzʼ al-akhīr fī tafsīr al-Qurʼān al-ʻaẓīm /,الجزؤ الاخير في تفسير القرآن العظيم /,Kashf wa-al-bayān ʻan tafsīr al-Qurʼān,كشف والبيان عن تفسير القرآن,Kashf wa-al-bayān ʻan tafsīr al-Qurʼān
al-Juzʼ al-awwal,الجزء الاول.,Qurʼan.,قرآن.,Qurʼan
al-Juzʼ al-awwal al-sābiʻ min Naẓm al-laʼālī fī al-miʼah al-ʻawālī al-mukhrajah lil-Burhān al-Shāmī /,"الجزء الاول السابع من نظم اللألي في المائة العوالي المخرجة للبرهان الشامي
				/",Naẓm al-laʼālī fī al-miʼah al-ʻawālī,نظم اللألي في المائة العوالي,Naẓm al-laʼālī fī al-miʼah al-ʻawālī
al-Juzʼ al-awwal min al-fawāʼid al-sanīyah fī sharḥ al-Alfīyah al-uṣūlīyah /,الجزء الاول من الفوائد السنية في شرح الالفية الاصولية /,Fawāʼid al-sanīyah fī sharḥ al-Alfīyah.,فوائد السنية في شرح الالفية.,Fawāʼid al-sanīyah fī sharḥ al-Alfīyah
al-Juzʼ al-awwal min al-Kashshāf ʻan ḥaqāʼiq ghawāmiḍ al-tanzīl wa-ʻuyūn al-aqāwīl fī wujūh al-taʼwīl /,"الجزء الاول من الكشاف عن حقائق غوامض التنزيل وعيون الاقاويل في وجوه التأويل
				/","Kashshāf ʻan ḥaqāʼiq ghawāmiḍ al-tanzīl wa-ʻuyūn al-aqāwīl fī wujūh
				al-taʼwīl",کشاف عن حقائق غوامض التنزيل وعيون الاقاويل في وجوه التأويل,Kashshāf ʻan ḥaqāʼiq ghawāmiḍ al-tanzīl wa-ʻuyūn al-aqāwīl fī wujūh al-taʼwīl
al-Juzʼ al-awwal min al-Maṣābīḥ /,الجزء الاول من المصابيح /,Maṣābīḥ al-sunnah.,مصابيح السنة,Maṣābīḥ al-sunnah
al-Juzʼ al-awwal min al-Turjumān,الجزء الاول من الترجمان.,Turjumān.,ترجمان.,Turjumān
al-Juzʼ al-awwal min al-Turjumān,الجزء الاول من الترجمان.,Turjumān.,ترجمان.,Turjumān
al-Juzʼ al-awwal min Kitāb al-Aghānī,الجزء الاول من كتاب الاغاني.,Kitāb al-Aghānī.,كتاب الاغاني.,Kitāb al-Aghānī
al-Juzʼ al-awwal min Kitāb al-Aghānī,الجزء الاول من كتاب الاغاني.,Kitāb al-Aghānī.,كتاب الاغاني.,Kitāb al-Aghānī
al-Juzʼ al-awwal min Kitāb Jawāhir al-ʻuqūd wa-muʻīn al-quḍāh wa-al-muwaqqiʻīn wa-al-shuhūd /,"الجزؤ الاول من كتاب جواهر العقود ومعين القضاه والموقعين والشهود
				/","Jawāhir al-ʻuqūd wa-muʻīn al-quḍāh wa-al-muwaqqiʻīn
				wa-al-shuhūd.",جواهرالعقود وميعن القضاة والموقعين والشهود.,Jawāhir al-ʻuqūd wa-muʻīn al-quḍāh wa-al-muwaqqiʻīn wa-al-shuhūd
al-Juzʼ al-awwal min mukhtaṣar Sharḥ Muslim sharḥ al-Imām ... shaykh al-Islām Muḥyī al-Dīn al-Nawāwī ikhtiṣār al-Shaykh al-imām al-ʻālim al-fāḍil Jamāl al-Dīn ʻAbd Allāh ibn Shams al-Dīn Muḥammad al-Anṣarī al-Shāfiʻī al-Ḥalabī raḥimahu Allāh taʻālá wa-huwa bi-khaṭṭ muʼallifih,"الجزء الاول من مختصر شرح مسلم شرح الامام ... شيخ الاسلام محيي الدين
				النواوي اختصار الشيخ الامام العالم الفاضل جمال الدين عبد الله بن شمس الدين محمد
				الانصري الشافعي الحلبي رحمه الله تعالى وهو بخط مؤلفه",Talkhīṣ Sharḥ Ṣaḥīḥ Muslim.,تلخيص شرح صحيح مسلم.,Talkhīṣ Sharḥ Ṣaḥīḥ Muslim
al-Juzʼ al-awwal min Sharḥ al-Bahjah /,الجزؤ الاول من شرح البهجة /,Bahjah al-marḍīyah.,بهجة المرضية.,Bahjah al-marḍīyah
al-Juzʼ al-awwal min Sīrat al-Ḥalabī,الجزؤ الاول من سيرة الحلبي,Sīrah al-Ḥalabīyah,سيرة الحلبية,Sīrah al-Ḥalabīyah
al-Juzʼ al-awwal min Sīrat al-Ḥalabī,الجزؤ الاول من سيرة الحلبي,Sīrah al-Ḥalabīyah,سيرة الحلبية,Sīrah al-Ḥalabīyah
al-Juzʼ al-awwal min Zād al-masīr fī ʻilm al-tafsīr /,الجزء الاول من زاد المسير في علم التفسير /,Zād al-masīr fī ʻilm al-tafsīr.,زاد المسير في علم التفسير.,Zād al-masīr fī ʻilm al-tafsīr
al-Juzʼ al-ḥādī wa-al-ʻishrūn,الجزء الحادي والعشرون.,Qurʼan.,قرآن.,Qurʼan
al-Juzʼ al-ḥādī wa-al-ʻishrūn,الجزء الحادي والعشرون.,Qurʼan.,قرآن.,Qurʼan
al-Juzʼ al-ḥādī ʻashar,الجزء الحادي عشر.,Qurʼan.,قرآن.,Qurʼan
al-Juzʼ al-ḥādī ʻashr,الجزء الحادي عشر.,Qurʼan.,قرآن.,Qurʼan
al-Juzʼ al-ḥādī ʻashr,الجزء الحادي عشر.,Qurʼan.,قرآن.,Qurʼan
al-Juzʼ al-khāmis,الجزء الخامس.,Qurʼan.,قرآن.,Qurʼan
al-Juzʼ al-khāmis wa-al-ʻishrūn,الجزء الخامس والعشرون.,Qurʼan.,قرآن.,Qurʼan
al-Juzʼ al-khāmis wa-al-ʻishrūn,الجزء الخامس والعشرون.,Qurʼan.,قرآن.,Qurʼan
al-Juzʼ al-khāmis ʻashar,الجزء الخامس عشر.,Qurʼan.,قرآن.,Qurʼan
al-Juzʼ al-khāmis ʻashar],الجزء الخامس عشر.,Qurʼan.,قرآن.,Qurʼan
al-Juzʼ al-khāmis ʻashar min al-rabʻah al-sharīfah,الجزء الخامس عشر من الربعة الشريفة.,Qurʼan.,قرآن.,Qurʼan
al-Juzʼ al-khāmis ʻashar min al-rabʻah al-sharīfah,الجزء الخامس عشر من الربعة الشريفة.,Qurʼan.,قرآن.,Qurʼan
al-Juzʼ al-rābiʻ,الجزء الرابع.,Qurʼan.,قرآن.,Qurʼan
al-Juzʼ al-rābiʻ,الجزء الرابع.,Qurʼan.,قرآن.,Qurʼan
al-Juzʼ al-rābiʻ min al-Aḥkām al-kubrá /,الجزء الرابع من الاحكام الكبرى /,Aḥkām al-sharʻīyah al-kubrá.,احكام الشرعية الكبرى.,Aḥkām al-sharʻīyah al-kubrá
al-Juzʼ al-rābiʻ min Ghawāmiḍ al-fikar fī tartīb masāyil al-Minhāj ʻalá al-mukhtaṣar /,الجز الرابع من غوامض الفكر في ترتيب مسايل المنهاج على المختصر /,Ghawāmiḍ al-fikar fī tartīb masāʼil al-Minhāj ʻalá al-mukhtaṣar.,غوامض الفکر في ترتيب مسائل المنهاج على المختصر.,Ghawāmiḍ al-fikar fī tartīb masāʼil al-Minhāj ʻalá al-mukhtaṣar
al-Juzʼ al-rābiʻ min Kitāb al-Kawkab al-munīr bi-sharḥ al-Jāmiʻ al-ṣaghīr /,الجزء الرابع من كتاب الكوكب المنير بشرح الجامع الصغير /,Kawkab al-munīr bi-sharḥ al-Jāmiʻ al-ṣaghīr.,کوکب المنير بشرح الجامع الصغير.,Kawkab al-munīr bi-sharḥ al-Jāmiʻ al-ṣaghīr
al-Juzʼ al-rābiʻ min Sharḥ Kitāb al-Durrah al-bahīyah fī al-masāyil al-fiqhīyah /,الجز الرابع من شرح كتاب الدرة البهية في المسايل الفقهية /,Sharḥ al-Durrah al-bahīyah fī al-masāʼil al-fiqhīyah.,شرح الدرة البهية في المسائل الفقهية.,Sharḥ al-Durrah al-bahīyah fī al-masāʼil al-fiqhīyah
al-Juzʼ al-rābiʻ min Tafsīr al-wasīṭ /,الجزء الرابع من تفسير الوسيط /,Wasīṭ bayna al-maqbūd wa-al-basīṭ.,وسيط بين المقبود والبسيط.,Wasīṭ bayna al-maqbūd wa-al-basīṭ
al-Juzʼ al-rābiʻ min Tafsīr al-wasīṭ /,الجزء الرابع من تفسير الوسيط /,Wasīṭ bayna al-maqbūd wa-al-basīṭ.,وسيط بين المقبود والبسيط.,Wasīṭ bayna al-maqbūd wa-al-basīṭ
al-Juzʼ al-rābiʻ wa-al-ʻishrūn,الجزء الرابع والعشرون.,Qurʼan.,قرآن.,Qurʼan
