title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label,standard_title
al-Juzʼ al-rābiʻ ʻashar min al-rabʻah al-sharīfah,الجزء الرابع عشر من الربعة الشريفة.,Qurʼan.,قرآن.,Qurʼan,Qurʼan
al-Juzʼ al-rābiʻ wa-al-ʻishrūn,الجزء الرابع والعشرون.,Qurʼan.,قرآن.,Qurʼan,Qurʼan
al-Juzʼ al-sābiʻ wa-al-ʻishrūn,الجزء السابع والعشرون.,Qurʼan.,قرآن.,Qurʼan,Qurʼan
al-Juzʼ al-sādis,الجزء السادس.,Qurʼan.,قرآن.,Qurʼan,Qurʼan
al-Juzʼ al-sādis ʻashar,الجزء السادس عشر.,Qurʼan.,قرآن.,Qurʼan,Qurʼan
al-Juzʼ al-tāsiʻ,الجزء التاسع.,Qurʼan.,قرآن.,Qurʼan,Qurʼan
al-Juzʼ al-tāsiʻ ʻashar,الجزء التاسع عشر.,Qurʼan.,قرآن.,Qurʼan,Qurʼan
al-Juzʼ al-thāmin,الجزء الثامن.,Qurʼan.,قرآن.,Qurʼan,Qurʼan
al-Juzʼ al-thāmin ʻashar,الجزء الثامن عشر.,Qurʼan.,قرآن.,Qurʼan,Qurʼan
al-Juzʼ al-thāmin wa-al-ʻishrūn,الجزء الثامن والعشرون.,Qurʼan.,قرآن.,Qurʼan,Qurʼan
al-Juzʼ al-thānī wa-al-ʻishrūn,الجزء الثاني والعشرون.,Qurʼan.,قرآن.,Qurʼan,Qurʼan
al-Juzʼ al-thalāthūn,الجزء الثلاثون.,Qurʼan.,قرآن.,Qurʼan,Qurʼan
al-Kashf wa-al-tabyīn fī ghurūr al-khalq ajmaʻīn,,,,,
Allegoriae sacrae scripturae,,,,,
Almi viri Francisci Senensis Vita miraculorum fertilis,,,,Almi viri Francisci Senensis vita,Almi viri Francisci Senensis vita
al-Mujallad al-rābiʻ min al-mathnawī al-maʻnawī al-hādī ilá ṣirāṭ al-sawī,المجلّد الرابع من المثنوي المعنوي الهادي الى صراط السوي.,Mas̲navī.,مثنوى.,Mas̲navī,Mas̲navī
al-Mulāḥaẓah al-intiqādiyah fī al-sīrah al-Muḥammadīyah,الملاحظة الانتقادية في السيرة المحمدية.,,,,
al-Mulakhkhaṣ fī al-hayʼah,الملخص في الهيئة.,,,,
al-Muqaddimah al-Ghaznawīyah,المقدمة الغزنوية.,,,,
al-Niṣf al-thānī min juzʼ aḥad ʻashar,النصف الثاني من جزء احد عشر.,Qurʼan.,قرآن.,Qurʼan,Qurʼan
al-Nuṭq al-mafhūm min ahl al-ṣamt al-maʻlūm,,,,,
Alphabet,,,,,
al-Qawl al-aẓhar fī jawāz libs al-aḥmar,,,,,
al-Qurʼān,القرآن.,Qurʼan.,قرآن.,Qurʼan,Qurʼan
al-Qurʼān,القرآن.,Qurʼan.,قرآن,Qurʼan,Qurʼan
al-Qurʼān,القرآن.,Qurʼan.,,Qurʼan,Qurʼan
al-Qurʼān,القرآن.,Qurʼan.,قرآن.,Qurʼan,Qurʼan
al-Qurʼān,القرآن,Qurʼan.,قرآن.,Qurʼan,Qurʼan
al-Risālah al-dāmighah lil-fāsiq... etc,الرسالة الدامغة للفاسق... إلخ..,,,,
al-Risālah al-salāmīyah,,,,,
al-Shifāʼ al-sharīf,الشفاء الشريف.,Shifāʼ fī taʻrīf ḥuqūq al-Muṣṭafá,شفاء في تعريف حقوق المصطفى,"Shifāʼ fī taʻrīf ḥuqūq al-Muṣṭafá
","Shifāʼ fī taʻrīf ḥuqūq al-Muṣṭafá
"
al-Ṣulḥ bayna al-ikhwān fī ḥukm ibāḥat al-dukhān,,,,,
al-Suʼāl wa-al-murād fī jawāz istiʻmāl al-misk wa-al-ʻanbar wa-al-zabād,,,,,
al-Tārīkh al-kanāʼisī,التاريخ الكنائسي,,,,
al-Taṣrīḥ fī sharḥ al-tasrīḥ,,,,,
al-Tuḥfah al-shāhīyah fī al-hayʼah,التحفة الشاهية في الهيئة.,,,,
al-Wishāḥ fī fawāʼid al-nikāḥ,,,,,
Amadís de Gaula,,,,Amadís de Gaula,Amadís de Gaula
Anīs al-munqaṭiʻīn,,,,,
Anthems; known as the Gostling manuscript,,,,Anthems,Anthems
Anthology,,,,Anthology,Anthology
"Antiphon, psalm, and versicle for the aspersion of holy water",,,,Antiphonary; Psalm; Versicle,Antiphonary; Psalm; Versicle
Antiphonal,,,,Antiphonary,Antiphonary
Antiphonal Music,,,,Antiphonary,Antiphonary
"Antiphonal, Temporal (Summer)",,,,Antiphonary,Antiphonary
"Antiphonal, Temporal (Winter)",,,,Antiphonary,Antiphonary
Antiphonarium,,Antiphonal,,Antiphonary,Antiphonary
Antiphonary,,,,Antiphonary,Antiphonary
"Antiphonary, diurnal (Ambrosian Rite)",,,,Antiphonary,Antiphonary
"Antiphonary, Dominican use",,,,Antiphonary,Antiphonary
Antiphoner,,,,Antiphonary,Antiphonary
"Antiphoner, Gradual",,,,Antiphonary; Gradual,Antiphonary; Gradual
"Antoninus Florentinus: Summa Sacrae Theologiae, luris Pontifici et Caesarei",,,,Summa Theologiae,Summa Theologiae
Anwār al-tanzīl wa-asrār al-taʼwīl,انوار التنزيل واسرار التأويل.,Anwār al-tanzīl wa-asrār al-taʼwīl.,انوار التنزيل واسرار التأويل.,Anwār al-tanzīl wa-asrār al-taʼwīl,Anwār al-tanzīl wa-asrār al-taʼwīl
Apocalypse,,,,Apocalypse,Apocalypse
Apparatus in quinque libros Decretalium,,,,Apparatus super libros Decretalium,Apparatus super libros Decretalium
Appointment,,,,,
Argumenta,,,,,
Armorial,,,,,
Ars poetica,,,,Ars poetica,Ars poetica
Ars Poetica (Art of Poetry); Carmen seculare; Epistolae (Epistles); Odes,,,,Ars poetica; Carmen seculare; Epistles; Odes,Ars poetica; Carmen seculare; Epistles; Odes
Ars Poetica and Epistulae,,,,Ars poetica; Epistles,Ars poetica; Epistles
Asās sirr al-akyās,,,,,
Assise of all manner of breade,,,,Assise of all manner of breade,Assise of all manner of breade
Astrological material?,,,,,
Auctoritates logicae veteris,,,,Auctoritates logicae veteris,Auctoritates logicae veteris
Aurora,,,,Aurora,Aurora
"Axiomata, adagia, et dicteria juris",,,,"Axiomata, adagia, et dicteria juris","Axiomata, adagia, et dicteria juris"
Ayyuhā al-akh,,,,,
Ayyuhā al-walad,,,,,
Badāʼiʻ al-funūn,بدائع الفنون.,,,,
Badīʻ al-ḥisāb,بدیع الحساب.,,,,
Baḥr al-dumūʻ,,,,,
Baḥr al-ʻUyūn,بحر العیون.,,,,
Bāb fī al-luʻb bi-al-maysir,,,,,
"Bartholomaeus de Sancto Concordio, Summa de Casibus Conscientiae (Incunable Leaf)",,,,Summa de casibus conscientiae,Summa de casibus conscientiae
Basis grammatice,,,,,
Beatissimi Ieronimi presbiteri in sistum picthagoricum,,,,In sistum picthagoricum,In sistum picthagoricum
Benedictional?,,,,Benedictional,Benedictional
Bhāgavatapurāṇa,بهگوت پوران.,Puranas.,,Puranas,Puranas
Bhedadhikkāra,"भेदधिक्कार,",,,,
Bible,,,,Bible,Bible
Bible Commentary,,,,Bible commentary,Bible commentary
Bible in mnemonic form,,,,Bible,Bible
Bible leaf on uterine vellum,,,,Bible,Bible
Bible study guide,,,,Bible,Bible
"Bible, Atlantic Bible",,,,Bible,Bible
"Bible, Epistles",,,,Bible; Epistles,Bible; Epistles
"Bible, glossed Mark",,,,Bible; Gospel of Mark,Bible; Gospel of Mark
"Bible, II Kings 13:5 - II Kings 15:10",,,,Bible; Kings,Bible; Kings
"Bible, N. T. , glossed",,,,Bible; New Testament,Bible; New Testament
"Bible, N. T., Mark",,,,Bible; New Testament; Gospel of Mark,Bible; New Testament; Gospel of Mark
"Bible, N.T.",,,,Bible; New Testament,Bible; New Testament
"Bible, N.T., Acts",,,,Bible; New Testament; Acts,Bible; New Testament; Acts
"Bible, N.T., Apocrypha",,,,Bible; New Testament; Apocrypha,Bible; New Testament; Apocrypha
"Bible, N.T., Epistles of James, Peter, and the First Epistle of John",,,,Bible; New Testament; Epistles,Bible; New Testament; Epistles
"Bible, N.T., Ezekiel",,,,Bible; New Testament; Ezekiel,Bible; New Testament; Ezekiel
"Bible, N.T., Gospel of John",,,,Bible; New Testament; Gospel of John,Bible; New Testament; Gospel of John
"Bible, N.T., John",,,,Bible; New Testament; Gospel of John,Bible; New Testament; Gospel of John
"Bible, N.T., Luke",,,,Bible; New Testament; Gospel of Luke,Bible; New Testament; Gospel of Luke
"Bible, N.T., Numbers",,,,Bible; New Testament; Numbers,Bible; New Testament; Numbers
"Bible, N.T., Revelations",,,,Bible; New Testament; Revelations,Bible; New Testament; Revelations
"Bible, N.T., Timothy",,,,Bible; New Testament; Timothy,Bible; New Testament; Timothy
"Bible, O. T.",,,,Bible; Old Testament,Bible; Old Testament
"Bible, O. T., Ecclesiasticus",,,,Bible; Old Testament; Ecclesiasticus,Bible; Old Testament; Ecclesiasticus
"Bible, O.T.",,,,Bible; Old Testament,Bible; Old Testament
"Bible, O.T., Genesis, glossed",,,,Bible; Old Testament; Genesis,Bible; Old Testament; Genesis
"Bible, O.T., Psalter",,,,Bible; Old Testament; Psalter,Bible; Old Testament; Psalter
"Bible, Tours",,,,Bible,Bible
"Bible, with glossa ordinaria",,,,Bible; Glossa ordinaria,Bible; Glossa ordinaria
Bible; Notes on a church synod,,,,Bible; Notes on a church synod,Bible; Notes on a church synod
Biblia pequeña,,,,Bible,Bible
Biblia Sacra Latina,,Bible.,,Bible,Bible
"Biblia sacra Latina, liber Prophetarium",,Bible.,,Bible; Prophets,Bible; Prophets
Biblia Veteris et Novi Testamenti,,,,Bible; Old Testament; New Testament,Bible; Old Testament; New Testament
Biblical Commentary,,,,Bible commentary,Bible commentary
Biblical commentary,,,,Bible commentary,Bible commentary
Biblical commentary on the Old Testament--I Kings - Esther,,,,Bible commentary,Bible commentary
"Biblical commentary on the Pentateuch (Exodus, Leviticus, Numbers)",,,,Bible commentary,Bible commentary
Biblical concordance,,,,,
Biblical genealogies,,,,Bible genealogies,Bible genealogies
Biblical History,,,,Bible history,Bible history
Bifolium from a book of hours,,,,Book of hours,Book of hours
Bīst bāb dar ʻilm-i usṭurlāb,بیست باب در علم اسطرلاب.,,,,
Bisnu Purān,بسن پران.,Puranas.,,Puranas,Puranas
Bodhāyanacayanaprayoga,"भोधायनचयनप्रयोग,",,,,
Bohun Bible,,,,Bible,Bible
Bonum universale de apibus,,,,Bonum universale de apibus,Bonum universale de apibus
"Book I, 4,5,6",,,,,
Book of Hours,,,,Book of hours,Book of hours
Book of hours,,,,Book of hours,Book of hours
Book of Hours (Bifolium),,,,Book of hours,Book of hours
Book of Hours (Use of Dol.),,,,Book of hours,Book of hours
Book of hours calendar leaf,,,,Book of hours,Book of hours
Book of Hours for Sarum Use,,,,Book of hours,Book of hours
Book of hours fragment,,,,Book of hours,Book of hours
Book of Hours or Psalter,,,,Book of hours; Psalter,Book of hours; Psalter
"Book of Hours, excerpt Hours of the Cross",,,,Book of hours,Book of hours
"Book of Hours, Psalms from Hours of the Virgin",,,,Book of hours; Psalter,Book of hours; Psalter
"Book of Hours, use of Dol",,,,Book of hours,Book of hours
"Book of Hours, use of Evreux",,,,Book of hours,Book of hours
"Book of Hours, use of Paris",,,,Book of hours,Book of hours
"Book of hours, use of Paris",,,,Book of hours,Book of hours
"Book of Hours, use of Poitiers",,,,Book of hours,Book of hours
"Book of Hours, use of Rome",,,,Book of hours,Book of hours
"Book of hours, use of Rome",,,,Book of hours,Book of hours
"Book of Hours, Use of Rome, Heures Mixtes",,,,Book of hours,Book of hours
"Book of hours, use of Rouen",,,,Book of hours,Book of hours
Book of Hours; Miniature,,,,Book of hours,Book of hours
Breviary,,,,Breviary,Breviary
Breviary for Augustinian use,,,,Breviary,Breviary
Breviary of Elisabeth von Walmden,,,,Breviary,Breviary
Breviary or Sequentiary,,,,Breviary; Sequentiary,Breviary; Sequentiary
"Breviary, noted",,,,Breviary,Breviary
"Breviary, Psalter",,,,Breviary; Psalter,Breviary; Psalter
"Breviary, Use of Ghent",,,,Breviary,Breviary
Brief Discourse of the Estate of the Kingdoms of Spayne and Portugall,,,,,
Britton,,,,Britton,Britton
Buch von den probierten Kü̈̈nsten,,,,Buch von den probierten Künsten,Buch von den probierten Künsten
Bucolica,,,,Bucolics,Bucolics
Bucolics,,,,Bucolics,Bucolics
Bughyat al-nussāk fī al-kalām ʻalá al-siwāk,,,,,
"Bull of Innocent VIII, 1405",,,,Bull,Bull
Caius Plinius secundus de Morte Valerii M.,,,,De morte Valerii Martialis,De morte Valerii Martialis
Calendar,,,,Calendar,Calendar
Calendar for year 1064 AH,,,,Calendar,Calendar
Calendar leaf from a book of hours or breviary,,,,Calendar,Calendar
Calendar table,,,,Calendar,Calendar
Calligraphic manual,,,,Calligraphy,Calligraphy
Canon law,,,,Canon law,Canon law
Canon law (?),,,,Canon law,Canon law
Canon super almanach; De 12 signis et eorum naturis in generali,,,,"Canon super almanach; De 12 signis et eorum naturis in generali
","Canon super almanach; De 12 signis et eorum naturis in generali
"
Canonical Epistles,,,,Epistles,Epistles
Canonziere,,,,Canzoniere,Canzoniere
Canzone,,,,,
Capitoli della Scuola di Purificatone della Vergine e di Sancto Zenobiot,,,,Capitoli della Scuola di Purificazione della Vergine e di Santo Zenobio,Capitoli della Scuola di Purificazione della Vergine e di Santo Zenobio
Carmen de nuptiis Pauli Sfortiae et Lucretiae Piae,,,,,
Carmen saeculare,,,,Carmen saeculare,Carmen saeculare
Carmina,,,,,
"Carta ejecutoria de Hidalguia granted in favor of Diego de Alarcón Quintana de la Villa de la Torre and his sons, unnamed",,,,Carta executoria de hidalguia,Carta executoria de hidalguia
Carta executoria de hidalguia a pedimiento,,,,Carta executoria de hidalguia,Carta executoria de hidalguia
Cato maior vel de senectute,,,,Cato maior,Cato maior
Cato maior vel de senectute Paradoxa,,,,Cato maior; Paradoxa,Cato maior; Paradoxa
Certain astrological and astronomical figures,,,,Astronomy,Astronomy
"Choir Book, Gradual",,,,Choir book; Gradual,Choir book; Gradual
Choir psalter,,,,Psalter,Psalter
Choirbook leaf with hymn dedicated to Saint Hilarion,,,,Choir book,Choir book
"Chomincia lo libro di lamore di troiolo & da chriseida, Capitulum primum,",,,,Filostrato,Filostrato
Christophorus Hegendorfyne Doctor of the Law to the right wyse and excellent man Lorde Thomas Reibin senator of francofort by syde oderani his singuler good patron wyssheth healthe,,,,,
Chronicle,,,,Chronicle,Chronicle
"Chronicle, Dominican",,,,Chronicle,Chronicle
Chy commenchent les eures de la crois,,,,Book of hours,Book of hours
Chy fait mencion comment le Roy Henry d'Engleterre renvoya la Reyne Izabel jadis femme du Roy Richard d'Engleterre en France et de ceulx qui le rechevirent,,,,,
Claves sacre scripture,,,,Claves sacre scripture,Claves sacre scripture
Clemens PP. XII.,,,,,
Codex,,,,Codex,Codex
"Codex, Liber Sextus",,,,Codex,Codex
Collationes patrum,,,,Lives of the Fathers,Lives of the Fathers
Collectarium,,,,Collectarium,Collectarium
Collection of prayers,,,,,
Collection of prayers and selections from the Qurʼān,,,,Qurʼan,Qurʼan
Collection of treatises on Sufism and Islam,,,,,
Commentaria super praedicamenta Aristotelis,,,,"Commentary on Aristotle, Categories; Categories","Commentary on Aristotle, Categories; Categories"
Commentaries on Acts of the Apostles,,,,Commentary on Acts; Acts,Commentary on Acts; Acts
Commentaries on Aristotle and Porphyry,,,,Commentary on Aristotle; Commentary on Porphyry,Commentary on Aristotle; Commentary on Porphyry
Commentarii in Politicorum Aristotelis libris,,,,"Commentary on Aristotle, Politics; Politics","Commentary on Aristotle, Politics; Politics"
Commentariorum in Matthaeum Libri Octo,,,,Commentary on Matthew; Gospel of Matthew,Commentary on Matthew; Gospel of Matthew
Commentarius in Ezechielem prophetam,,,,Commentary on Ezekiel; Ezekiel,Commentary on Ezekiel; Ezekiel
Commentary,,,,Commentary,Commentary
"Commentary on Aristotle, Analytica Priora (?)",,,,"Commentary on Aristotle, Prior Analytics; Prior Analytics","Commentary on Aristotle, Prior Analytics; Prior Analytics"
Commentary on Genesis and 1-2 Kings,,,,Commentary on Genesis; Commentary on Kings; Genesis; Kings,Commentary on Genesis; Commentary on Kings; Genesis; Kings
Commentary on the Ephemerides of Regiomontanus,,,,Commentary on the Ephemerides; Ephemerides,Commentary on the Ephemerides; Ephemerides
Commentary on the Pauline Epistles,,,,Commentary on Epistles; Epistles,Commentary on Epistles; Epistles
Comoediae,,,,,
Compendium historiae in genealogia Christi,,,,Compendium historiae in genealogia Christi,Compendium historiae in genealogia Christi
Compendium in Cantica canticorum,,,,Compendium in Cantica canticorum,Compendium in Cantica canticorum
Compendium of Logic,,,,,
Compendium theologicae veritatis,,,,Compendium theologicae veritatis,Compendium theologicae veritatis
Computus Cirometralis,,Ars computistica,,Ars computistica,Ars computistica
Concession of nobility,,,,,
Conciones aliquot domesticae,,,,,
Conclusiones,,,,,
"Conclusiones""",,,,,
Confessio,,,,,
Confirmation,,,,,
Confirmation of grants,,,,Grant,Grant
Confirmation of sale,,,,,
Consilium,,,,,
Constitution and rules,,,,Constitution and rules,Constitution and rules
Contra Appionem,,,,Against Apion,Against Apion
Corregidor of the Villa de Oropesa in the Valle de Cochabamba,,,,,
Cronica de la o'rden de los éremitaños del glorioso Padre Sancto Augustin,,,,,
Débat sur le roman de la rose,,,,"The Debate on the ""Romance of the Rose""","The Debate on the ""Romance of the Rose"""
Dalāʼil al-khayrāt wa shawāriq al-anwār fī dhikr al-ṣalāh ʻalá al-nabī al-mukhtār,دلائل الخيرات و شوارق الانوار في ذكر الصلاة على النبي المختار.,Dalāʼil al-khayrāt,دلائل الخيرات.,Dalāʼil al-khayrāt,Dalāʼil al-khayrāt
Dalāʼil al-khayrāt wa shawāriq al-anwār fī dhikr al-ṣalāh ʻalá al-nabī al-mukhtār,دلائل الخيرات و شوارق الانوار في ذكر الصلوة على النبي المختار.,Dalāʼil al-khayrāt.,دلائل الخيرات.,Dalāʼil al-khayrāt,Dalāʼil al-khayrāt
Dalāʼil al-khayrāt wa shawāriq al-anwār fī dhikr al-ṣalawāt ʻalá al-nabī al-mukhtār,دلائل الخيرات و شوارق الانوار في ذكر الصلوات على النبي المختار.,Dalāʼil al-khayrāt.,دلائل الخيرات.,Dalāʼil al-khayrāt,Dalāʼil al-khayrāt
Dalāʼil al-khayrāt... etc,دلائل الخيرات... إلخ.,,,Dalāʼil al-khayrāt,Dalāʼil al-khayrāt
Darr al-ghamāmah fī durr al-ṭaylasān wa-al-ʻadhabah wa-al-ʻimāmah,,,,,
Das Amtbuch,,,,Office book,Office book
De Amore Dei,,,,De Amore Dei,De Amore Dei
De amore et dilectione Dei (On the love and favor of God); De doctrina dicendi et tacendi (On the doctrine of speaking and keeping silent); De ritu et moribus Indorum (On the rites and ways of the Indians); Historia de preliis Alexandri Magni (History of the battles of Alexander the Great); Pseudo-Sibylline Prophecy; Sermones quattuor (Four sermons),,,,De amore Dei; Liber de doctrina dicendi et tacendi; De ritu et moribus Indorum; Historia de preliis Alexandri Magni; Sibylline Oracles; Sermons,De amore Dei; Liber de doctrina dicendi et tacendi; De ritu et moribus Indorum; Historia de preliis Alexandri Magni; Sibylline Oracles; Sermons
De arca Noe morali et mystica,,,,De arca Noe,De arca Noe
De arte metrica,,,,De arte metrica,De arte metrica
De Bello Catilinae and De Bello Jugurthinum,,,,De Bello Catilinae; De Bello Jugurthinum,De Bello Catilinae; De Bello Jugurthinum
De casu diaboli (On the Fall of the Devil),,,,De casu diaboli,De casu diaboli
De censuris ecclesiasticis; Three papal bulls,,,,Tractatus de censuris ecclesiasticis; Bull,Tractatus de censuris ecclesiasticis; Bull
De civitate Dei,,,,De civitate Dei,De civitate Dei
De claustro animae,,,,De claustro animae,De claustro animae
De conceptu virginali et de originali peccatu,,,,De conceptu virginali et originali peccato,De conceptu virginali et originali peccato
De conscientia aedificandi,,,,De conscientia aedificandi,De conscientia aedificandi
De Consideratione,,,,De consideratione,De consideratione
De consideratione (On Consideration),,,,De consideratione,De consideratione
De consolatione philosophiae,,,,De consolatione philosophiae,De consolatione philosophiae
De consolatione philosophiae / Boetius,,De consolatione philosohiae,,De consolatione philosophiae,De consolatione philosophiae
De consolatione philosophiae; De mirabilis mundi; Grammatical treatise ?; Unidentified theological treatise; Miscellany,,,,De consolatione philosophiae; De mirabilibus mundi; Grammar; Theology; Miscellany,De consolatione philosophiae; De mirabilibus mundi; Grammar; Theology; Miscellany
De corpore et sanguine Domini,,,,De corpore et sanguine Domini,De corpore et sanguine Domini
De die iudicii,,,,De die iudicii,De die iudicii
De diversis prologis martilogii per quos patet quantam diligentiam sancti et antiqui ad conpilationem huius opusculi habeant.,,,,,
De duobus amantibus,,,,De duobus amantibus,De duobus amantibus
De duodecim abusionibus saeculi,,,,De duodecim abusivis,De duodecim abusivis
De Emendacione Vite sive Regula Vivendi,,,,Emendatio Vitae,Emendatio Vitae
De excellentibus ducibus exterarum gentium,,,,De excellentibus ducibus exterarum gentium,De excellentibus ducibus exterarum gentium
De finibus,,,,De finibus,De finibus
De forma honestae vitae; De institutione monachorum,,,,De forma honestae vitae; De institutione monachorum,De forma honestae vitae; De institutione monachorum
De haeresibus,,,,,
De heresis adversus chirstainum fidem,,,,De heresis adversus christianum fidem,De heresis adversus christianum fidem
De humana miseria,,,,De humana miseria,De humana miseria
De intellectu,,,,De intellectu,De intellectu
De ira Dei,,,,De ira Dei,De ira Dei
De legibus,,,,De legibus,De legibus
De libero arbitrio,,,,De libero arbitrio,De libero arbitrio
De locis et mirabilibus mundi,,,,De locis et mirabilibus mundi,De locis et mirabilibus mundi
De ludo schacchorum seu de moribus hominum et officiis nobilium ... etc,,,,Liber super ludo scachorum,Liber super ludo scachorum
De medicina equorum,,,,De medicina equorum,De medicina equorum
de memoria et reminiscentia,,,,De memoria et reminiscentia,De memoria et reminiscentia
De miseria condicionis humane,,,,De Miseria Condicionis Humane,De Miseria Condicionis Humane
De miseriis curialium,,,,De miseriis curialium,De miseriis curialium
De morte Hieronymi ad Damasum,,,,De morte Hieronymi ad Damasum,De morte Hieronymi ad Damasum
De morte Valerii Martialis,,,,De morte Valerii Martialis,De morte Valerii Martialis
De natura rerum,,De natura rerum.,,De natura rerum,De natura rerum
DE NUPTIIS PAULLI SFORTIAE ET LU/ CRETIAE PIAE/ ACHILLIS STATII LUSITANI/ CARMEN,,,,,
De Officiis,,,,De officiis,De officiis
De officiis,,,,De officiis,De officiis
De opificio Dei,,,,De opificio Dei,De opificio Dei
De Oratore,,,,De oratore,De oratore
De origine rerum,,,,De origine rerum,De origine rerum
De ortu et obitu sanctorum,,,,De ortu et obitu Patrum,De ortu et obitu Patrum
De patriarchis,,,,De patriarchis,De patriarchis
De perversitate quorundam religiosorum,,,,De perversitate quorundam religiosorum,De perversitate quorundam religiosorum
De processione Spiritus sancti,,,,De processione Spiritus sancti,De processione Spiritus sancti
De quattuor virtutibus caritatis (On the four virtues of charity),,,,De quattuor virtutibus caritatis,De quattuor virtutibus caritatis
De rota verae et falsae religionis,,,,De rota verae et falsae religionis,De rota verae et falsae religionis
De sermone domini in monte habito (On the sermon on the mount) and other treatises; De superbia (On pride) and other treatises; Expositio dominice orationis (Exposition on the lord's prayer),,,,Sermons; De superbia; Orationes,Sermons; De superbia; Orationes
De simplicibus,,,,De simplicibus,De simplicibus
de somno et vigilia,,,,De somno et vigilia,De somno et vigilia
De spectaculis,,,,De spectaculis,De spectaculis
De summo bono,,,,De summo bono,De summo bono
De tribus diebus,,,,De tribus diebus,De tribus diebus
De Trinitate,,,,De Trinitate,De Trinitate
De vera religione,,,,De vera religione,De vera religione
De verbis apostolis,,,,De verbis apostolis,De verbis apostolis
De Viribus Herbarum /,,,,De Viribus Herbarum /,De Viribus Herbarum /
De viris illustribus urbis Romae,,,,De viris illustribus urbis Romae,De viris illustribus urbis Romae
De Virtutibus S. Martini,,,,De virtutibus sancti Martini,De virtutibus sancti Martini
De vita christiana,,,,Vita christiana,Vita christiana
De vita contemplativa,,,,De vita contemplativa,De vita contemplativa
De vita contemplativa et activa,,,,De vita contemplativa,De vita contemplativa
De Vita Imperatorum,,,,De Vita imperatorum,De Vita imperatorum
