subject_as_recorded,vocab,subfield_codes,source_authority_uri,ds_qid_add,authorized_label_add,structured_value_add,authorized_label,structured_value,ds_qid
Historiated initial,openn-keywords,,,,,,Historiated initials,http://id.worldcat.org/fast/957716,Q19864
Gradual,openn-keywords,,,,,,Graduals (Liturgical books),http://id.worldcat.org/fast/945809,Q5831
Gothic,openn-keywords,,,,,,Gothic (Medieval),http://vocab.getty.edu/aat/300020775,Q19871
Missing leaves,openn-keywords,,,,,,,,
Antiphonary,openn-keywords,,,,,,Antiphonaries,http://id.worldcat.org/fast/810657,Q4306
Colophon,openn-keywords,,,,,,Colophons,http://id.worldcat.org/fast/868495,Q19850
19th century,openn-keywords,,,,,,Nineteenth century,http://id.worldcat.org/fast/1037841,Q3538
Forgery,openn-keywords,,,Q2829,Forgery,,,,
Genealogy,openn-keywords,,,,,,Genealogy,http://id.worldcat.org/fast/939652,Q38912
Scroll,openn-keywords,,,,,,scrolls (information artifacts),http://vocab.getty.edu/aat/300028629,Q8246
Male college students,openn-subjects,,,Q110671,Male college students,http://id.worldcat.org/fast/1006618,,,
"World War, 1914-1918",openn-subjects,,,Q110672,World War (1914-1918),http://id.worldcat.org/fast/1180746,,,
"Washington Bridge (New York, N.Y.)",openn-subjects,,,,,,,,
"Philippines--History--Philippine American War, 1899-1902",openn-subjects,,,Q110673;Q6879;Q110674,Philippines;History;Philippine American War (Philippines : 1899-1902),http://id.worldcat.org/fast/1205261;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1353980,,,
"Spanish-American War, 1898",openn-subjects,,,Q110675,Spanish-American War (1898),http://id.worldcat.org/fast/1128682,,,
Women,openn-subjects,,,Q8004,Women,http://id.worldcat.org/fast/1176568,,,
Germany,openn-keywords,,,,,,Germany,http://id.worldcat.org/fast/1210272,Q3032
Bible,openn-keywords,,,,,,Bible,http://id.worldcat.org/fast/1356024,Q4267
German,openn-keywords,,,,,,"German (culture, style, period)",http://vocab.getty.edu/aat/300111192,Q19867
17th century,openn-keywords,,,,,,Seventeenth century,http://id.worldcat.org/fast/1113663,Q2771
Morocco,openn-keywords,,,Q3567,Morocco,http://id.worldcat.org/fast/1205592,,,
Moroccan,openn-keywords,,,Q110676,Moroccan,http://vocab.getty.edu/aat/300245255,,,
11th century,openn-keywords,,,,,,Eleventh century,http://id.worldcat.org/fast/908096,Q306
18th century,openn-keywords,,,,,,Eighteenth century,http://id.worldcat.org/fast/904058,Q3024
Persia,openn-keywords,,,Q16384,Iran,http://id.worldcat.org/fast/1204889,,,
Persian,openn-keywords,,,,,,Persian (culture),http://vocab.getty.edu/aat/300019933,Q20348
Egypt,openn-keywords,,,,,,Egypt,http://id.worldcat.org/fast/1208755,Q11259
Egyptian,openn-keywords,,,Q110677,Egyptian (ancient),http://vocab.getty.edu/aat/300020251,,,
Breviary,openn-keywords,,,,,,Breviaries,http://id.worldcat.org/fast/838495,Q3593
Gospel Lectionary,openn-keywords,,,,,,Evangeliaries,http://id.worldcat.org/fast/916991,Q4182
Missal,openn-keywords,,,,,,Missals,http://id.worldcat.org/fast/1023680,Q4233
