subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label,structured_value,ds_qid
16th century,fast,a,,Sixteenth century,http://id.worldcat.org/fast/1119851,Q335
16th century,openn-keywords,,,Sixteenth century,http://id.worldcat.org/fast/1119851,Q335
16th century,openn-subjects,,,Sixteenth century,http://id.worldcat.org/fast/1119851,Q335
1700-1799,fast,a,,Eighteenth century,http://id.worldcat.org/fast/904058,Q3024
1789-1807,fast,a,,1789-1807,http://id.worldcat.org/fast/1355754,Q10785
17th century,fast,a,,Seventeenth century,http://id.worldcat.org/fast/1113663,Q2771
17th century,openn-keywords,,,Seventeenth century,http://id.worldcat.org/fast/1113663,Q2771
17th century,openn-subjects,,,Seventeenth century,http://id.worldcat.org/fast/1113663,Q2771
17th century.,fast,a,,Seventeenth century,http://id.worldcat.org/fast/1113663,Q2771
1800-1899,fast,a,,Nineteenth century,http://id.worldcat.org/fast/1037841,Q3538
18th century,fast,a,,Eighteenth century,http://id.worldcat.org/fast/904058,Q3024
18th century,openn-keywords,,,Eighteenth century,http://id.worldcat.org/fast/904058,Q3024
18th century,openn-subjects,,,Eighteenth century,http://id.worldcat.org/fast/904058,Q3024
18th century.,fast,a,,Eighteenth century,http://id.worldcat.org/fast/904058,Q3024
19th century,fast,a,,Nineteenth century,http://id.worldcat.org/fast/1037841,Q3538
19th century,openn-keywords,,,Nineteenth century,http://id.worldcat.org/fast/1037841,Q3538
19th century,openn-subjects,,,Nineteenth century,http://id.worldcat.org/fast/1037841,Q3538
20th century,openn-keywords,,,Twentieth century,http://id.worldcat.org/fast/1159810,Q5942
20th century,openn-subjects,,,Twentieth century,http://id.worldcat.org/fast/1159810,Q5942
265-30 B.C,fast,a,,265-30 B.C.,http://id.worldcat.org/fast/1355900,Q39069
500-1500,fast,a,,500-1500,http://id.worldcat.org/fast/1355938,Q4252
600-1500,fast,a,,500-1500,http://id.worldcat.org/fast/1355938,Q4252
900-1299,fast,a,,Tenth century;Eleventh century;Twelfth century;Thirteenth century,http://id.worldcat.org/fast/1147737;http://id.worldcat.org/fast/908096;http://id.worldcat.org/fast/1159791;http://id.worldcat.org/fast/1150138,Q12530;Q306;Q304;Q245
900-999,fast,a,,Tenth century,http://id.worldcat.org/fast/1147737,Q12530
9th century,openn-keywords,,,Ninth century,http://id.worldcat.org/fast/1037854,Q329
9th century,openn-subjects,,,Ninth century,http://id.worldcat.org/fast/1037854,Q329
Abbasids,fast,a,(OCoLC)fst00794211,Abbasids,http://id.worldcat.org/fast/794211,Q11371
Abbasids.,fast,a,(OCoLC)fst00794211,Abbasids,http://id.worldcat.org/fast/794211,Q11371
Abbasids--Early works to 1800,0,a--v,,Abbasids;Early works,http://id.worldcat.org/fast/794211;http://id.worldcat.org/fast/1411636,Q11371;Q300
Abbasids--Poetry--Early works to 1800,0,a--v--v,,Abbasids;Poetry;Early works,http://id.worldcat.org/fast/794211;http://id.worldcat.org/fast/1423828;http://id.worldcat.org/fast/1411636,Q11371;Q247;Q300
Abbasids--Poetry--Early works to 1800.,0,a--v--v,,Abbasids;Poetry;Early works,http://id.worldcat.org/fast/794211;http://id.worldcat.org/fast/1423828;http://id.worldcat.org/fast/1411636,Q11371;Q247;Q300
Abbeys--Belgium--15th century,0,a--z--y,,Abbeys;Belgium;Fifteenth century,http://id.worldcat.org/fast/794216;http://id.worldcat.org/fast/1210278;http://id.worldcat.org/fast/923962,Q38799;Q16301;Q154
Abbeys--Belgium--Nivelles,0,a--z--z,,Abbeys;Belgium--Nivelles,http://id.worldcat.org/fast/794216;http://id.worldcat.org/fast/1210707,Q38799;Q38800
Abbeys--England--Devonshire,0,a--z--z,,Abbeys;England--Devon,http://id.worldcat.org/fast/794216;http://id.worldcat.org/fast/1206047,Q38799;Q3609
"Abbiategrasso (Italy)--Charters, grants, privileges--Early works to 1800",0,a--v--v,,Italy--Abbiategrasso;Charters and articles of incorporation;Early works,http://id.worldcat.org/fast/1237199;http://id.worldcat.org/fast/1774239;http://id.worldcat.org/fast/1411636,Q67139;Q27098;Q300
Abbiategrasso (Italy)--History--16th century--Sources,0,a--x--y--v,,Italy--Abbiategrasso;History;Sixteenth century;Sources,http://id.worldcat.org/fast/1237199;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1119851;http://id.worldcat.org/fast/1423900,Q67139;Q6879;Q335;Q2769
Abbots,fast,a,http://id.worldcat.org/fast/794221,Abbots,http://id.worldcat.org/fast/794221,Q190
Abbots.,fast,a,http://id.worldcat.org/fast/794221,Abbots,http://id.worldcat.org/fast/794221,Q190
"Abbots--Appointment, call, and election",0,a--x,,"Abbots--Appointment, call, and election",http://id.worldcat.org/fast/794222,Q66932
Abbots--Early works to 1800,0,a--v,,Abbots;Early works,http://id.worldcat.org/fast/794221;http://id.worldcat.org/fast/1411636,Q190;Q300
Abbots--Early works to 1800.,0,a--v,,Abbots;Early works,http://id.worldcat.org/fast/794221;http://id.worldcat.org/fast/1411636,Q190;Q300
"Abbreviations, Hebrew--Early works to 1800",0,a--v,,"Abbreviations, Hebrew;Early works",http://id.worldcat.org/fast/794251;http://id.worldcat.org/fast/1411636,Q75029;Q300
"Abbreviations, Latin",fast,a,(OCoLC)fst00794256,"Abbreviations, Latin",http://id.worldcat.org/fast/794256,Q67055
"Abbreviations, Latin--Early works to 1800",0,a--v,,"Abbreviations, Latin;Early works",http://id.worldcat.org/fast/794256;http://id.worldcat.org/fast/1411636,Q67055;Q300
Abhidharma,ds-subject,,,Abhidharma,http://id.worldcat.org/fast/794375,Q76575
Ablutions (Islamic law),fast,a,(OCoLC)fst01748813,Ablutions (Islamic law),http://id.worldcat.org/fast/1748813,Q11157
Ablutions (Islamic law)--Early works to 1800,0,a--v,(uri) http://id.loc.gov/authorities/subjects/sh2009007624,Ablutions (Islamic law);Early works,http://id.worldcat.org/fast/1748813;http://id.worldcat.org/fast/1411636,Q11157;Q300
Ablutions (Islamic law)--Early works to 1800,0,a--v,,Ablutions (Islamic law);Early works,http://id.worldcat.org/fast/1748813;http://id.worldcat.org/fast/1411636,Q11157;Q300
Ablutions (Islamic law)--Early works to 1800.,0,a--v,,Ablutions (Islamic law);Early works,http://id.worldcat.org/fast/1748813;http://id.worldcat.org/fast/1411636,Q11157;Q300
Ablutions (Islamic law)--Early works to 1800.,0,a--v,(uri) http://id.loc.gov/authorities/subjects/sh2009007624,Ablutions (Islamic law);Early works,http://id.worldcat.org/fast/1748813;http://id.worldcat.org/fast/1411636,Q11157;Q300
Abraham (Biblical patriarch) in the Koran--Early works to 1800,0,a--v,(uri) http://id.loc.gov/authorities/subjects/sh87006406,Abraham (Biblical patriarch) in the Qurʼan;Early works,http://id.worldcat.org/fast/1864769;http://id.worldcat.org/fast/1411636,Q26751;Q300
Abraham (Biblical patriarch) in the Qurʼan,fast,a,(OCoLC)fst01864769,Abraham (Biblical patriarch) in the Qurʼan,http://id.worldcat.org/fast/1864769,Q26751
Absolution--Italy--Florence--Early works to 1800,0,a--z--z--v,,Absolution;Italy--Florence;Early works,http://id.worldcat.org/fast/794727;http://id.worldcat.org/fast/1204699;http://id.worldcat.org/fast/1411636,Q67141;Q3604;Q300
Accents and accentuation,fast,a,http://id.worldcat.org/fast/795235,Accents and accentuation,http://id.worldcat.org/fast/795235,Q75419
Accordian fold books,ds-subject,,,Accordion fold books,http://id.worldcat.org/fast/2070678,Q75959
Accordion fold format (Binding) -- Burma,ds-subject,,,Accordion fold format;Burma,http://id.loc.gov/vocabulary/rbmscv/cv00024;http://id.worldcat.org/fast/1207835,Q42550;Q26915
Accordion fold format (Binding) -- Thailand,ds-subject,,,Accordion fold format;Thailand,http://id.loc.gov/vocabulary/rbmscv/cv00024;http://id.worldcat.org/fast/1205310,Q42550;Q26903
Account books,fast,a,(OCoLC)fst00795342,Account books,http://id.worldcat.org/fast/795342,Q38801
Account books,0,a,,Account books,http://id.worldcat.org/fast/795342,Q38801
Account books--Germany--Niederrhein--Early works to 1800,0,a--z--z--v,,Account books;Germany;Early works,http://id.worldcat.org/fast/795342;http://id.worldcat.org/fast/1210272;http://id.worldcat.org/fast/1411636,Q38801;Q3032;Q300
Account books--Great Britain--19th century,0,a--z--y,,Account books;Great Britain;Nineteenth century,http://id.worldcat.org/fast/795342;http://id.worldcat.org/fast/1204623;http://id.worldcat.org/fast/1037841,Q38801;Q179;Q3538
Account books--Italy--15th century,0,a--z--y,,Account books;Italy;Fifteenth century,http://id.worldcat.org/fast/795342;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/923962,Q38801;Q249;Q154
Accounting,fast,a,http://id.worldcat.org/fast/795379,Accounting,http://id.worldcat.org/fast/795379,Q291
Accounting.,fast,a,http://id.worldcat.org/fast/795379,Accounting,http://id.worldcat.org/fast/795379,Q291
Accounting--Early works to 1800,0,a--v,,Accounting;Early works,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1411636,Q291;Q300
Accounting--France--14th century,0,a--z--y,,Accounting;France;Fourteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/933420,Q291;Q152;Q295
Accounting--France--14th century.,0,a--z--y,,Accounting;France;Fourteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/933420,Q291;Q152;Q295
Accounting--Germany--16th century,0,a--z--y,,Accounting;Germany;Sixteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1210272;http://id.worldcat.org/fast/1119851,Q291;Q3032;Q335
Accounting--Germany--16th century.,0,a--z--y,,Accounting;Germany;Sixteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1210272;http://id.worldcat.org/fast/1119851,Q291;Q3032;Q335
"Accounting--Handbooks, manuals, etc",0,a--v,http://id.loc.gov/authorities/subjects/sh2007100509,Accounting;Handbooks and manuals,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1423877,Q291;Q212
"Accounting--Handbooks, manuals, etc.--Early works to 1800",0,a--x--v,,"Accounting--Handbooks, manuals, etc.;Early works",http://id.worldcat.org/fast/1424436;http://id.worldcat.org/fast/1411636,Q38802;Q300
Accounting--Italy--15th century,0,a--z--y,,Accounting;Italy;Fifteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/923962,Q291;Q249;Q154
Accounting--Italy--15th century.,0,a--z--y,,Accounting;Italy;Fifteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/923962,Q291;Q249;Q154
Accounting--Italy--16th century,0,a--z--y,,Accounting;Italy;Sixteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1119851,Q291;Q249;Q335
Accounting--Italy--16th century.,0,a--z--y,,Accounting;Italy;Sixteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1119851,Q291;Q249;Q335
Accounting--Italy--17th century,0,a--z--y,,Accounting;Italy;Seventeenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1113663,Q291;Q249;Q2771
Accounting--Italy--17th century.,0,a--z--y,,Accounting;Italy;Seventeenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1113663,Q291;Q249;Q2771
Accounting--Spain--16th century,0,a--z--y,,Accounting;Spain;Sixteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/1119851,Q291;Q343;Q335
Accounting--Spain--16th century.,0,a--z--y,,Accounting;Spain;Sixteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/1119851,Q291;Q343;Q335
Accounting--Turkey,0,a--z,,Accounting;Turkey,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1208963,Q291;Q4294
Accounts,openn-keywords,,,Accounts,http://id.worldcat.org/fast/795510,Q6895
Accounts,aat,a,http://vocab.getty.edu/aat/300145802,accounts,http://vocab.getty.edu/aat/300145802,Q178
Accounts,fast,a,(OCoLC)fst00795510,Accounts,http://id.worldcat.org/fast/795510,Q6895
Accounts.,aat,a,http://vocab.getty.edu/aat/300145802,accounts,http://vocab.getty.edu/aat/300145802,Q178
Accounts--England,0,a--z,,Accounts;England,http://id.worldcat.org/fast/795510;http://id.worldcat.org/fast/1219920,Q6895;Q320
Acquisition of manuscripts,fast,a,,Acquisition of manuscripts,http://id.worldcat.org/fast/795992,Q64148
Acquisition of manuscripts--Islamic Empire--15th century,0,a--z--y,,Acquisition of manuscripts;Islamic Empire;Fifteenth century,http://id.worldcat.org/fast/795992;http://id.worldcat.org/fast/1244134;http://id.worldcat.org/fast/923962,Q64148;Q11211;Q154
Acquisition of property (Jewish law),0,a,http://id.loc.gov/authorities/subjects/sh85000625,Acquisition of property (Jewish law),http://id.worldcat.org/fast/796001,Q74868
Acquittals,0,a,http://id.loc.gov/authorities/subjects/sh85000637,Acquittals,http://id.worldcat.org/fast/796034,Q48480
Acquittals,fast,a,(OCoLC)fst00796034,Acquittals,http://id.worldcat.org/fast/796034,Q48480
Acquittals--Germany,0,a--z,,Acquittals;Germany,http://id.worldcat.org/fast/796034;http://id.worldcat.org/fast/1210272,Q48480;Q3032
Acre (Israel)--Early works to 1800,0,a--v,,Israel--Acre;Early works,http://id.worldcat.org/fast/1207296;http://id.worldcat.org/fast/1411636,Q11129;Q300
"Acre (Israel)--History--Siege, 1799",0,a--x--y,,"Israel--Acre;History;Siege of Acre (Acre, Israel : 1799)",http://id.worldcat.org/fast/1207296;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1354712,Q11129;Q6879;Q11464
"Acre (Israel)--History--Siege, 1799.",0,a--x--y,,"Israel--Acre;History;Siege of Acre (Acre, Israel : 1799)",http://id.worldcat.org/fast/1207296;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1354712,Q11129;Q6879;Q11464
Acronyms--19th century,0,a--y,,Acronyms;Nineteenth century,http://id.worldcat.org/fast/796088;http://id.worldcat.org/fast/1037841,Q75043;Q3538
Acronyms--Early works to 1800,0,a--v,,Acronyms;Early works,http://id.worldcat.org/fast/796088;http://id.worldcat.org/fast/1411636,Q75043;Q300
Acrostics,fast,a,http://id.worldcat.org/fast/796098,Acrostics,http://id.worldcat.org/fast/796098,Q7756
Acrostics.,fast,a,http://id.worldcat.org/fast/796098,Acrostics,http://id.worldcat.org/fast/796098,Q7756
Acrostics--Early works to 1800,0,a--v,,Acrostics;Early works,http://id.worldcat.org/fast/796098;http://id.worldcat.org/fast/1411636,Q7756;Q300
Acrostics--Early works to 1800.,0,a--v,,Acrostics;Early works,http://id.worldcat.org/fast/796098;http://id.worldcat.org/fast/1411636,Q7756;Q300
Actes formalistes--France--Manuscrits--Ouvrages avant 1800,6,a--z--x--v,(CaQQLa)201-0081310--(CaQQLa)201-0452039--(CaQQLa)201-0379055--(CaQQLa)201-0377050,Deeds;France;Manuscripts;Early works,http://id.worldcat.org/fast/889460;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1008230;http://id.worldcat.org/fast/1411636,Q38803;Q152;Q38609;Q300
Actions and defenses,0,a,http://id.loc.gov/authorities/subjects/sh85000723,Actions and defenses,http://id.worldcat.org/fast/796238,Q7485
Actions and defenses,fast,a,,Actions and defenses,http://id.worldcat.org/fast/796238,Q7485
Actions and defenses,fast,a,http://id.worldcat.org/fast/796238,Actions and defenses,http://id.worldcat.org/fast/796238,Q7485
Actions and defenses.,fast,a,http://id.worldcat.org/fast/796238,Actions and defenses,http://id.worldcat.org/fast/796238,Q7485
Actions and defenses (Islamic law),fast,a,,Actions and defenses (Islamic law),http://id.worldcat.org/fast/796257,Q7718
Actions and defenses (Islamic law)--Early works to 1800,0,a--v,,Actions and defenses (Islamic law);Early works,http://id.worldcat.org/fast/796257;http://id.worldcat.org/fast/1411636,Q7718;Q300
Actions and defenses--18th century,0,a--y,,Actions and defenses;Eighteenth century,http://id.worldcat.org/fast/796238;http://id.worldcat.org/fast/904058,Q7485;Q3024
Actions and defenses--Early works to 1800,0,a--v,,Actions and defenses;Early works,http://id.worldcat.org/fast/796238;http://id.worldcat.org/fast/1411636,Q7485;Q300
Actions and defenses--Italy--Milan--15th century,0,a--z--z--y,,Actions and defenses;Italy--Milan;Fifteenth century,http://id.worldcat.org/fast/796238;http://id.worldcat.org/fast/1208698;http://id.worldcat.org/fast/923962,Q7485;Q2808;Q154
Actions and defenses--Italy--Milan--15th century.,0,a--z--z--y,,Actions and defenses;Italy--Milan;Fifteenth century,http://id.worldcat.org/fast/796238;http://id.worldcat.org/fast/1208698;http://id.worldcat.org/fast/923962,Q7485;Q2808;Q154
Actions and defenses--Spain--Early works to 1800,0,a--z--v,,Actions and defenses;Spain;Early works,http://id.worldcat.org/fast/796238;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/1411636,Q7485;Q343;Q300
Acupuncture--Early works to 1800,0,a--v,,Acupuncture;Early works,http://id.worldcat.org/fast/796357;http://id.worldcat.org/fast/1411636,Q12607;Q300
Acupuncture--Early works to 1800.,0,a--v,,Acupuncture;Early works,http://id.worldcat.org/fast/796357;http://id.worldcat.org/fast/1411636,Q12607;Q300
Acupuncture points--Early works to 1800,0,a--v,,Acupuncture points;Early works,http://id.worldcat.org/fast/796375;http://id.worldcat.org/fast/1411636,Q12654;Q300
Acupuncture points--Early works to 1800.,0,a--v,,Acupuncture points;Early works,http://id.worldcat.org/fast/796375;http://id.worldcat.org/fast/1411636,Q12654;Q300
Adam (Biblical figure)--Islamic interpretations--Early works to 1800,0,a;c--x--v,,Islamic interpretations of Adam;Early works,http://id.worldcat.org/fast/1353429;http://id.worldcat.org/fast/1411636,Q11381;Q300
Adhan,fast,a,(OCoLC)fst01742302,Adhan,http://id.worldcat.org/fast/1742302,Q11547
Adhan.,fast,a,(OCoLC)fst01742302,Adhan,http://id.worldcat.org/fast/1742302,Q11547
Adhan--Early works to 1800,0,a--v,,Adhan;Early works,http://id.worldcat.org/fast/1742302;http://id.worldcat.org/fast/1411636,Q11547;Q300
Adhan--Early works to 1800.,0,a--v,,Adhan;Early works,http://id.worldcat.org/fast/1742302;http://id.worldcat.org/fast/1411636,Q11547;Q300
Āditya (Hindu deity),0,a,,Ādityas (Hindu deities),http://id.worldcat.org/fast/1185162,Q76346
Administration,fast,a,http://id.worldcat.org/fast/1351613,Administration,http://id.worldcat.org/fast/1351613,Q6907
Administration.,fast,a,http://id.worldcat.org/fast/1351613,Administration,http://id.worldcat.org/fast/1351613,Q6907
Administration militaire,6,a,,Military administration,http://id.worldcat.org/fast/1020856,Q27166
Administration of estates--Philippines--Manila--History--16th century--Sources,0,a--z--z--x--y--v,,Administration of estates;Philippines--Manila;History;Sixteenth century;Sources,http://id.worldcat.org/fast/796713;http://id.worldcat.org/fast/1205230;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1119851;http://id.worldcat.org/fast/1423900,Q66941;Q66939;Q6879;Q335;Q2769
Admonition,0,a,http://id.loc.gov/authorities/subjects/sh85000938,Admonition,http://id.worldcat.org/fast/796964,Q76389
Admonition,fast,a,http://id.worldcat.org/fast/796964,Admonition,http://id.worldcat.org/fast/796964,Q76389
Adriatic Sea,0,a,,Mediterranean Sea--Adriatic Sea,http://id.worldcat.org/fast/1239504,Q17505
Adriatic Sea.,0,a,,Mediterranean Sea--Adriatic Sea,http://id.worldcat.org/fast/1239504,Q17505
Advaita,0,a,,Advaita,http://id.worldcat.org/fast/797410,Q26701
Advaita,0,a,http://id.loc.gov/authorities/subjects/sh85001058,Advaita,http://id.worldcat.org/fast/797410,Q26701
Advaita,fast,a,http://id.worldcat.org/fast/797410,Advaita,http://id.worldcat.org/fast/797410,Q26701
Advaita--Early works to 1800,0,a--x,,Advaita;Early works,http://id.worldcat.org/fast/797410;http://id.worldcat.org/fast/1411636,Q26701;Q300
Advaita--Early works to 1800,0,a--v,http://id.loc.gov/authorities/subjects/sh2007100676,Advaita;Early works,http://id.worldcat.org/fast/797410;http://id.worldcat.org/fast/1411636,Q26701;Q300
Advent--Liturgy--Texts--Early works to 1800,0,a--x--v--v,,Advent--Liturgy;Texts;Early works,http://id.worldcat.org/fast/797428;http://id.worldcat.org/fast/1423705;http://id.worldcat.org/fast/1411636,Q48320;Q3066;Q300
Advent sermons--Early works to 1800,0,a--v,,Advent sermons;Early works,http://id.worldcat.org/fast/797433;http://id.worldcat.org/fast/1411636,Q67025;Q300
"Adventure stories, Spanish",0,a,http://id.loc.gov/authorities/subjects/sh95004520,"Adventure stories, Spanish",http://id.worldcat.org/fast/797496,Q48474
"Adventure stories, Spanish",fast,a,,"Adventure stories, Spanish",http://id.worldcat.org/fast/797496,Q48474
Advisory opinions (Islamic law),fast,a,,Advisory opinions (Islamic law),http://id.worldcat.org/fast/797979,Q8132
Advisory opinions (Islamic law)--Early works to 1800,0,a--v,,Advisory opinions (Islamic law);Early works,http://id.worldcat.org/fast/797979;http://id.worldcat.org/fast/1411636,Q8132;Q300
Advisory opinions (Islamic law)--Turkey,0,a--z,,Advisory opinions (Islamic law);Turkey,http://id.worldcat.org/fast/797979;http://id.worldcat.org/fast/1208963,Q8132;Q4294
