name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,ds_id_add,structured_value_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
"Siccus, Johannes Baptista",former owner,,,,,,,,human,Johannes Baptista Siccus,Q131856751,Q68645
"Bowes, William Blakiston, 1691-1721",former owner,,,,,,,,human,William Blakiston Bowes,Q76281944,Q68660
"Savonarola, Girolamo, 1452-1498",author,,,,,,,,human,Girolamo Savonarola,Q164823,Q40768
"Lalemant, Gabriel",former owner,,,,,,,,human,Gabriel Lalemant,Q957622,Q68649
"Meerman, Gerard, 1722-1771",former owner,,,,,,,,human,Gerard Meerman,Q15392399,Q7603
"Meerman, Johan, 1753-1815",former owner,,,,,,,,human,Johan Meerman,Q3173480,Q7604
"Black, William Henry, 1808-1872",former owner,,,,,,,,human,William Henry Black,Q18531030,Q40297
"Royer, J. T",former owner,,,,,,,,human,Jean Theodore Royer,Q34232414,Q68650
"Ogden, W. S",former owner,,,,,,,,human,W. S. Ogden,Q131856753,Q68651
"Collège de Clermont (Paris, France)",former owner,,,,,,,,organization,Lycée Louis-le-Grand,Q1059546,Q41971
"Frezzi, Federico, approximately 1346-1416",author,,,,,,,,human,Federico Frezzi,Q2034402,Q68648
"Âli, Mustafa bin Ahmet, 1541-1599",author,عالى، مصطفى بن احمد. 1541-1599,,,,,,,human,Mustafa Âlî,Q3646767,Q54683
"Bunck, R. J., Rev",former owner,,,,,,,,human,R. J. Bunck,Q131856747,Q68635
"Halhed, Nathaniel Brassey, 1751-1830",author,,,human,Nathaniel Brassey Halhed,DSNAME9277,Q4495159,Q114403,,,,
"Minutoli-Tegrimi, Eugenio, Conte",former owner,,,,,,,,human,Eugenio Minutoli-Tegrimi,Q120869139,Q68644
"Jayadeva, active 12th century",author,,http://id.loc.gov/authorities/names/n50082235,,,,,,human,Jayadeva,Q335015,Q28187
"Cavalca, Domenico, -1342",author,,,,,,,,human,Domenico Cavalca,Q3712952,Q6104
"Dante Alighieri, 1265-1321",author,,,,,,,,human,Dante Alighieri,Q1067,Q40500
"Cagnolis, Augustinus de",former owner,,,,,,,,human,Augustinus de Cagnolis,Q131856750,Q68642
"Silva, Donato Ferdinando Antonio, 1690-1779",former owner,,,,,,,,human,Donato II Silva,Q3713766,Q68643
"Silva, Ercole, 1756-1840",former owner,,,,,,,,human,Ercole Silva,Q3731214,Q16631
"Adda, Gerolamo, marchese d', 1815-1881",former owner,,,,,,,,human,Girolamo d'Adda,Q47468683,Q68629
"Murray, Charles Fairfax, 1849-1919",former owner,,,,,,,,human,Charles Fairfax Murray,Q12062202,Q1791
"Edwardes, Henry Hope, 1829-1900",former owner,,,,,,,,human,"Sir Henry Hope Edwardes, 10th Baronet",Q113630522,Q68630
"Seneca, Lucius Annaeus, approximately 4 B.C.-65 A.D.",author,,http://viaf.org/viaf/90637919,,,,,,human,Seneca,Q2054,Q6126
Appiano family,former owner,,,,,,,,,,,
"Ibn Maʻrūf, Muḥammad ibn ʻAbd al-Khāliq, active 15th century",author,ابن معروف، محمد بن عبد الخالق،، active 15th century,,,,,,,human,Muḥammad ibn ʻAbd al-Khāliq Ibn Maʻrūf,Q129453417,Q49317
"Pulci, Bernardo",author,,,,,,,,human,Bernardo Pulci,Q589545,Q68652
"Pulci, Antonia",author,,,,,,,,human,Antonia Tanini Pulci,Q18945018,Q68653
"Crevenna, Pietro Antonio, 1736-1792",former owner,,,,,,,,human,Pietro Antonio Crevenna,Q55902726,Q40309
"Heber, Richard, 1773-1833",former owner,,,,,,,,human,Richard Heber,Q4502479,Q6134
"Techener, J. 1802-1870",former owner,,,,,,,,human,J. Techener,Q21481870,Q41745
"Barrois, Joseph, approximately 1785-1855",former owner,,,,,,,,human,Joseph Barrois,Q97783947,Q1564
"Ashburnham, Bertram Ashburnham, Earl of, 1797-1878",former owner,,http://id.loc.gov/authorities/names/n82255127,,,,,,human,"Bertram Ashburnham, 4th Earl of Ashburnham",Q21855104,Q1565
"Philip II, King of Spain, 1527-1598",author,,,,,,,,human,Philip II of Spain,Q34417,Q17780
"ʻĀmilī, Bahāʼ al-Dīn Muḥammad ibn Ḥusayn, 1547-1621",author,عاملي، بهاء الدين محمد بن حسين، 1547-1621,,,,,,,human,Bahāʾ al-dīn al-ʿĀmilī,Q2658411,Q12408
"Kirkup, Seymour Stocker, 1788-1880",former owner,,,,,,,,human,Seymour Stocker Kirkup,Q16605428,Q41075
"Wilde, William C. K. 1852-1899",former owner,,,,,,,,human,Willie Wilde,Q1606342,Q68637
"Qāʼit Bāy, Sultan of Egypt and Syria, -1496",author,قايتباي، سلطان مصر وسوريا،، -1496,,,,,,,human,Qaitbay,Q557847,Q54684
"Hamilton, William Alexander Louis Stephen Douglas-Hamilton, Duke of, 1845-1895",former owner,,,,,,,,human,"William Douglas-Hamilton, 12th Duke of Hamilton",Q336666,Q68631
"San Giorgio maggiore (Monastery : Venice, Italy)",former owner,,,,,,,,organization,San Giorgio Monastery,Q3320338,Q1635
"Giorgio, d'Alemagna, active 1441-1479",illuminator,,,,,,,,human,Giorgio d'Alemagna,Q3106916,Q1103
"Llangattock, John Allan Rolls, Baron , 1837-1912",former owner,,,,,,,,human,"John Rolls, 1st Baron Llangattock",Q1101328,Q27880
"Norton, Andrew, of Bristow",author,,,,,,,,human,Andrew Norton of Bristow,Q131856756,Q68657
"Bruno Iohannis, de Davantria, active 1446-1454",author,,,,,,,,human,Bruno Iohannis de Davantria,Q131822035,Q68661
"Benvenutus, de Imola, -1387 or 1388",author,,,,,,,,human,Benvenuto Rambaldi da Imola,Q773623,Q16485
"Bartholomew, of San Concordio, 1262-1347",author,,,,,,,,human,Bartholomew of San Concordio,Q3635444,Q855
"Wilde, Ricardo Enrico de",former owner,,,,,,,,human,Ricardo Enrico de Wilde,Q131856744,Q68628
Saʻdī,author,,,,,,,,human,Saadi,Q170302,Q3799
"Vrelant, Guillaume, -1481",author,,,,,,,,human,Willem Vrelant,Q363720,Q1830
"Buturlin, Dmitrīĭ Petrovich, 1763-1829",former owner,,,,,,,,human,Dmitry Buturlin,Q3712324,Q68658
"Bools, W. E., Esq",former owner,,,,,,,,human,"W. E. Bools, Esq.",Q131856757,Q68659
"Olschki, Leo S. 1861-1940",former owner,,,,,,,,human,Leo Olschki,Q15051199,Q3215
"Ricardus, de Mediavilla, approximately 1249-1308?",author,,,human,Richard of Middleton,DSNAME5822,Q446656,Q42295,,,,
"Linterno, Marchese",former owner,,,,,,,,human,Marchese Linterno,Q122873491,Q20123
"Visconti Modrone, C. Duca",former owner,,,,,,,,human,C. Duca Visconti Modrone,Q131856745,Q68632
"Bruschetti, Giuseppe, active 19th century",former owner,,,,,,,,human,Giuseppe Bruschetti,Q15689386,Q20126
"Schiepatti, Gaetano, active 19th century",former owner,,,,,,,,human,Gaetano Schiepatti,Q131856746,Q68633
"Arrigoni, Luigi",former owner,,,,,,,,human,Luigi Arrigoni,Q120869119,Q20128
"Buckler, William H",former owner,,,,,,,,human,William Hepburn Buckler,Q59629350,Q68634
"Certosa di Garegnano (Milan, Italy)",former owner,,,,,,,,organization,Garegnano Charterhouse,Q581827,Q20124
"McGirr, Newman F., 1877-1952",former owner,,,,,,,,human,Newman F. McGirr,Q120752898,Q68654
"Doni, Anton Francesco, 1513-1574",author,,,,,,,,human,Anton Francesco Doni,Q601844,Q40549
"Beer, John T",former owner,,,,,,,,human,John Thomas Beer,Q116250783,Q7879
