name_as_recorded,role,name_agr,source_authority_uri,instance_of,authorized_label,structured_value
Cicero (Quintus Tullius Cicero),author,,,human,Quintus Tullius Cicero,Q316054
"Cicero, Marcus Tullius",author,,,human,Cicero,Q1541
"Cicero, Marcus Tullius.",author,,https://viaf.org/viaf/78769600,human,Cicero,Q1541
"Clark, Clarence H. (Clarence Howard), 1833-1906",former owner,,,human,"Clarence Howard Clark, Sr.",Q5126591
Claudianus Osbern of Gloucester,author,,,human,Osbern of Gloucester,Q680829
"Cockerell, Sidney C.",former owner,,,human,Sydney Cockerell,Q966843
"Cockerell, Sydney Carlyle, Sir, 1867-1962",former owner,,,human,Sydney Cockerell,Q966843
Coluccio Salutati,author,,,human,Coluccio Salutati,Q93113
"Conant, Samuel",former owner,,,human,S. S. Conant,Q110226047
Constantine the African,author,,,human,Constantine the African,Q468641
Convent of San Paolo,former owner,,,organization,Convento di San Paolo,Q18486849
"Cooper, Martin J",former owner,,,human,Martin J. Cooper,Q113818464
Cornelius Nepos,author,,,human,Cornelius Nepos,Q109594
"Court, Antoine de, 16th cent",former owner,,,human,Antoine de la Court,Q55909108
"Court, Benoît de",former owner,,,human,Benoît Le Court,Q106904178
"Crescenzi, Pietro de', approximately 1233-approximately 1320",author,,,human,Pietro de' Crescenzi,Q1933377
"Creswick, H. R., 1902-1988",former owner,,,human,Harry Creswick,Q5668143
"Cyprian, Saint, Bishop of Carthage",author,,http://viaf.org/viaf/100179090,human,Cyprian,Q190240
"Dackomb, Jacob",former owner,,,human,Jacob Dackomb,Q113818650
"Dackomb, Thomas",former owner,,,human,Thomas Dackomb,Q113818672
Damasio de Frías,author,,,human,Damasio de Frías,Q113818701
Daniele Barbaro,author,,,human,Daniele Barbaro,Q378870
Dante Alighieri,author,,,human,Dante Alighieri,Q1067
"Darvīsh Abū Bakr ibn ʻUthmān, active 1792",scribe,درويش ابو بكر بن عثمان، active 1792,,human,Darvīsh Abū Bakr ibn ʻUthmān,Q114242432
David ap Phillip,author,,,human,David ap Phillip,Q113818743
Davis & Orioli (Firm),former owner,,,organization,Davis & Orioli,Q113818768
"Dārendevī, Muḥammad ibn Ismāʻīl, active 17th century-18th century",author,دارندوي، محمد بن اسماعىل، active 17th century-18th century,,human,Muḥammad ibn Ismāʻīl Dārendevī,Q114242433
Delis,former owner,,,organization,Delhi,Q1353
"Dioscorides Pedanius, of Anazarbos",author,ديسقوريدس,,human,Pedanius Dioscorides,Q297776
"Diyārbakrī, Musṭafá ibn ʻUmar",author,,,human,Musṭafá ibn ʻUmar Diyārbakrī,Q114242434
"Dloss, Edwin",former owner,,,human,Edwin Dloss,Q113818857
"Drury, Henry, 1778-1841",former owner,,,human,Henry Drury,Q5720478
"Dunn, George",former owner,,,human,George Dunn,Q112841325
"Dysart, Lionel Tollemache, Earl of, 1708-1770",former owner,,,human,"Lionel Tollemache, 4th Earl of Dysart",Q6555815
"Easson, Henry, Reverend",former owner,,,human,Henry Easson,Q113818938
"Eaton, Peter",former owner,,,human,Peter Eaton,Q113819016
"Ebner von Eschenbach, Hieronymus Wilhelm, 1673-1752",former owner,,,human,Hieronymus Wilhelm Ebner von Eschenbach,Q15452636
Edmund of Abingdon,author,,,human,Edmund of Abingdon,Q1235967
"Edmund, earl of Lancaster",author,,,human,Edmund Crouchback,Q447802
"Ellis, John Henry, 1839 or 1840-1912",former owner,,,human,John Henry Ellis,Q113819060
"Erzurūmī, Ibrāhīm ibn ʻUthmān ḥaqqī, d. 1781",author,,,human,İbrahim Hakkı Erzurumi,Q2729985
"Ess, Leander van 1772-1847",former owner,,,human,Johann Heinrich van Ess,Q1810643
"Ess, Leander van, 1772-1847",former owner,,,human,Johann Heinrich van Ess,Q1810643
"Estmond, John",former owner,,,human,John Estmond,Q114242435
"Eucherius, archbishop of Lyons",author,,,human,Eucherius of Lyon,Q671419
Euclid,author,,,human,Euclid,Q8747
Euclid (Euclides),author,,,human,Euclid,Q8747
Eugippius,author,,,human,Eugippius,Q738491
Eusebius,author,,,human,Eusebius of Caesarea,Q142999
Eusebius of Cremona,author,,,human,Eusebius of Cremona,Q24013788
Eutropius,author,,,human,Eutropius,Q314694
Evrard de Béthune,author,,,human,Eberhard of Béthune,Q5331803
"Étampes-Valençay, Léonor d', approximately 1585-1651",author,,,human,Léonore d'Étampes de Valençay,Q3271738
Fazio degli Uberti,author,,,human,Fazio of Uberti,Q1399161
"Fārūqī, Fatḥ Allāh ibn Muṣṭafá ibn ʻAbd al-Shakūr, active approximately 16th century-17th century",author,فاروقى، فتح الله بن مصطفى بن عبد الشکور، active approximately 16th century-17th century,,human,Fatḥ Allāh ibn Muṣṭafá ibn ʻAbd al-Shakūr Fārūqī,Q114242419
"Fāsī, Muḥammad ibn ʻAbd al-Wāḥid ibn ʻAbd al-Qādir",scribe,فاسي، محمد بن عبد الواحد بن عبد القادر,,human,Muḥammad ibn ʻAbd al-Wāḥid ibn ʻAbd al-Qādir Fāsī,Q114242436
"Feltrinelli, Giannalisa",former owner,,,human,Giannalisa Feltrinelli,Q95750251
"Fenâî, Laʻlî Meḥmed",author,فنائى، لعلى محمد,,human,Laʻlî Meḥmed Fenâî,Q113826477
"Fenn, John, 1739-1794",former owner,,,human,John Fenn,Q6232934
"Fenwick, Thomas FitzRoy Phillipps, 1856-1938",former owner,,,human,Thomas FitzRoy Phillipps Fenwick,Q75889469
"Fenwick, Thomas Fitzroy Phillipps, 1856-1938",former owner,,,human,Thomas FitzRoy Phillipps Fenwick,Q75889469
"Feutrier, Imbert",author,,,human,Imbert Feutrier,Q113826490
Firdawsī,author,,,human,Ferdowsi,Q43459
"Firenze, Andrea de, 15th cent",illuminator,,,human,Andrea di Bonaiuto,Q495419
"Fiske, Willard, 1831-1904",former owner,,,human,Willard Fiske,Q2047315
"Fitzwilliam, George W",former owner,,,human,George W. Fitzwilliam,Q114242437
"Florus, Lucius Annaeus",author,,,human,Lucius Annaeus Florus,Q316483
"Follower of Birago, Giovan Pietro, active 1471-1513 and Master B. F. (sometimes identified as Francisco Binasco)",artist,,,human,Giovanni Pietro Birago,Q1901175
Francesco Malacarne,author,,,human,Francesco Malacarne,Q65953117
Francesco Petrarca,author,,,human,Petrarch,Q1401
Francisco de Pisa,author,,,human,Francisco de Pisa,Q3816939
From the leaves of Otto F. Ege (1888-1951).,former owner,,,human,Otto Ege,Q7109575
"Frost, H. Harvey",former owner,,,human,Henry Harvey Frost,Q63158037
"Fugger, Marcus, 1529-1597",former owner,,,human,Markus Fugger,Q115254
"Fugger, Ulricus, 1526-1584",former owner,,,human,Ulrich Fugger,Q3547961
"Fuller, A. W. F",former owner,,,human,A. W. F. Fuller,Q4648509
"Gaignières, Jehan de, 16th cent",former owner,,,human,Jehan de Gaignières,Q113857013
"Gallico, Joseph ben Isaac, 16th century",scribe,,,human,Joseph ben Isaac Gallico,Q113857019
"Gambiglioni, Angelo, active 15th century",author,,http://viaf.org/viaf/100384396/,human,Angelo Gambiglioni,Q3617010
"Ganser, Georg",scribe,,,human,Georg Ganser,Q113857026
Gaṅgārāma,former owner,,,human,Gaṅgārāma,Q94539706
"Gardner, Thomas",former owner,,,human,Thomas Gardner,Q18593511
"Gāḍagīla, Janārdana Koṇḍadeva",former owner,,,human,Janārdana Koṇḍadeva Gāḍagīla,Q113857033
"Gervase, of Tilbury, approximately 1160-approximately 1211",author,,,human,Gervase of Tilbury,Q531883
"Ghalyūn, Nafīsah bint al-Ḥājj Muḥammad",former owner,غليون، نفيسة بنت الحاج محمد,,human,Nafīsah bint al-Ḥājj Muḥammad Ghalyūn,Q113857047
"Ghamrī, Aḥmad ibn Muḥammad, -1499 or 1500",author,غمري، احمد بن محمد، -1499 أو 1500,,human,Aḥmad ibn Muḥammad Ghamrī,Q113857063
"Ghaznawī, Aḥmad, -1196 or 1197",author,غزنوي، احمد، -1196 or 1197,,human,Aḥmad Ghaznawī,Q113857079
"Ghazzālī, 1058-1111",author,,http://id.loc.gov/authorities/names/n82097778,human,Al-Ghazali,Q9546
"Gherardo, del Fora, approximately 1444-1497",artist,,,human,Gherardo di Giovanni del Fora,Q3104832
"Gift in January 1898 by Samuel Putnam Avery,",former owner,,,human,"Samuel P. Avery, Jr.",Q66712995
Gift of Audry Wilkens (1910-2003).,former owner,,,human,Audry Wilkens,Q114242438
Gilbert de la Porrée,author,,,human,Gilbert de La Porrée,Q583119
"Gilbert, W. J.",former owner,,,human,W. J. Gilbert,Q113857112
"Gioacchino, di Giovanni",illuminator,,,human,Gioacchino di Giovanni,Q20830652
Giordano Ruffo,author,,,human,Giordano Ruffo,Q3106874
Giovanni Antonio Flaminio (Giovanni Antonius Flaminio),author,,,human,Giovanni Antonio Flaminio,Q17284944
Giovanni Battista Guarini,author,,,human,Giovanni Battista Guarini,Q542039
Giovanni Battista Poggio-Bracciolini,author,,,human,Giovan Battista Bracciolini,Q3766057
Giovanni Boccaccio,author,,,human,Giovanni Boccaccio,Q1402
Giuseppe Biondo,author,,,human,Giuseppe Biondo,Q113863979
Giusto de' Conti,author,,,human,Giusto de' Conti,Q3771771
"Gladstone, W. E. 1809-1898",former owner,,,human,William Ewart Gladstone,Q160852
Godfrey of Viterbo,author,,,human,Godfrey of Viterbo,Q614256
"Gordone, M",scribe,,,human,M. Gordone,Q114242439
"Gorman, Pierre Patrick, 1924-",former owner,,,human,Pierre Gorman,Q1671373
"Gostling, Miss",former owner,,,human,Miss Gostling,Q114406921
"Gostling, William Kennedy",former owner,,,human,William Gostling,Q75264995
"Gostling, William, 1696-1777",former owner,,,human,William Gostling,Q15994466
"Graham, Fergus, Sir",former owner,,,human,"Sir Fergus Graham, 5th Baronet",Q7526665
Gratian,author,,,human,Gratian,Q549041
Gregory I,author,,,human,Gregory I,Q42827
"Gregory I, Pope, approximately 540-604",author,,,human,Gregory I,Q42827
"Gregory I, the Great.",author,,,human,Gregory I,Q42827
Gregory IX,author,,,human,Gregory IX,Q124831
"Gregory IX, Pope, approximately 1170-1241",author,,,human,Gregory IX,Q124831
Gregory of Tours,author,,,human,Gregory of Tours,Q67841
"Gregory, of Nyssa, Saint, approximately 335-approximately 394",author,,http://id.loc.gov/authorities/names/n79021401.html,human,Gregory of Nyssa,Q191734
"Griffith, Arthur",former owner,,,human,Arthur Griffith,Q114242457
"Grinke, Paul",former owner,,,human,Paul Grinke,Q113864039
Guido delle Colonne,author,,,human,Guido delle Colonne,Q1248842
"Guillaume, de Lanicia, d. after 1310",author,,,human,Guilelmus de Lancea,Q64032846
"Gunther, Charles Frederick, 1837-1920",former owner,,,human,Charles F. Gunther,Q5077520
"Gwenllian, daughter of Howel Vaughan",author,,,human,"Vaughan, Gwenllian",Q114242550
H.P. Kraus (Firm),former owner,,,organization,H. P. Kraus (firm),Q113864096
Hagop Kevorkian Fund,former owner,,,organization,Hagop Kevorkian Fund,Q114242603
"Hahn, Franz Joseph Anton von, 1699-1748",former owner,,,human,Franz Josef von Hahn,Q55131021
"Haimmiller, M",former owner,,,human,M. Haimmiller,Q114242440
"Halgren, John, of Abbeville",author,,,human,John Halgren of Abbeville,Q3129519
"Harkness, Edward Stephen, 1874-1940",former owner,,,human,Edward Harkness,Q5343311
"Harmsworth, R. Leicester (Robert Leicester), Sir, 1870-1937",former owner,,,human,Leicester Harmsworth,Q6519187
"Hart, Gerald E. (Gerald Ephraim), 1849-1936, Montreal",former owner,,,human,Gerald Ephraim Hart,Q113864115
"Haussmann, Carl Frederick, 1871-",former owner,,,human,Carl Frederick Haussmann,Q113864144
"Hawzālī, Muḥammad ibn ʻAlī, -1748 or 1749",author,هوزالي، محمد بن علي، 1748 أو 1749,,human,Mohammed Awzal,Q592255
Haymo of Halberstadt,author,,,human,Haymo of Halberstadt,Q472833
"Heilbrun, G",former owner,,,human,G. Heilbrun,Q114242441
"Helm, Franz, approximately 1500-1567",author,,,human,Franz Helm,Q15994218
"Henri, Duc de Rohan",author,,,human,Henri II de Rohan,Q701048
Henry Hakesalt,author,,,human,Henry Hakesalt,Q113864323
Henry Suso,author,,,human,Henry Suso,Q303435
Henry VIII,author,,,human,Henry VIII of England,Q38370
"Hikmetī, active 1823",scribe,حكمتى، active 1823,,human,Hikmetī,Q113864413
"Hill, Dana",former owner,,,human,Dana Hill,Q455947
"Himmātʹzādah, Muḥammad ibn Ḥasan, 1680 or 1681-1761 or 1762",author,,http://id.loc.gov/authorities/names/nr92013083,human,Muḥammad ibn Ḥasan Himmātʹzādah,Q113864519
"Hodossy, Imre",former owner,,,human,Imre Hodossy,Q73712054
"Hoe, Robert",former owner,,,human,Robert Hoe III,Q3663034
"Hoe, Robert, 1839-1909",former owner,,,human,Robert Hoe III,Q3663034
"Holmes, Thomas, active 17th century-18th century",former owner,,,human,Thomas Holmes,Q114242458
"Honeyman, Robert B",former owner,,,human,Robert Brodhead Honeyman,Q113864827
"Hooker, Richard",former owner,,,human,Richard Hooker,Q443783
Horace,author,,,human,Horace,Q6197
Horace,author,,http://id.loc.gov/authorities/names/n79081354.html,human,Horace,Q6197
Horace,author,,https://viaf.org/viaf/100227522/,human,Horace,Q6197
Horace (Quintus Horatius Flaccus),author,,,human,Horace,Q6197
"Horatius Bosner, D. D.",former owner,,,human,D. D. Horatius Bosner,Q114242459
"Horblit, Harrison D",former owner,,,human,Harrison Horblit,Q18206500
"Horwood, Alfred J. (Alfred John), 1821-1881",former owner,,,human,Alfred John Horwood,Q59630457
Hubert de Burgh,author,,,human,"Hubert de Burgh, 1st Earl of Kent",Q1381324
Hugh de St Cher,author,,,human,Hugh of Saint-Cher,Q1365254
Hugh of Fouilloi,author,,,human,Hugh of Fouilloy,Q5631
Hugh of Fouilloy (Hugo de Folieto),author,,,human,Hugh of Fouilloy,Q5631
Hugh of St. Cher (Hugo de Sancto Caro),author,,,human,Hugh of Saint-Cher,Q1365254
Hugh of St. Victor,author,,,human,Hugh of Saint Victor,Q317554
Hugh of St. Victor (Hugo de Sancto Victore),author,,,human,Hugh of Saint Victor,Q317554
"Hugh, of Saint-Cher, Cardinal, approximately 1200-1263",author,,http://id.loc.gov/authorities/names/n86113661.html,human,Hugh of Saint-Cher,Q1365254
Hugo Argentinensis,author,,,human,Hugo Argentinensis,Q113866261
Humbert of Romans,author,,,human,Humbert of Romans,Q2623954
"Ḥāfiẓ al-Qurʼan, Aḥmad",scribe,حافظ القرأن، احمد,,human,Aḥmad Ḥāfiẓ al-Qurʼan,Q113866282
"Ibn Abī al-Dunyā, ʻAbd Allāh ibn Muḥammad, 823-894",author,,http://id.loc.gov/authorities/names/n85136568,human,Ibn Abi al-Dunya,Q6532706
"Ibn Barī Khān, ʻAbd al-Fattāḥ",scribe,ابن بري خان، عبد الفتاح,,human,ʻAbd al-Fattāḥ Ibn Barī Khān,Q113866390
"Ibn Bashkuwāl, Khalaf ibn ʻAbd al-Malik, 1101-1183",author,,http://id.loc.gov/authorities/names/n85370056,human,Ḫalaf Ibn-ʿAbd-al-Malik Ibn-Baškuwāl,Q1655886
"Ibn Bīrī, Ibrāhīm ibn ḥusayn, 1614-1688",author,,,human,Ibrahim ibn Hussein al-Biri,Q107328752
"Ibn Ghānim, ʻIzz al-Dīn ʻAbd al-Salām ibn Aḥmad, -1279",author,,http://id.loc.gov/authorities/names/n84077355,human,Izz al-Din al-Mosadeqi,Q15930652
"Ibn Hishām, ʻAbd Allāh ibn Yūsuf, 1309-1360",author,"ابن هشام، عبد الله بن يوسف, 1309-1360",,human,Ibn Hisham Al-Ansari,Q6538102
"Ibn Ḥajar al-Haythamī, Aḥmad ibn Muḥammad, approximately 1503-approximately 1566",author,,http://id.loc.gov/authorities/names/n82165741,human,Ibn Hajar al-Haytami,Q3147445
"Ibn Kabūlakh, Muḥammad ibn ʻAlī ibn ʻĪsá",author,ابن كبولخ، محمد بن علي بن عيسى,,human,Muḥammad ibn ʻAlī ibn ʻĪsá Ibn Kabūlakh,Q114242442
"Ibn Khalaf, ʻAlī ibn Muḥammad, 1453-1532",author,ابن خلف، علي بن محمد، 1453- 1532,,human,ʻAlī ibn Muḥammad Ibn Khalaf,Q113866449
"Ibn Qayyim al-Jawzīyah, Muḥammad ibn Abī Bakr, 1292-1350",author,,http://id.loc.gov/authorities/names/n80138230,human,Ibn Qayyim Al-Jawziy,Q119679
"Ibn Ṭugharbak, Aḥmad",author,,http://id.loc.gov/authorities/names/nr92033142,human,Aḥmad Ibn Ṭugharbak,Q113866476
"Ibn al-Fāriḍ, ʻUmar ibn ʻAlī, 1181 or 1182-1235",author,"ابن الفارض، عمر بن علي, 1181 or 1182-1235",,human,Ibn al-Farid,Q203142
