genre_as_recorded,vocab,source_authority_uri,authorized_value_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
Textura (Gothic script),aat,,,,,textura (Gothic script),http://vocab.getty.edu/aat/300202638,Q10787
Historiated initials,aat,,,,,historiated initials,http://vocab.getty.edu/aat/300194390,Q10800
Illuminations (paintings),aat,,,,,illuminations (paintings),http://vocab.getty.edu/aat/300264522,Q225
Chants,lcgft,,,,,Chants,http://id.worldcat.org/fast/1920060,Q5935
Processionals (Service books),lcgft,,,,,Processionals (Service books),http://id.worldcat.org/fast/1920299,Q16327
inhabited initials,aat,,,,,inhabited initials,http://vocab.getty.edu/aat/300198398,Q12676
scraping,aat,,scraping,http://vocab.getty.edu/aat/300053711,Q67928,,,
Gold tooled bindings,rbmscv,,,,,Gold tooled bindings,http://id.loc.gov/vocabulary/rbmscv/cv00551,Q5859
Biographies,fast,(OCoLC)fst01919896,,,,Biographies,http://id.worldcat.org/fast/1919896,Q3051
Signed bindings,rbmscv,,,,,Signed bindings,http://id.loc.gov/vocabulary/rbmscv/cv00701,Q16282
Deerskin bindings (Binding),rbbin,,Deerskin bindings,http://id.loc.gov/vocabulary/rbmscv/cv00504,Q16302,,,
Manuscript waste (Binding),rbbin,,,,,Manuscript waste,http://id.loc.gov/vocabulary/rbmscv/cv01568,Q5892
Armorial bookplates (Provenance),rbprov,,,,,Armorial bindings,http://id.loc.gov/vocabulary/rbmscv/cv00132,Q12580
Half bindings (Binding),rbbin,,,,,Half bindings,http://id.loc.gov/vocabulary/rbmscv/cv00332,Q5817
Morocco bindings (Binding),rbbin,,,,,Morocco bindings,http://id.loc.gov/vocabulary/rbmscv/cv00548,Q12652
Paste paper bindings (Binding),rbbin,,,,,Paste paper bindings,http://id.loc.gov/vocabulary/rbmscv/cv00498,Q5821
Church history,fast,(OCoLC)fst01411629,,,,Church history,http://id.worldcat.org/fast/1411629,Q3608
"Prescriptions, formulae, receipts, etc",fast,(OCoLC)fst01424054,,,,"Prescriptions, formulae, receipts, etc.",http://id.worldcat.org/fast/1424054,Q3042
Romances,fast,(OCoLC)fst01423856,,,,Romances,http://id.worldcat.org/fast/1423856,Q4307
"Criticism, interpretation, etc",fast,http://id.worldcat.org/fast/fst01411635http://id.worldcat.org/fast/1411635,,,,"Criticism, interpretation, etc.",http://id.worldcat.org/fast/1411635,Q177
Concordances,fast,http://id.worldcat.org/fast/fst01423768,Concordances,http://id.worldcat.org/fast/1423768,Q66784,,,
Controversial literature,fast,(OCoLC)fst01423907,,,,Controversial literature,http://id.worldcat.org/fast/1423907,Q2992
Collections,fast,http://id.worldcat.org/fast/fst01424032,,,,Collections,http://id.worldcat.org/fast/1424032,Q48879
Biography,fast,http://id.worldcat.org/fast/fst01423686http://id.worldcat.org/fast/1423686,,,,Biographies,http://id.worldcat.org/fast/1919896,Q3051
Shelf marks (Provenance),rbprov,,,,,Shelf marks,http://id.loc.gov/vocabulary/rbmscv/cv00268,Q16356
Codices,aat,,,,,codices (bound manuscripts),http://vocab.getty.edu/aat/300224200,Q168
Printed waste,rbmscv,,,,,Printed waste,http://id.loc.gov/vocabulary/rbmscv/cv01764,Q5925
Commentaries,fast,(OCoLC)fst01423723,,,,Commentaries,http://id.worldcat.org/fast/1423723,Q2812
Monogrammed bindings,rbmscv,,,,,Monogrammed bindings,http://id.loc.gov/vocabulary/rbmscv/cv00134,Q16284
Miniature books,rbmscv,,,,,Miniature books,http://id.loc.gov/vocabulary/rbmscv/cv00867,Q16321
Prayer books,rbmscv,,,,,Prayer books,http://id.loc.gov/vocabulary/rbmscv/cv01759,Q38527
Romances,fast,http://id.worldcat.org/fast/fst01423856,,,,Romances,http://id.worldcat.org/fast/1423856,Q4307
"Manuscripts, Latin--13th century",lcsh,,,,,"Manuscripts, Latin;Thirteenth century",http://id.worldcat.org/fast/1008395;http://id.worldcat.org/fast/1150138,Q210;Q245
"Manuscripts, Medieval",lcsh,,,,,"Manuscripts, Medieval",http://id.worldcat.org/fast/1008422,Q325
Fragments,aat,,,,,fragments (object portions),http://vocab.getty.edu/aat/300117130,Q222
Bevelled edges boards (Binding),rbbin,,Bevelled edge boards,http://id.loc.gov/vocabulary/rbmscv/cv00211,Q16274,,,
Wooden bindings (Binding),rbbin,,,,,Wooden bindings,http://id.loc.gov/vocabulary/rbmscv/cv00600,Q5918
Catches (Binding),rbbin,,Catches,http://id.loc.gov/vocabulary/rbmscv/cv00459,Q16369,,,
Rebacking (Binding),rbbin,,Rebacking,http://id.loc.gov/vocabulary/rbmscv/cv01807,Q67929,,,
Slipcases (Binding),rbbin,,Slipcases,http://id.loc.gov/vocabulary/rbmscv/cv00737,Q67930,,,
Chemises (Binding),rbbin,,Chemises,http://id.loc.gov/vocabulary/rbmscv/cv00732,Q16330,,,
Bookplates (Provenance),rbprov,,,,,Bookplates,http://id.loc.gov/vocabulary/rbmscv/cv00138,Q5847
Numbers (Provenance),rbprov,,,,,Numbers (Provenance),http://id.loc.gov/vocabulary/rbmscv/cv00020,Q5864
Papal documents,fast,(OCoLC)fst01423838,,,,Papal documents,http://id.worldcat.org/fast/1423838,Q4217
Prayers and devotions,fast,(OCoLC)fst01423909,,,,Prayers and devotions,http://id.worldcat.org/fast/1423909,Q3052
palm-leaf manuscripts,aat,,,,,palm-leaf manuscripts,http://vocab.getty.edu/aat/300451691,Q66735
Bevelled edge boards,rbmscv,,,,,Bevelled edge boards,http://id.loc.gov/vocabulary/rbmscv/cv00211,Q16274
Vellum bindings (Binding),rbbin,,,,,Vellum bindings,http://id.loc.gov/vocabulary/rbmscv/cv00543,Q5878
Yapp style bindings (Binding),rbbin,,,,,Yapp style bindings,http://id.loc.gov/vocabulary/rbmscv/cv00469,Q5861
accordion album bindings,aat,,accordion album bindings,http://vocab.getty.edu/aat/300391192,Q67931,,,
waste paper,aat,,,,,Waste paper,http://id.worldcat.org/fast/1171056,Q38553
History,fast,,,,,History,http://id.worldcat.org/fast/1411628,Q279
Sources,fast,,,,,Sources,http://id.worldcat.org/fast/1423900,Q2769
Dentelle bindings,rbmscv,,Dentelle bindings,http://id.loc.gov/vocabulary/rbmscv/cv00324,Q67932,,,
Quarter bindings (Binding),rbbin,,,,,Quarter bindings,http://id.loc.gov/vocabulary/rbmscv/cv00333,Q5846
Cloth bindings (Binding),rbbin,,,,,Cloth bindings,http://id.loc.gov/vocabulary/rbmscv/cv00451,Q11478
Divine Office (Music),lcgft,,,,,Divine Office (Music),http://id.worldcat.org/fast/1920110,Q55345
Masses,lcgft,,Masses,http://id.worldcat.org/fast/1726667,Q67933,,,
Miniatures (illuminations),tgm,,miniatures (paintings),http://vocab.getty.edu/aat/300033936,Q262,,,
Headpieces (layout features),aat,,,,,headpieces (layout features),http://vocab.getty.edu/aat/300207342,Q11536
Paper,lcsh,,Paper,http://id.worldcat.org/fast/1052348,Q19842,,,
Watermarks,aat,,,,,watermarks,http://vocab.getty.edu/aat/300028749,Q27233
Minuscule,aat,,,,,minuscule,http://vocab.getty.edu/aat/300194448,Q12689
Goatskin bindings (Bindings),aat,,Goatskin bindings,http://id.loc.gov/vocabulary/rbmscv/cv00547,Q12526,,,
Commentaries,fast,http://id.worldcat.org/fast/fst01423723,,,,Commentaries,http://id.worldcat.org/fast/1423723,Q2812
"Criticism, interpretation, etc",fast,(OCoLC)fst01411635,,,,"Criticism, interpretation, etc.",http://id.worldcat.org/fast/1411635,Q177
Shelf marks,rbmscv,,,,,Shelf marks,http://id.loc.gov/vocabulary/rbmscv/cv00268,Q16356
Inscriptions,rbmscv,,,,,Inscriptions,http://id.loc.gov/vocabulary/rbmscv/cv00180,Q5875
Gilt edges,rbmscv,,,,,Gilt edges,http://id.loc.gov/vocabulary/rbmscv/cv00748,Q5855
Stained edges,rbmscv,,Stained edges,http://id.loc.gov/vocabulary/rbmscv/cv00751,Q67934,,,
Trimmed edges,rbmscv,,Trimmed edges,http://id.loc.gov/vocabulary/rbmscv/cv01987,Q67935,,,
Prophecies,fast,(OCoLC)fst01922509,Prophecies,http://id.worldcat.org/fast/1922509,Q3002,,,
Emblem books--Italy,rbgenr,,Emblem books;Italy,http://id.loc.gov/vocabulary/rbmscv/cv01280;http://id.worldcat.org/fast/1204565,Q67936;Q249,,,
palm leaf (material),aat,,palm leaf (material),http://vocab.getty.edu/aat/300011894,Q38515,,,
Lettering pieces,rbmscv,,Lettering pieces,http://id.loc.gov/vocabulary/rbmscv/cv00586,Q67937,,,
Genealogical tables,aat,,,,,genealogical tables,http://vocab.getty.edu/aat/300027016,Q8160
Coats of arms and coat of arms elements,aat,,coats of arms and coat of arms elements,http://vocab.getty.edu/aat/300138225,Q67938,,,
Sprinkled calf bindings (Binding),rbbin,,Sprinkled calf bindings,http://id.loc.gov/vocabulary/rbmscv/cv00698,Q67939,,,
Painted edges,rbmscv,,Painted edges,http://id.loc.gov/vocabulary/rbmscv/cv00743,Q67940,,,
Gauffered edges,rbmscv,,,,,Gauffered edges,http://id.loc.gov/vocabulary/rbmscv/cv00745,Q10809
Marbled paper bindings (Binding),rbbin,,,,,Marbled paper bindings,http://id.loc.gov/vocabulary/rbmscv/cv00496,Q5818
illuminated manuscripts,aat,,,,,illuminated manuscripts,http://vocab.getty.edu/aat/300265483,Q4268
Qur'ans,aat,,,,,Qur'ans,http://vocab.getty.edu/aat/300265128,Q3532
naskhī,aat,,,,,naskhī,http://vocab.getty.edu/aat/300195195,Q3579
Ink stamps,rbmscv,,,,,Ink stamps,http://id.loc.gov/vocabulary/rbmscv/cv00246,Q16275
Lacquered bindings,rbmscv,,Lacquered bindings,http://id.loc.gov/vocabulary/rbmscv/cv00578,Q27295,,,
Islamic bindings,rbmscv,,,,,Islamic bindings,http://id.loc.gov/vocabulary/rbmscv/cv00337,Q16307
Nastaʻliq,aat,,,,,nastaʻliq,http://vocab.getty.edu/aat/300265532,Q27366
Catchwords,aat,,,,,catchwords,http://vocab.getty.edu/aat/300206217,Q66753
Flap bindings (Binding),rbbin,,,,,Flap bindings,http://id.loc.gov/vocabulary/rbmscv/cv00468,Q5826
Watermarks (Paper)--Horn,rbpap,,Watermarks;Horn (Musical instrument),http://id.loc.gov/vocabulary/rbmscv/cv01089;http://id.worldcat.org/fast/960239,Q5815;Q67941,,,
Watermarks (Paper)--Letter A.,rbpap,,Watermarks;A (The letter),http://id.loc.gov/vocabulary/rbmscv/cv01089;http://id.worldcat.org/fast/1982983,Q5815;Q67942,,,
Watermarks (Paper)--Scissors,rbpap,,Watermarks;Scissors and shears,http://id.loc.gov/vocabulary/rbmscv/cv01089;http://id.worldcat.org/fast/1108980,Q5815;Q67943,,,
Drawings,aat,,,,,drawings (visual works),http://vocab.getty.edu/aat/300033973,Q192
Maps,fast,http://id.worldcat.org/fast/fst01423704,,,,Maps,http://id.worldcat.org/fast/1423704,Q12688
