title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label,standard_title
al-Ṣulḥ bayna al-ikhwān fī ḥukm ibāḥat al-dukhān,,,,,
al-Suʼāl wa-al-murād fī jawāz istiʻmāl al-misk wa-al-ʻanbar wa-al-zabād,,,,,
al-Tārīkh al-kanāʼisī,التاريخ الكنائسي,,,,
al-Taṣrīḥ fī sharḥ al-tasrīḥ,,,,,
al-Tuḥfah al-shāhīyah fī al-hayʼah,التحفة الشاهية في الهيئة.,,,,
al-Wishāḥ fī fawāʼid al-nikāḥ,,,,,
Anīs al-munqaṭiʻīn,,,,,
Appointment,,,,,
Argumenta,,,,,
Armorial,,,,,
Asās sirr al-akyās,,,,,
Astrological material?,,,,,
Ayyuhā al-akh,,,,,
Ayyuhā al-walad,,,,,
Badāʼiʻ al-funūn,بدائع الفنون.,,,,
Badīʻ al-ḥisāb,بدیع الحساب.,,,,
Baḥr al-dumūʻ,,,,,
Baḥr al-ʻUyūn,بحر العیون.,,,,
Bāb fī al-luʻb bi-al-maysir,,,,,
Basis grammatice,,,,,
Bhedadhikkāra,"भेदधिक्कार,",,,,
Biblical concordance,,,,,
Bīst bāb dar ʻilm-i usṭurlāb,بیست باب در علم اسطرلاب.,,,,
Bodhāyanacayanaprayoga,"भोधायनचयनप्रयोग,",,,,
"Book I, 4,5,6",,,,,
Brief Discourse of the Estate of the Kingdoms of Spayne and Portugall,,,,,
Bughyat al-nussāk fī al-kalām ʻalá al-siwāk,,,,,
Canzone,,,,,
Carmen de nuptiis Pauli Sfortiae et Lucretiae Piae,,,,,
Carmina,,,,,
Christophorus Hegendorfyne Doctor of the Law to the right wyse and excellent man Lorde Thomas Reibin senator of francofort by syde oderani his singuler good patron wyssheth healthe,,,,,
Chy fait mencion comment le Roy Henry d'Engleterre renvoya la Reyne Izabel jadis femme du Roy Richard d'Engleterre en France et de ceulx qui le rechevirent,,,,,
Clemens PP. XII.,,,,,
Collection of prayers,,,,,
Collection of treatises on Sufism and Islam,,,,,
Comoediae,,,,,
Compendium of Logic,,,,,
Concession of nobility,,,,,
Conciones aliquot domesticae,,,,,
Conclusiones,,,,,
"Conclusiones""",,,,,
Confessio,,,,,
Confirmation,,,,,
Confirmation of sale,,,,,
Consilium,,,,,
Corregidor of the Villa de Oropesa in the Valle de Cochabamba,,,,,
Cronica de la o'rden de los éremitaños del glorioso Padre Sancto Augustin,,,,,
Darr al-ghamāmah fī durr al-ṭaylasān wa-al-ʻadhabah wa-al-ʻimāmah,,,,,
De diversis prologis martilogii per quos patet quantam diligentiam sancti et antiqui ad conpilationem huius opusculi habeant.,,,,,
De haeresibus,,,,,
DE NUPTIIS PAULLI SFORTIAE ET LU/ CRETIAE PIAE/ ACHILLIS STATII LUSITANI/ CARMEN,,,,,
"Decretals of Gregory IX, commentary on",,,,,
Deed,,,,,
Deed of exchange,,,,,
Deed of sale,,,,,
"Deed, 1434 June 29, declaring that William Bokenham, Alexander Webster, and John Golle give to John Costyn, et al, land in Weasenham",,,,,
"Describit iter suum ad brundisi, sermo Vus",,,,,
Designation of factor,,,,,
Designation of procurator,,,,,
Dhūrtasvāmibhāṣyatīkā,"धूर्तस्वामिभाष्यतीका,",,,,
Dialogue on the Marriage of Queen Elizabeth,,,,,
"Diatribe de heraldorum origine, officio, collegio, etc.",,,,,
Digest,,,,,
Digestorum prooemium,,,,,
Digestum novumwith gloss,,,,,
Dîvân-i Kutb al-arifin,ديوان قطب العارفين.,,,,
Discurso cerca de los cuentos de las brujas,,,,,
Document,,,,,
"Document conferring nobility upon Iacobo Gianotti, 1644 February 10, Vienna",,,,,
Documents concerning the seigniory of Basville-en-Roumois,,,,,
"Dogale. Decree of Domenico Contarini, Doge of Venice, concerning the acquisition in feoffe of Cazzabella, in the territory of Asola Bresciana, by the brothers Counts Francesco and Girolamo Avogadro of Asolo",,,,,
Dominica 20 post festum trinitatis,,,,,
Dominica IIII [verso],,,,,
Dominica in ramis palmarum euangelium secundum Mattheum,,,,,
Dominica prima post octavas penthecostes,,,,,
Dominici Capranici Card. Vita ad Card. Papien. Baptistae Pogii,,,,,
ʻIẓat al-albāb wa-dhakhīrat al-iktisāb,,,,,
"Endorsement on contract concerning a dowry and legacy, 1694 March 20, St.-Germain?, France",,,,,
Epitaphium Comitis henrici,,,,,
Epitaphium petri comestoris,,,,,
Epitaphium Senecae,,,,,
Epitaphorum libellus,,,,,
Epitome,,,,,
Excerpta ex operibus Sancti Augustini,,,,,
Excerptiones de arte grammatica,,,,,
"Excerpts possibly made by Sir Isaac Newton (1642-1727) from Dickinson's alchemical tract, Epistola Edmundi Dickinson MD. & medici regii ad Theodorum Mundanum philosophum adeptum: De quintessentia philosophorum et De vera physiologia, una cum quaestionibus aliquot de secreta materia physica (Oxford: Sheldonian Theatre, 1686)",,,,,
Excerpts regarding Josephus and Eusebius of Caesarea,,,,,
Extensive handwritten marginal notes in a printed book containing three texts,,,,,
"Familie nobiles Romanorum, Familie eorundem plebeie",,,,,
For the Wormes,,,,,
Formata ut conmendata,,,,,
Forty homilies on the Gospels,,,,,
Four Lines of Calligraphy from the Qasidat al-Burda,,,,,
"Genealogical information and chart, 1705 November",,,,,
Gift,,,,,
Gift of a prebend,,,,,
Grammar,,,,,
Grammatical text,,,,,
Grant,,,,,
Grant in fee simple,,,,,
Grant in frankalmoigne,,,,,
Grant of arms,,,,,
Haft paykar,هفت پيکر.,,,,
Hādhā kitāb irshād /,هذا كتاب ارشاد /,,,,
Hādhā kitāb sih zabān,هذا کتاب سه زبان.,,,,
Harangue de Monsieur l'Evêque de Chartres prononcée devant le Roy,,,,,
Haza rūznāme-yi Dārendevī,هذا روز نامۀ دارندوى.,,,,
Here bigynneth ye letanye,,,,,
Here bigynneth ye vii P,,,,,
ḥadāʼiq al-ḥaqāʼiq fī mawāʼiẓ al-khalāʼiq,,,,,
Ḥāshiyah ʻalá Sharḥ al-Saʻd ʻalá al-ʻAqāʼid al-Nasafīyah,حاشية على شرح السعد على العقائد النسفية.,,,,
Ḥall al-ṭilsam wa-kashf al-sirr al-mubham,حل الطلسم وكشف السر المبهم.,,,,
Histoire de la mort de Henri IV,,,,,
"Historia de la gloriosa virgen y martyr Leocadia, patrona de Toledo",,,,,
Historiated initial cut from an illuminated manuscript,,,,,
History of Marechal de Gassion,,,,,
Homilia 106: De timore Dei et correctione linguarum,,,,,
Homilia Bede in fest Annunciationis,,,,,
"Horatius Flaccus, Quintus, Opera, with Commentary by Christopher Landinus (Incunable Leaf)",,,,,
"Horatius Flaccus, Quintus, Opera, with Commentary by Christophorus Landinus",,,,,
Iʻlām al-tilmīdh bi-aḥkām al-nabīdh,,,,,
III. KLS. Augusti. Passio,,,,,
Il modo di innamorarsi del Signor,,,,,
In epistolam Johannis ad Parthos (Sermons on the first epistle of Saint John),,,,,
In nomine domini nostri ihesu,,,,,
Incipit epistola beati Eusebii discipuli sancti Iheronimi ad beatum damasum portuensem episcopum et ad christianissimum theodonium romanorum senatorem de morte gloriosissimi Iheronimi doctoris eximii. Salutatio seu epistola,,,,,
Incipit exposicio regule beati Augustini episcopi secundum fratrem humbertum Magistrum ordinis predicatorum,,,,,
Incipit expositio beatissimj ambrosii super beati immaculati,,,,,
Incomplete text on letter magic,,,,,
"Indenture, 1607 May 12, between John Williams of London and Richard Shelly of Itchingfield (Etchingfield), Sussex regarding the transfer of a tenement in St. John's Street in Clerkenwell, London",,,,,
Inscription,,,,,
"Inscription: the flyleaf (fol. 1v), ""iIste liber est in custodia Elizabet de wal[m]den quem scribere fecit ad laudem dei si q[uequam] in eo legerit oret pro ea propter deum"", ‘This book is in the keeping of Elisabeth von Walmden who had it written to the praise of God; whoever reads from it, may she pray for her, for the sake of God’, to which another hand (perhaps hers) adds in vita & post mort",,,,,
Inventory of possessions,,,,,
Irshād al-sārī,إرشاد الساري.,,,,
Isti sunt accusandi in placito christianitatis et in ecclesia quando fuerit necessarium,,,,,
Italian Notarial Loan Record,,,,,
Jihat al-waḥdah,جهة الوحدة.,,,,
John Elys deed,,,,,
"Journals, 1697 December 8 to 1698 July 5",,,,,
Junnat al-amān al-wāqiyah wa-junnat al-īmān al-bāqiyah,جنة الأمان الواقية وجنة الايمان الباقية.,,,,
Kāfiyat al-ṭālib al-rabbānī li-Risālat Ibn Abī Zayd al-Qayrawānī. Fatḥ al-mannān ʻalá naẓm mawrid al-ẓamʼān,كافية الطالب الرباني لرسالة ابن ابي زيد القيرواني. فتح المنان على نظم مورد الظمآن.,,,,
Kanz al-daqāʼiq,كنز الدقائق.,,,,
Kashf al-asrār ʻan ḥikam al-ṭuyūr wa-al-azʹhār,,,,,
Khulāṣat al-ḥisāb,خلاصة الحساب.,,,,
Kitāb al-iʻtibar wa-aʻqāb al-surūr wa-al-aḥzān,,,,,
Kitāb al-Tawākiz al-muḥarrarah wa-al-ḍamāʼir al-mustakhbarah,كتاب التواكز المحررة والضمائر المستخبرة.,,,,
Kitāb-i Surkhāb dar ʻilm-i raml,کتاب سرخاب در علم رمل.,,,,
Laghuvākyavṛttiprakāśikā,"लघुवाक्यवृत्तिप्रकाशिका,",,,,
Laude spirituali,,,,,
Laurentius pisanus presbiter Leonardo datho presbitero salutem,,,,,
"Laurentius Quaglielmus Ty Iulio Lutio Mancino, S. P. D.,",,,,,
"Laurentius Quglielmus Tij, De arte metrica, De pedibus",,,,,
Law Codex,,,,,
Leaf from a pre-15th century manuscript used as binding waste,,,,,
Leaf possibly from Saint Albertus Magnus's Speculum astronomiae,,,,,
"Legal document, 1698 March 29, Connecticut between James Harris and Richard Steer concerning the sale of interest in a horse; witnessed 1698 September 5, New London by Governor Fitz-John Winthrop",,,,,
Legenda S. Martini episcopi Et S. Bricii Turonensii Episcopi,,,,,
Leonardi Aretini ad Nicolaum suum,,,,,
Letter,,,,,
Letter to all Christians on the mystery of the incarnation,,,,,
Letters of introduction,,,,,
Liber extra,,,,,
Liber florum,,,,,
Lidamarte de Armenia,,,,,
Life and Miracles of St. Simeon of Padolirone,,,,,
Life of Cardinal Capranici,,,,,
List of Holy Roman Emperors,,,,,
List of noble families of Rome,,,,,
List of Roman Emperors,,,,,
Majmūʻah,مجموعه.,,,,
Manhaj al-ʻilm wa-al-bayān wa-nuzhat al-samʻ wa-al-aʻyān,منهج العلم والبيان ونزهة السمع والعيان.,,,,
Manuscript binding waste,,,,,
Manuscript leaf from a collection of papal decretals,,,,,
Manuscript leaf from expense records,,,,,
Materials relating to Cesena,,,,,
Medititations sainctes and Meditationes chretiennes de I. C.,,,,,
Miʻrājīyah,معراجيه.,,,,
Miftāḥ al-Falāḥ,مفتاح الفلاح.,,,,
"Miniature leaf, possibly from a psalter",,,,,
Miniature-size manuscript leaf,,,,,
Monastic life,,,,,
Munshaʼāt-i Ḥaz̤rat-i Nābī Afandī,منشئات حضرت نابى افندى.,,,,
Murshid al-mutaʼahhil,,,,,
Music Manuscript,,,,,
Natāj al-fikr fī kashf asrār al-Mukhtaṣar,نتاج الفكر في كشف اسرار المختصر.,,,,
Niccolò di Giovanni Machiavelli receipt,,,,,
Notarial document,,,,,
"Notebook of texts concerning armaments and ballistics, their production and construction, with plans of fortifications and several charts and diagrams of trajectories",,,,,
Notes of fines,,,,,
Nuskhat al-sijill alladhī wujida muʻallaqan ʻalá al-mashāhid fī ghaybat Mawlānā al-Imām al-Ḥākim ...,نسخة السجل الذي وجد معلقاً على المشاهد في غيبة مولانا الامام الحاكم.,,,,
Nuzʹhat al-mutaʼammil wa-murshid al-mutaʼahhil,,,,,
Office of Saint Emmeram,,,,,
On charms and talismans,,,,,
Opera varia,,,,,
Origine de Treviso,,,,,
Painted manuscript leaves,,,,,
Paludi Pontine,,,,,
Panjāh bāb-i sulṭānī bi-ʻilm-i usṭurlāb,پنجاه باب سلطانى بعلم اسطرلاب.,,,,
Pantheon,,,,,
Passion play,,,,,
Persian Calligraphy in Cloudbands,,,,,
Petrus Gravina Tristano Caracciolo. S. D.,,,,,
Philosophical material,,,,,
Philosophical material (?),,,,,
Plays (two),,,,,
Poem,,,,,
Poem addressed to Jerome,,,,,
Poem on Naples,,,,,
Poems,,,,,
Poems and epigrams,,,,,
Practicks of the law of Scotland,,,,,
"Prothocolus abreuiatura, copies of notarial instruments documenting purchases, sales, debts, and last wills and testaments, etc",,,,,
Questions and answers on Shiʻī religious philosophy and practice,,,,,
Quotations,,,,,
Ratification,,,,,
Rawḍat al-ʻulamāʼ wa-nuzʹhat al-fuḍalāʼ,,,,,
Readings on Statutes,,,,,
"Receipt for 180 livres, 1664 August 11, France",,,,,
"Receipts, 1600 April? 13, Episcopal palace, Paris, for la somme de 39 escus",,,,,
Register of accounts,,,,,
"Register of families serving as members of the Nuremberg Council (eighty-five), other office-holding families (twenty-three), and other influential families (twenty-eight), with descriptions of their coats of arms and other information culled from annals, church memorials, and other archival records from the 12th-17th centuries",,,,,
Regule parvorum,,,,,
Risālah bar usṭurlāb,رساله بر اسطرلاب.,,,,
Risālah fī al-dukhān,,,,,
Risālah fī al-khiḍāb,,,,,
Risālah fī al-qahwah,,,,,
Risālah fī al-siwāk,,,,,
Risālah fī bayān ḥadd al-khamr,,,,,
Risālah fī bayān ḥurmat al-khamr,,,,,
Risālah fī faḍīlat al-ʻimāmah,,,,,
Risālah fī ḥukm libs al-aḥmar,,,,,
Risālah fī shurb al-dukhān,,,,,
Risālat al-hawātif,,,,,
Roger Bigod deed,,,,,
Royal Writ,,,,,
Sabʻ samawāt li-sirr samāʼī,سبع سموات لسر سمائي.,,,,
Sancti Anselmi oratio,,,,,
"Seneca, epistola cviiii",,,,,
"Seneca, epistola cxv",,,,,
Sermo in traditione simboli,,,,,
"Sermo sancti bernardi de perversitate quorundam religiosorum, Lege feliciter",,,,,
Shaqāʼiq al-utrunj fī raqāʼiq al-ghunj,,,,,
Sharḥ al-muqaddimah al-Qurṭubīyah... etc,شرح المقدمة القرطبية... إلخ.,,,,
Sharḥ ashkāl al-taʼsīs,شرح أشكال التأسيس.,,,,
Sharḥ Ayyuhā al-walad,,,,,
Sharḥ Mukhtaṣar ʻalá Alfīyat Ibn Mālik,شرح مختصر على ألفية ابن مالك.,,,,
Sharḥ Qaṭr al-nadā wa-ball al-ṣadā,شرح قطر الندا وبل الصدا.,,,,
Sharḥ-i ʻaṣā-yi mukhtariʻ-i humāyūn pādshāh. Ganj-i nahān khānah-i ḥayy-i qadīm,شرح عصاى مخترع هماىون پادشاه. گنج نهان خانه حي قدىم.,,,,
Sharḥ-i ṣad kalimah-i Baṭlamiyūs,شرح صد کلمه بطلمىوس,,,,
Śārīrakamīmāṃsābhāṣya,"शारीरकमीमांसाभाष्य,",,,,
Śārīrakamīmāṃsābhāṣya,शारीरकमीमांसाभाष्य.,,,,
Sidonius Apollinaris to Agricola,,,,,
Single leaf with illustration,,,,,
Sirr al-asrār fī ʻilm al-āthār ; Shamsīyah fī al-kashf ʻan mā awdaʻ fī al-Jadāwil al-zahrīyah,سر الاسرار في علم الاثار ؛ شمسية في الكشف عن ما أودع في الجداول الزهرية.,,,,
Statutes of a confraternity,,,,,
Statutum habelle communum et terrarum Barge,,,,,
Suma de las relaciones de Logroño a cerca de las brujas,,,,,
Tabula aurea,,,,,
Tabula Ethicorum Aristotelis,,,,,
Tabula Moderna,,,,,
Tadhkirat al-mudhakkirīn wa-tafkirat al-mufakkirīn,,,,,
Taḥrīr al-qawāʻid al-manṭiqīyah fī sharḥ al-Risālah al-Shamsīyah,تحرير القواعد المنطقية في شرح الرسالة الشمسية.,,,,
Talbīs Iblīs,,,,,
Tarjumah-ʼi khuṭab-i arbaʻīn,ترجمۀ خطب اربعین.,,,,
Tattvadīpaṇa,"तत्त्वदीपण,",,,,
Text,,,,,
text 1,,,,,
Text for monastic liturgical use (proto-breviary),,,,,
Texts on Italian history,,,,,
Ṭarīq al-hijratayn wa-bāb al-saʻādatayn,,,,,
Tonary fragment,,,,,
Transfer of goods,,,,,
Travelog,,,,,
Treatise of forest law,,,,,
Tuffāḥ al-arwāḥ wa-miftāḥ al-arbāḥ,,,,,
Tuḥfat al-mulūk,تحفة الملوك.,,,,
Tuḥfat al-ruʼasāʼ fī baʻḍ mā warada fī al-nisāʼ,,,,,
Tuḥfat al-sullāk fī faḍl al-siwāk,,,,,
Ulfat al-anām bi-al-amn wa-al-āmān,,,,,
Ut autem non sillogizetur.,,,,,
Virtutes Johannis,,,,,
"Vita del Re Alfonso d'Aragona, Re di Napoli",,,,,
Vita Malchi monachi captivi,,,,,
Vivaraṇatattvadīpaṇa,विवरणतत्त्वदीपण.,,,,
Wedding poem,,,,,
Will of Johanna Girard,,,,,
Works,,,,,
Writ to require security,,,,,
Wycliffite material (?),,,,,
