title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label,authorized_label_add,authorized_label_add2
Aduḥkhanavamīvratakathā,अदुःखनवमीव्रतकथा,Puranas,,,Puranas,
Aduḥkhanavamīvratakathā,अदुःखनवमीव्रतकथा,,,,,Puranas
Advaitadīpikāvivaraṇa,अद्वैतदीपिकाविवरण,,,,,Advaitadīpikāvivaraṇa
Advaitamakaranda,अद्वैतमकरन्द,,,,,Advaitamakaranda
Advaitasiddhi,अद्वैतसिद्धि,,,,,Advaitasiddhi
Advaitasiddhi,अद्वैतसिद्धि,Advaitabrahmasiddhi,,,Advaitabrahmasiddhi,
Advaitasiddhiṭīkā,अद्वैतसिद्धिटीका,Gauḍabrahmānandī,,,Gauḍabrahmānandī,
Advaitānanda,अद्वैतानन्द,Pañcadaśī,,,Pañcadaśī,
Agastipurāṇa rāmanavamī vrata,अगस्तिपुराण रामनवमी व्रत,,,,,Agastipurāṇa rāmanavamī vrata
Agastyasaṃhitā,अगस्त्यसंहिता,,,,,Agastyasaṃhitā
Agnihotrahoma,अग्निहोत्रहोम,,,,,Agnihotrahoma
Agnihotrahomaprayoga,अग्निहोत्रहोमप्रयोग,,,Agnihotrahomaprayoga,,
Agnihotrahomaprāyaścita,अग्निहोत्रहोमप्रायश्चित्त,,,,,Agnihotrahomaprāyaścita
Agnihotraprayoga,अग्निहोत्रप्रयोग,,,,,Agnihotraprayoga
Agnikṛtiśāntiprayoga,अग्निकृतिशान्तिप्रयोग,,,,,Agnikṛtiśāntiprayoga
Agnirvaidevānāmavamo viṣṇuḥ,अग्निर्वैदेवानामवमो विष्णुः,Brahmanas,,,Brahmanas,
Agnisthāpanavidhi,अग्निस्थापनविधि,,,,,Agnisthāpanavidhi
Agnisūkta,अग्निसूक्त,Vedas,,,Vedas,
Agnivisarjanamantra,अग्निविसर्जनमन्त्र,,,,,Agnivisarjanamantra
Agniṣṭoma brāhmaṇācchaṃsī prayoga,अग्निष्टोम ब्राह्मणाच्छंसी प्रयोग,,,,,Agniṣṭoma brāhmaṇācchaṃsī prayoga
Agniṣṭoma prayoga,अग्निष्टोम प्रयोग,,,,,Agniṣṭoma prayoga
Agniṣṭomamaitrāvaruṇaprayoga,आग्निष्टोममैत्रावरुणप्रयोग,,,,,Agniṣṭomamaitrāvaruṇaprayoga
Agniṣṭome brāhmaṇāchaṃsī prayoga,अग्निष्टोमे ब्राह्मणाछंसीप्रयोग,,,,,Agniṣṭome brāhmaṇāchaṃsī prayoga
Agniṣṭomādisaptasaṁsthā,अग्निष्टोमादिसप्तसंस्था,,,,,Agniṣṭomādisaptasaṁsthā
Ahnikaprakāśa,आह्निकप्रकाश,,,,,Ahnikaprakāśa
Aitareyabhāṣyaṭīkā,ऐतरेयभाष्यटीका,,,,,Aitareyabhāṣyaṭīkā
Aitareyabrāhmaṇa,ऐतरेयब्राह्मण,Brahmanas,,,Brahmanas,
Aitareyaṃ,ऐतरेयं,Upanishads,,,Upanishads,
Aitareyopaniṣad,ऐतरेयोपनिषद्,Upanishads,,,Upanishads,
Aitareyopaniṣadbhāṣya,ऐतरेयं,,,,,Aitareyopaniṣadbhāṣya
Aitareyāraṇyaka,ऐतरेयारण्यक,Aranyakas,,,Aranyakas,
Ajaghaṭadhanvīkārya,अजघटधन्वीकार्य,,,,,Ajaghaṭadhanvīkārya
Ajapāgāyatrīmantra,अजपागायत्रीमन्त्र,,,,,Ajapāgāyatrīmantra
Ajapāstotra,अजपास्तोत्र,,,,,Ajapāstotra
Ajñānabodhinī,अज्ञानबोधिनी,,,,,Ajñānabodhinī
Ajñānavicāra,अज्ञानविचार,,,,,Ajñānavicāra
Ajīrṇamañjarī,अजीर्णमञ्जरी,,,,,Ajīrṇamañjarī
Akhaṇḍaprakaraṇa,अखण्डप्रकरण,,,,,Akhaṇḍaprakaraṇa
Akulāgama mahātantra yogasārasamuccaya,अकुलागम महातन्त्र योगसारसमुच्चय,Tantras,,,Tantras,
Akṣaracintāmaṇi,अक्षरचिन्तामणि,,,,,Akṣaracintāmaṇi
Alakopākhyāna,अलकोपाख्यान,,,,,Alakopākhyāna
Amarakośa,अमरकोश,,,,,Amarakośa
Amarakośa,अमरकोश,Amarakośa,,,Amarakośa,
Amaruśataka,अमरुशतक,Amaruśataka,,,Amaruśataka,
Amaruśataka,अमरुशतक,,,,,Amaruśataka
Ambaḍaparivrājakakathā,अम्बडपरिव्राजककथा,,,,,Ambaḍaparivrājakakathā
Amr̥ta anubhava,अमृत अनुभव,Amr̥tānubhava,,,Amr̥tānubhava,
Amuktābharaṇavrata,अमुक्ताभरणव्रत,Puranas,,,Puranas,
Amāvāsyādarśaśrāddha,अमावास्यादर्शश्राद्ध,,,,,Amāvāsyādarśaśrāddha
Amṛt sāgar grant,अमृत् सागर् ग्रन्थ्,,,,,Amṛt sāgar grant
Amṛtabiṇḍūpaniṣad,अमृतबिण्डूपनिषद्,,,,,Amṛtabiṇḍūpaniṣad
Anantamāhātmya,अनन्तमाहात्म्य,,,,,Anantamāhātmya
Anantapūjā,अनन्तपूजा,,,,,Puranas
Anantapūjā,अनन्तपूजा,Puranas,,,Puranas,
Anantapūjāvidhi,अनन्तपूजाविधि,,,,,Anantapūjāvidhi
Anantavratakathā,अनन्तव्रतकथा,Puranas,,,Puranas,
Anantavratodyāpana,अनन्तव्रतोद्यापन,Puranas,,,Puranas,
Anaṅgaraṅga,अनङ्गरङ्ग,,,,,Anaṅgaraṅga
Anekadhvanimañjarī,अनेकध्वनिमञ्जरी,,,,,Anekadhvanimañjarī
Anekaprakarṇe,अनेकप्रकर्णे,,,,,Anekaprakarṇe
Anekārthadhvanimañjarī,अनेकार्थध्वनिमञ्जरी,,,,,Anekārthadhvanimañjarī
Annapūrṇāmūlamantra,अन्नपूर्णामूलमन्त्र,,,,,Annapūrṇāmūlamantra
Annapūrṇāstotra,अन्नपूर्णास्तोत्र,,,,,Annapūrṇāstotra
Antyeṣṭipaddhati,अन्त्येष्टिपद्धति,,,,,Antyeṣṭipaddhati
Anubhūtileśa,अनुभूतिलेश,,,,,Anubhūtileśa
Anubhūtiprakāśa,अनुभूतिप्रकाश,,,,,Anubhūtiprakāśa
Anubhūtiprakāśakaṭhaṭīkā,अनुभूतिप्रकाशकठटीका,,,,,Anubhūtiprakāśakaṭhaṭīkā
Anumitigrantha,अनुमितिग्रन्थ,,,,,Anumitigrantha
Anumitiparāmarśaya kāryakāraṇabhāvavicāra,अनुमितिपरामर्शय कार्यकारणभावविचार,,,,,Anumitiparāmarśaya kāryakāraṇabhāvavicāra
Anumitistu dvividhā,अनुमितिस्तु द्विविधा,Jāgadīśī,,,Jāgadīśī,
Anumāna,अनुमान,,,,,Anumāna
Anumāna,अनुमान,Tattvacintāmaṇi,,,Tattvacintāmaṇi,
Anumānagrantha,अनुमानग्रन्थ,Tattvacintāmaṇi,,,Tattvacintāmaṇi,
Anumānakhaṇḍa,अनुमानखण्ड,,,,,Anumānakhaṇḍa
Anumānakroḍapattra,अनुमानक्रोडपत्त्र,,,,,Anumānakroḍapattra
Anumānamaṇidīdhiti,अनुमानमणिदीधिति,Tattvacintāmaṇidīdhiti,,,Tattvacintāmaṇidīdhiti,
Anumānaprakāśa,अनुमानप्रकाश,,,,,Anumānaprakāśa
Anumānaprāmāṇya,अनुमानप्रामाण्य,Tattvacintāmaṇidīdhiti,,,Tattvacintāmaṇidīdhiti,
Anumāṇakhaṇḍa,अनुमाणखण्ड,Tattvacintāmaṇi,,,Tattvacintāmaṇi,
Anusmṛti,अनुस्मृति,Mahābhārata,,,Mahābhārata,
Anusmṛti,अनुस्मृति,Mahābhārata,महाभारत,,Mahābhārata,
Anusmṛtiratna,अनुस्मृतिरत्न,Mahābhārata,महाभारत,,Mahābhārata,
Anusmṛtistotra,अनुस्मृतिस्तोत्र,Mahābhārata,,,Mahābhārata,
Anuvākasaṃkhya,अनुवाकसंख्य,Kātyāyanaśrautasūtra,,,Kātyāyanaśrautasūtra,
Apamṛtyuharastotra,अपमृत्युहरस्तोत्र,,,,,Apamṛtyuharastotra
Aparokṣānubhava,अपरोक्षानुभव,Aparokṣānubhūti,,,Aparokṣānubhūti,
Aparokṣānubhūti,अपरोक्षानुभूति,,,,,Aparokṣānubhūti
Aparādhastotra,अपराधस्तोत्र,,,,,Aparādhastotra
Aparādhasundarastotra,अपराधसुन्दरस्तोत्र,,,,,Aparādhasundarastotra
Aparādhasundarastotra,मनीषापञ्चक,,,,,Aparādhasundarastotra
Apāmārjanastotra,अपामार्जनस्तोत्र,Puranas,,,Puranas,
Apāmārjanastotra,अपामार्जनस्तोत्र,,,,,Puranas
Arghyapradāna,अर्घ्यप्रदान,,,,,Arghyapradāna
Arundhatyāvrata,अरुन्धत्याव्रत,Puranas,,,Puranas,
Arundhatīkathā,अरुन्धतीकथा,Puranas,,,Puranas,
Asthiśuddhi,अस्थिशुद्धि,,,,,Asthiśuddhi
Asyāśapoddhāro,अस्याशपोद्धारो,,,,,Asyāśapoddhāro
Athabhagavadgītāprārambhaḥ,अथभगवद्गीताप्रारम्भः,Bhagavadgītā,भगवद्गीता,,Bhagavadgītā,
Athabhagavadgītāprāraṃbhaḥ,अथभगवद्गीताप्रारंभः,Bhagavadgītā,भगवद्गीता,,Bhagavadgītā,
Athabhagavatsubodhinīṭīkāgāprāṃbhaḥ,अथभगवत्सुबोधिनीटीकागीताप्रारंभः,Bhagavadgītā,भगवद्गीता,,Bhagavadgītā,
Athabhīṣmastavarājaprārambhaḥ,अथभीष्मस्तवराजप्रारम्भः,Mahābhārata,महाभारत,,Mahābhārata,
Athagītābhāṣyaṭīkāprāraṃbhaḥ,अथगीताभाष्यटीकाप्रारंभः,Bhagavadgītā,भगवद्गीता,,Bhagavadgītā,
Athajaiminīkṛta aśvamedhaprārambhaḥ,अथजैमिनीकृत अश्वमेधप्रारम्भः,Mahābhārata,महाभारत,,Mahābhārata,
Atharvaveda upaniṣads,,Vedas,,,Vedas,
Atharvaśira,अथर्वशिर,,,,,Atharvaśira
Atharvaśiras upaniṣad,अथर्वशिरस् उपनिषद्,,,,,Atharvaśiras upaniṣad
Atharvaśiropaniṣad,अथर्वशिरोपनिषद्,,,,,Atharvaśiropaniṣad
Atharvaśīrṣa,अथर्वशीर्ष,,,,,Atharvaśīrṣa
Atharvaṇadviślokī,अथर्वणद्विश्लोकी,,,,,Atharvaṇadviślokī
Atharvaṇaśikhānārāyaṇopāniṣad,अथर्वणशिखानारायणोपानिषद्,Vedas,,,Vedas,
Atharvopaniṣad,आथर्वोपनिषद्,Vedas,,,Vedas,
Athasatyanārāyaṇakathāprarambhaḥ,अथसत्यनारायणकथाप्ररम्भः,Mahābhārata,महाभारत,,Mahābhārata,
Athasūtra uttaraṣaṭkaprāraṃbhaḥ,,Āśvalāyanaśrautasūtra,,,Āśvalāyanaśrautasūtra,
Athavallabhakṛtasubodhinīprāṃbhaḥ,अथवल्लभकृतसुबोधिनीप्रारंभः,Puranas,पुराण,,Puranas,
Athaviṣṇusahasranāma,अथविष्णुसहरनाम,Mahābhārata,महाभारत,,Mahābhārata,
Athaviṣṇusahasranāmaprārambhaḥ,अथविष्णुसहरनामप्रारम्भः,Mahābhārata,महाभारत,,Mahābhārata,
Athaviṣṇusahasranāmaprārambho'yam,अथविष्णुसहस्रनामप्रारम्भो'यम्,Mahābhārata,महाभारत,,Mahābhārata,
Athaśivasahasranāmaprāṃbhaḥ,अथशिवसहस्रनामप्रारम्भः,Mahābhārata,महाभारत,,Mahābhārata,
Athaśrībhagavadgītā,अथश्रीभगवद्गीतापुस्तकं,Bhagavadgītā,भगवद्गीता,,Bhagavadgītā,
Athaśrībhagavadgītāprāraṃbha,अथश्रीभगवद्गीताप्रारंभ,Bhagavadgītā,भगवद्गीता,,Bhagavadgītā,
Athaśrīviṣṇusahasranāmaprārambhaḥ,अथश्रीविष्णुसह्स्रनामस्तोत्रप्रारम्भः,Mahābhārata,महाभारत,,Mahābhārata,
Athaśālīhotragranthalikhyate,अथशालीहोत्रग्रन्थलिख्यते,Aśvāyurveda,अश्वायुर्वेद,,Aśvāyurveda,
Athaḥ utsarjanopākarmaprāraṁbhaḥ,,,,,,Athaḥ utsarjanopākarmaprāraṁbhaḥ
Atmabodha,आत्मबोध,,,,,Atmabodha
Atmaṣaṭkopaniṣad,आत्मषट्कोपनिषद्,Upanishads,,,Upanishads,
Aupāsanahoma,औपासनहोम,,,,,Aupāsanahoma
Aurdhvadehikapaddhati,और्ध्वदेहिकपद्धति,,,,,Aurdhvadehikapaddhati
Avacchedakalakṣaṇa ṭippaṇī,अवच्छेदकलक्षण टिप्पणी,,,,,Avacchedakalakṣaṇa ṭippaṇī
Avacchedakaprakārakanirṇaya,अवच्छेदकप्रकारकनिर्णय,Jāgadīśī,,,Jāgadīśī,
Avacchedakatvaṭippaṇī,अवच्छेदकत्वटिप्पणी,Jāgādīśī,,,Jāgādīśī,
Avadhūtāṣṭaka,अवधूताष्टक,Avadhūtagītā,,,Avadhūtagītā,
Avatars of Vishnu,,,,,,Avatars of Vishnu
Avayavagrantha,अवयवग्रन्थ,Tattvacintāmaṇi,,,Tattvacintāmaṇi,
Avayavanirūpaṇa,अवयवनिरूपण,,,,,Avayavanirūpaṇa
Avayavavyākhyā,अवयवव्याख्या,Gādādharī,,,Gādādharī,
Avyayaprakaraṇa,अव्ययप्रकरण,,,,,Avyayaprakaraṇa
Avyayārthaprakāśa,अव्ययार्थप्रकाश,,,,,Avyayārthaprakāśa
Ayodhyākāṇḍa,सुन्दरकाण्ड,Puranas,,,Puranas,
Aśokatrirātravrata,अशोकत्रिरात्रव्रत,,,,,Aśokatrirātravrata
Aśvalāyanapavamānasaura,अश्वलायनपवमानसौर,Vedas,,,Vedas,
Aśvatthapūjana,अश्वत्थपूजन,,,,,Aśvatthapūjana
Aśvatthodyāpanaprayoga,अश्वत्थोद्यापनप्रयोग,,,,,Aśvatthodyāpanaprayoga
Aśvatthodyāpanavidhi,अश्वत्थोद्यापनविधि,,,,,Aśvatthodyāpanavidhi
Aṃśādīniravimandaphalāni,अंशादीनिरविमन्दफलानि,,,,,Aṃśādīniravimandaphalāni
Aṣṭakavargasṛṣṭi,अष्टकवर्गसृष्टि,,,,,Aṣṭakavargasṛṣṭi
Aṣṭamaskandhacaturthādhyāya,अष्टमस्कन्धचतुर्थाध्याय,Puranas,पुराण,,Puranas,
Aṣṭasāhasrikā prajñāpāramitā,अष्टसाहस्रिका प्रज्ञापारमिता,Tripiṭaka,,,Tripiṭaka,
Aṣṭottaraśata,अष्टोत्तरशत,,,,,Aṣṭottaraśata
Aṣṭottaraśatagaṇapatināmāvali,अष्टोत्तरशतगणपतिनामावलि,,,,,Aṣṭottaraśatagaṇapatināmāvali
Aṣṭādaśaślokīgītāsāra,अष्टादशश्लोकीगीतासार,,,,,Aṣṭādaśaślokīgītāsāra
Aṣṭādhyāyī,अष्टाध्यायी,,,,,Aṣṭādhyāyī
Aṣṭādhyāyī,अष्टाध्यायी,Aṣṭādhyāyī,,,Aṣṭādhyāyī,
Aṣṭāvakra,अष्टावक्र,Aṣṭāvakragītā,,,Aṣṭāvakragītā,
Bagalāmukhīkavaca,,Tantras,,,Tantras,
Battisīpaurṇimāvratodyāpana,बत्तिसीपौर्णिमाव्रतोद्यापन,Puranas,,,Puranas,
Baudhāyanacarakasautrāmaṇīvyākhyā,बौधायनचरकसौत्रामणीव्याख्या,,,,,Baudhāyanacarakasautrāmaṇīvyākhyā
Baudhāyanadarśapūrṇamāsacāturmāsyavihāra,बौधायनचरकसौत्रामणीव्याख्या,,,,,Baudhāyanadarśapūrṇamāsacāturmāsyavihāra
Baudhāyanadarśapūrṇamāsaprayoga,बौधायनदर्शपूर्णमासप्रयोग,,,,,Baudhāyanadarśapūrṇamāsaprayoga
Baudhāyanakāṭhakacayanaprayoga,बौधायनकाठकचयनप्रयोग,,,,,Baudhāyanakāṭhakacayanaprayoga
Baudhāyanamatānusārīsomabhakṣa,बौधायनमतानुसारीसोमभक्ष,,,,,Baudhāyanamatānusārīsomabhakṣa
Baudhāyanavihārakārikā,बौधायनविहारकारिका,,,,,Baudhāyanavihārakārikā
Baudhāyanayajñatantrapaśuprayoga,बौधायनयज्ञतन्त्रपशुप्रयोग,,,,,Baudhāyanayajñatantrapaśuprayoga
Baṭukabhairavastotra,बटुकभैरवस्तोत्र,Tantras,,,Tantras,
Baṭukadīpadānaprakāra,बटुकदीपदानप्रकार,Tantras,,,Tantras,
Baṭṭīśīvratakathā,बट्टीशीव्रतकथा,Puranas,,,Puranas,
Bhagavadbhakticandrikollāsa,भगवद्भक्तिचन्द्रिकोल्लास,,,,,Bhagavadbhakticandrikollāsa
Bhagavadgītā,भगवद्गीता,Bhagavadgītā,भगवद्गीता,,Bhagavadgītā,
Bhagavadgītā,भगवद्गीता,Bhagavadgītā,,,Bhagavadgītā,
Bhagavadgītā,بهگوت-گىتا,Bhagavadgītā,,,Bhagavadgītā,
Bhagavadgītāmāhātmya,भगवद्गीतामाहात्म्य,Puranas,,,Puranas,
Bhagavadgītāsaṭīkā,भगवद्गीतासटीका,Bhagavadgītā,भगवद्गीता,,Bhagavadgītā,
Bhagavatsaṃdhyā,भगवत्संध्या,,,,,Bhagavatsaṃdhyā
Bhagavatīpadmapuṣpāñjali,,,,,,Bhagavatīpadmapuṣpāñjali
Bhairavapraśna,,Praśnabhairava,,,Praśnabhairava,
Bhairavasahasranāmastotra,,Tantras,,,Tantras,
Bhaktāmaraprabhava,भक्तामरप्रभव,Bhaktāmarastotra,,,Bhaktāmarastotra,
Bhaumastotra,भौमस्तोत्र,Puranas,,,Puranas,
Bhaviṣyottarapurāṇa,,Puranas,,,Puranas,
Bhavānandī,भवानन्दी,,,,,Bhavānandī
Bhavānandīvyākhyā,भवानन्दीव्याख्या,,,,,Bhavānandīvyākhyā
Bhavānīsahasranāmastotra,भवानीसहस्रनामकथन,Tantras,,,Tantras,
Bhedadhikkāra,भेदधिक्कार,,,,,Bhedadhikkāra
Bhikṣukopaniṣad,भिक्षुकोपनिषद्,,,,,Bhikṣukopaniṣad
Bhojacarita,भोजचरित,,,,,Bhojacarita
Bhojanavidhitrikaṇḍikāsūtra,भोजनविधित्रिकण्डिकासूत्र,,,,,Bhojanavidhitrikaṇḍikāsūtra
Bhuvaneśvarīstotramantra,भुवनेश्वरीस्तोत्रमन्त्र,,,,,Bhuvaneśvarīstotramantra
Bhuśuddhibhūtaśuddhiprāṇapratiṣṭhā Antaramātṛkābahimātṛkā,,Bhūtaśuddhiprāṇapratiṣṭhā,,,Bhūtaśuddhiprāṇapratiṣṭhā,
Bhāgavatabhāvārthadīpikā,भागवतभावार्थदीपिका,,,,,Bhāgavatabhāvārthadīpikā
Bhāgavatalakṣaṇa,भागवतलक्षण,,,,,Bhāgavatalakṣaṇa
Bhāgavatamahāpurāṇa,भागवतमहापुराण,Puranas,,,Puranas,
Bhāgavatamahāpurāṇa saptamaskandha,भागवतमहापुराण सप्तमस्कन्ध,Puranas,,,Puranas,
"Bhāgavatamahāpurāṇa, dvitīyaskaṃdha","भागवतमहापुराण, द्वितीयस्कंध",Puranas,,,Puranas,
Bhāgavatapurāṇa,भागवतपुराण,Puranas,पुराण,Puranas,,
Bhāgavataśaṅkānirāsavāda,भागवतशङकानिरासवाद,,,,,Bhāgavataśaṅkānirāsavāda
Bhāgavate prathamaskandha,भागवते प्रथमस्कन्ध,Puranas,पुराण,,Puranas,
Bhāgavatāntargatapārijātādhyāya,भागवतान्तर्गतपारिजाताध्याय,Puranas,,,Puranas,
Bhālacandrapūjā,भालचन्द्रपूजा,Puranas,,,Puranas,
Bhāminīvilāsa,भामिनीविलास,,,,,Bhāminīvilāsa
Bhāminīvilāsaṭīkā,भामिनीविलासटीका,,,,,Bhāminīvilāsaṭīkā
Bhārūṇasāma,भारूणसाम,,,,,Bhārūṇasāma
Bhāva,भाव,Jātakālaṅkāra,,,Jātakālaṅkāra,
Bhāvārthadīpikāyāṃ ṣaṣṭhe skandha,भावार्थदीपिकायां षष्टे स्कन्ध,Puranas,पुराण,,Puranas,
Bhāṣyaratnaprabhā,भाष्यरत्नप्रभा,,,,,Bhāṣyaratnaprabhā
Bhāṣāpariccheda,भाषापरिच्छेद,,,,,Bhāṣāpariccheda
Bhāṭṭabhāṣāprakāśa,भाट्टभाषाप्रकाश,,,,,Bhāṭṭabhāṣāprakāśa
Bhāṭṭālaṃkāra,भाट्टालंकार,,,,,Bhāṭṭālaṃkāra
Bhīṣmastavarāja,भीष्मस्तवराज,Mahābhārata,महाभारत,,Mahābhārata,
Bhīṣmoktastavarāja,भीष्मोक्तस्तवराज,Mahābhārata,महाभारत,,Mahābhārata,
Bhūmivarga,भूमिवर्ग,,,,,Bhūmivarga
Bhūtaviveka,भूतविवेक,Pañcadaśī,,,Pañcadaśī,
Bhūtaśuddhi,,Bhūtaśuddhiprāṇapratiṣṭhā,,,Bhūtaśuddhiprāṇapratiṣṭhā,
Bhūtaśuddhi,भूतशुद्धि,,,,,Bhūtaśuddhi
Bhūtaśuddhiprāṇapratiṣṭhā Antaramātṛkābahirmātṛkāḥ,,Bhūtaśuddhiprāṇapratiṣṭhā,,,Bhūtaśuddhiprāṇapratiṣṭhā,
Bhūtaśuddhyādi,,Bhūtaśuddhiprāṇapratiṣṭhā,,,Bhūtaśuddhiprāṇapratiṣṭhā,
Bhūśuddhi,,Bhūtaśuddhiprāṇapratiṣṭhā,,,Bhūtaśuddhiprāṇapratiṣṭhā,
Bhūśuddhibhutaśuddhi,,Bhūśuddhibhūtaśuddhi,,,Bhūśuddhibhūtaśuddhi,
Bhūṣaṇasāra,भूषणसार,,,,,Bhūṣaṇasāra
Bhṛguvallī,भृगुवल्ली,Upanishads,,,Upanishads,
Bhṛguvalyupaniṣad,भृगुवल्ल्युपनिषद्,Upanishads,,,Upanishads,
Bhṛguvidā upaniṣad,भृगुविदा उपनिषद्,,,,,Bhṛguvidā upaniṣad
Bhṛgūpaniṣadbhāṣyaṭippaṇa,भृगूपनिषद्भाष्यटिप्पण,,,,,Bhṛgūpaniṣadbhāṣyaṭippaṇa
Bilvapatrapraśaṃsā,बिल्वपत्रप्रशंसा,,,,,Bilvapatrapraśaṃsā
Bilvaṣoḍaśakastotra,बिल्वषोडशकस्तोत्र,Puranas,,,Puranas,
Bilvopaniṣad,बिल्वोपनिषद्,,,,,Bilvopaniṣad
Birth of Gaṇeśa,,,,,,Birth of Gaṇeśa
Bisnu Purān,بسن پران,Puranas,,Puranas,,
Bittarāmāyaṇa,बित्तरामायण,,,,,Bittarāmāyaṇa
Bodhavai bhava,बोधवै भव,,,,,Bodhavai bhava
Bodhāyanacayanaprayoga,बोधायनचयनप्रयोग,,,,,Bodhāyanacayanaprayoga
Bodhāyanacayanaprayoga,भोधायनचयनप्रयोग,,,,,Bodhāyanacayanaprayoga
Bodhāyanayājamānyaprayoga,बोधायनयाजमान्यप्रयोग,Vedas,,,Vedas,
Brahmagītā,ब्रह्मगीता,Puranas,,,Puranas,
Brahmakūrca,ब्रह्मकूर्च,,,,,Brahmakūrca
Brahmanāmāvalīstotra,ब्रह्मनामावलीस्तोत्र,,,,,Brahmanāmāvalīstotra
Brahmasūtra,ब्रह्मसूत्र,,,,,Brahmasūtra
Brahmavidopaniṣad,ब्रह्मविदोपनिषद्,,,,,Brahmavidopaniṣad
Brahmavidupaniṣad,ब्रह्मविदुपनिषद्,,,,,Brahmavidupaniṣad
Brahmayajña,ब्रह्मयज्ञ,,,,,Brahmayajña
Brahmayajñaprayoga,ब्रह्मयज्ञप्रयोग,,,,,Brahmayajñaprayoga
Brahmayāmale ahībalacakra,ब्रह्मयामले अहीबलचक्र,Tantras,,,Tantras,
Brahmopaniṣad,ब्रह्मोपनिषद्,,,,,Brahmopaniṣad
Brahmopaniṣadādi dvāviṃśadupaniṣat,ब्रह्मोपनिषदादि द्वाविंशदुपनिषद्,,,,,Brahmopaniṣadādi dvāviṃśadupaniṣat
Brahmānanda,ब्रह्मानन्द,Pañcadaśī,,,Pañcadaśī,
Brahmānandayogānanda,ब्रह्मानन्दयोगानन्द,Pañcadaśī,,,Pañcadaśī,
Brāhmaṇa,,,,,,Brahmanas
Brāhmaṇa,ब्राह्मण,Brahmanas,,,Brahmanas,
Brāmaṇācchaṃsiprayoga,ब्राह्मणाच्छंसिप्रयोग,,,,,Brāmaṇācchaṃsiprayoga
Br̥hadāraṇyakavyākhyāmitākṣāra,बृहदारण्यकव्याख्याख्यामिताक्षार,,,,,Br̥hadāraṇyakavyākhyāmitākṣāra
Br̥hadāraṇyakopaniṣad,बृहदारण्यकोपनिषद्,Upanishads,,,Upanishads,
Br̥hatpārāśarahorāśāstra,बृहत्पाराशरहोराशास्त्र,,,,,Br̥hatpārāśarahorāśāstra
Budhāṣṭamīvrata,बुधाष्टमीव्रत,Puranas,,,Puranas,
Budhāṣṭamīvratapūjākathā,बुधाष्टमीव्रतपूजाकथा,Puranas,,,Puranas,
Bulbul,बुलबुल,,,,,Bulbul
Bādarāyaṇapraśnavidyā,बादरायणप्रश्नविद्या,,,,,Bādarāyaṇapraśnavidyā
Bādhabuddhipratibandhakatāvicāra,बाधबुद्धिप्रतिबन्धकताविचार,,,,,Bādhabuddhipratibandhakatāvicāra
Bādhabuddhivicāra,बाधबुद्धिविचार,,,,,Bādhabuddhivicāra
Bālabodha,बालबोध,,,,,Bālabodha
Bālabodhinī,बालबोधिनी,,,,,Bālabodhinī
Bālātripurasundarīstotra,बालात्रिपुरसुंदरीस्तोत्र,Tantras,,,Tantras,
Bāvaṁnākṣarī,,,,,,Bāvaṁnākṣarī
