title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label,authorized_label_add
Leaf from Ab urbe condita,,Ab urbe condita,,,Ab urbe condita
Leaf from De finibus bonorum et malorum,,,,De finibus bonorum et malorum,
Leaf from Magna Glossatura in Epistolas Pauli,,,,Magna Glossatura;Bible,
Leaf from a Qurʼan manuscript,,Qurʼan,,,Qurʼan
Leaf from a censier or rent book of tenant farms in La Chapelle,,,,Rent book,
Leaf from a large Coptic - Arabic lectionary,,,,Coptic-Arabic lectionary,
Leaf from the Llangattock breviary,,Breviary,,,Breviary
"Leaf from the Papal Bull ""Exivi de paradiso"" of Pope Clement V",,,,Papal bull,
"Lease, 1474 May 26, between Jacop Moeylinen and Ghijsel Maes",,,,Lease,
"Lease, 1625 November 17, of land in Great Abington to Thomas Warde",,,,Lease,
"Lease, 1670 December 16, of land to John Manwood of Broomfield, Essex",,,,Lease,
"Legal complaint, 1386 May 10, of the Bishop of the Church in Nevers, Paris",,,,Legal complaint,
"Legal dispute, 1662, between Christoph le Bechard and Pierre Regnard",,,,Legal dispute,
"Legal dispute, 1694 March 22, between two parties",,,,Legal dispute,
"Legal document, 1720 April 6, of an inventory",,,,Inventory,
Letter from King Charles V of France to the keeper of the royal salt store,,,,Letter from Charles V,
Liturgical manuscript binding fragment,,,,Liturgical fragment,
Manuscript in Arabic,,,,Manuscript in Arabic,
Manuscript leaf fragment from Vulgate Bible,,Bible,,,Bible
Manuscript leaf from a 13th century French glossed Bible,,Bible,,,Bible
Manuscript leaf from a French pocket Bible,,Bible,,,Bible
Miscellany of sermons] /,,,,Sermon collection,
Missal abreviatum,,Missal,,,Missal
Missal fragment,,Missal,,,Missal
Missal leaf,,Missal,,Missal,
"Mortgage, 1686 August 25, of land in Essex to Dorothy Collard of Barnstone",,,,,Mortgage
Noted Missal,,Missal,,,Missal
Obit book of the Parish Church of Saint-Martin and Saint-Magne in Nangis,,,,Obituaries,
"Order, 1324 February 25, from Aimerie du Cros",,,,Order,
Papal bull,,,,Papal bull,
"Pension, 1475, from Charles the Bold to Vassal Ranlequin de Fontaines, Nancy, Burgundy",,,,Pension,
"Postilla litteralis in vetus testamentum, pars",,,,Commentary on the Old Testament,
Prayer book,,,,Prayerbook,
Prayer book leaf,,,,Prayerbook leaf,
Processional,,,,Processional,
Psalter in Latin,,,,Psalter,
"Pseudo-Gilbertus, Liber Sex Principiorum; manuscript leaf",,,,,Liber Sex Principiorum
"Receipt from Luytghart Mertens in Flemish, Bethlehem near Louvain",,,,Receipt,
"Receipt, 1401 July 26, of Pierre de Traville from Guillaument le Moine",,,,Receipt,
"Receipt, 1440 March 5, of Marie of Cleves for Pierre Sauvage, Blois, France",,,,Receipt,
"Receipt, 1462 July 14, by Charles, Duke of Orleans' Valet, Blois, France",,,,Receipt,
"Receipt, 1486 July 16, for the final payment of the settlement of the late King Louis XI",,,,Receipt,
Release and quitclaim by Hugh son of Simon of Rodes,,,,Release and quitclaim,
S[er]mo[n]es gl[ori]osi B[er]nardi de cena Do[mini] Yh[es]u,,,,Sermons,
Sacramentary leaf,,Sacramentary,,,Sacramentary
"Speculum historiale, bifolium fragment",,,,Speculum historiale,
Tractatus de varys et virtutibus,,,,Tracts on virtue and other topics,
Two binding fragments in University Script,,,,Two binding fragments in university script,
Vocabularium,,,,Vocabularium,
"Will and probate, 1626-1634, of Richard Lake",,,,Will and probate,
"Will and probate, 1700-1701, of Elizabeth Twywell",,,,Will and probate,
