script_note_as_recorded,script_note,script_label,aat_label,aat_id,wikidata_label,wikidata_qid
"Script: Written in a naskh script by Muḥammad ibn al-Ḥusayn al-Ḥasan (colophon, f. 213r).","a naskh script by Muḥammad ibn al-Ḥusayn al-Ḥasan (colophon, f 213r)",naskh,naskhī,300195195,Naskh,Q1510712
"Script:  Written in italic script, either by multiple hands or in varying degrees of formality (f. 2r-8v, 15r-39r).","italic script, either by multiple hands or in varying degrees of formality (f 2r-8v, 15r-39r)",italic script,,,Italic script,Q6093538
Script:  Written in rapid naskh in black ink; pointed.,rapid naskh in black ink; pointed,naskh,naskhī,300195195,Naskh,Q1510712
Script: Written in a naskh script in black ink; pointed.,a naskh script in black ink; pointed,naskh,naskhī,300195195,Naskh,Q1510712
Script: Written in naskh in dark brown ink; pointed and vocalized.,naskh in dark brown ink; pointed and vocalized,naskh,naskhī,300195195,Naskh,Q1510712
Script: Written in a naskh script by a single hand.,a naskh script by a single hand,naskh,naskhī,300195195,Naskh,Q1510712
"Script: Written in nastaʻlīq script, with marginal notes in many different hands.","nastaʻlīq script, with marginal notes in many different hands",nastaʻlīq,nastaʻliq,300265532,Nastaʿlīq,Q1133121
"Script:  Written in a semi-batârde script, with contemporary signatures at the end of each section except the last (f. 9v, 13v, 16r), possibly in two hands (f. 1r-16r, 17r-26r).","a semi-batârde script, with contemporary signatures at the end of each section except the last (f 9v, 13v, 16r), possibly in two hands (f 1r-16r, 17r-26r)",Semi-Batârde,,,Bastarda,Q32267
"Script: Written in naskh influenced by nastaʻlīq in black ink; pointed, with titles in a larger naskh in red and green ink; pointed.","naskh influenced by nastaʻlīq in black ink; pointed, with titles in a larger naskh in red and green ink; pointed",naskh,naskhī,300195195,Naskh,Q1510712
"Script: Written in naskh script, in the hand of Fārij al-Karab Yūsuf ibn Ḥusayn ibn Fayyāḍ al-ʻArab (colophons, f. 356r, 489r, 541r, 598v) and also perhaps another hand (f. 1v-541r, 542v-598v).","naskh script, in the hand of Fārij al-Karab Yūsuf ibn Ḥusayn ibn Fayyāḍ al-ʻArab (colophons, f 356r, 489r, 541r, 598v) and also perhaps another hand (f 1v-541r, 542v-598v)",naskh,naskhī,300195195,Naskh,Q1510712
"Script:  Written in rounded Gothic script, largely by one hand (f. 1-5), with additions at the end possibly by other hands.","rounded Gothic script, largely by one hand (f 1-5), with additions at the end possibly by other hands",Gothic script,Gothic scripts,300202638,Gothic minuscule,Q30894934
Script:  Written in Italian Sephardic semi-square script with vowel points and cantillation marks (f. 1-15); poems on added leaf at end written in semi-cursive rabbinic Italian Sephardic script.,Italian Sephardic semi-square script with vowel points and cantillation marks (f 1-15); poems on added leaf at end written in semi-cursive rabbinic Italian Sephardic script,Italian Sephardic script,Hebrew alphabet,300256146,Hebrew alphabet,Q33513
Script:  Written in a Gothic book script.,a Gothic book script,Gothic bookhand,Gothic scripts,300202638,Gothic minuscule,Q30894934
Script:  Written in humanistic script.,humanistic script,humanist script,humanistic scripts,00210204,humanist minuscule,Q3953117
Script:  Written in cursive script by a single hand.,a cursive script by a single hand,cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
"Script:  Written in hybrid script by Johannes Mellarinus (f. 193v, 402v).","hybrid script by Johannes Mellarinus (f 193v, 402v)",hybrid script,Gothic scripts,300202638,Gothic minuscule,Q30894934
"Script: Written in naskh in black ink; pointed, by multiple hands; beginning and end (f. 1-40, 310-321) of manuscript written on replacement leaves by a later hand in a narrower version of the script.","naskh in black ink; pointed, by multiple hands; beginning and end (f 1-40, 310-321) of manuscript written on replacement leaves by a later hand in a narrower version of the script",naskh,naskhī,300195195,Naskh,Q1510712
"Script: Written in naskh script, except for the final leaves written in nastaʻlīq script (f. 362r-367r).","naskh script, except for the final leaves written in nastaʻlīq script (f 362r-367r)",naskh,naskhī,300195195,Naskh,Q1510712
"Script:  Written in a Sephardic rabbinic cursive script with headings in larger script, in the hand of Chaim Luzio (f. 76r, 168r).","a Sephardic rabbinic cursive script with headings in larger script, in the hand of Chaim Luzio (f 76r, 168r)",Sephardic rabbinic cursive script,,,Solitreo,Q9078716
Script:  Written in semi-cursive script with some calligraphic broken-letter headings.,semi-cursive script with some calligraphic broken-letter headings,semi-cursive script,,,Gothic minuscule,Q30894934
Script:  Written in Gothic cursive script with chapter and section headings in a more calligraphic Gothic script.,Gothic cursive script with chapter and section headings in a more calligraphic Gothic script,Gothic cursive script,Gothic cursive,300210180,Gothic cursive,Q33247994
"Script: Written in nastaʻlīq in black ink; pointed, with headings in naskh script.","nastaʻlīq in black ink; pointed, with headings in naskh script",naskh,naskhī,300195195,Naskh,Q1510712
"Script: Written in naskh script in black ink in two hands; partially pointed, further points added by a later hand.","naskh script in black ink in two hands; partially pointed, further points added by a later hand",naskh,naskhī,300195195,Naskh,Q1510712
"Script: Written in naskh in black ink, mostly unpointed, by at least 2 hands (first hand, f. 1v-56v, 104v-120v; second hand, 57r-104r), with an additional leaf bound in, f. 63.","naskh in black ink, mostly unpointed, by at least 2 hands (first hand, f 1v-56v, 104v-120v; second hand, 57r-104r), with an additional leaf bound in, f 63",naskh,naskhī,300195195,Naskh,Q1510712
Script:  Written in Gothic textura script by a single hand.,Gothic textura script by a single hand,Gothic script,Gothic scripts,300202638,Gothic minuscule,Q30894934
"Script:  Written in humanistic cursive script by at least 2 hands (f. 1r-47v, 51r-92v).","humanistic cursive script by at least 2 hands (f 1r-47v, 51r-92v)",cursive humanist script,humanistic cursive,300210205,humanistic cursive,Q33259624
"Script:  Written in neat, Andalusian maghribi script in brown ink; pointed, partially vocalized.","neat, Andalusian maghribi script in brown ink; pointed, partially vocalized",maghribi,maghribī (script form),300265538,Maghrebi script,Q1519562
Script: Written in a naskh in black ink; pointed.,a naskh in black ink; pointed,naskh,naskhī,300195195,Naskh,Q1510712
Script: Written in nastaʻlīq script.,nastaʻlīq script,nastaʻlīq,nastaʻliq,300265532,Nastaʿlīq,Q1133121
Script:  Written in a bolorgir script; 19th-century additions (f. 81r).,a bolorgir script; 19th-century additions (f 81r),bolorgir,,,bolorgir,Q31193864
"Script:  Written in Gothic cursive script, with some Latin headings in display capitals.","Gothic cursive script, with some Latin headings in display capitals",Gothic cursive script,Gothic cursive,300210180,Gothic cursive,Q33247994
Script:  Written in bâtarde script.,bâtarde script,Batarde,bastarda,300210195,Bastarda,Q32267
"Script: Written in clear naskh in black ink; pointed. Section headings in thuluth in black ink; pointed, vocalized.","clear naskh in black ink; pointed Section headings in thuluth in black ink; pointed, vocalized",naskh,naskhī,300195195,Naskh,Q1510712
Script:  Written in cursive script; former pastedowns written in 12th-century transitional script (or protogothic script).,cursive script; former pastedowns written in 12th-century transitional script (or protogothic script),cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
"Script:  Written in Ashkenazi semi-cursive script with headings in a larger script in the hand of Judah ben Jacob (f. 1r-250v, colophon f. 250v), with a second hand at the end of the volume (f. 251r-269r).","Ashkenazi semi-cursive script with headings in a larger script in the hand of Judah ben Jacob (f 1r-250v, colophon f 250v), with a second hand at the end of the volume (f 251r-269r)",Ashkenazi semi-cursive script,,,Ashkenazic Script,Q121094898
"Script: Written in naskh by ʻAlī ibn ʻAbd Allāh al-Anṣārī (medallion inscription, f. 1r).","naskh by ʻAlī ibn ʻAbd Allāh al-Anṣārī (medallion inscription, f 1r)",naskh,naskhī,300195195,Naskh,Q1510712
Script: Written in neat maghribī script; pointed and vocalized.,neat maghribī script; pointed and vocalized,maghribi,maghribī (script form),300265538,Maghrebi script,Q1519562
Script:  Written in cursive script by Marco Girolamo Vida.,cursive script by Marco Girolamo Vida,cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
"Script:  Written in humanistic cursive script by Franciscus Alexandrus de Callio, another member of the community of Hermits of Saint Augustine in Perugia (f. 87r).","humanistic cursive script by Franciscus Alexandrus de Callio, another member of the community of Hermits of Saint Augustine in Perugia (f 87r)",cursive humanist script,humanistic cursive,300210205,humanistic cursive,Q33259624
"Script: Written in naskh script, with some headings in a larger naskh and some in thuluth; opening bismillāh in Early Abbasid style script (f. 1v); occasional marginal notes in a later hand.","naskh script, with some headings in a larger naskh and some in thuluth; opening bismillāh in Early Abbasid style script (f 1v); occasional marginal notes in a later hand",naskh,naskhī,300195195,Naskh,Q1510712
"Script:  Written in Iberian Gothic script, with notes added at the end in a later English hand, ca. 1500.","Iberian Gothic script, with notes added at the end in a later English hand, ca 1500",Gothic script,Gothic scripts,300202638,Gothic minuscule,Q30894934
"Script:  Written in Gothic textura (calendar and rubrics) and cursive script in the hand of Heinrich Stegmüller, followed by later notes in 2 different hands (f. 73r-74r).","Gothic textura (calendar and rubrics) and cursive script in the hand of Heinrich Stegmüller, followed by later notes in 2 different hands (f 73r-74r)",Gothic script,Gothic scripts,300202638,Gothic minuscule,Q30894934
"Script: Written in maghribi script in brown ink, pointed.","maghribi script in brown ink, pointed",maghribi,maghribī (script form),300265538,Maghrebi script,Q1519562
"Script: Written in small, neat maghribi in brown ink; pointed.","small, neat maghribi in brown ink; pointed",maghribi,maghribī (script form),300265538,Maghrebi script,Q1519562
"Script: Written in nastaʻlīq in black ink; pointed, by at least 2 hands (f. 1v-95r, 96v-103r).","nastaʻlīq in black ink; pointed, by at least 2 hands (f 1v-95r, 96v-103r)",nastaʻlīq,nastaʻliq,300265532,Nastaʿlīq,Q1133121
Script:  Hebrew written in Sephardic semi-cursive; Latin written in humanistic cursive.,Hebrew written in Sephardic semi-cursive; Latin written in humanistic cursive,cursive humanist script,humanistic cursive,300210205,humanistic cursive,Q33259624
"Script:  Written in Italian Ashkenazi semi-cursive script, by at least 2 hands (f. 1r-14v, 15r-19v).","Italian Ashkenazi semi-cursive script, by at least 2 hands (f 1r-14v, 15r-19v)",Ashkenazi semi-cursive script,,,Ashkenazic Script,Q121094898
"Script:  Written in Italian cursive Hebrew script, in the hand of Abraham ben Meshullam of Sant'Angelo.","Italian cursive Hebrew script, in the hand of Abraham ben Meshullam of Sant'Angelo",cursive Hebrew script,,,cursive Hebrew,Q382865
"Script:  Written in italic script, by at least two hands (f. 2-53, and f. 1, 54-101).","italic script, by at least two hands (f 2-53, and f 1, 54-101)",italic script,,,Italic script,Q6093538
"Script: Written in maghribi in brown ink; pointed, additions in a second hand at the beginning of the manuscript (p. 1).","maghribi in brown ink; pointed, additions in a second hand at the beginning of the manuscript (p 1)",maghribi,maghribī (script form),300265538,Maghrebi script,Q1519562
"Script:  Written in Italian semi-cursive Hebrew script, with headings and marginal numbers in square Hebrew script.","Italian semi-cursive Hebrew script, with headings and marginal numbers in square Hebrew script",cursive Hebrew script,,,cursive Hebrew,Q382865
Script:  Written in italic script.,italic script,italic script,,,Italic script,Q6093538
"Script:  Written in Sephardic semi-cursive script, with marginal notes in later hands.","Sephardic semi-cursive script, with marginal notes in later hands",Sephardic semi-cursive script,,,Solitreo,Q9078716
Script:  Written in Sephardic Hebrew script.,Sephardic Hebrew script,Sephardic Hebrew script,Hebrew alphabet,300256146,Hebrew alphabet,Q33513
Script: Written in naskh with elements of ruqʻah.,naskh with elements of ruqʻah,naskh,naskhī,300195195,Naskh,Q1510712
Script:  Written in scholastic script.,scholastic script,scholastic script,,,Gothic minuscule,Q30894934
Script:  Written in semi-humanistic script.,semi-humanistic script,semi-humanist script,humanistic scripts,300210204,humanist minuscule,Q3953117
Script: Written in maghribi script in brown ink; pointed. Headings in larger script.,maghribi script in brown ink; pointed Headings in larger script,maghribi,maghribī (script form),300265538,Maghrebi script,Q1519562
"Script:  Written in humanistic minuscule, with later additions by a 16th-century hand at the end of the volume (f. 91v-92v).","humanistic minuscule, with later additions by a 16th-century hand at the end of the volume (f 91v-92v)",humanist script,humanistic scripts,00210204,humanist minuscule,Q3953117
"Script: Written in naskh in black ink; pointed, with headings in thuluth.","naskh in black ink; pointed, with headings in thuluth",naskh,naskhī,300195195,Naskh,Q1510712
"Script:  Written in humanistic cursive (italic) script in one hand, with recipes added at the end by a slightly later hand (f. 17r-18r).","humanistic cursive (italic) script in one hand, with recipes added at the end by a slightly later hand (f 17r-18r)",cursive humanist script,humanistic cursive,300210205,humanistic cursive,Q33259624
"Script:  Written in humanistic script by Francesco di Andrea Ruffo (f. 3-17) and Alessandro di Nicolo Medico (f. 19-23), with a few documents copied by another hand (f. 1r-2v, 18r-18v).","humanistic script by Francesco di Andrea Ruffo (f 3-17) and Alessandro di Nicolo Medico (f 19-23), with a few documents copied by another hand (f 1r-2v, 18r-18v)",humanist script,humanistic scripts,00210204,humanist minuscule,Q3953117
"Script:  Written in Sephardic cursive script, with the incipit of each chapter in square book script.","Sephardic cursive script, with the incipit of each chapter in square book script",Sephardic cursive script,,,Solitreo,Q9078716
"Script:  Written in Ashkenazic semi-cursive script by 2 hands (f. 1r-11v, 12r-22r).","Ashkenazic semi-cursive script by 2 hands (f 1r-11v, 12r-22r)",Ashkenazi semi-cursive script,,,Ashkenazic Script,Q121094898
"Script: Written in naskh with a not very oblique cut pen, with chapter headings in larger muḥaqqaq script.","naskh with a not very oblique cut pen, with chapter headings in larger muḥaqqaq script",naskh,naskhī,300195195,Naskh,Q1510712
Script:  Written in Ashkenazi semi-cursive script by multiple hands.,Ashkenazi semi-cursive script by multiple hands,Ashkenazi semi-cursive script,,,Ashkenazic Script,Q121094898
"Script: Written in naskh script, probably by the author.","naskh script, probably by the author",naskh,naskhī,300195195,Naskh,Q1510712
"Script:  Written in semi-cursive humanistic script by multiple hands, including that of Jeronimus de Sandei of Piran (f. 98v).","semi-cursive humanistic script by multiple hands, including that of Jeronimus de Sandei of Piran (f 98v)",semi-cursive humanist script,humanistic scripts,300210204,humanist minuscule,Q3953117
Script:  Written in naskh script.,naskh script,naskh,naskhī,300195195,Naskh,Q1510712
Script:  Written in a French Gothic book script.,a French Gothic book script,Gothic bookhand,Gothic scripts,300202638,Gothic minuscule,Q30894934
"Script:  Written in Italian Gothic cursive script by 2 hands (f. 1-22, 23-48); gatherings 3 and 4 (f. 23-48) in the hand of Johannes de Beylario (f. 48v).","Italian Gothic cursive script by 2 hands (f 1-22, 23-48); gatherings 3 and 4 (f 23-48) in the hand of Johannes de Beylario (f 48v)",Gothic cursive script,Gothic cursive,300210180,Gothic cursive,Q33247994
"Script:  Written in Sephardic cursive script by multiple hands, one perhaps of a scribe named Moshe (p. 2); headings written in square script.","Sephardic cursive script by multiple hands, one perhaps of a scribe named Moshe (p 2); headings written in square script",Sephardic cursive script,,,Solitreo,Q9078716
Script:  Written in a calligraphic humanistic script.,a calligraphic humanistic script,humanist script,humanistic scripts,00210204,humanist minuscule,Q3953117
Script:  Written in a rounded northern Italian humanistic script.,a rounded northern Italian humanistic script,humanist script,humanistic scripts,00210204,humanist minuscule,Q3953117
Script:  Written in Greek cursive minuscule script.,Greek cursive minuscule script,Greek cursive minuscule script,Greek alphabet,300256140,Greek minuscule,Q8250741
Script:  Written in italic script in brown and red ink.,italic script in brown and red ink,italic script,,,Italic script,Q6093538
Script: Written in a very legible naskh in black ink; pointed.,a very legible naskh in black ink; pointed,naskh,naskhī,300195195,Naskh,Q1510712
Script: Written in Sephardic script.,Sephardic script,Sephardic script,Hebrew alphabet,300256146,Hebrew alphabet,Q33513
"Script: Written in West African maghribī script in black ink; pointed, partially vocalized.","West African maghribī script in black ink; pointed, partially vocalized",maghribi,maghribī (script form),300265538,Maghrebi script,Q1519562
Script:  Written in nastaʻlīq in black ink; pointed.,nastaʻlīq in black ink; pointed,nastaʻlīq,nastaʻliq,300265532,Nastaʿlīq,Q1133121
"Script: Written in cursive script by one hand, except for a section at the beginning of the second treatise in a second hand (p. 257-340).","cursive script by one hand, except for a section at the beginning of the second treatise in a second hand (p 257-340)",cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
Script: Written in Italian cursive script.,Italian cursive script,cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
"Script: Written in naskh script; pointed, partially vocalized.","naskh script; pointed, partially vocalized",naskh,naskhī,300195195,Naskh,Q1510712
Script: Written in naskh script; vocalization in red ink.,naskh script; vocalization in red ink,naskh,naskhī,300195195,Naskh,Q1510712
Script: Written in Spanish rotunda script.,Spanish rotunda script,Spanish rotunda script,rotunda (script),300417901,Rotunda,Q1418954
Script: Written in taʻlīq in black ink; pointed.,"taʻliq in black ink, pointed",ta'liq,taʻlīq,300265530,Taʿlīq script,Q4119938
Script: Written in Ashkenazic square script (vocalized) by two hands.,Ashkenazic square script (vocalized) by two hands,Ashkenazi square script,,,Ashkenazic Script,Q121094898
"Script: Written in Italian rabbinic Hebrew script, in black ink, partly vocalized.","Italian rabbinic Hebrew script, in black ink, partly vocalized",Italian rabbinic Hebrew script,Hebrew alphabet,300256146,Hebrew alphabet,Q33513
Script: Written in Sephardic square script.,Sephardic square script,Sephardic square script,Hebrew alphabet,300256146,Hebrew alphabet,Q33513
Script: Writen in Ashkenazic square script.,Writen in Ashkenazic square script,Ashkenazi square script,,,Ashkenazic Script,Q121094898
Script: Written in an Italian humanistic script.,an Italian humanistic script,humanist script,humanistic scripts,00210204,humanist minuscule,Q3953117
"Script: Written in an italic script by a single hand, with f. 161v-164v possibly in a second hand.","an italic script by a single hand, with f 161v-164v possibly in a second hand",italic script,,,Italic script,Q6093538
Script: Written in Gothic cursive and humanistic cursive scripts by various hands.,Gothic cursive and humanistic cursive scripts by various hands,Gothic cursive script,Gothic cursive,300210180,Gothic cursive,Q33247994
"Script: Written in a Gothic cursive script, with two entries on the first leaf in a later hand.","a Gothic cursive script, with two entries on the first leaf in a later hand",Gothic cursive script,Gothic cursive,300210180,Gothic cursive,Q33247994
Script: Written in a Gothic rotunda script.,a Gothic rotunda script,Gothic rotunda script,rotunda (script),300417901,Rotunda,Q1418954
Script: Square letters with vocalization.,Square letters with vocalization,square script,,,Hebrew square script,Q364727
Script:  Written in a Gothic bookhand (textualis quadrata).,a Gothic bookhand (textualis quadrata),Gothic textualis,Gothic scripts,300195226,Gothic minuscule,Q30894934
"Script:  Calendar and main text written in a Gothic hand; first quire of antiphons and hymns, additions to calendar, and marginalia in later hands.","Calendar and main text written in a Gothic hand; first quire of antiphons and hymns, additions to calendar, and marginalia in later hands",Gothic bookhand,Gothic scripts,300202638,Gothic minuscule,Q30894934
"Script:  Written in a gothic bookhand with the glossing script smaller and slightly less formal; annotations in a 14th-century English hand which also added cadels (as on f. 2-21, for example).","a gothic bookhand with the glossing script smaller and slightly less formal; annotations in a 14th-century English hand which also added cadels (as on f 2-21, for example)",Gothic bookhand,Gothic scripts,300202638,Gothic minuscule,Q30894934
Script:  Written in a late Caroline minuscule script; opening words of psalms and some headings in glosses in majuscules.,a late Caroline minuscule script; opening words of psalms and some headings in glosses in majuscules,late Caroline minuscule,Caroline minuscule,300195207,Carolingian minuscule,Q785729
Script:  Written in Gothic textualis semi-quadrata script.,Gothic textualis semi-quadrata script,Gothic textualis,Gothic scripts,300195226,Gothic minuscule,Q30894934
"Script: Written in a Gothic cursive script in a single hand, except for a prayer (f. 49v) which appears to be in a different, slightly later hand.","a Gothic cursive script in a single hand, except for a prayer (f 49v) which appears to be in a different, slightly later hand",Gothic cursive script,Gothic cursive,300210180,Gothic cursive,Q33247994
Script:  Written in Gothic textualis semi-quadrata script by multiple hands.,Gothic textualis semi-quadrata script by multiple hands,Gothic textualis,Gothic scripts,300195226,Gothic minuscule,Q30894934
Script: Written in a Gothic book hand.,a Gothic book hand,Gothic bookhand,Gothic scripts,300202638,Gothic minuscule,Q30894934
"Script: Written in a semi-Gothic cursive (works 1-3) and humanistic cursive (work 4) script, possibly by Jean Passerat.","a semi-Gothic cursive (works 1-3) and humanistic cursive (work 4) script, possibly by Jean Passerat",Semigothic cursive script,Protogothic,300379143,Protogothic,Q33247835
"Script:  Written in a late Elizabethan secretary script, with a larger calligraphic script used for the names of monarchs.","a late Elizabethan secretary script, with a larger calligraphic script used for the names of monarchs",secretary script,,,secretary hand,Q16933853
"Script: Written in a hybrid secretary script, probably in the hand of Robert Cooke, Clarenceux King of Arms (by comparison to MS King's 396, British Library; Megan Cook, Colby College)","a hybrid secretary script, probably in the hand of Robert Cooke, Clarenceux King of Arms (by comparison to MS King's 396, British Library; Megan Cook, Colby College)",secretary script,,,secretary hand,Q16933853
Script: Written in a German cursive script with humanistic cursive book script for Latin passages.,a German cursive script with humanistic cursive book script for Latin passages,cursive humanist script,humanistic cursive,300210205,humanistic cursive,Q33259624
"Script: Written in an italic script (possible name of scribe on f.496r, Arnold ?).","an italic script (possible name of scribe on f496r, Arnold ?)",italic script,,,Italic script,Q6093538
Script:  Written in a German cursive hand by Hans Schwent (f. 160v).,a German cursive hand by Hans Schwent (f 160v),cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
Script:  Written in a German cursive hand.,a German cursive hand,cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
"Script: Written in a Gothic bookhand by various scribes; some hands, on the final two folios, are slightly later.","a Gothic bookhand by various scribes; some hands, on the final two folios, are slightly later",Gothic bookhand,Gothic scripts,300202638,Gothic minuscule,Q30894934
"Script: Written in a Gothic book hand, with marginal and interlinear annotations in late Gothic cursive, and several italic hands.","a Gothic book hand, with marginal and interlinear annotations in late Gothic cursive, and several italic hands",Gothic cursive script,Gothic cursive,300210180,Gothic cursive,Q33247994
Script: Written in various Gothic and secretary scripts by multiple hands.,various Gothic and secretary scripts by multiple hands,Gothic script,Gothic scripts,300202638,Gothic minuscule,Q30894934
Script: Written in a Gothic cursive book script.,a Gothic cursive book script,Gothic cursive script,Gothic cursive,300210180,Gothic cursive,Q33247994
"Script:  Written in a rounded Gothic book script; annotations, list, and apocryphal text written in a Gothic cursive script.","a rounded Gothic book script; annotations, list, and apocryphal text written in a Gothic cursive script",Gothic cursive script,Gothic cursive,300210180,Gothic cursive,Q33247994
Script: Written in a number of different German cursive hands.,a number of different German cursive hands,cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
Script: Written in a late Gothic bookhand.,a late Gothic bookhand,Gothic bookhand,Gothic scripts,300202638,Gothic minuscule,Q30894934
"Script:  Written in a cursive script, with caption headings in a humanistic cursive.","a cursive script, with caption headings in a humanistic cursive",cursive humanist script,humanistic cursive,300210205,humanistic cursive,Q33259624
"Script:  Written in a German semi-cursive script by a single hand, with headings in a more formal book script with flourished initials.","a German semi-cursive script by a single hand, with headings in a more formal book script with flourished initials",semi-cursive script,,,Gothic cursive,Q33247994
Script: Written in a German cursive hand by Brother Paul Göbel (f. 5v).,a German cursive hand by Brother Paul Göbel (f 5v),cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
"Script: Written in a German cursive hand, or possibly two different hands.","a German cursive hand, or possibly two different hands",cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
Script: Written in multiple German cursive hands.,multiple German cursive hands,cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
