name_as_recorded,role,name_agr,source_authority_uri,authorized_name,instance_of,structured_value
"Anne Holte (1733-1799), wife of Sir Charles Holte (1721-1782), with her signature on the flyleaf; armorial bookplate with the arms of her daughter Mary Elizabeth (1757-1819) impaling those of Mary’s husband, Abraham Bracebridge (c. 1747-1832), of Atherstone Hall, Warwickshire; note by their son, Charles Holte Bracebridge (1799-1872), formerly enclosed, ""This Missal dated 1640 has been preserved in my family up to this time"", Atherstone, 20 May 1871 (mistaking a number ‘1640’ on the front pastedown for a date); Leighton, cat. II, 3 (May 1921), no. 1726; C. L. Ricketts; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,
"Anne of Brittany (1477-1514) and her husband Louis XII (1462-1515, king of France 1498-1515); C. L. Ricketts, bought from Joseph Martini, 1914; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,
Anonymous friend of Savonarola?,author,,,,,
Antonius Vincentius,author,,,,,
"Apparently Otto F. Ege (1888-1951); Ruth E. Adomeit (1910-1996), bequeathed by her to the Lilly Library.",former owner,,,,,
"Armorial bookplate of George Becher Blomfield (1801-1885) on front pastedown. The accompanying description written by the bookseller P.M. Barnard of Tunbridge Wells, England, November 1910; acquired by General Theological Seminary on the Dean Hoffmann Fund.",former owner,,,,,
"Arms of first owner: azure a flame gules and or accompanied in chief by an inverted crescent argent. Owned by the Earl of Hopetoun (his sale, London, 1889, n. 110) to Matthews for Daniel B. Fearing, who gave it to the Grolier Club in 1908.",former owner,,,,,
"Arms of first owners: 1, azure a six-pointed star or between three crescents or; 2, gules a bend sable charged with three small cups (?) or. George Bruce collection; given to the Grolier Club in July 1894 by David Wolfe Bruce.",former owner,,,,,
"Arms of the first owner: or three gateways with two turrets gules, with the initials A.P.; Samuel Putnam Avery collection; exhibited at the Grolier Club in 1892, n. 97; given to the Grolier Club in 1918 by Samuel Putnam Avery, Jr.",former owner,,,,,
"Arms: 1, azure a fesse argent between three wheels argent; 2, argent a crescent azure and in chief a label of three points gules. Henry W. Poor sale (New York, 17 November 1908, I, n. 800) to G. D. Smith. Bequest to the Grolier Club by Beverly Chew.",former owner,,,,,
"Ashworth, Benjamin",former owner,,,,,
"Augustine, Isidore, Cassiodorus, Damasus, and others",author,,,,,
"Augustinus de Cagnolis, Conte Donato Silva, Conte Ercole Silva, Marchese Girolamo d'Adda",former owner,,,,,
"Auslin, Johan,",former owner.,,,,,
"Austin, Jehan,",former owner.,,,,,
Author,author,,,,,
"Āmulī, Rukn ibn Sharaf al-Dīn, active 1456.",author,"آملى، رکن بن شرف الدىن, active 1456.",,,,
Balsamo family (15th century); acquired by the Bancroft Library UC Berkeley from Bernard Rosenthal in 1978. Previous call number f2MS CT1138 B35.,former owner,,,,,
"Bannānī, Muḥammad ibn Aḥmad ibn Ṣāliḥ,",scribe.,بناني، محمد احمد بن صالح.,,,,
"Barber, Thomas",former owner,,,,,
"Barker-Benfield, B. C.,",former owner.,,,,,
"Bartholomaeus de Betta (1494); bequest of James K. Moffitt to the Bancroft Library UC Berkeley (1956). Previous call numbers HOR 4, 2MS PA6393 C2 1494.",former owner,,,,,
Bartholomaeus de S. Concordio (Bartholomaeus Pisanus),author,,,,,
Belonged ca. 1870 to John Milne Buckie.,former owner,,,,,
Belonged to Karen Gould (1946-2012); gift of Lewis Gould to the Nelson-Atkins Museum of Art in 2012 in his wife's memory.,former owner,,,,,
Belonged to Karen Gould (1946-2012); gift of Lewis Gould to the Nelson-Atkins Museum of Art in 2015 in his wife's memory.,former owner,,,,,
"Belonged to the Benedictine house of St. Mary's in Huysburg, in Saxony. Not listed for this monastery by Sigrid Krämer, Handschriftenerbe des deutschen Mittelalters(Munich 1990), vol. 1 pp. 369-370.",former owner,,,,,
"Benedictine abbey of Saint Peter, Chertsey, Surrey; C. L. Ricketts, who bought 27 leaves from Leighton, Catalogue of Manuscripts, 1912, no. 49 (now Ricketts MS 47) and 6 further leaves from Tregaskis (now Ricketts MS 23); acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,
"Benedictine abbey of Saint Peter, Chertsey, Surrey; C. L. Ricketts, who bought 27 leaves from Leighton, Catalogue of Manuscripts, 1912, no. 49 (now Ricketts MS 47) and 6 further leaves from Tregaskis (now Ricketts MS23); acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,
"Benedictine monastery of Saint Peter in Erfurt (known as Petersburg), reputedly founded by King Dagobert in the seventh century, and suppressed in 1803, with their ownership inscription on fol. 1r, liber s. petri in erphordand other localised inscriptions; no. 34 in the monastery’s library catalogue of 1783, Anonymi: Missale pergameno inscriptum 1321(Theele 1920, p. 60; the inscription of 1321 is on fol. 2r); Dr Leander van Ess (1772-1847), of Darmstadt, his no. 36 (label on spine); Sir Thomas Phillipps (1792-1872), bought with the van Ess library in 1824, his MS 421; bought in 1955 by George A. Poole from Messrs. W. H. Robinson, who had acquired the residue of the Phillipps library in 1945-46; acquired by the Lilly Library with the Poole Collection in 1958.",former owner,,,,,
"Benedictine monastery of St. Mathias at Trier (11th century); Dr.Leander van Ess of Darmstadt (1772-1847); Sir Thomas Phillipps (1823), his n. 391; acquired by TBL UC Berkeley from Sotheby's (30 November 1965, lot 4). Formerly 2MS BS1235 H5Q2.",former owner,,,,,
"Bequeathed to Conception Abbey by Dr. Charles D. Humberd of Barnard, Missouri.",former owner,,,,,
"Bequest of James K. Moffitt to the Bancroft Library UC Berkeley (1956). Previous call numbers MAR 33, 2MS PA6804 A2 1400.",former owner,,,,,
"Bequest of James K. Moffitt to the Bancroft Library UC Berkeley, 1956. Previous call numbers MAR 38, 2MS BX890 B506.",former owner,,,,,
"Bergendal Collection,",former owner.,,,,,
"Bernard M. Rosenthal cat. 9, item 33",former owner,,,,,
"Bernard M. Rosenthal offer 12.4168:12; acquired in January,1969",former owner,,,,,
"Bernard M. Rosenthal offer 26, June 1975",former owner,,,,,
"Bernard M. Rosenthal offer 26, June, 1975",former owner,,,,,
Bernard Quaritch (Firm),former owner,,,,,
"Bernardo Mendel (1895-1967); given to the Lilly Library with the Mendel Collection of travel books, 1964.",former owner,,,,,
"Bibliotheca Yelensi; Fernando Moscosso; Marqués de Astorga; bought of Thorpe by Phillipps (1792-1872), his n. 2697; sold at Sotheby's (26 June 1973, lot 2112); acquired by TBL from Warren Howell (1973). Formerly f2MS PQ6390 F74L4 1590.",former owner,,,,,
"Bilicich, Stephanus,",scribe.,,,,,
"Bliss sale, Sotheby’s, 21 August 1858, lots 100 and 119, afterwards Phillipps MSS 15659 and 18133; from the collection of specimen leaves formed by Messrs. W. H. Robinson, who bought the residue of the Phillipps library in 1945-46, sold by them to George A. Poole in 1947, and acquired by the Lilly Library with the Poole Collection in 1958.",former owner,,,,,
"Block, Gordon A., Jr., 1914-1973,",former owner.,,,,,
"Bodley bookshop, cat. 155, no. 39",former owner,,,,,
"Bohn, John, 1757-1843,",former owner.,,,,,
"Bookdealer's stamp ""Libreria Luigi Gonnelli. Via Ricasoli. 6. Firenze""; bookplate ""Ex Libris Petri Ginori Conti""; purchased from Bernard M. Rosenthal in 1963",former owner,,,,,
Bookplate ex libris Sigurd and Gudrun Wandel,former owner,,,,,
Bookplate from the Gawdy Hall Library; acquired by Bancroft Library UC Berkeley with the library of Isaac Foot in 1962. Previous call number 2MS BS135.4 W9,former owner,,,,,
Bookplate of C.S. Ascherson,former owner,,,,,
Bookplate of J. Farlow Wilson on back cover; purchased from Bernard M. Rosenthal,former owner,,,,,
Bookplate of Lord Amherst of Hackney; purchased in 1957 from C.A. Stonehill,former owner,,,,,
Bookplate of Richard Towneley (1702); gift of an anonymous donor to the Bancroft Library UC Berkeley 1983. Previous call number 2MS BX2080 S2 146x.,former owner,,,,,
"Bookplate on inside front cover: ""Marbury Hall. Arthur Hugh Smith Barry"" with arms (Burke's Landed Gentry identifies as Smith-Barry, b.1843)",former owner,,,,,
Bookplates for William Le Queux and Hermann Suchier; acquired by the Bancroft Library UC Berkeley from Bernard Rosenthal (1966). Previous call number t2MS AC13 V2.,former owner,,,,,
"Bought by C. L. Ricketts from James Rimell, London bookseller, c. 1909; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,
"Bought by C. L. Ricketts from Tregaskis, 1923, and acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,
Bought in 1909 by C. L. Ricketts from Tregaskis; acquired by the Lilly Library with the Ricketts Collection in 1961.,former owner,,,,,
"Bought of Cochrane by Sir Thomas Phillipps (1792-1872), his n. 4515; sold at Sotheby's (26 June 1973, lot 2199); acquired by the Bancroft Library UC Berkeley from Hoffmann and Freeman (1974). Previous call number 2MS BX4700 L56P4.",former owner,,,,,
"Bought of Thorpe by Sir Thomas Phillipps (1792-1872), his n. 2319; acquired by the Bancroft Library UC Berkeley from Sotheby's (27 June 1966, lot 510). Previous call number 2MS BF370 P36.",former owner,,,,,
"Boult, Thomas",former owner,,,,,
"Bourelier, Claude,",former owner,,,,,
"Bourelier, Françoise,",former owner,,,,,
Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,former owner,,,,,
"Bukhārī, Muḥammad ibn Yaḥyá, fl. 1527.",author,,,,,
"Butler, Charles",former owner,,,,,
"Būsnawī, Ḥusayn,",scribe.,بوسنوي، حسين.,,,,
"C. L. Ricketts (bought in 1925 from Joseph Baer & Co., Frankfurt), and acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,
"C. L. Ricketts, and acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,
"C. L. Ricketts, bought from Barroux, 1930 (with a second fragment, see below); acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,
"C. L. Ricketts, bought from Erik von Scherling, Leiden, cat. 11 (November 1930), no. 953; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,
"C. L. Ricketts, bought from Maggs, 1930 (according to a pencil note; de Ricci says 1932); acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,
"C. L. Ricketts, bought from Sotheran’s, London, in 1912; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,
"C. L. Ricketts, bought from Tregaskis, cat. 764 (December 1914), no. 28; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,
"C. L. Ricketts, bought from the bookseller E. Parsons in 1907; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,
"C. L. Ricketts, bought in 1907 from Frederick Muller, Amsterdam; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,
"C. L. Ricketts, bought in 1915 from Tammaro De Marinis; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,
C. L. Ricketts; acquired by the Lilly Library with the Ricketts Collection in 1961.,former owner,,,,,
"Camac, William, 1829-1900,",former owner.,,,,,
"Came to Conception Abbey from its motherhouse, Engelberg in Switzerland.",former owner,,,,,
Capponi family (16th century); Boleslaw Szczesniak (b. 1908); acquired by the Bancroft Library UC Berkeley 1966. Previous call number 2MS HF5616 I9C2.,former owner,,,,,
"Cardinal Lambruschini (1800-1851); his gift to Alexis de Saint Priest (1844); Joseph Martini (cat. 28, n. 7); bequest of James K. Moffitt to the Bancroft Library UC Berkeley (1956). Previous call numbers MAR 32, 2MS PA6304 L2M2.",former owner,,,,,
"Carlo Archinto of Milan (1669-1732); Adolph Sutro (1830-1898), mayor of San Francisco. A letter from George Moss (librarian of Sutro) addressed to Mrs. Morbio (presumably Mrs. Albert Morbio, Sutro's daughter), 23 May 1890, accompanies the manuscript.",former owner,,,,,
"Carthusians of Buxheim; Hugo, Graf von Waldbott-Bassenhim (his sale, Munich, 20 September 1883, lot 2672); Adolph Sutro (1830-1898), mayor of San Francisco.",former owner,,,,,
"Cathedral of Saint Martin, Mainz, second half of the 15th century; acquired by the Bancroft Library UC Berkeley in 1965 from book seller S. R. Shapiro, said to have been purchased from a Trappist monastery in France. Previous call number 2MS BX2017 M2.",former owner,,,,,
"Ce livre est et appartient à Escuyer Charles Busnel, sieur de la Retardaye, 1645i and by descent in the Busnel family of Montoray, to Henri-Jacques-François Busnel (1774) and Françoise Busnel (1824), who in 1842 gave it to her niece Julie de Busnel; Librairie Belin, Paris, cat. 171 (1892), no. 1331; Elisabeth Ball 1897-1982), of Muncie, Indiana; part of her bequest to the Lilly Library, 1982.",former owner,,,,,
Cicero (Quintus Tullius Cicero),author,,,,,
"Cistercian abbey of Cambron, north of Mons, Hainault (now in Belgium), founded c. 1148; doubtless the Gilebertus . . . Super Epistolas Paulirecorded at Cambron in 1641 and the gillebertus Super epistolas Sti Pauli Completerecorded at Cambron in 1782 (Sanderus 1641, I, p. 355; Planke 1938, p. 55, no. 168); the abbey was suppressed in 1789 and the monks finally left in 1797; at least 34 manuscripts from Cambron were bought c. 1823 from P. J. De Mat (d. 1828), bookseller in Brussels, by Sir Thomas Phillipps (1792-1872), his MSS 333-62 and 4765-68, together with an unknown number of fragments; from the collection of specimen leaves formed by Messrs. W. H. Robinson, who bought the residue of the Phillipps library in 1945-6, sold by them to George A. Poole in 1947, and acquired by the Lilly Library with the Poole Collection in 1958.",former owner,,,,,
"Cistercian abbey of Villers-en-Brabant, founded from Clairvaux in 1146 and suppressed in 1796; doubtless from the Quarta pars Gregorialis et sermo quidam sancti Bernardilisted in the Villers library catalogue of 1309 (Derolez 2001, p. 219, no.164); part of a group of 20 manuscripts from Villers bought in Brussels c. 1823 by Sir Thomas Phillipps (1792-1872); Phillipps MS 29506 (the ‘9’ written over ‘0’, as in item 21 above); from the collection of specimen leaves formed by Messrs. W. H. Robinson, who bought the residue of the Phillipps library in 1945-46, sold by them to George A. Poole in 1947, and acquired by the Lilly Library with the Poole Collection in 1958.",former owner,,,,,
"Cistercian monastery of Morimondo (1298) (first part only); Count Francesco Giovio of Como (1796-1873); Joseph Martini of Lugano (catalogue XXVII, n. 2); bequest of James K. Moffit to Bancroft Library UC Berkeley (1956). Formerly MAR 26, 2MS B765 T5S3.",former owner,,,,,
"Cistercian monastery of Morimondo (?) (late 12th century); Paolo Giovio (1483-1552); Joseph Martini (cat. ? after 1931, n. 12); bequest of James K. Moffitt to the Bancroft Library UC Berkeley (1956). Previous call numbers MAR 23, 2MS BS1145 I8.",former owner,,,,,
Cistercian monastery of Morimondo (late 12th century) (?); Paolo Giovio (1483-1552); Joseph Martini (1930-38 catalogues); bequest of James K. Moffitt to the Bancroft Library UC Berkeley (1956). Previous call number 2MS BL624 H8.,former owner,,,,,
"Coat of arms for the Duke of Cleves, f. 1; Gift of Phoebe A. Hearst to the Bancroft Library UC Berkeley ca. 1909. Previous call number 2MS BT306.28 1450.",former owner,,,,,
"Collegio Mayor de Cuenca, shelfmark 94 (18th century); Frank Kissner; acquired by the Bancroft Library UC Berkeley from H. P. Kraus (1989). Previous call number 2MS BF1584 S7V2 1611.",former owner,,,,,
"Comb-lining from a binding. Annotated in pencil ""Dutch 17 cent.""",former owner,,,,,
"Comte de Rochechouart arms on ff. 1, 84; Castel-Lodève arms on f. 2. Frederick Perkins of Chipstead, Kent to Bennett; Simon J. Schwartz of New Orleans to G. D. Smith; Smith sale to G. Wells; Waters S. Davis by whose children it was given to the Grolier.",former owner,,,,,
"Contemporary note on f. 22v, ""Benedicay Al(?)icy Lemancy (?)""; acquired by the Bancroft Library UC Berkeley from H. P. Kraus, date unrecorded. Previous call number 2MS DG812.6 S15.",former owner,,,,,
Convent of San Paolo,former owner,,,,,
"Copied for Sion Abby in Switzerland; the see was originally located in Octodurum, now called Marigny/Martinach, and later moved to Sion (or Sitten in the German spelling of the name). On f. 247v, in the lower margin, in pencil, ""Joannes Aloysius Brochman acceptus anno 1749, mansit usque ad 1757"" (below feast of Agatha; perhaps that being the date of him having been accepted or having left). On the front pastedown, as sticker reading, ""Purchased from the fund bequeathed to the Seminary by Eugene Augustus Hoffman, D.D., Dean, 1879-1902.""",former owner,,,,,
"Count Giacomo Maria Manzoni (1816-1889), Roman minister of finance, Guglielmo Libri’s executor; his sale, IV, Rome, 23 April 1894, lot 67; Edward Robinson (1858-1931), classicist and later director of the Metropolitan Museum, New York, bought in Venice from L. S. Olschki, 1894, given by him on 31 January 1906 to Henry W. Poor (1844-1915), ""as a souvenir of the happy days with which I have begun my life in New York"" (letter enclosed), with Poor’s leather booklabel; his sale, New York, 17 November 1908, lot 799, to Morris; Walter T. Wallace (1866-1922), with his armorial bookplate; his sale, New York, 22 March 1920, lot 229, to C. L. Ricketts; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,
"Count Grigori Stroganoff (1829-1910, died in Rome), with his stamp on verso; doubtless from his sale, Jandolo and Travazzi, Rome, 18-24 April 1910; C. L. Ricketts, bought in 1911 from C. E. Rappaport, Rome; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,
"Court, Antoine de, 16th cent.,",former owner.,,,,,
"Cover of a binding, illegible on what was the outer side.",former owner,,,,,
"Creswick, H. R., 1902-1988,",former owner.,,,,,
"Dackomb, Jacob",former owner,,,,,
"Dackomb, Thomas",former owner,,,,,
"Damascène Morgand, Bulletin mensuel 29 (November 1891), no. 19790 (cutting inside upper cover); Elisabeth Ball (1897-1982); part of her bequest to the Lilly Library, 1982.",former owner,,,,,
Damasio de Frías,author,,,,,
"Darvīsh Abū Bakr ibn ʻUthmān, active 1792,",scribe.,"درويش ابو بكر بن عثمان، active 1792,",,,,
"Dated ""Die 26 septembris 1467"" (f. 240v); Karl & Faber, Munich, their Auktion 61 (1957), lot 123 , sold to Bernard M. Rosenthal; purchased from Bernard M. Rosenthal in February 1958",former owner,,,,,
"Dated 1449 in a colophon: ""Explicit speculum ecclesie . . . Scriptium Mcccxlviiij(o) die v Aprilis "" (f. 58v); Bernard M. Rosenthal, Catalogue IX(New York, 1959), no. 34A, with ill.",former owner,,,,,
David ap Phillip,author,,,,,
Davis & Orioli (Firm),former owner,,,,,
"Dārendevī, Muḥammad ibn Ismāʻīl, active 17th century-18th century",author,دارندوي، محمد بن اسماعىل، active 17th century-18th century.,,,,
"Dedicated ""Al molto magnifico Signor Patrone M. Z. N. B.""; Sir Thomas Phillipps (1792-1872), his n. 1364. Previous call number 2MS DG975 T807.",former owner,,,,,
"Discovered in the Grolier Club's files, September 2009.",former owner,,,,,
"Diyārbakrī, Musṭafá ibn ʻUmar.",author,,,,,
"Dloss, Edwin,",former owner.,,,,,
"Dominican congregation, diocese of Trier; Dr. Leander van Ess of Darmstadt (1772-1847); Sir Thomas Phillipps (1823), his n. 430; acquired by Bancroft Library UC Berkeley from Sotheby's (29 November 1966, lot 45). Previous call number 2MS BX2033 A2 1150.",former owner,,,,,
"Draycot House (eighteenthcentury inscription on front pastedown), presumably the former country house near Chippenham, Wiltshire, built in 1784 for Sir James Tylney-Long (1736-1794), seventh baronet; C. L. Ricketts, bought from Maggs, December 1922; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,
"Dunn, George",former owner,,,,,
"Earlier (pre-1956?) call number: Cabinet 28, Folder 3.",former owner,,,,,
"Earls of Hopetown, at Hopetown House, West Lothian, Scotland, and by descent to John Hope 860-1908, seventh earl, succeeded in 1873, created marquess of Linlithgow in 1902, first Governor General of Australia); his sale, Sotheby’s, 25 February 1889, lot 499, to Ridler; George Dunn (1865-1912); his sale, Sotheby’s, 11 February 1913, lot 535, to Maggs (their cat. 308, 1913, no. 76, and cat. 341, 1914, no. 235); Herschel V. Jones (1861-1928), of Minneapolis, MN; his sale, Anderson, New York, 29 January 1919, lot 1069a, to Martini, with his collation note; bought by C. L. Ricketts from Martini, cat. 15 (1919), no. 10a, and acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,
"Easson, Henry, Reverend,",former owner.,,,,,
