subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label,structured_value,ds_qid
"Abbazia di Santa Giustina (Padua, Italy)--Manuscripts--Early works to 1800.",0,a--x--v,,"Abbazia di Santa Giustina (Padua, Italy);Manuscripts;Early works",http://id.worldcat.org/fast/544580;http://id.worldcat.org/fast/1424060;http://id.worldcat.org/fast/1411636,Q16303;Q331;Q300
"Abdel Gawad, Mohammed.--Manuscripts",0,a--v,,Manuscripts,http://id.worldcat.org/fast/1424060,Q331
"Abdülhamid II, Sultan of the Turks, 1842-1918",fast,a;b;c;d,,"Abdülhamid II, Sultan of the Turks, 1842-1918",http://id.worldcat.org/fast/12016,Q106587
"Abdülhamid II, Sultan of the Turks, 1842-1918--Poetry",0,a;b;c;d--v,,"Abdülhamid II, Sultan of the Turks, 1842-1918;Poetry",http://id.worldcat.org/fast/12016;http://id.worldcat.org/fast/1423828,Q106587;Q247
Abi Zikhri Yaḥya ben Menasheh--Correspondence,0,a--v,,Correspondence,http://id.worldcat.org/fast/2003288,Q5829
Abraham (Biblical patriarch),fast,a;c,,Abraham (Biblical patriarch),http://id.worldcat.org/fast/37599,Q12595
Abraham (Biblical patriarch)--Early works to 1800,0,a;c--v,,Abraham (Biblical patriarch);Early works,http://id.worldcat.org/fast/37599;http://id.worldcat.org/fast/1411636,Q12595;Q300
Abraham (Biblical patriarch)--Family--Early works to 1800,0,a;c--x--v,,Abraham (Biblical patriarch);Families;Early works,http://id.worldcat.org/fast/37599;http://id.worldcat.org/fast/1728849;http://id.worldcat.org/fast/1411636,Q12595;Q5939;Q300
Abraham (Biblical patriarch)--in Hebrew literature--Early works to 1800,0,a;c--x--v,,Abraham (Biblical patriarch);Hebrew literature;Early works,http://id.worldcat.org/fast/37599;http://id.worldcat.org/fast/954363;http://id.worldcat.org/fast/1411636,Q12595;Q74847;Q300
Abraham (Biblical patriarch)--In the Qurʼan--Illustrations,0,a;c--x--v,,Abraham (Biblical patriarch) in the Qurʼan;Illustrated works,http://id.worldcat.org/fast/1864769;http://id.worldcat.org/fast/1423873,Q26751;Q294
"Abraham ben Moses ben Maimon, 1186-1237",fast,a;d,http://id.worldcat.org/fast/42900,"Abraham ben Moses ben Maimon, 1186-1237",http://id.worldcat.org/fast/42900,Q76185
"Abraham ben Moses ben Maimon, 1186-1237--Autographs",0,a;d--v,,"Abraham ben Moses ben Maimon, 1186-1237;Autographs",http://id.worldcat.org/fast/42900;http://id.worldcat.org/fast/1423715,Q76185;Q7185
"Abraham ben Natan, 11th-12th century--Correspondence",0,a;d--v,,Correspondence,http://id.worldcat.org/fast/2003288,Q5829
"Abravanel, Isaac, 1437-1508",0,a;d,http://id.loc.gov/authorities/names/n80067695,"Abravanel, Isaac, 1437-1508",http://id.worldcat.org/fast/55779,Q74899
Absalom (Biblical figure),fast,a;c,http://id.worldcat.org/fast/1801890,Absalom (Biblical figure),http://id.worldcat.org/fast/1801890,Q4162
Absalom (Biblical figure),0,a;c,http://id.loc.gov/authorities/names/n88240985,Absalom (Biblical figure),http://id.worldcat.org/fast/1801890,Q4162
"Abu'l-ʻIz ben Bishr, 12th century--Correspondence",0,a;d--v,,Correspondence,http://id.worldcat.org/fast/2003288,Q5829
Abu Alifraḥ ʻArus ben Yosef--Correspondence,0,a--v,,Correspondence,http://id.worldcat.org/fast/2003288,Q5829
"Abū al-Jaysh, Muḥammad ibn Ḥusayn, -1228 or 1229. ʻArūḍ al-Andalusī",0,a;d;t,,"ʻArūḍ al-Andalusī (Abū al-Jaysh, Muḥammad ibn Ḥusayn)",http://id.worldcat.org/fast/2058679,Q11185
"Abū al-Jaysh, Muḥammad ibn Ḥusayn, -1228 or 1229. ʻArūḍ al-Andalusī.",0,a;d;t,,"ʻArūḍ al-Andalusī (Abū al-Jaysh, Muḥammad ibn Ḥusayn)",http://id.worldcat.org/fast/2058679,Q11185
"Abū al-Jaysh, Muḥammad ibn Ḥusayn, -approximately 1228 or 1229. ʻArūḍ al-Andalusī",0,a;d;t,,"ʻArūḍ al-Andalusī (Abū al-Jaysh, Muḥammad ibn Ḥusayn)",http://id.worldcat.org/fast/2058679,Q11185
"Abū al-Jaysh, Muḥammad ibn ḥusayn, d. 1228 or 9. ʻArūḍ al-Andalusī",0,a;d;t,,"ʻArūḍ al-Andalusī (Abū al-Jaysh, Muḥammad ibn Ḥusayn)",http://id.worldcat.org/fast/2058679,Q11185
"Abū al-Makārim Sayf al-Dīn, al-Malik al-Khalīl--Poetry--Early works to 1800",0,a;c--v--v,,Poetry;Early works,http://id.worldcat.org/fast/1423828;http://id.worldcat.org/fast/1411636,Q247;Q300
"Abū al-Saʻūd Muḥammad ibn Muḥammad, 1492 or 1493-1574 or 1575",0,a;d,,"Abū al-Saʻūd Muḥammad ibn Muḥammad, 1492 or 1493-1574 or 1575",http://id.worldcat.org/fast/1803217,Q100888
"Abū Bakr, Caliph, -634",fast,a;c;d,,"Abū Bakr, Caliph, -634",http://id.worldcat.org/fast/1803225,Q8365
"Abū Bakr, Caliph, -634--Poetry--Early works to 1800",0,a;c;d--v--v,,"Abū Bakr, Caliph, -634;Poetry;Early works",http://id.worldcat.org/fast/1803225;http://id.worldcat.org/fast/1423828;http://id.worldcat.org/fast/1411636,Q8365;Q247;Q300
"Abū Bakr, Caliph, -634--Poetry--Early works to 1800",0,a;c;d--v--v,(uri) http://id.loc.gov/authorities/names/n50036870--(uri) http://viaf.org/viaf/sourceID/LC%7cn50036870,"Abū Bakr, Caliph, -634;Poetry;Early works",http://id.worldcat.org/fast/1803225;http://id.worldcat.org/fast/1423828;http://id.worldcat.org/fast/1411636,Q8365;Q247;Q300
"Abū Dāʼūd Sulaymān ibn al-Ashʻath al-Sijistānī, 817 or 818-889. Sunan",0,a;d;t,,Sunan (Abū Dāʼūd Sulaymān ibn al-Ashʻath al-Sijistānī),http://id.worldcat.org/fast/1368673,Q64127
"Abū Dāʼūd Sulaymān ibn al-Ashʻath al-Sijistānī, 817 or 818-889. Sunan.--Abridgment",0,a;d;t--k,,Sunan (Abū Dāʼūd Sulaymān ibn al-Ashʻath al-Sijistānī);Abridgments,http://id.worldcat.org/fast/1368673;http://id.worldcat.org/fast/1726571,Q64127;Q3638
"Abū Ḥanīfah, -767 or 768",0,a;d,http://id.loc.gov/authorities/names/n82031776--(uri) http://id.loc.gov/authorities/names/n82031776--(uri) http://viaf.org/viaf/sourceID/LC%7cn82031776,"Abū Ḥanīfah, -767 or 768",http://id.worldcat.org/fast/1803236,Q11595
"Abū Ḥanīfah, -767 or 768",fast,a;d,(OCoLC)fst01803236,"Abū Ḥanīfah, -767 or 768",http://id.worldcat.org/fast/1803236,Q11595
"Abū Ḥanīfah, -767 or 768.",fast,a;d,(OCoLC)fst01803236,"Abū Ḥanīfah, -767 or 768",http://id.worldcat.org/fast/1803236,Q11595
"Abū Ḥanīfah, -767 or 768.",0,a;d,http://id.loc.gov/authorities/names/n82031776--(uri) http://id.loc.gov/authorities/names/n82031776--(uri) http://viaf.org/viaf/sourceID/LC%7cn82031776,"Abū Ḥanīfah, -767 or 768",http://id.worldcat.org/fast/1803236,Q11595
"Abū Ḥanīfah, -767 or 768. Fiqh al-akbar",0,a;d;t,,Fiqh al-akbar (Abū Ḥanīfah),http://id.worldcat.org/fast/1374867,Q11177
"Abū Ḥanīfah, -767 or 768. Fiqh al-akbar.",0,a;d;t,,Fiqh al-akbar (Abū Ḥanīfah),http://id.worldcat.org/fast/1374867,Q11177
"Abū Ḥanīfah, -767 or 768. Musnad",0,a;d;t,,Musnad (Abū Ḥanīfah),http://id.worldcat.org/fast/1364274,Q64139
"Abū Ḥanīfah, -767 or 768. Waṣīyah",0,a;d;t,,Waṣīyah (Abū Ḥanīfah),http://id.worldcat.org/fast/1918178,Q63778
"Abū Ḥanīfah, -767 or 768--Early works to 1800",0,a;d--v,,"Abū Ḥanīfah, -767 or 768;Early works",http://id.worldcat.org/fast/1803236;http://id.worldcat.org/fast/1411636,Q11595;Q300
"Abū Ḥanīfah, -767 or 768--Early works to 1800.",0,a;d--v,,"Abū Ḥanīfah, -767 or 768;Early works",http://id.worldcat.org/fast/1803236;http://id.worldcat.org/fast/1411636,Q11595;Q300
"Abū ḥanīfah, d. 767 or 8. Waṣīyah",0,a;d;t,,Waṣīyah (Abū Ḥanīfah),http://id.worldcat.org/fast/1918178,Q63778
"Abū Ḥanīfah, d. 767 or 8. Waṣīyah",0,a;d;t,,Waṣīyah (Abū Ḥanīfah),http://id.worldcat.org/fast/1918178,Q63778
Abu Mantsur--Correspondence,0,a--v,,Correspondence,http://id.worldcat.org/fast/2003288,Q5829
"Abū Nuwās, approximately 756-approximately 810",0,a;d,,"Abū Nuwās, approximately 756-approximately 810",http://id.worldcat.org/fast/1803251,Q11179
"Abū Nuwās, approximately 756-approximately 810.",0,a;d,,"Abū Nuwās, approximately 756-approximately 810",http://id.worldcat.org/fast/1803251,Q11179
"Abū Shujāʻ al-Iṣfahānī, Aḥmad ibn al-Ḥusayn, approximately 1042- Mukhtaṣar fī al-fiqh ʻalá madhhab al-Shāfiʻī",0,a;d;t,http://id.loc.gov/authorities/names/n2005023737,"Mukhtaṣar fī al-fiqh ʻalá madhhab al-Shāfiʻī (Abū Shujāʻ al-Iṣfahānī, Aḥmad ibn al-Ḥusayn)",http://id.worldcat.org/fast/1403587,Q11280
"Abū Shujāʻ al-Iṣfahānī, Aḥmad ibn al-Ḥusayn, approximately 1042- Mukhtaṣar fī al-fiqh ʻalá madhhab al-Shāfiʻī.",0,a;d;t,http://id.loc.gov/authorities/names/n2005023737,"Mukhtaṣar fī al-fiqh ʻalá madhhab al-Shāfiʻī (Abū Shujāʻ al-Iṣfahānī, Aḥmad ibn al-Ḥusayn)",http://id.worldcat.org/fast/1403587,Q11280
"Abū Yazīd Bisṭāmī, Ṭayfūr ibn ʻĪsá, -874",0,a;d,,"Abū Yazīd Bisṭāmī, Ṭayfūr ibn ʻĪsá, -874?",http://id.worldcat.org/fast/1803268,Q63763
"Abū Yazīd Bisṭāmī, Ṭayfūr ibn ʻĪsá, -874?",0,a;d,http://id.loc.gov/authorities/names/n82005897,"Abū Yazīd Bisṭāmī, Ṭayfūr ibn ʻĪsá, -874?",http://id.worldcat.org/fast/1803268,Q63763
"Abū Yūsuf Yaʻqūb, 731 or 732-798",0,a;d,,"Abū Yūsuf Yaʻqūb, 731 or 732-798",http://id.worldcat.org/fast/1803269,Q63775
"Abū Yūsuf Yaʻqūb, 731 or 732-798",fast,a;d,(OCoLC)fst01803269,"Abū Yūsuf Yaʻqūb, 731 or 732-798",http://id.worldcat.org/fast/1803269,Q63775
Abu Zekharyah Yehudah ben Mosheh--Correspondence,0,a--v,,Correspondence,http://id.worldcat.org/fast/2003288,Q5829
"Abu Zikhri ben Eliyahu, 13th century--Correspondence",0,a;d--v,,Correspondence,http://id.worldcat.org/fast/2003288,Q5829
"Abū ʻAmr ibn al-ʻAlāʼ, 689 or 690-770 or 771",0,a;d,,"Abū ʻAmr ibn al-ʻAlāʼ, 689 or 690-770 or 771",http://id.worldcat.org/fast/1803221,Q11461
"Abū ʻAmr ibn al-ʻAlāʼ, 689 or 690-770 or 771.",0,a;d,,"Abū ʻAmr ibn al-ʻAlāʼ, 689 or 690-770 or 771",http://id.worldcat.org/fast/1803221,Q11461
"Abū ʻUbaydah ibn al-Jarrāḥ, ʻĀmir ibn ʻAbd Allāh, -639",0,a;d,,"Abū ʻUbaydah ibn al-Jarrāḥ, ʻĀmir ibn ʻAbd Allāh, -639",http://id.worldcat.org/fast/1803265,Q100875
"Accursius, glossator, approximately 1182-approximately 1260--Manuscripts",0,a;c;d--v,,"Accursius, glossator, approximately 1182-approximately 1260;Manuscripts",http://id.worldcat.org/fast/1803294;http://id.worldcat.org/fast/1424060,Q38563;Q331
Achilles (Mythological character)--Early works to 1800,0,a;c--v,,Achilles (Mythological character);Early works,http://id.worldcat.org/fast/795683;http://id.worldcat.org/fast/1411636,Q67956;Q300
Adam (Biblical figure),0,a;c,http://id.loc.gov/authorities/names/n82025265,Adam (Biblical figure),http://id.worldcat.org/fast/87719,Q11497
Adam (Biblical figure),fast,a;c,http://id.worldcat.org/fast/87719,Adam (Biblical figure),http://id.worldcat.org/fast/87719,Q11497
Adam (Biblical figure)--Islamic interpretations,0,a;c--x,http://id.loc.gov/authorities/subjects/sh96010968,Islamic interpretations of Adam,http://id.worldcat.org/fast/1353429,Q11381
Adam (Biblical figure)--Islamic interpretations--Early works to 1800,0,a;c--x--v,,Adam (Biblical figure);Islamic interpretations of Adam;Early works,http://id.worldcat.org/fast/87719;http://id.worldcat.org/fast/1353429;http://id.worldcat.org/fast/1411636,Q11497;Q11381;Q300
Adam (Biblical figure)--Islamic interpretations--Early works to 1800.,0,a;c--x--v,,Adam (Biblical figure);Islamic interpretations of Adam;Early works,http://id.worldcat.org/fast/87719;http://id.worldcat.org/fast/1353429;http://id.worldcat.org/fast/1411636,Q11497;Q11381;Q300
"Adrian VI, Pope, 1459-1523",fast,a;b;c;d,http://id.worldcat.org/fast/50541,"Adrian VI, Pope, 1459-1523",http://id.worldcat.org/fast/50541,Q4877
"Adrian VI, Pope, 1459-1523",0,a;b;c;d,http://id.loc.gov/authorities/names/n80020628,"Adrian VI, Pope, 1459-1523",http://id.worldcat.org/fast/50541,Q4877
"Adrian VI, Pope, 1459-1523.",fast,a;b;c;d,http://id.worldcat.org/fast/50541,"Adrian VI, Pope, 1459-1523",http://id.worldcat.org/fast/50541,Q4877
"Adrian VI, Pope, 1459-1523.",0,a;b;c;d,http://id.loc.gov/authorities/names/n80020628,"Adrian VI, Pope, 1459-1523",http://id.worldcat.org/fast/50541,Q4877
"Aegidius, Saint, Abbot",fast,a;c,http://id.worldcat.org/fast/130602,"Aegidius, Saint, Abbot",http://id.worldcat.org/fast/130602,Q7191
"Aegidius, Saint, Abbot--Poetry",0,a;c--v,,"Aegidius, Saint, Abbot;Poetry",http://id.worldcat.org/fast/130602;http://id.worldcat.org/fast/1423828,Q7191;Q247
"Aegidius, Saint, Abbot--Poetry.",0,a;c--v,,"Aegidius, Saint, Abbot;Poetry",http://id.worldcat.org/fast/130602;http://id.worldcat.org/fast/1423828,Q7191;Q247
Aeneas (Legendary character),0,a;c,,Aeneas (Legendary character),http://id.worldcat.org/fast/798041,Q38564
Aeneas (Legendary character)--Poetry,0,a;c--v,,Aeneas (Legendary character);Poetry,http://id.worldcat.org/fast/798041;http://id.worldcat.org/fast/1423828,Q38564;Q247
Aeneis (Virgil),fast,a,(OCoLC)fst01356034,Aeneis (Virgil),http://id.worldcat.org/fast/1356034,Q48123
Aesop,0,a,http://id.loc.gov/authorities/names/n81066350,Aesop,http://id.worldcat.org/fast/74268,Q74926
Aesop's fables.--Hebrew--Early works to 1800,0,a--l--v,,Aesop's fables;Hebrew language;Early works,http://id.worldcat.org/fast/1356097;http://id.worldcat.org/fast/954191;http://id.worldcat.org/fast/1411636,Q66847;Q38720;Q300
Aesop's fables--Translations into Latin,0,a--v,,Aesop's fables;Translations;Latin language,http://id.worldcat.org/fast/1356097;http://id.worldcat.org/fast/1423791;http://id.worldcat.org/fast/993125,Q66847;Q18303;Q4170
"Agamemnon, King of Mycenae (Mythological character)--Drama",0,a;c--v,,"Agamemnon, King of Mycenae (Mythological character);Drama",http://id.worldcat.org/fast/800082;http://id.worldcat.org/fast/1423879,Q38565;Q3010
"Agnes, Saint, Martyr",0,a;c,,"Agnes, Saint, Martyr",http://id.worldcat.org/fast/109463,Q100380
Agni (Hindu deity),fast,a;c,http://id.worldcat.org/fast/800393,Agni (Hindu deity),http://id.worldcat.org/fast/800393,Q27033
Agni (Hindu deity),0,a;c,http://id.loc.gov/authorities/names/n2017240192,Agni (Hindu deity),http://id.worldcat.org/fast/800393,Q27033
"Aḥa, of Shabḥa, 680-752. Sheʼeltot",0,a;c;d;t,http://id.loc.gov/authorities/names/nr93043985,"Sheʼeltot (Aḥa, of Shabḥa)",http://id.worldcat.org/fast/1374110,Q75388
"Aḥa, of Shabḥa, 680-752. Sheʼeltot--Criticism and interpretation--Early works to 1800",0,a;c;d;t--v--v,,"Sheʼeltot (Aḥa, of Shabḥa);Criticism, interpretation, etc.;Early works",http://id.worldcat.org/fast/1374110;http://id.worldcat.org/fast/1411635;http://id.worldcat.org/fast/1411636,Q75388;Q177;Q300
"Aḥmad Rashīd ibn Ṣidqī Muṣṭafá, active 19th century--Knowledge and learning",0,a;d--x,,Learning and scholarship,http://id.worldcat.org/fast/994857,Q3591
"Aḥmad Rashīd ibn Ṣidqī Muṣṭafá, active 19th century--Knowledge and learning.",0,a;d--x,,Learning and scholarship,http://id.worldcat.org/fast/994857,Q3591
"Ahmet Mithat, 1844-1912",fast,a;d,,"Ahmet Mithat, 1844-1912",http://id.worldcat.org/fast/140133,Q7969
"Ahmet Mithat, 1844-1912. Üss-i inkılab--Criticism and interpretation",0,a;d;t--x,,Criticism and interpretation,http://id.worldcat.org/fast/1198648,Q292
"Ahmet Mithat, 1844-1912--Correspondence",0,a;d--v,,"Ahmet Mithat, 1844-1912;Correspondence",http://id.worldcat.org/fast/140133;http://id.worldcat.org/fast/2003288,Q7969;Q5829
Ahoms (Indic people),ds-subject,,,Ahoms (Indic people),http://id.worldcat.org/fast/801950,Q76247
"Aḥsāʼī, Yaḥyá ibn Ḥusayn, active 17th century-18th century",0,a;d,,"Aḥsāʼī, Yaḥyá ibn Ḥusayn, active 17th century-18th century",http://id.worldcat.org/fast/1803638,Q103484
"Ajurrūmīyah (Ibn Ājurrūm, Muḥammad ibn Muḥammad)",fast,a,,"Ajurrūmīyah (Ibn Ājurrūm, Muḥammad ibn Muḥammad)",http://id.worldcat.org/fast/1911422,Q11197
"Akbar, Emperor of Hindustan, 1542-1605--Portraits--Specimens",0,a;c;d--v--v,,"Akbar, Emperor of Hindustan, 1542-1605;Portraits;Specimens",http://id.worldcat.org/fast/48423;http://id.worldcat.org/fast/1423831;http://id.worldcat.org/fast/1423861,Q48932;Q199;Q239
"Akhḍarī, ʻAbd al-Raḥmān ibn Muḥammad, 1512 or 1513-1575 or 1576. Sullam",0,a;d;t,,"Sullam (Akhḍarī, ʻAbd al-Raḥmān ibn Muḥammad)",http://id.worldcat.org/fast/2058152,Q11165
"Akhḍarī, ʻAbd al-Raḥmān ibn Muḥammad, 1512 or 1513-1575 or 1576. Sullam.",0,a;d;t,,"Sullam (Akhḍarī, ʻAbd al-Raḥmān ibn Muḥammad)",http://id.worldcat.org/fast/2058152,Q11165
"Akhṣar al-mukhtaṣarāt (Ibn Balabān, Muḥammad ibn Badr al-Dīn)",fast,a,(OCoLC)fst01367333,"Akhṣar al-mukhtaṣarāt (Ibn Balabān, Muḥammad ibn Badr al-Dīn)",http://id.worldcat.org/fast/1367333,Q103478
"Akhsīkathī, Muḥammad ibn Muḥammad, d. 1247. Muntakhab fī uṣūl al-madhhab",0,a;d;t,,"Muntakhab (Akhsīkathī, Muḥammad ibn Muḥammad)",http://id.worldcat.org/fast/1399017,Q103504
"Akif Paşa, 1787-1845",0,a;d,http://id.loc.gov/authorities/names/n84182542,"Akif Paşa, 1787-1845",http://id.worldcat.org/fast/141268,Q11269
"Alanus, de Insulis, -1202. Anticlaudianus",0,a;c;d;t,,"Anticlaudianus (Alanus, de Insulis)",http://id.worldcat.org/fast/1358646,Q38566
"Alba, Fernando Alvarez de Toledo, duque de, 1507-1582",0,a;c;d,,"Alba, Fernando Alvarez de Toledo, duque de, 1507-1582",http://id.worldcat.org/fast/93137,Q48119
"Alba, Fernando Alvarez de Toledo, duque de, 1507-1582",fast,a;c;d,(OCoLC)fst00093137,"Alba, Fernando Alvarez de Toledo, duque de, 1507-1582",http://id.worldcat.org/fast/93137,Q48119
"Alban, Saint, -304",0,a;c;d,http://id.loc.gov/authorities/names/n80056890,"Alban, Saint, -304?",http://id.worldcat.org/fast/1803873,Q7366
"Alban, Saint, -304",fast,a;c;d,http://id.worldcat.org/fast/1803873,"Alban, Saint, -304?",http://id.worldcat.org/fast/1803873,Q7366
"Alban, Saint, -304?",fast,a;c;d,http://id.worldcat.org/fast/1803873,"Alban, Saint, -304?",http://id.worldcat.org/fast/1803873,Q7366
"Alban, Saint, -304?",0,a;c;d,http://id.loc.gov/authorities/names/n80056890,"Alban, Saint, -304?",http://id.worldcat.org/fast/1803873,Q7366
"Albizzi, Pepo d'Antonio di Lando Degli--Diaries",0,a--v,,Diaries,http://id.worldcat.org/fast/1423794,Q55302
Albizzi family,0,a,,Albizzi family,http://id.worldcat.org/fast/212172,Q66855
"Alcuin, 735-804",ds-subject,,,"Alcuin, 735-804",http://id.worldcat.org/fast/14487,Q76239
"Alexander, the Great, 356 B.C.-323 B.C",fast,a;c;d,http://id.worldcat.org/fast/1800513,"Alexander, the Great, 356 B.C.-323 B.C.",http://id.worldcat.org/fast/1800513,Q3018
"Alexander, the Great, 356 B.C.-323 B.C",0,a;c;d,http://id.loc.gov/authorities/names/n79004067,"Alexander, the Great, 356 B.C.-323 B.C.",http://id.worldcat.org/fast/1800513,Q3018
"Alexander, the Great, 356 B.C.-323 B.C.",0,a;c;d,,"Alexander, the Great, 356 B.C.-323 B.C.",http://id.worldcat.org/fast/1800513,Q3018
"Alexander, the Great, 356 B.C.-323 B.C.",fast,a;c;d,(OCoLC)fst01800513,"Alexander, the Great, 356 B.C.-323 B.C.",http://id.worldcat.org/fast/1800513,Q3018
"Alexander, the Great, 356 B.C.-323 B.C.",fast,a;c;d,http://id.worldcat.org/fast/1800513,"Alexander, the Great, 356 B.C.-323 B.C.",http://id.worldcat.org/fast/1800513,Q3018
"Alexander, the Great, 356 B.C.-323 B.C.",0,a;c;d,http://id.loc.gov/authorities/names/n79004067,"Alexander, the Great, 356 B.C.-323 B.C.",http://id.worldcat.org/fast/1800513,Q3018
"Alexander, the Great, 356 B.C.-323 B.C.--In literature",0,a;c;d--x,,"Alexander, the Great, 356 B.C.-323 B.C.",http://id.worldcat.org/fast/1800513,Q3018
"Alexander, the Great, 356 B.C.-323 B.C.--In literature.",0,a;c;d--x,,"Alexander, the Great, 356 B.C.-323 B.C.",http://id.worldcat.org/fast/1800513,Q3018
"Alexander, the Great, 356 B.C.-323 B.C.--In the Qurʼan",0,a;c;d--x,,"Alexander, the Great, in the Qurʼan",http://id.worldcat.org/fast/1892093,Q106595
"Alexander, the Great, 356 B.C.-323 B.C.--Legends",0,a;c;d--v,http://id.loc.gov/authorities/subjects/sh87005477,"Alexander, the Great, 356 B.C.-323 B.C.;Legends",http://id.worldcat.org/fast/1800513;http://id.worldcat.org/fast/1423803,Q3018;Q5895
"Alexander, the Great, 356 B.C.-323 B.C.--Legends--Early works to 1800",0,a;c;d--v--v,,"Alexander, the Great, 356 B.C.-323 B.C.;Legends;Early works",http://id.worldcat.org/fast/1800513;http://id.worldcat.org/fast/1423803;http://id.worldcat.org/fast/1411636,Q3018;Q5895;Q300
"Alexander, the Great, 356 B.C.-323 B.C.--Romances",0,a;c;d--x,,"Alexander, the Great, 356 B.C.-323 B.C.;Romances",http://id.worldcat.org/fast/1800513;http://id.worldcat.org/fast/1099892,Q3018;Q38567
"Alexander, the Great, 356 B.C.-323 B.C.--Romances",0,a;c;d--v,,"Alexander, the Great, 356 B.C.-323 B.C.;Romances",http://id.worldcat.org/fast/1800513;http://id.worldcat.org/fast/1423856,Q3018;Q4307
"Alexander, the Great, 356 B.C.-323 B.C.--Romances.",0,a;c;d--x,,"Alexander, the Great, 356 B.C.-323 B.C.;Romances",http://id.worldcat.org/fast/1800513;http://id.worldcat.org/fast/1099892,Q3018;Q38567
"Alexander, the Great, 356 B.C.-323 B.C.--Romances.",0,a;c;d--v,,"Alexander, the Great, 356 B.C.-323 B.C.;Romances",http://id.worldcat.org/fast/1800513;http://id.worldcat.org/fast/1423856,Q3018;Q4307
"Alexander, the Great, 356 B.C.-323 B.C -- Romances",ds-subject,,,"Alexander, the Great, 356 B.C.-323 B.C.;Romances",http://id.worldcat.org/fast/1800513;http://id.worldcat.org/fast/1099892,Q3018;Q38567
