physical_description_as_recorded,split
"Binding: Bound in late medieval wooden boards bevelled on their inner edges sewn onto 6 thongs, covered with red velvet fitted with elaborate silver-gilt gothic centreand cornerpieces stamped with a rosette or ""ihis"" either within a sunburst or flanking a cross, fittings (only) for four pairs of clasps and catches, edges gilt, parchment endleaves renewed, rebacked with spine laid on, black morocco title-label gilt; in a redbrown cloth case.|Figurative details, ff. 1- 646: 84 historiated initials in elaborate leafy and animal designs in colours and burnished gold (fols. 1r, 4r, 4v, 28r, 47v, 61r, 80r, 97r, 108v, 121r, 123v, 141r, 155r, 171v, 186v (rubbed), 200r, 217v, 222v, 229v, 237v, 242v, 249r, 255v, 268r, 272v, 275v, 278v, 281r, 284v (partly rubbed), 287v, 291r, 298v, 309r, 312v, 314v, 321v, 341r, 363v, 364r, 392v, 396r, 420v, 430v, 434r, 435v, 438r, 438v, 439v, 442r, 443r, 444r, 445v, 446v, 450r, 451v, 465v, 476r, 490r, 500r, 516r, 527v, 529r, 535r, 541r, 545r, 547r, 549r, 550v, 551v, 553r, 553v, 555v, 556v, 557r, 557v, 562r (rubbed), 578r, 579v, 581r, 582r, 583v, 584r (two initials) and 585r).|Other decoration, ff. 1- 646: No headings (although guidewords were written), the guidewords and colophon in a notarial cursive, running-titles in alternating red and blue capitals, 2-line chapter initials throughout in red or blue with full-length penwork decoration in red, blue and purple; large painted leafy initials for the prologues.|Number of scribes, ff. 1- 646: One.|Script, ff. 1- 646: Gothic Textualis; notarial cursive.|Layout, ff. 1- 646: Collation: iâ€“liv#^12#, lv#^6#, with some horizontal catchwords and some leaf signatures; 2 columns, ruled in plummet, 38 lines, each column 214 mm. by 65 mm. with 16 mm. between columns, script beginning below top ruled line.","Binding: Bound in late medieval wooden boards bevelled on their inner edges sewn onto 6 thongs, covered with red velvet fitted with elaborate silver-gilt gothic centreand cornerpieces stamped with a rosette or ""ihis"" either within a sunburst or flanking a cross, fittings (only) for four pairs of clasps and catches, edges gilt,|More on binding: parchment endleaves renewed, rebacked with spine laid on, black morocco title-label gilt; in a redbrown cloth case.|Figurative details, ff. 1- 646: 84 historiated initials in elaborate leafy and animal designs in colours and burnished gold (fols. 1r, 4r, 4v, 28r, 47v, 61r, 80r, 97r, 108v, 121r, 123v, 141r, 155r, 171v, 186v (rubbed), 200r, 217v, 222v, 229v, 237v, 242v, 249r, 255v, 268r, 272v, 275v, 278v, 281r, 284v (partly rubbed), 287v, 291r, 298v, 309r, 312v, 314v, 321v, 341r, 363v, 364r, 392v, 396r,|More figurative details: {initials} 420v, 430v, 434r, 435v, 438r, 438v, 439v, 442r, 443r, 444r, 445v, 446v, 450r, 451v, 465v, 476r, 490r, 500r, 516r, 527v, 529r, 535r, 541r, 545r, 547r, 549r, 550v, 551v, 553r, 553v, 555v, 556v, 557r, 557v, 562r (rubbed), 578r, 579v, 581r, 582r, 583v, 584r (two initials) and 585r).|Other decoration, ff. 1- 646: No headings (although guidewords were written), the guidewords and colophon in a notarial cursive, running-titles in alternating red and blue capitals, 2-line chapter initials throughout in red or blue with full-length penwork decoration in red, blue and purple; large painted leafy initials for the prologues.|Number of scribes, ff. 1- 646: One.|Script, ff. 1- 646: Gothic Textualis; notarial cursive.|Layout, ff. 1- 646: Collation: iâ€“liv#^12#, lv#^6#, with some horizontal catchwords and some leaf signatures; 2 columns, ruled in plummet, 38 lines, each column 214 mm. by 65 mm. with 16 mm. between columns, script beginning below top ruled line."
"Binding: Contemporary binding of thin wooden boards sewn on 4 double thongs, covered with brown leather (probably goatskin) blind ruled with treble lines into concentric frames stamped with small ropework tools and a square leafy stamp, stubs (only) of 4 clasp-straps in green silk secured by 3 foliate pins on the edges of the lower cover once fitting over metal trefoliate catches still on the edges of the upper cover, edges gilt and gauffered, parchment pastedowns and end flyleaf; in an orange-pink cloth case.|Figurative details, ff. 1r-164: 5-line white-vine illuminated initial on fol. 1r with three-quarter white-vine border enclosing a coat-of-arms within a wreath.|Other decoration, ff. 1r-164: Some 2-line initials in blue.|Script, ff. 1r-164: Humanistic Cursive Book Hand.|Layout, ff. 1r-164: Collation: iâ€“xvi#^10#, xvii#^4#, with horizontal catchwords; ruled (the bounding-lines at least) in blind, 29 lines, written-space 162 mm. by 82 mm.; written in dark brown ink, spaces left blank for headings.","Binding: Contemporary binding of thin wooden boards sewn on 4 double thongs, covered with brown leather (probably goatskin) blind ruled with treble lines into concentric frames stamped with small ropework tools and a square leafy stamp, stubs (only) of 4 clasp-straps in green silk secured by 3 foliate pins on the edges of the lower cover once fitting over metal trefoliate catches|More on binding: {clasp-straps} still on the edges of the upper cover, edges gilt and gauffered, parchment pastedowns and end flyleaf; in an orange-pink cloth case.|Figurative details, ff. 1r-164: 5-line white-vine illuminated initial on fol. 1r with three-quarter white-vine border enclosing a coat-of-arms within a wreath.|Other decoration, ff. 1r-164: Some 2-line initials in blue.|Script, ff. 1r-164: Humanistic Cursive Book Hand.|Layout, ff. 1r-164: Collation: iâ€“xvi#^10#, xvii#^4#, with horizontal catchwords; ruled (the bounding-lines at least) in blind, 29 lines, written-space 162 mm. by 82 mm.; written in dark brown ink, spaces left blank for headings."
"Binding: Medieval binding of massive wooden boards sewn on seven bands, covered with dark brown leather, sides double ruled into frames, upper cover with a large ruled key (for Saint Peter), lower cover ruled in a saltire, sides stamped with tools of a lion in a lozenge, an eagle in a circle, a smaller eagle in a lozenge, a hump-backed creature in a circle, and a rosette in a circle.|Figurative details, ff. 1-287: Full-page Canon miniature on fol. 105v, 239 mm. by 153 mm., divided into two compartments, drawn in ink infilled with coloured wash, showing the Trinity enthroned above between symbols of the four evangelists and the Crucifixion below between the swooning Virgin, supported by a saint, presumably Saint John, and a standing saint, with a book, presumably Saint John again, and two kneeling figures of Benedictine monks.|Other decoration, ff. 1-287: Rubrics and small initials throughout in red; larger initials in red and blue, the largest (up to 6 lines high) in both colours with elaborate penwork in red and blue.|Script, ff. 1-287: Gothic Textura.|Layout, ff. 1-287: Collation: i#^12+1# [last leaf added, a smaller supplementary leaf, not foliated or included in the leaf-count here], iiâ€“viii#^12#, ix#^12+1# [fol. 105 added, with Canon miniature], xâ€“xxiii#^12#, xxiv#^10# [of 12, blank xiâ€“xii canceled], with numerical signatures and medieval foliation i â€“ cclxxxvii; ruled in brown ink, 24 lines, written-space 224 mm. by 141 mm.","Binding: Medieval binding of massive wooden boards sewn on seven bands, covered with dark brown leather, sides double ruled into frames, upper cover with a large ruled key (for Saint Peter), lower cover ruled in a saltire, sides stamped with tools of a lion in a lozenge, an eagle in a circle, a smaller eagle in a lozenge, a hump-backed creature in a circle, and a rosette in a circle.|Figurative details, ff. 1-287: Full-page Canon miniature on fol. 105v, 239 mm. by 153 mm., divided into two compartments, drawn in ink infilled with coloured wash, showing the Trinity enthroned above between symbols of the four evangelists and the Crucifixion below between the swooning Virgin,|More figurative details: {Canon miniature} supported by a saint, presumably Saint John, and a standing saint, with a book, presumably Saint John again, and two kneeling figures of Benedictine monks.|Other decoration, ff. 1-287: Rubrics and small initials throughout in red; larger initials in red and blue, the largest (up to 6 lines high) in both colours with elaborate penwork in red and blue.|Script, ff. 1-287: Gothic Textura.|Layout, ff. 1-287: Collation: i#^12+1# [last leaf added, a smaller supplementary leaf, not foliated or included in the leaf-count here], iiâ€“viii#^12#, ix#^12+1# [fol. 105 added, with Canon miniature], xâ€“xxiii#^12#, xxiv#^10# [of 12, blank xiâ€“xii canceled], with numerical signatures and medieval foliation i â€“ cclxxxvii; ruled in brown ink, 24 lines, written-space 224 mm. by 141 mm."
"Binding: Not bound.|Figurative details, One leaf: 17-line historiated initial.|Other decoration, One leaf: Chapter numbers and running-titles in alternating red and blue capitals with some flourishing, 2-line chapter initials in red or blue with penwork in the contrasting color; several 4-line illuminated initials and three historiated initials, two 6 lines high, one 7-line, in colors with burnished gold and long marginal extensions; worn and fragile with some inner margins disintegrating; later inscriptions (perhaps seventeenth-century) include a supposed date â€œMCCL â€â€”actually, a quite credible oneâ€”and â€œpatrum nostrum abraham Isaac et Jacobâ€.|Script, One leaf: Gothic Textura.|Layout, One leaf: 2 columns, ruled in plummet, 52 lines, each column 120 mm. by 37 mm. with 5 mm. between columns, script beginning below top ruled line.","Binding: Not bound.|Figurative details, One leaf: 17-line historiated initial.|Other decoration, One leaf: Chapter numbers and running-titles in alternating red and blue capitals with some flourishing, 2-line chapter initials in red or blue with penwork in the contrasting color; several 4-line illuminated initials and three historiated initials, two 6 lines high, one 7-line, in colors with burnished gold and long marginal extensions;|More figurative details: worn and fragile with some inner margins disintegrating; later inscriptions (perhaps seventeenth-century) include a supposed date â€œMCCL â€â€”actually, a quite credible oneâ€”and â€œpatrum nostrum abraham Isaac et Jacobâ€.|Script, One leaf: Gothic Textura.|Layout, One leaf: 2 columns, ruled in plummet, 52 lines, each column 120 mm. by 37 mm. with 5 mm. between columns, script beginning below top ruled line."
"Binding: Contemporary blind-stamped binding of slightly bevelled wooden boards sewn on 4 thongs and covered with calf, panelled with multiple frames of triple lines, blind-stamped with tools of (a) Saint Anthony in a lozenge (type of Hulshof and Schretlen 1921, pls. II: 5), (b) a rosette in a circle, (c) a splayed eagle in a circle and (d) several very small flower heads, metal fittings (only) for two pairs of engraved silver-gilt clasps and catches, covers repaired, upper cover detached; in a fawn cloth case.|Figurative details, ff. 150: Illuminated initials throughout in burnished gold on blue and pink grounds with white tracery, usually with full-length marginal baguettes sprouting into sprays of coloured flowers and leaves, some pages with full baguette borders surrounding the pages with extensive marginal decoration; twelve historiated initials, 8 to 11 lines high (mostly 9-line), showing the Virgin and Child (fol. 12r, border with the ancestors of Christ, Matins of the Virgin), the Resurrection (fol. 68r, Lauds of the Eternal Wisdom), the Noli me tangere (fol. 71v, Terce of the Eternal Wisdom), the supper at Emmaus (fol. 74r, None of the Eternal Wisdom), the Ascension (fol. 77r, Compline of the Eternal Wisdom), feeding the hungry (fol. 85v, Lauds of the Holy Ghost), giving drink to the thirsty (fol. 87v, Prime of the Holy Ghost), clothing the naked (fol. 89v, Terce of the Holy Ghost), lodging pilgrims (fol. 91v, Sext of the Holy Ghost), comforting prisoners (fol. 93r, None of the Holy Ghost), ministering to the sick (fol. 94v, Vespers of the Holy Ghost), and burying the dead (fol. 97r, Compline of the Holy Ghost); nineteen small miniatures, column-width, 11 to 13 lines high (mostly 12-line), showing the Visitation (fol. 18r, Lauds of the Virgin), the Nativity (fol. 24r, Prime of the Virgin), the Annunciation to the Shepherds (fol. 26v, Terce of the Virgin), the Circumcision (fol. 28v, Sext of the Virgin), the Magi (fol. 31r, None of the Virgin), the Presentation in the Temple (fol. 33v, Vespers of the Virgin), the Flight into Egypt (fol. 37v, Compline of the Virgin), Christ before Caiphas (fol. 47r, Lauds of the Cross), Christ before Pilate (fol. 50r, Prime of the Cross), the Ecce Homo (fol. 51v, Terce of the Cross), the Way to the Cross (fol. 53v, Sext of the Cross), the Crucifixion (fol. 55r, None of the Cross, border with a pelican in her piety), the Deposition (fol. 56v, Vespers of the Cross), the Entombment (fol. 59r, Compline of the Cross), the Ara Coeli (fol. 115r, prayers to the Virgin), Saint Michael (fol. 116r, suffrage), Saint John the Evangelist (fol. 117r, suffrage), Saint Katherine (fol. 118v, suffrage) and Saint Barbara (fol. 119r, suffrage); seven full-page miniatures in arched compartments within full borders, showing the Annunciation (fol. 11v, border with angel musicians, Matins of the Virgin), the Arrest of Christ (fol. 41v, Matins of the Cross), the Coronation of the Virgin (fol. 61v, Matins of the Eternal Wisdom), Pentecost (fol. 79v, Matins of the Holy Ghost), the Last Judgement (fol. 99v, Penitential Psalms), the Mass of Saint Gregory (fol. 113v, the Verses of Saint Gregory) and Saint Michael weighing souls (fol. 120v, Office of the Dead).|Other decoration, ff. 150: Rubrics in red or underlined in red, capitals touched in red, versal initials in alternating blue and burnished gold.|Layout, ff. 150: (3 blank) + pastedowns, 187 mm. by 134 mm., collation: i#^11# [of 12, blank i probably the front pastedown], ii#^8+2# [fols. 11 and 12 added with miniatures], iii??â€œiv#^8#, v#^8+1# [fol. 41 added with miniature], vi#^8#, vii#^8+1# [fol. 61 added with miniature], viii??â€œix#^8#, x#^8+1# [fol. 79 added with miniature], xi#^8#, xii#^8+1# [fol. 99 added with miniature], xiii#^8#, xiv#^6+1# [fol. 113 added with miniature], xv#^8+1# [fol. 120 added with miniature], xvi??â€œ xvii#^8#, xviii#^5# [of 6, vi now the rear pastedown]; ruled in brown ink, 21 lines, written-space 103 mm. by 65 mm.","Binding: Contemporary blind-stamped binding of slightly bevelled wooden boards sewn on 4 thongs and covered with calf, panelled with multiple frames of triple lines, blind-stamped with tools of (a) Saint Anthony in a lozenge (type of Hulshof and Schretlen 1921, pls. II: 5), (b) a rosette in a circle, (c) a splayed eagle in a circle and (d) several very small flower heads,|More on binding: metal fittings (only) for two pairs of engraved silver-gilt clasps and catches, covers repaired, upper cover detached; in a fawn cloth case.|Figurative details, ff. 150: Illuminated initials throughout in burnished gold on blue and pink grounds with white tracery, usually with full-length marginal baguettes sprouting into sprays of coloured flowers and leaves, some pages with full baguette borders surrounding the pages with extensive marginal decoration;|More figurative details: twelve historiated initials, 8 to 11 lines high (mostly 9-line), showing the Virgin and Child (fol. 12r, border with the ancestors of Christ, Matins of the Virgin), the Resurrection (fol. 68r, Lauds of the Eternal Wisdom), the Noli me tangere (fol. 71v, Terce of the Eternal Wisdom), the supper at Emmaus (fol. 74r, None of the Eternal Wisdom),|More figurative details: {historiated initials} the Ascension (fol. 77r, Compline of the Eternal Wisdom), feeding the hungry (fol. 85v, Lauds of the Holy Ghost), giving drink to the thirsty (fol. 87v, Prime of the Holy Ghost), clothing the naked (fol. 89v, Terce of the Holy Ghost), lodging pilgrims (fol. 91v, Sext of the Holy Ghost), comforting prisoners (fol. 93r, None of the Holy Ghost),|More figurative details: {historiated initials} ministering to the sick (fol. 94v, Vespers of the Holy Ghost), and burying the dead (fol. 97r, Compline of the Holy Ghost); nineteen small miniatures, column-width, 11 to 13 lines high (mostly 12-line), showing the Visitation (fol. 18r, Lauds of the Virgin), the Nativity (fol. 24r, Prime of the Virgin),|More figurative details: {historiated initials} the Annunciation to the Shepherds (fol. 26v, Terce of the Virgin), the Circumcision (fol. 28v, Sext of the Virgin), the Magi (fol. 31r, None of the Virgin), the Presentation in the Temple (fol. 33v, Vespers of the Virgin), the Flight into Egypt (fol. 37v, Compline of the Virgin), Christ before Caiphas (fol. 47r, Lauds of the Cross),|More figurative details: {historiated initials} Christ before Pilate (fol. 50r, Prime of the Cross), the Ecce Homo (fol. 51v, Terce of the Cross), the Way to the Cross (fol. 53v, Sext of the Cross), the Crucifixion (fol. 55r, None of the Cross, border with a pelican in her piety), the Deposition (fol. 56v, Vespers of the Cross), the Entombment (fol. 59r, Compline of the Cross),|More figurative details: {historiated initials} the Ara Coeli (fol. 115r, prayers to the Virgin), Saint Michael (fol. 116r, suffrage), Saint John the Evangelist (fol. 117r, suffrage), Saint Katherine (fol. 118v, suffrage) and Saint Barbara (fol. 119r, suffrage);|More figurative details: seven full-page miniatures in arched compartments within full borders, showing the Annunciation (fol. 11v, border with angel musicians, Matins of the Virgin), the Arrest of Christ (fol. 41v, Matins of the Cross), the Coronation of the Virgin (fol. 61v, Matins of the Eternal Wisdom), Pentecost (fol. 79v, Matins of the Holy Ghost),|More figurative details: {full-page miniatures} the Last Judgement (fol. 99v, Penitential Psalms), the Mass of Saint Gregory (fol. 113v, the Verses of Saint Gregory) and Saint Michael weighing souls (fol. 120v, Office of the Dead).|Other decoration, ff. 150: Rubrics in red or underlined in red, capitals touched in red, versal initials in alternating blue and burnished gold.|Layout, ff. 150: (3 blank) + pastedowns, 187 mm. by 134 mm., collation: i#^11# [of 12, blank i probably the front pastedown], ii#^8+2# [fols. 11 and 12 added with miniatures], iii??â€œiv#^8#, v#^8+1# [fol. 41 added with miniature], vi#^8#, vii#^8+1# [fol. 61 added with miniature], viii??â€œix#^8#, x#^8+1# [fol. 79 added with miniature], xi#^8#, xii#^8+1# [fol. 99 added with miniature],|More on layout: {collation} xiii#^8#, xiv#^6+1# [fol. 113 added with miniature], xv#^8+1# [fol. 120 added with miniature], xvi??â€œ xvii#^8#, xviii#^5# [of 6, vi now the rear pastedown]; ruled in brown ink, 21 lines, written-space 103 mm. by 65 mm."
"Binding: Contemporary binding of thin wooden boards sewn on 3 double thongs, covered with tanned leather, (probably goatskin) multiple blind ruled into concentric compartments stamped with repeated impressions of small tools around a central oval embossed plaquette showing a classical male profile facing right, 4 metal bosses on each cover, 3 (of 4) metal clasps and catches, edges gilt and gauffered, minor repairs, modern paper endleaves; in a bright green cloth case.|Figurative details, ff. 130: First page with 4-line illuminated initial in colours and gold with full border of flowering plant stems and gold bezants including a coat-of-arms within a wreath.|Other decoration, ff. 130: Small initials in red or blue; heading and opening words in gold and blue capitals.|Script, ff. 130: Humanistic Cursive.|Layout, ff. 130: Collation: i#^7# [of 8, blank I canceled], iiâ€“viii#^8 + blank leaves# (fols. 64â€“130), with traces of contemporary leaf signatures; faint brown ruling, apparently in ink, 16 lines, written-space 94 mm. by 52 mm.; written in black ink.|Watermarks, ff. 130: Briquet 3670, or variant. Pair of scissors.","Binding: Contemporary binding of thin wooden boards sewn on 3 double thongs, covered with tanned leather, (probably goatskin) multiple blind ruled into concentric compartments stamped with repeated impressions of small tools around a central oval embossed plaquette showing a classical male profile facing right,|More on binding: 4 metal bosses on each cover, 3 (of 4) metal clasps and catches, edges gilt and gauffered, minor repairs, modern paper endleaves; in a bright green cloth case.|Figurative details, ff. 130: First page with 4-line illuminated initial in colours and gold with full border of flowering plant stems and gold bezants including a coat-of-arms within a wreath.|Other decoration, ff. 130: Small initials in red or blue; heading and opening words in gold and blue capitals.|Script, ff. 130: Humanistic Cursive.|Layout, ff. 130: Collation: i#^7# [of 8, blank I canceled], iiâ€“viii#^8 + blank leaves# (fols. 64â€“130), with traces of contemporary leaf signatures; faint brown ruling, apparently in ink, 16 lines, written-space 94 mm. by 52 mm.; written in black ink.|Watermarks, ff. 130: Briquet 3670, or variant. Pair of scissors."
"Binding: Bound in old (perhaps even original) red velvet over pasteboards, very worn; in a black and red fitted morocco case.|Figurative details, ff. 1-117: 9 full-page miniatures (or effectively full-page, enclosing panels of text) within full architectural borders, showing the Annunciation (fol. 4v, Matins), the Visitation (fol. 24v, Lauds), the Nativity (fol. 49r, Prime), the Annunciation to the Shepherds (fol. 56v, Terce), the Magi (fol. 67r, Sext), the Presentation in the Temple (fol. 68r, None), the Flight into Egypt (fol. 73v, Vespers), the Coronation of the Virgin (fol. 86v, Compline), and David in prayer outside his palace (fol. 94r, Penitential Psalms).|Other decoration, ff. 1-117: Large and small initials throughout in liquid gold on coloured panels.|Script, ff. 1-117: Semi-Batard.|Layout, ff. 1-117: Collation: iâ€“xi#^8#, xi^6 xiiiâ€“xiv#^8#, xv#^7# [of 8, lacking viii and any subsequent leaves, probably including a Litany]; ruled in pale brown, apparently in ink, 13 lines, written space 30 mm. by 17 mm., written in brown ink.","Binding: Bound in old (perhaps even original) red velvet over pasteboards, very worn; in a black and red fitted morocco case.|Figurative details, ff. 1-117: 9 full-page miniatures (or effectively full-page, enclosing panels of text) within full architectural borders, showing the Annunciation (fol. 4v, Matins), the Visitation (fol. 24v, Lauds), the Nativity (fol. 49r, Prime), the Annunciation to the Shepherds (fol. 56v, Terce), the Magi (fol. 67r, Sext), the Presentation in the Temple (fol. 68r, None),|More figurative details: {full-page miniatures} the Flight into Egypt (fol. 73v, Vespers), the Coronation of the Virgin (fol. 86v, Compline), and David in prayer outside his palace (fol. 94r, Penitential Psalms).|Other decoration, ff. 1-117: Large and small initials throughout in liquid gold on coloured panels.|Script, ff. 1-117: Semi-Batard.|Layout, ff. 1-117: Collation: iâ€“xi#^8#, xi^6 xiiiâ€“xiv#^8#, xv#^7# [of 8, lacking viii and any subsequent leaves, probably including a Litany]; ruled in pale brown, apparently in ink, 13 lines, written space 30 mm. by 17 mm., written in brown ink."
"Binding: Not bound.|Figurative details, One cutting: Historiated ""D"" in coloured leafy design, approximately 147 mm. square, showing the Calling of Saints Peter and Andrew (Matthew 4: 18â€“19), Christ standing on a bare rocky shore on the left, the apostles in their boat with a net and apparently a fishing rod, distant ships towards the horizon, all on a burnished gold panel; below, a panel within a faceted frame showing two putti in a landscape supporting a coat-of-arms in a roundel; border panel at the foot with formal flowers on a liquid gold ground with the date â€œM.DXXXIIIIâ€ in a roundel;border along left and upper margins with meandering stems of formal coloured flowers and leaves infilled with tiny gold bezants within brown penwork.|Script, One cutting: Gothic.|Music, One cutting: Music in black neumes on a 4-line red stave, on verso.|Layout, One cutting: Recto with very large historiated initial â€˜Dâ€™; verso with part of 3 lines of text.","Binding: Not bound.|Figurative details, One cutting: Historiated ""D"" in coloured leafy design, approximately 147 mm. square, showing the Calling of Saints Peter and Andrew (Matthew 4: 18â€“19), Christ standing on a bare rocky shore on the left, the apostles in their boat with a net and apparently a fishing rod, distant ships towards the horizon, all on a burnished gold panel;|More figurative details: below, a panel within a faceted frame showing two putti in a landscape supporting a coat-of-arms in a roundel; border panel at the foot with formal flowers on a liquid gold ground with the date â€œM.DXXXIIIIâ€ in a roundel;border along left and upper margins with meandering stems of formal coloured flowers and leaves infilled with tiny gold bezants within brown penwork.|Script, One cutting: Gothic.|Music, One cutting: Music in black neumes on a 4-line red stave, on verso.|Layout, One cutting: Recto with very large historiated initial â€˜Dâ€™; verso with part of 3 lines of text."
"Binding: Bound in dark red velvet over pasteboards, paper endleaves, rebacked; in a salmon-pink cloth case.|Figurative details, ff. 1-17: Copies of miniatures from two Books of Hours, showing Saint John on Patmos (fol. 1r), Saint Luke painting in his studio (fol. 2r), Saint Matthew writing at a desk (fol. 3r), Saint Mark at his desk (fol. 4r), the Virgin and Child among cherubim (fol. 5r), the Annunciation (fol. 6r), the Visitation (fol. 7r), the Annunciation to the Shepherds (fol. 8r), the Nativity (fol. 9r), the Magi (fol. 10r), the Presentation in the Temple (fol. 11r), the Flight into Egypt (fol. 12r), the Crucifixion (fol. 13r), Pentecost (fol. 14r), the Coronation of the Virgin (fol. 15r), a burial and angels taking a soul to God (fol. 16r), and David and Nathan (fol. 17r).|Layout, ff. 1-17: Illuminated on rectos only.","Binding: Bound in dark red velvet over pasteboards, paper endleaves, rebacked; in a salmon-pink cloth case.|Figurative details, ff. 1-17: Copies of miniatures from two Books of Hours, showing Saint John on Patmos (fol. 1r), Saint Luke painting in his studio (fol. 2r), Saint Matthew writing at a desk (fol. 3r), Saint Mark at his desk (fol. 4r), the Virgin and Child among cherubim (fol. 5r), the Annunciation (fol. 6r), the Visitation (fol. 7r), the Annunciation to the Shepherds (fol. 8r),|More figurative details: {miniatures} the Nativity (fol. 9r), the Magi (fol. 10r), the Presentation in the Temple (fol. 11r), the Flight into Egypt (fol. 12r), the Crucifixion (fol. 13r), Pentecost (fol. 14r), the Coronation of the Virgin (fol. 15r), a burial and angels taking a soul to God (fol. 16r), and David and Nathan (fol. 17r).|Layout, ff. 1-17: Illuminated on rectos only."
"Binding: Not bound.|Figurative details, One cutting: A central roundel encloses a vignette of an artist illuminating a choirbook. We see the artist as though peeping through a circular keyhole into his medieval panelled workroom. He is seated with the window on his left, the shutters are folded back and there is glass in the window; the lattice panes were painted with silver, which has now oxidised. The artist is seated on a bench, starting to paint the right-hand border of a leaf of a choirbook, written in black with black neumes on 4-line red staves. The sheet is at an extremely steeply sloped angle, close to the artistâ€™s face. It appears to be secured to its support by a single fine thread tied horizontally around the top, parallel with the top line of music; the sheet could be slipped underneath. He has no pattern-book or exemplar. He is holding a substantial brush in the tips of his fingers. In his left hand is a dish of pigment, probably a shell, held quite close to the work. On the left a rose and a rose bud and two storks with a snail and a caterpillar (which storks eat) and on the right two pinks (or dianthus, perhaps sweet william, introduced into northern Europe in the sixteenth century) and a swan and a beetle, blue and yellow backgrounds; verso with tiny traces of descenders of script including part of a â€˜gâ€™; cut to shape.|Layout, One cutting: A cutting from the lower border of a manuscript.","Binding: Not bound.|Figurative details, One cutting: A central roundel encloses a vignette of an artist illuminating a choirbook. We see the artist as though peeping through a circular keyhole into his medieval panelled workroom. He is seated with the window on his left, the shutters are folded back and there is glass in the window; the lattice panes were painted with silver, which has now oxidised.|More figurative details: {cutting} The artist is seated on a bench, starting to paint the right-hand border of a leaf of a choirbook, written in black with black neumes on 4-line red staves. The sheet is at an extremely steeply sloped angle, close to the artistâ€™s face. It appears to be secured to its support by a single fine thread tied horizontally around the top,|More figurative details: {cutting} parallel with the top line of music; the sheet could be slipped underneath. He has no pattern-book or exemplar. He is holding a substantial brush in the tips of his fingers. In his left hand is a dish of pigment, probably a shell, held quite close to the work.|More figurative details: {cutting} On the left a rose and a rose bud and two storks with a snail and a caterpillar (which storks eat) and on the right two pinks (or dianthus, perhaps sweet william, introduced into northern Europe in the sixteenth century) and a swan and a beetle, blue and yellow backgrounds; verso with tiny traces of descenders of script including part of a â€˜gâ€™; cut to shape.|Layout, One cutting: A cutting from the lower border of a manuscript."
