note_as_recorded,split
"Manuscript note: The binding is notable, for it has a very early example of an embossed classical plaquette, probably based on an ancient Roman medal. Such plaquettes have been listed and classified by Anthony Hobson. The example used here is no. 9 in Hobson 1989, p. 218, hitherto known on four bindings, the earliest of which is on an incunable in the Vatican, printed in Florence before 18 June 1495.|Bibliography: Faye and Bond 1962, p. 178; Kristeller 1990, p. 220.|ff. 130: Coat of Arms within a wreath, flanked by the initials ""C"" and ""B"". Florentine family of Bernardi. The words ac etiam ligatusin the colophon indicate that the scribe is also the book binder, an extremely unusual notation.|ff. 130: Latin.|ff. 1r-62v: Scribeâ€™s colophon: Transcriptus fuit iste liber ac etiam ligatus per urbanum Ioannis Iacobi de Urbanis die .v. Novembris anno domini 14.95 This tells that it was copied and also bound by Urbano, [son] of Giovanni Jacopo degli Urbani, on 5 November 1495.|Incipit, ff. 1r-62v: Edippus.|Explicit, ff. 1r-62v: Sex sunt pedes quibus precipue.|ff. 63r-63v: The manuscript closes with the scribeâ€™s colophon: Transcriptus fuit iste liber ac etiam ligatus per urbanum Ioannis Iacobi de Urbanis die .v. Novembris anno domini 14.95 This tells that it was copied and also bound by Urbano, [son] of Giovanni Jacopo degli Urbani, on 5 November 1495.|Incipit, ff. 63r-63v: esse senserit Vale, FINIS.|Explicit, ff. 63r-63v: Non me preterit disertissime Iuli spes unica Luciorum.","Manuscript note: The binding is notable, for it has a very early example of an embossed classical plaquette, probably based on an ancient Roman medal. Such plaquettes have been listed and classified by Anthony Hobson.|More on manuscript note: The example used here is no. 9 in Hobson 1989, p. 218, hitherto known on four bindings, the earliest of which is on an incunable in the Vatican, printed in Florence before 18 June 1495.|Bibliography: Faye and Bond 1962, p. 178; Kristeller 1990, p. 220.|ff. 130: Coat of Arms within a wreath, flanked by the initials ""C"" and ""B"". Florentine family of Bernardi. The words ac etiam ligatusin the colophon indicate that the scribe is also the book binder, an extremely unusual notation.|ff. 130: Latin.|ff. 1r-62v: Scribeâ€™s colophon: Transcriptus fuit iste liber ac etiam ligatus per urbanum Ioannis Iacobi de Urbanis die .v. Novembris anno domini 14.95 This tells that it was copied and also bound by Urbano, [son] of Giovanni Jacopo degli Urbani, on 5 November 1495.|Incipit, ff. 1r-62v: Edippus.|Explicit, ff. 1r-62v: Sex sunt pedes quibus precipue.|ff. 63r-63v: The manuscript closes with the scribeâ€™s colophon: Transcriptus fuit iste liber ac etiam ligatus per urbanum Ioannis Iacobi de Urbanis die .v. Novembris anno domini 14.95 This tells that it was copied and also bound by Urbano, [son] of Giovanni Jacopo degli Urbani, on 5 November 1495.|Incipit, ff. 63r-63v: esse senserit Vale, FINIS.|Explicit, ff. 63r-63v: Non me preterit disertissime Iuli spes unica Luciorum."
"Manuscript note: In a paper folder of the Morrison Collection.|Bibliography: Thibaudeau 1885, II, p. 257, no. 5; De Ricci 1935, p. 658.|One item: ""Henry. R"", signature in upper left.|One item: Latin.|One item: Letter written by Henry VIII to Andrew, Lord Windsor from Hampton Court on 2 March 1535. The king commands Lord Windsor, immediately on sight of this document, to make payment for a Cloth of State in tissue and three cushions of the same material which had already been sent from the kingâ€™s store by Thomas Heneage and the kingâ€™s late servant Thomas Alward, which Cloth of State and cushions the king has given â€œunto oure entirelye beloved wyffe the Queneâ€, made up of gold cloth, silver cloth and satin of various colors, together with damask thread for embroidering escutcheons with the kingâ€™s arms and those of the queen in gold and silver, and the cost of the embroidery and other work including making fringes of Venetian gold and silver, and for supplying Bruges satin and bocasin for lining the cloth, for yellow cotton to fold into the cloth to stop it ruffling, and for 12 buttons and tassels of Venetian gold and silk for the three cushions, and for any other costs which had been incurred in the matter.","Manuscript note: In a paper folder of the Morrison Collection.|Bibliography: Thibaudeau 1885, II, p. 257, no. 5; De Ricci 1935, p. 658.|One item: ""Henry. R"", signature in upper left.|One item: Latin.|One item: Letter written by Henry VIII to Andrew, Lord Windsor from Hampton Court on 2 March 1535. The king commands Lord Windsor, immediately on sight of this document, to make payment for a Cloth of State in tissue and three cushions of the same material which had already been sent from the kingâ€™s store by Thomas Heneage|More: and the kingâ€™s late servant Thomas Alward, which Cloth of State and cushions the king has given â€œunto oure entirelye beloved wyffe the Queneâ€, made up of gold cloth, silver cloth and satin of various colors, together with damask thread for embroidering escutcheons with the kingâ€™s arms and those of the queen in gold and silver, and the cost of the embroidery and other work|More: including making fringes of Venetian gold and silver, and for supplying Bruges satin and bocasin for lining the cloth, for yellow cotton to fold into the cloth to stop it ruffling, and for 12 buttons and tassels of Venetian gold and silk for the three cushions, and for any other costs which had been incurred in the matter."
"Bibliography: De Ricci, p. 633; Hindman and Rowe 2001, p. 263 and fig. 146.|One cutting: Coat of arms look heraldically improbable and they are not readily identifiable, but they might be those of an institution, such as a guild or scuola which could have endowed a chapel with choirbooks. The scroll around the pillar reads â€œD[omi]n[us] firmamentumâ€ (psalm 17: 2). The arms look heraldically improbable and they are not readily identifiable, but they might be those of an institution, such as a guild or scuola which could have endowed a chapel with choirbooks. The scroll around the pillar reads â€œD[omi]n[us] firmamentumâ€ (psalm 17: 2).This may have simply been a very unusually laid out page, in which the scribe had left a larger space than the illuminator felt able to fill with a single round initial.|One cutting: Latin.|One cutting: It almost certainly began the introit Dominus secus mareat Mass on the feast of Saint Andrew, 30 November, at the opening of the Sanctoral, describing how Jesus called the brothers Peter and Andrew from their boat as he walked along the shore of Galilee. The text on the verso is consistent, with part of the communion chant for that day, Venite post me faciam vos fieri piscatores hominum(Matthew 4: 9).","Bibliography: De Ricci, p. 633; Hindman and Rowe 2001, p. 263 and fig. 146.|One cutting: Coat of arms look heraldically improbable and they are not readily identifiable, but they might be those of an institution, such as a guild or scuola which could have endowed a chapel with choirbooks. The scroll around the pillar reads â€œD[omi]n[us] firmamentumâ€ (psalm 17: 2).|The arms look heraldically improbable and they are not readily identifiable, but they might be those of an institution, such as a guild or scuola which could have endowed a chapel with choirbooks. The scroll around the pillar reads â€œD[omi]n[us] firmamentumâ€ (psalm 17: 2).|This may have simply been a very unusually laid out page, in which the scribe had left a larger space than the illuminator felt able to fill with a single round initial.|One cutting: Latin.|One cutting: It almost certainly began the introit Dominus secus mareat Mass on the feast of Saint Andrew, 30 November, at the opening of the Sanctoral, describing how Jesus called the brothers Peter and Andrew from their boat as he walked along the shore of Galilee.|The text on the verso is consistent, with part of the communion chant for that day, Venite post me faciam vos fieri piscatores hominum(Matthew 4: 9)."
"Bibliography: Portalis 1896, pp. 352, 476 and p. 572, no. 53; De Ricci 1935, p. 641.|ff. 1-54: According to Portalis, the miniature of the Virgin on fol. 2v here resembles the patroness, the duchesse de Montbazon, a celebrated beauty.|ff. 1-54: Latin.|ff. 1-54: The book comprises: a title, signed by Jarry (fol. 1r); a frontispiece (fol. 2r); Office de la Vierge a Matinesfol. 3r, the Hours of the Virgin, in Latin, to Compline); Prieres pour le Matinâ€fol. 15r, p. 1 in Jarryâ€™s pagination, in French); Litanies du S. Nom de Iesus(fol. 19r, p. 9 in Jarryâ€™s pagination, in Latin); Prieres pour le Soirfol. 25r, p. 21 in Jarryâ€™s pagination, in French); Litanies de la Vierge Marie(fol. 27r, p. 25 in Jarryâ€™s pagination, in Latin); Antiennes des Saints(fol. 31v, p. 34 in Jarryâ€™s pagination) and Prieres Pour les fideles defunctsfol. 41r, p. 53 in Jarryâ€™s pagination, all in Latin); Acte de Contritionfol. 43r, p. 57 in Jarryâ€™s pagination, in French), with other Prieres devotes3, all ending on fol. 54v (p. 80 in Jarryâ€™s pagination), Ainsi soit-il.|Incipit, ff. 1-54: Ainsi soit-il.","Bibliography: Portalis 1896, pp. 352, 476 and p. 572, no. 53; De Ricci 1935, p. 641.|ff. 1-54: According to Portalis, the miniature of the Virgin on fol. 2v here resembles the patroness, the duchesse de Montbazon, a celebrated beauty.|ff. 1-54: Latin.|ff. 1-54: The book comprises: a title, signed by Jarry (fol. 1r); a frontispiece (fol. 2r); Office de la Vierge a Matinesfol. 3r, the Hours of the Virgin, in Latin, to Compline); Prieres pour le Matinâ€fol. 15r, p. 1 in Jarryâ€™s pagination, in French); Litanies du S. Nom de Iesus(fol. 19r, p. 9 in Jarryâ€™s pagination, in Latin);|Prieres pour le Soirfol. 25r, p. 21 in Jarryâ€™s pagination, in French); Litanies de la Vierge Marie(fol. 27r, p. 25 in Jarryâ€™s pagination, in Latin); Antiennes des Saints(fol. 31v, p. 34 in Jarryâ€™s pagination) and Prieres Pour les fideles defunctsfol. 41r, p. 53 in Jarryâ€™s pagination, all in Latin);|Acte de Contritionfol. 43r, p. 57 in Jarryâ€™s pagination, in French), with other Prieres devotes3, all ending on fol. 54v (p. 80 in Jarryâ€™s pagination), Ainsi soit-il.|Incipit, ff. 1-54: Ainsi soit-il."
"Bibliography: De Ricci 1935, p. 625; KrÃ¤mer 1989, p. 261.|ff. 1-69: A sixteenth-century note on fol. 22v says, hoc festum est in ecclesia chathedrali institutum plenum which confirms that it was probably in use in Freising cathedral after the death of Bishop von der Pflaz in 1541.|ff. 1-69: Latin.|ff.1-116v: Some sixteenth century marginal notes.|ff.1-116v: Latin.|ff. 1-69: Use of Freising; In its original sequence it comprises: a Calendar (volume 1, fol. 2r), including in red the dedication of the church (2 May) and Saint Corbinianus (8 September, and his translation, 20 November); the Temporal, winter portion, Pars Hyemalis de tempore secundum Breviarium chori ecclesie & frisingensis,from the first Sunday in Advent (volume 2, fol. 1r) to the first Sunday after the Ascension; the Sanctoral isecundum rubricam et morem ecclesie & frisingensis from Saint Andrew, 30 November (volume 1, fol. 11r) to Saint Urban, 25 May; the dedication of a church (fol. 47r); and the Common of Saints.|ff. 1r-116v: Use of Freising; Note that Vol 2, 1r-166v originally was part of Vol 1, coming after the Calendar on 9v and before 10r. In its original sequence the Diurnal comprises: a Calendar (volume 1, fol. 2r), including in red the dedication of the church (2 May) and Saint Corbinianus (8 September, and his translation, 20 November); the Temporal, winter portion, Pars Hyemalis de tempore secundum Breviarium chori ecclesie & frisingensis,from the first Sunday in Advent (volume 2, fol. 1r) to the first Sunday after the Ascension; the Sanctoral isecundum rubricam et morem ecclesie & frisingensis from Saint Andrew, 30 November (volume 1, fol. 11r) to Saint Urban, 25 May; the dedication of a church (fol. 47r); and the Common of Saints.","Bibliography: De Ricci 1935, p. 625; KrÃ¤mer 1989, p. 261.|ff. 1-69: A sixteenth-century note on fol. 22v says, hoc festum est in ecclesia chathedrali institutum plenum which confirms that it was probably in use in Freising cathedral after the death of Bishop von der Pflaz in 1541.|ff. 1-69: Latin.|ff.1-116v: Some sixteenth century marginal notes.|ff.1-116v: Latin.|ff. 1-69: Use of Freising; In its original sequence it comprises: a Calendar (volume 1, fol. 2r), including in red the dedication of the church (2 May) and Saint Corbinianus (8 September, and his translation, 20 November);|the Temporal, winter portion, Pars Hyemalis de tempore secundum Breviarium chori ecclesie & frisingensis,from the first Sunday in Advent (volume 2, fol. 1r) to the first Sunday after the Ascension;|the Sanctoral isecundum rubricam et morem ecclesie & frisingensis from Saint Andrew, 30 November (volume 1, fol. 11r) to Saint Urban, 25 May; the dedication of a church (fol. 47r); and the Common of Saints.|ff. 1r-116v: Use of Freising; Note that Vol 2, 1r-166v originally was part of Vol 1, coming after the Calendar on 9v and before 10r. In its original sequence the Diurnal comprises: a Calendar (volume 1, fol. 2r), including in red the dedication of the church (2 May) and Saint Corbinianus (8 September, and his translation, 20 November);|the Temporal, winter portion, Pars Hyemalis de tempore secundum Breviarium chori ecclesie & frisingensis,from the first Sunday in Advent (volume 2, fol. 1r) to the first Sunday after the Ascension;|the Sanctoral isecundum rubricam et morem ecclesie & frisingensis from Saint Andrew, 30 November (volume 1, fol. 11r) to Saint Urban, 25 May; the dedication of a church (fol. 47r); and the Common of Saints."
"Bibliography: De Ricci 1935, p. 654; Kristeller 1990, p. 220.|ff. 1-2: Date Probably 1556. Coat of Arms on fol. 1r show the arms of Sforza di Santo Fiora quartered with those of Pio di Carpi. Script similar to that of the famous Farnese Hours (New York, Morgan Library M 69), written in Rome in 1546 by Francesco Monterchi, secretary to Per Luigi Farnese, uncle of Paolo Sforza, whose wedding the Ricketts manuscript celebrates. If he was still working in 1566, this manuscript may be in Monterchiâ€™s hand.|ff. 1-2: Latin.|ff. 1-2: The poem commemorates the marriage of Cardianl Sforza's youngest brother, Paolo Sforza (1535-1597) to Lucrezia, daughter of Leonello Pio-Sforza in 1566.|Incipit, ff. 1-2: Hymen ades o Hymenaee.|Explicit, ff. 1-2: Extulerat roseas veniens aurora quadrigas.","Bibliography: De Ricci 1935, p. 654; Kristeller 1990, p. 220.|ff. 1-2: Date Probably 1556. Coat of Arms on fol. 1r show the arms of Sforza di Santo Fiora quartered with those of Pio di Carpi.|Script similar to that of the famous Farnese Hours (New York, Morgan Library M 69), written in Rome in 1546 by Francesco Monterchi, secretary to Per Luigi Farnese, uncle of Paolo Sforza, whose wedding the Ricketts manuscript celebrates. If he was still working in 1566, this manuscript may be in Monterchiâ€™s hand.|ff. 1-2: Latin.|ff. 1-2: The poem commemorates the marriage of Cardianl Sforza's youngest brother, Paolo Sforza (1535-1597) to Lucrezia, daughter of Leonello Pio-Sforza in 1566.|Incipit, ff. 1-2: Hymen ades o Hymenaee.|Explicit, ff. 1-2: Extulerat roseas veniens aurora quadrigas."
"Manuscript note: The Pallavicini Missal is recorded in some detail in the inventory of the Sistine Chapel in 1714. One volume, with 112 leaves, was A.III.6, and is now in Madrid, Biblioteca Nacional, Vit. 22.7, with an inscription noting that it was â€˜rescuedâ€™ by the archbishop of Toledo in 1798, during the sack of the Vatican by Napoleonic troops. The other volume was A.II.13 in the sacristy of the Sistine Chapel, 116 leaves, with text from Easter to Pentecost. It disappeared presumably also in 1798. American collections. Borders from the Pallavicini Missal are now, for example London, BL, Add. MS 21412, fols. 3 and 5-8, and Add. MS 60630, items 19-32; Cambridge, Fitzwilliam Museum, Marlay Cuttings It. 36-38 (Wormald and Giles 1982, I, pp. 121-22); and Ann Arbor, University of Michigan Museum of Art, Acc. no. 1971/2.10, formerly also in the Ricketts Collection (de Ricci 1935, p. 632, no. 104). Pieces were illustrated in Maggs, Bulletin 6 (June 1969), no. 43. For the whole group, see Alexander 1998, passim.|3 separate border strips: Other fragments of borders from the same manuscript include the initials and arms of Antioniotto Pallavicini, created archbishop of Genoa and a cardinal in 1489. He was later head of the Vatican chancery and was on close terms with Alexander VI (Borgia, pope 1492â€“1503). Towards the end of his life, Pallavicini evidently commissioned a luxurious 2-volume illuminated manuscript Missal for the Sistine Chapel, shortly before Michelangelo began work there in 1508. The volume from which the Lilly fragments come was still being illuminated in or after 1506, since one of its borders included a roundel with a realistic picture of the Laocoon group, the famous classical statue excavated in Rome on 15 January 1506 (the border was Sothebyâ€™s, 21 June 1988, lot 38, and is now destroyed). The manuscript may have been completed after Pallaviciniâ€™s death on 10 September 1507, since the illuminator also worked for Leo X, pope 1513â€“21 (J. J. G. Alexander in Tanis and Thompson, 2001, pp. 194â€“95, no. 67).|3 separate border strips: Latin.","Manuscript note: The Pallavicini Missal is recorded in some detail in the inventory of the Sistine Chapel in 1714. One volume, with 112 leaves, was A.III.6, and is now in Madrid, Biblioteca Nacional, Vit. 22.7, with an inscription noting that it was â€˜rescuedâ€™ by the archbishop of Toledo in 1798, during the sack of the Vatican by Napoleonic troops.|The other volume was A.II.13 in the sacristy of the Sistine Chapel, 116 leaves, with text from Easter to Pentecost. It disappeared presumably also in 1798. American collections. Borders from the Pallavicini Missal are now, for example London, BL, Add. MS 21412, fols. 3 and 5-8, and Add. MS 60630, items 19-32;|Cambridge, Fitzwilliam Museum, Marlay Cuttings It. 36-38 (Wormald and Giles 1982, I, pp. 121-22); and Ann Arbor, University of Michigan Museum of Art, Acc. no. 1971/2.10, formerly also in the Ricketts Collection (de Ricci 1935, p. 632, no. 104). Pieces were illustrated in Maggs, Bulletin 6 (June 1969), no. 43. For the whole group, see Alexander 1998, passim.|3 separate border strips: Other fragments of borders from the same manuscript include the initials and arms of Antioniotto Pallavicini, created archbishop of Genoa and a cardinal in 1489. He was later head of the Vatican chancery and was on close terms with Alexander VI (Borgia, pope 1492â€“1503).|Towards the end of his life, Pallavicini evidently commissioned a luxurious 2-volume illuminated manuscript Missal for the Sistine Chapel, shortly before Michelangelo began work there in 1508.|The volume from which the Lilly fragments come was still being illuminated in or after 1506, since one of its borders included a roundel with a realistic picture of the Laocoon group, the famous classical statue excavated in Rome on 15 January 1506 (the border was Sothebyâ€™s, 21 June 1988, lot 38, and is now destroyed).|The manuscript may have been completed after Pallaviciniâ€™s death on 10 September 1507, since the illuminator also worked for Leo X, pope 1513â€“21 (J. J. G. Alexander in Tanis and Thompson, 2001, pp. 194â€“95, no. 67).|3 separate border strips: Latin."
"Bibliography: Stratford 2002, passim; Avril 2003, pp. 382-83, no. 49.|ff. 219: Coat-of-arms, smudged but including azure a bend, apparently or, perhaps those of a member of the Burgundian family of Longwy (Rietstap 1884, II, p. 94). A possible candidate might be Philippe de Longwy (1447â€“1493), seigneur de Pagny, or his elder brother, Ã‰tienne de Longwy, bishop of MÃ¢con 1485â€“1511. Prayers in the manuscript are for male use.|ff. 219: Latin.|f.1r-210r: Use of Tours. The text comprises: a Calendar, in French (fol. 1r); the Gospel Sequences (fol. 13r); the Obsecro te (fol. 21r); the Hours of the Virgin [Use of Tours] (fol. 29r) mixed with the Hours of the Cross and of the Holy Ghost; the Penitential Psalms (fol. 117r) and Litany; the Office of the Dead (fol. 143r); verses on the Arms of Christ (fol. 207v) and the Instruments of the Passion; and Suffrages (fol. 210r).","Bibliography: Stratford 2002, passim; Avril 2003, pp. 382-83, no. 49.|ff. 219: Coat-of-arms, smudged but including azure a bend, apparently or, perhaps those of a member of the Burgundian family of Longwy (Rietstap 1884, II, p. 94). A possible candidate might be Philippe de Longwy (1447â€“1493), seigneur de Pagny, or his elder brother, Ã‰tienne de Longwy, bishop of MÃ¢con 1485â€“1511. Prayers in the manuscript are for male use.|ff. 219: Latin.|f.1r-210r: Use of Tours. The text comprises: a Calendar, in French (fol. 1r); the Gospel Sequences (fol. 13r); the Obsecro te (fol. 21r); the Hours of the Virgin [Use of Tours] (fol. 29r) mixed with the Hours of the Cross and of the Holy Ghost;|the Penitential Psalms (fol. 117r) and Litany; the Office of the Dead (fol. 143r); verses on the Arms of Christ (fol. 207v) and the Instruments of the Passion; and Suffrages (fol. 210r)."
"One leaf: Latin.|One leaf: Book IV, distinctio 50, caps. 6-7, On verso, Colophon: Librum istum dedit daniel canonicus Leodiensis ecclesie de alna, Anima eius requiescat in pace, Amen â€˜Daniel, canon of LiÃ¨ge, gave this book to the church of Aulne, May his soul rest in peace, Amenâ€™. Daniel is not recorded as a canon of LiÃ¨ge in Marchandisse 1991. The manuscript was probably one of the two manuscripts of Petri Lombardi Sententiarum Libri, Bis recorded at Aulne in 1632 (Sanderus 1644, II, p. 246).|Explicit, One leaf: De hoc ita gregorius ait.","One leaf: Latin.|One leaf: Book IV, distinctio 50, caps. 6-7, On verso, Colophon: Librum istum dedit daniel canonicus Leodiensis ecclesie de alna, Anima eius requiescat in pace, Amen â€˜Daniel, canon of LiÃ¨ge, gave this book to the church of Aulne, May his soul rest in peace, Amenâ€™. Daniel is not recorded as a canon of LiÃ¨ge in Marchandisse 1991.|The manuscript was probably one of the two manuscripts of Petri Lombardi Sententiarum Libri, Bis recorded at Aulne in 1632 (Sanderus 1644, II, p. 246).|Explicit, One leaf: De hoc ita gregorius ait."
"Manuscript note: The Itinerarium here was evidently once part of a composite volume of texts, perhaps all on travel or the orient. 17 leaves have been removed from the beginning.|Bibliography: Moule and Pelliot 1938, p. 516, no. 133, and pp. 518-19; Dutschke 1993, pp. 263 (no. 8), 282 (L4), 295-98 and 481.|ff.1r-38: The watermark in the paper here is consistent with a Flemish or Netherlandish origin, for it is an anchor, Briquet 349 or a close variant, recorded in the Netherlands in 1463, Delft in 1477, and elsewhere.|ff.1r-38: Latin.|f. 1r-35v: The present recension is recorded in ten other copies (Benedetto 1928, pp. clxxviii-clxxxii). It is much nearer the assumed prototype than the more common Latin translation, known in 78 manuscripts, made by the Dominican friar Francesco Pipino around 1314-24 (Kaeppeli 1970, pp. 392-93, no. 1114). The Lilly copy includes an unexpected interpolation which suggests a line of textual transmission which has passed through the Netherlands. On fol. 35r the text describes wooden vehicles without wheels which are made to slide along the ice in northern Tartary, adding â€œquas in partibus nostris appellamus in flamingo sledenâ€, â€˜which in our country we call sleds in Flemishâ€™ (column 2, lines 4â€“5). This local addition also occurs in two other manuscripts, both from the southern Netherlands, now Antwerp, Plantin-Moretus Museum, M 16.14, and WolfenbÃ¼ttel, Herzog-August-Bibliothek, Weissenberg 41.|Incipit, f. 1r-35v: ex cinchin imperialis progenie descendentes.","Manuscript note: The Itinerarium here was evidently once part of a composite volume of texts, perhaps all on travel or the orient. 17 leaves have been removed from the beginning.|Bibliography: Moule and Pelliot 1938, p. 516, no. 133, and pp. 518-19; Dutschke 1993, pp. 263 (no. 8), 282 (L4), 295-98 and 481.|ff.1r-38: The watermark in the paper here is consistent with a Flemish or Netherlandish origin, for it is an anchor, Briquet 349 or a close variant, recorded in the Netherlands in 1463, Delft in 1477, and elsewhere.|ff.1r-38: Latin.|f. 1r-35v: The present recension is recorded in ten other copies (Benedetto 1928, pp. clxxviii-clxxxii). It is much nearer the assumed prototype than the more common Latin translation, known in 78 manuscripts, made by the Dominican friar Francesco Pipino around 1314-24 (Kaeppeli 1970, pp. 392-93, no. 1114).|The Lilly copy includes an unexpected interpolation which suggests a line of textual transmission which has passed through the Netherlands.|On fol. 35r the text describes wooden vehicles without wheels which are made to slide along the ice in northern Tartary, adding â€œquas in partibus nostris appellamus in flamingo sledenâ€, â€˜which in our country we call sleds in Flemishâ€™ (column 2, lines 4â€“5).|This local addition also occurs in two other manuscripts, both from the southern Netherlands, now Antwerp, Plantin-Moretus Museum, M 16.14, and WolfenbÃ¼ttel, Herzog-August-Bibliothek, Weissenberg 41.|Incipit, f. 1r-35v: ex cinchin imperialis progenie descendentes."
"Bibliography: De Ricci 1935, p. 640; Alexander c. 2010, p. 67.|ff. 1-212: Jonathan Alexander attributes the painter, the same as Oxford, Keble College, MS 63, made for Antonio Landriani, treasurer of Lodovico il Moro, duke of Milan (Parkes 1979, pp. 281â€“88). He continued working in Milan after its occupation by Louis XII of France in 1499, and he also illuminated a Book of Hours for Gian Giacomo Trivulzio, regent for the French (Mulas 1999).|ff. 1-212: Latin.|ff. 1-212: Ambrosian rite. Colophon: on fol. 212v records, Ad laudem Dei atque eius matris Mariae virginis scriptus est hic liber: pro usu Ioannis Petri vicecomitis prepositi SanctÄ™ Mediolanensis Ecclesiae, Anno salutis Mo. Do. V o. in Vigilia assumptionis eiusdem beatÄ™ Mariae Virginis â€˜To the praise of God and his mother the Virgin Mary, this book is written, for the use of Giovanni Pietro Visconti, provost of the holy church of Milan, in the year of salvation 1505, on the eve of the Assumption of the said blessed Virgin Maryâ€™, i.e. 14 August. The text comprises: a Calendar (fol. 1r), including the dedication of Milan cathedral (15 October), the ordination and deposition of Saint Ambrose of Milan (7 December and 5 April, both in red) and the deposition of Saint Simplicianus of Milan (16 August, also in red); prayers to the Virgin (fol. 10r); the Gospel Sequence from Saint John (fol. 11r); the Office of the Virgin, described as secundum morem ambrosianum unusually opening with Vespers (fol. 13r) followed by Matins (fol. 24r), Lauds (fol. 43r), Prime (fol. 50v), Terce (fol. 54r), Sext (fol. 57r) and None (fol. 59r); officium ad horas canonicas secundum morem et consuetudinem Ecclesiae Ambrosianae(fol. 63r), a collection of hymns, prayers, epistles and other elements for each hour, supplementing the canonical hours of a Breviary in accordance with the Ambrosian rite; suffrages and prayers for saintsâ€™ days (fol. 149v), especially for the saints of Milan, including Saint Victor of Milan and his translation, the translations of Saints Nazarius (relics in Milan) and Syrus of Pavia, Saint Barnabas (traditional founder of Christianity in Milan), Saint Marcellina (sister of Saint Ambrose), and many others; the Office of the Dead (fol. 161r); further psalms (fol. 198r) and a Litany (fol. 201r), with many Milanese saints. The date of the manuscript is confirmed by a note in the Calendar giving the golden number for the current year 1505 (fol. 3v).","Bibliography: De Ricci 1935, p. 640; Alexander c. 2010, p. 67.|ff. 1-212: Jonathan Alexander attributes the painter, the same as Oxford, Keble College, MS 63, made for Antonio Landriani, treasurer of Lodovico il Moro, duke of Milan (Parkes 1979, pp. 281â€“88). He continued working in Milan after its occupation by Louis XII of France in 1499, and he also illuminated a Book of Hours for Gian Giacomo Trivulzio, regent for the French (Mulas 1999).|ff. 1-212: Latin.|ff. 1-212: Ambrosian rite. Colophon: on fol. 212v records, Ad laudem Dei atque eius matris Mariae virginis scriptus est hic liber: pro usu Ioannis Petri vicecomitis prepositi SanctÄ™ Mediolanensis Ecclesiae, Anno salutis Mo. Do. V o. in Vigilia assumptionis eiusdem beatÄ™ Mariae Virginis â€˜|To the praise of God and his mother the Virgin Mary, this book is written, for the use of Giovanni Pietro Visconti, provost of the holy church of Milan, in the year of salvation 1505, on the eve of the Assumption of the said blessed Virgin Maryâ€™, i.e. 14 August.|The text comprises: a Calendar (fol. 1r), including the dedication of Milan cathedral (15 October), the ordination and deposition of Saint Ambrose of Milan (7 December and 5 April, both in red) and the deposition of Saint Simplicianus of Milan (16 August, also in red); prayers to the Virgin (fol. 10r); the Gospel Sequence from Saint John (fol. 11r);|the Office of the Virgin, described as secundum morem ambrosianum unusually opening with Vespers (fol. 13r) followed by Matins (fol. 24r), Lauds (fol. 43r), Prime (fol. 50v), Terce (fol. 54r), Sext (fol. 57r) and None (fol. 59r); officium ad horas canonicas secundum morem et consuetudinem Ecclesiae Ambrosianae(fol. 63r),|a collection of hymns, prayers, epistles and other elements for each hour, supplementing the canonical hours of a Breviary in accordance with the Ambrosian rite;|suffrages and prayers for saintsâ€™ days (fol. 149v), especially for the saints of Milan, including Saint Victor of Milan and his translation, the translations of Saints Nazarius (relics in Milan) and Syrus of Pavia, Saint Barnabas (traditional founder of Christianity in Milan), Saint Marcellina (sister of Saint Ambrose), and many others; the Office of the Dead (fol. 161r);|further psalms (fol. 198r) and a Litany (fol. 201r), with many Milanese saints. The date of the manuscript is confirmed by a note in the Calendar giving the golden number for the current year 1505 (fol. 3v)."
