title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label
Collection of hymns and antiphons,,,,
Collection of laws for the use of the Podestà di Rovigo,,,,
"Collection of laws, edicts, and proclamations",,,,
Collection of texts on the calendar,,,,
Comitis Gabutii de Montealbodio juveniles & amatoriae epistolae,,,,
Commentarius cum quaestionibus in universam Aristotelis philosophiam naturalem,,,,
Commentary on the Doctrinale puerorum,,,,
Commission,,,,
Commonplace book and recipe book,,,,
Compendio delle istorie di Pisa,,,,
Compendium iuris canonici,,,,
Compendium of legal texts,,,,
Compendium religiosi vivendi,,,,
Compte des biens rentes et revenues de le livree du commun des chapellains de l'eglise Saint Ame en Douay,,,,
Comptes Adrien de le Borve,,,,
"Confutatio libelli Philippi Melanchtonis cuius titulus est De officio principum, quod mandatum dei praecipiat eis tollere abusus ecclesiasticos /",,,,
Consilium generale decision,,,,
Consilium generale grant of plenary power,,,,
Constitutiones nonnullae magnificae communitatis Parmae /,,,,
Contra impedimiam,,,,
Contract,,,,
Contracti inter particulas personas,,,,
Contratti de beni di Firenze della famiglia Concini,,,,
Conventio inter rectores ospitalis civitatis placentie et D. Antonium Francescum Finellum,,,,
Cookery book,,De re coquinaria.,,
Copia schedula,,,,
Copies of documents pertaining to the Ospedale della Misericordia in Lucca,,,,
Copies of documents relating to water rights in Milan,,,,
Correspondence of Wilhelm IV,,,,
Court record of proceedings in a lawsuit against Isabel Garcia,,,,
Crestomazia di poeti italiani del Cinquecento,,,,
Cristoforo di Guidantonio de Piccolomini rental agreement,,,,
Cronica de origine et situ oppidi Montalbodi,,,,
"Cronica di tutti li Dogi di Venetia sino á quello che hora vive, con le armi loro",,,,
"Cronica dopo la morte del Duca Alessandro de' Medici, fino al 1555",,,,
Curia Romana proclamation,,,,
De Merles,,,,
De accidentibus animae rationalis,,,,
De philosophia naturali,,,,
De sacramentis ... etc,,,,
De sacro bello contra Turcos commentarius,,,,
Declaration of receipt of dowry,,,,
Declaration of receipt of ox,,,,
Declaratorio sopra la regola del padre nostro sancto Benedetto ... etc,,,,
Decreto di banco feneratitio,,,,
"Del estatuto Toledano, i çierta apologia",,,,
"Der Bischoff zue Cöllen, den Maleuolis vnd bellenden Hundtenn herwieder... etc",,,,
"Diaria Pii Papae IV, Pii Papae V, Gregorii Papae XIII",,,,
Diario historico de successi del concilio di Trento,,,,
Didactic poem on surveying and measurement of areas (taksīr),,,,
Die Klag vom Wolf am Hage,,,,
Dieudonné Cabanier homage,,,,
Diocese of Arezzo nomination,,,,
"Diploma issued to Adam, son of Teutio",,,,
"Disputations on the Physics, Metaphysics and De anima of Aristotle",,,,
Distribution of property,,,,
Doctrinale,,,,
Document concerning property rights dispute,,,,
Documents concerning Genoa and Finale Ligure,,,,
Documents concerning land ownership in Pixerécourt,,,,
Documents concerning the governance of Passau,,,,
Documents of the town of Châtenois,,,,
Don Antonio Bartoli petition,,,,
Don Giovanni di Bartolo inheritance acknowledgment,,,,
Donation to the convent of Santa Giulia,,,,
Dos discursos de la cifra,,,,
Dowry arrangements,,,,
Dowry receipt,,,,
Dowry record,,,,
"Draft of a dispatch to Ramon de Cordova, Viceroy of Sicily",,,,
Dubia,,,,
Duo dialogi de philosophia morali,,,,
Edict against reforming tendencies,,,,
Edict concerning Jews in Livorno and Pisa,,,,
Edicts concerning Jews in Mantua,,,,
Ein Gedicht darinn angezaigt wirt wie frum Herzog Heinrich zu Braunschweig unnd wie böss die Luterischen sein,,,,
"Einn schönn neu Liedt vonn dem abgefallnenn unnd ubell erweldenn Bischoff von Collnn, im Thonn wie mann denn armenn Judas singt",,,,
Emperor Sigismund appointment,,,,
"Encyclopaedia historica et filosophica, latine et italice",,,,
Epithoma,,,,
Epithome artis epistolaris ... etc,,,,
Ex libris Paris de Grassis Bononiensis,,,,
Ex quo vocabularii autentici varii,,,,
Ex quo vocabularii varii et autentici,,,,
Examination of witnesses,,,,
Excerpt from the book of civil cases of the court of San Miniato,,,,
Excerpt from the book of statutes of San Genino(?),,,,
Excerpt from the book of the Uffizio della mercanzia of Florence,,,,
Executoria a pedimiento,,,,
Expositiones difficiliorum vocabulorum de bibliotheca per ordinem alphabeti,,,,
Extracts from and commentaries on Liber bellorum Domini,,,,
Extratto da un libro de razza da cavalli del re Ferrante vechio de Aragona,,,,
Fawāʼid al-ḥabīb. Zinjār al-ḥukamāʼ,فوائد الحبيب. زنجار الحكماء.,,,
Fazio de Piccolomini claim,,,,
Ferdinand I privileges,,,,
Feudal rents,,,,
Feudal sentence,,,,
Feuer Buech,,,,
Filza LII: segnata: F.3 Gondi et altri,,,,
"Filza XV segnata con la lettera P, come appare all'estratto sotto, n. 441",,,,
Filza Xma segnata con la lettera K: come apparisce al suo estratto sotto: n. 344,,,,
Filza di scritture de signori Medici,,,,
Filza di scritture dell'Arrigucci,,,,
Financial agreement,,,,
Financial document excerpt,,,,
Financial recommendations for Francis I,,,,
Financial records,,,,
Four English devotional works,,,,
Four treatises on astrolabes and astronomy,,,,
"Fragments of accounts rendered to Mahaut d'Artois, Countess of Burgundy",,,,
Francesco Bernardo indulgence,,,,
Francesco Cosci appointment,,,,
Francesco Soderini indulgence,,,,
Francis I brevet,,,,
Franciscans of Metz,,,,
Fraternità di Santa Maria petition,,,,
Genealogical chronicle fragment of the kings of England to Kimbelinus and Arvigarus,,,,
Genealogical chronicle of the kings of England to Edward IV,,,,
Genelogies of the Erles of Lecestre and Chester,,,,
Generale consilium partis Guelforum decision,,,,
German religious and literary miscellany,,,,
Giacoma di Ugo conveyance,,,,
Giacomo Tornieri letter to Bernardo Giunta,,,,
Giovanni Piccolomini guardianship agreement,,,,
Giovanni Piccolomini petition,,,,
Giovanni Scala profession of faith excerpt,,,,
Giovanni d'Andrea di Nanni Todeschini Piccolomini grant of legitimation,,,,
Giovanni di Urbano Piccolomini del Testa estate arbitration,,,,
Giovenco de' Medici election,,,,
Girolamo Piccolomini appointment,,,,
Giulio Antonio absolution,,,,
Gondi-Medici miscellany,,,,
Grammatica latina,,,,
Grecismus Cornutus ... etc,,,,
Gregory de Chastellar agreement,,,,
Guelf party affiliation excerpt,,,,
Guerino Meschino,,Guerrino il Meschino,,
Guild records,,,,
Guild regulations,,,,
Handbook of commercial arithmetic,,,,
Hādhā min Khawāṣs al-manāzil wa-hiya fī al-maghrib anwāʼ,هذا من خواص المنازل وهي في المغرب انواء.,,,
Herbal ... etc,,,,
Herbal in the tradition of Dioscorides,,,,
Historia de Papa Allexandro et Phridrico Barba Rossa,,,,
History of the Reformation in Switzerland from mid-1529 through 1532 ... etc,,,,
"Hybrid book of letters of Poliziano, Symmachus, and Laudinus",,,,
Hybrid compendium of Seneca's tragedies and scholarly apparatus,,,,
Ḥall al-Mūjiz,حل الموجز.,,,
Ḥaṭṭ al-niqāb ʻan wujūh aʻmāl al-ḥisāb,حط النقاب عن وجوه اعمال الحساب.,,,
Ḥeshbon mahalkhot ha-kokhavim,,,,
Igeret orḥot ʻolam ... etc,,,,
Il Publico di Lorenzo Spirito Perugino nel quale si contiene il Lamento di Perugia essendo sogiogata,,,,
Il tempio di castitade,,,,
Il vendemmiatore ... etc. /,,,,
Illumineirr buch künstlich alle Farben zu machen und bereidenn allen Briefmalern sampt andern solcher kunsten liebhabern nutzlich unnd gutt zu wissen,,,,
Illustrations to Georg von Peurbach's Novae theoricae planetarum,,,,
In quatuor Evangelistas,,,,
Indictio currens,,,,
Indulgence,,,,
Informacio recepta super conversione sarracenorum ad fidem catholicam,,,,
Innocent IV privilege,,,,
Instructions to Nicolaus Theupulo,,,,
Instrumenta della condizione dei beni di Santa Crestina a livello perpetuo fatte l'anno 1490 da Antonio di Dominice di Ciacco Ciacchi e si paga lire sette servono per fare celebrare lo messe...,,,,
Instrumenta feudorum castri Sone,,,,
Instrumenta magnificorum fratrum de Tartaleonibus,,,,
Inventions or devises,,,,
Inventory of the possessions of Abbot Balthasar Dason,,,,
"Istromenti di quittanze, ed altri contratti a favore del Sr.? Cesare Ressano &? suoi interessi particolari",,,,
Istruzioni a voi Signor Pietro d'Agostino della relazione che s'aver à Sua Maestà delle cose di Sicilia ... etc,,,,
"Istruzioni, memoriali, lettere, ricordi",,,,
Īḍāḥ al-maqāṣid li-farāʼid al-fawāʼid,ايضاح المقاصد لفرائد الفوائد.,,,
Jacopo Nannis de Piccolomini debt agreement,,,,
Jadāvil-i ikhtiyārāt,جداول اختيارات.,,,
Jāmiʻ al-ʻulūm,جامع العلوم.,,,
Joanna I grant of pension,,,,
Johannis Tostii clarissimorum Witebergensium professorum descriptio,,,,
John Eyr mortgage,,,,
"Juramentbuech, darinnen aller Beambten alsz Burgermaister, Ratsherinn, Stattschreiber, neuen Burger und anderer Aide, den sie in Antrettung ihrer Dienst und Pflichten publice laysten müssen, zu finden",,,,
Kāmil al-sināʻah al-tibbīyah ... etc,,,,
Kharīdat al-ʻajāʼib wa farīḍat al-gharāʼib,خريدة العجائب و فريضة الغرائب.,,,
Kitāb Alghāz fī al-lughah al-ʻArabīyah,كتاب الغاز في اللغة العربية.,,,
Kitāb al-Kashf wa-al-bayān. Īḍāḥ al-rumūz fī al-burhān,كتاب الكشف والبيان. ايضاح الرموز في البرهان.,,,
Kitāb fī istīʻāb al-wujūh al-mumkinah fī ṣanʻat al-asṭurlāb,كتاب في استيعاب الوجوه الممكنة في صنعة الاسطرلاب.,,,
"Kurtze Verzeichnus was auf den drittenn Tag Heuwmonats Anno 1582 zwijschen Herrenn Jacob Christoffel Blaarer Bischoff zu Brundruth und den? Unnderthonen der Herrschaft zu Pfeffingen, durch die Gesandten der siben catholischen Orthen der Eijdtgnossschaft, als Lutzern, Urij, Schwijtz, Underwalden, Zug, Frijburg und Solothurn, von wegen Religions sachen fürgenommen uund verhandlet worden, wie volgt",,,,
L'evangile de l'enfance ...etc,,,,
L'introduttione di Pietro Magno nell' antica republica Romana,,,,
"La chimie, couleurs, parfumerie",,,,
La declaracion de tous les haulx fais et glorieuses aventures du duc Phelippe du Bourgoingne,,,,
La regla y constituciones de la cofradia y congregacion y cofrades del glorioso y bienaventurado señor sant Pedro martyr,,,,
La vita de Sancto Orso,,,,
La vita e ... la conversione del nostro segniore jhesu christo,,,,
"La vray-disant, advocate des dames",,,,
Ladino manuscript,,,,
Land sale contract,,,,
Lanndtafel dess Fürstenthümbs Obern und Nidern Bairn,,,,
"Lantrecht van Zallant, van Twenthe, van Vullenhoe, van Drenthe, mit anderen priviligien des landes van Overijssel",,,,
Laṭāʼif al-kalām fī aḥkām al-aʻwām,لطائف الكلام في احكام الاعوام.,,,
Le Château périlleux,,,,
Le constitutione delle Suore della penitentia de Santo Domenico del Terzo Ordine del Monasterio di Santo Vincentio di Firenze vocato Annalena,,,,
Lease of San Miniato land,,,,
Leaves from a manuscript compilation of works of Thomas More,,,,
Lectiones eximi philosophi Marciantonii Genuae super libros physicorum Aristotelis,,,,
Lectura super capitali Firmiter credimus,,,,
Ledger fragment,,,,
Ledger of Amadori accounts,,,,
Ledger of Amadori accounts and memoranda,,,,
Ledger of Amadori debtors and creditors,,,,
Ledger of Amadori memoranda,,,,
Ledger of Arrigucci debtors and creditors and memoranda,,,,
Ledger of Concini debtors and creditors,,,,
Ledger of Concini debtors and creditors and miscellaneous accounts,,,,
Ledger of Concini receipts,,,,
Ledger of Davanzati (?) accounts,,,,
Ledger of Davanzati accounts,,,,
Ledger of Detti accounts,,,,
Ledger of Detti accounts and memoranda,,,,
Ledger of Detti debtors and creditors,,,,
Ledger of Gerardi accounts,,,,
Ledger of Gondi accounts,,,,
Ledger of Gondi accounts and debtors and creditors,,,,
Ledger of Gondi accounts and memoranda,,,,
Ledger of Gondi household expenses,,,,
Ledger of Guasconi debtors and creditors and memoranda,,,,
Ledger of Medici accounts,,,,
Ledger of Medici accounts and debtors and creditors,,,,
Ledger of Medici accounts and memoranda,,,,
Ledger of Medici debtors and creditors,,,,
Ledger of Medici debtors and creditors and accounts,,,,
Ledger of Medici debtors and creditors and memoranda,,,,
"Ledger of Medici debtors and creditors, accounts and memoranda",,,,
"Ledger of Medici debtors and creditors, memoranda and other records",,,,
Ledger of Medici receipts,,,,
Ledger of Pesciori debtors and creditors,,,,
Ledger of Risaliti accounts,,,,
Ledger of Risaliti debtors and creditors,,,,
Ledger of Risaliti debtors and creditors and accounts,,,,
Ledger of accounts,,,,
Ledger of debtors and creditors,,,,
Ledger of debtors and creditors and memoranda,,,,
Ledger of the hospital of San Bartolomeo accounts,,,,
Leggendario delle Sante Virgini,,,,
Letra missa per Dominicum Caberico? per quendam nuncium ...,,,,
Letter from Hippocrates to Caesar,,,,
Letter of appeal,,,,
Letter to Don Juan Ponce de Leon,,,,
"Letter to Francesco Maria Sforza, Duke of Milan",,,,
Letter to Rodolfo Pio da Carpi,,,,
Letter to the Duke of Arcos,,,,
Letter to the count of Palamos,,,,
Lettere amorose e capitoli,,,,
Lettere di diversi principi et huomini illustri in varii negotii spettanti al secolo 1500,,,,
Lettere e scritture passate nel concilio di Trento,,,,
Lettere havute da Monsignor Zuccati,,,,
Lettere scritte a Pier Francesco Portinari della republica fiorentina quando era suo ambasciatore a Siena l'anno 1529,,,,
Letters addressed to Pietro Vettori,,,,
Liber Rabani Anglici Horroscopo intitulatus translatus de Hebraico in Latinum a Dandalo Ylardensi ad instantiam abbatis P. de Visula ... etc,,,,
Liber de homine,,,,
Liber mirabilium,,,,
Liber privilegiorum septem comunium montanearum Agri Vicentini,,,,
Liber sive quaternus reformationum communitatis et hominum terrae Montis Rubiani,,,,
Liber tastharium domini Batide Rolandi et Polafoli,,,,
"Libro del signor capitano di Fivizzano nel quale sono registrate ricevute, suppliche e lettere di diversi anni",,,,
Libro della divina potentia,,,,
Libro di crediti,,,,
Libro di ricordanze,,,,
Linea de los Reyes de Aragon /,,,,
List of Sienese government officials,,,,
List of prisoners in battle and notes,,,,
Lists of names,,,,
Livre des cens et rentes,,,,
Loan payment receipt,,,,
Lodovico Bandinelli dowry receipt,,,,
"Los dos tratados del Papa, i de la Misa",,,,
Louis XII debt commitment letter,,,,
Ludovici Heliani Vercellensis Christianissimi Francorum regis senatoris ac oratioris de bello suscipiendo adversus Venetianos et Turcas gratio Maximiliano Augusto in conventu presulum electorum et civitatum Romani Imperii dicta in Augusta Vindelica quarta Idus Aprilis anno a partu virginis millesimoquingentesimodecimo,,,,
Lumen confessorum,,,,
Malefitzsachen veindlicher Bekhanntnusser ingefangen den 30 Maii anno 1572 ... etc,,,,
"Manual of a Venetian consigliere, written for Giovanni Francesco Basadonna",,,,
Manuale Bernardi Canal notarii de Rippis,,,,
Manuscript bifolia from Liber aggregatus in medicinis simplicibus,,,,
Manuscript leaf,,,,
Manuscript leaf from a prose version of the Tristan legend,,,,
Manuscript leaf from an account of the Jewish Wars,,,,
Manuscript leaves from legal text,,,,
Manuscript list of manuscript and printed books,,,,
Map of district in Tarn-et-Garonne,,,,
Maqālah fī al-ʻamal bi-al-yad,مقالة في العمل باليد.,,,
Maqālah fī khalq al-insān,مقالة في خلق الانسان.,,,
Maria de Bonzi record of house sale,,,,
Marriage document,,,,
Matteo Piccolomini land contract,,,,
Matteo di Santi record of house sale,,,,
Medici contracts,,,,
Medici inventories for the L'Agliata estate,,,,
Meditationes /,,,,
Meditationes in duodecim primos psalmos Davidis prophetae in honorem 12 apostolorum,,,,
Meḳitse nirdamim,,,,
Memoriale ad passagium mortis tute faciendum /,,,,
Memorie manuscritte relative alla famiglia de Medici et all'istoria fiorentina,,,,
Mémoires d'estat,,,,
Monastic ritual and Passion sequence,,,,
Monocordium,,,,
Moralia sunt figuris utriusque testamenti ... etc,,,,
Morte dell'illustrissimo sig. Troilo Savello decapitato in Roma nel Castello Sant' Angelo alli 18 d'aprile 1592 /,,,,
Mulakhkhaṣ fī al-hayʼah,ملخص في الهيئه.,,,
Muntahá al-irādāt fī jamʻ al-Muqniʻ maʻa al-Tanqīḥ wa-ziyādāt,منتهى الارادات في جمع المقنع مع التنقيح وزيادات.,,,
Nado de Tolomeo assumption of guardianship,,,,
Neoplatonic and neopythagorean translations,,,,
Nonus Almansoris cum annotationibus Doctoris S?,,,,
Notarized account of Jacopo de Piccolomini agreement,,,,
Notated office book,,,,
Note on land transaction,,,,
Notebook of Amadori memoranda,,,,
Notebook of Giomi debtors and creditors,,,,
Notebook of Medici (?) accounts,,,,
Notebook of Medici accounts,,,,
Notebook of Medici(?) accounts and memoranda,,,,
Notebook of Ridolfi accounts,,,,
Notebook of Seccrani debtors and creditors,,,,
Notebook of memoranda,,,,
Notes on Aristotle's Ethics and Metaphysics,,,,
Officii et magistrati,,,,
Opuscula,,,,
Opuscula varia,,,,
Oraisons et confessions extraicts de plusieurs livres bien devotes,,,,
"Orationes legatorum Caroli VIII, regis Francorum ... etc",,,,
Orationi...sopra le discordie civile di Siena /,,,,
Ordo judicarius,,,,
Organon,,,,
Orvieto border arbitration,,,,
Ox payment decision,,,,
Partnership agreement,,,,
Passione del nostro signore cio e del venerdi sancto,,,,
Payment receipt,,,,
Payment request,,,,
Permission to Pedro de Anaya to erect a house,,,,
Persii opera,,,,
Petition for guardianship,,,,
Podestà of Fucecchio order,,,,
Pope Leo X brief,,,,
Pope Pius III agreement,,,,
Pope Pius III judgment,,,,
Pope Pius III judgment review,,,,
Pope Pius IV brief,,,,
Pope Sixtus V brief,,,,
Pope Sixtus V indulgence,,,,
Pratica deli devoti,,,,
Privilege of citizenship,,,,
Privileges for the Eremite Friars of St. Augustine,,,,
Privilegia et libertates,,,,
Proceedings of the inquisition under the podestà of Perugia and the administration of Alessandro Zeno,,,,
Processi contra il vescovo di Valva del 1500 ... etc,,,,
Processi per la signora Francesca di Vincenzo de' Medici... etc,,,,
"Processo contra Ysabel Rodriguez, natural dela Salceda en Portugal, muger de Manuel Diaz, mercader de Mexico ... etc",,,,
Processus? honorabilis procuratoris fiscalis heretice et apostatice pravitatis Archiepiscopatus civitatis Ceserauguste contra Johannem de Gurrea Pelliparinum habitatorem ville Exee militum super causa fidei,,,,
Procès criminel contre Girard Didelot blasphémateur (1569) (Dossier original),,,,
Prolegomena in Aristotelem,,,,
Property inventory of Bivigliano de' Medici,,,,
Property survey,,,,
Provinciale secundum provincias,,,,
Puccino Ferri deed,,,,
Quaternus protocollorum,,,,
Racccolti del entrata delle gabelle delle bestie di Firenze,,,,
Raccolta di celebri arcani chimici da diversi famosi filosofi dati in luce et esperimentati,,,,
Ratiffication pour noble Gaolon Garnier dit de la Galliniere,,,,
Rechnung vom Schiffmeister Ampt,,,,
Reconoychenssas de Salelas e de Lemosis,,,,
Record of the heresy trial of Johann von Wesel,,,,
Records of lawsuit,,,,
"Records of the Priorista of the city of Florence, 1282-1509",,,,
Regensburg indulgence,,,,
Registre des marches passes pour la reconstruction et les restaurations du chateau de Cancon,,,,
Registro del peage d'Arle,,,,
"Registro di lettere di monsignore archivescovo di Rossana che fu poi Papa Urbano Settimo della sua nunciatura di Spagna sotto Pio Quarto, Pio Quinto, e Gregorio Decimoterzo",,,,
Registrum ordinis Cysterciensis,,,,
Regolatori delle entrate e delle uscite order,,,,
Regulae artificialis memoriae,,,,
Regulae de longis et brevibus syllabis,,,,
Regulations for mills and bakeries,,,,
Relacion de la manera et forma que tienen en España en su justicia civil y criminal,,,,
"Relatione di Messer Vincenzo Fidele ritornato ambasciatore per la serenissima signoria di Venetia dal Signor Duca di Fiorenza, del Conte Filippo Maria Anguissola",,,,
Relatione di Savoia del Clarissimo Gio. Cornero al tempo del Duca Emanuel Filiberto,,,,
Rental agreement for property in Bonana,,,,
Repartimientto de las tierras de Écija quando segano delos moros,,,,
"Reports, letters, discourses and treaties",,,,
Rule,,,,
Rule of the Heilig-Geist-Spital in Eichstätt,,,,
"Rule, statutes, and customs of the Teutonic Order",,,,
Rumori di Napoli in tempo del governo del vicere Don Pietro di Toledo,,,,
Sacramental handbook,,,,
Sacramentale,,,,
Sale records,,,,
Sancti Augustini opera quaedam,,,,
Scartafaccio di Bartolomeo Corsini di fiera di Piacenza,,,,
Schedule of tariffs on goods entering the city of Siena,,,,
Scholia ex Georgicorum P. Vergilii carminibus undique excerpta,,,,
Schwebell zuem Pulffer unnd Feuuerwercken zue Beraitten,,,,
Seals of the planets,,,,
Sentencia contra el Almine,,,,
Sentenzia arbitraria ... por los conzejos de Quintana? y Valdenozeda y Lapuente,,,,
"Sentenzia arbitraria ... sobre el monte de Axzaedo, y otras cosas ano 1459 ante Juan Alfonso de Bene",,,,
Sharḥ-i Zīj Gūrgānī,شرح زیج گورگانی.,,,
Signoria order,,,,
Simone di Nicholo Petroni petition,,,,
"Societas Sanctae Annae per Poloniam, Lithuaniam, Russiam, et alias sancti? regis Poloniae ditiones instituta",,,,
Sommaria relatione et breve avviso della gran corte di Roma solo per istruttione di nuovo cardinale,,,,
Statements from the Council of Basel,,,,
Stefano d'Andrea appointment,,,,
"Storia d'Ungheria, dalle origini al 1539",,,,
Summa,,,,
"Summa delas coronicas de Vizcaya y algunos otros linajes de aquel señorio, la qual yo Castilla Rey de armas del susodicho Emperador y Rey nostro señor halle escritas en un quaderno, escrito ano M.cccc.iiii (corrected in later hand to fortè anno MCCCCC.IIII)",,,,
Summula de casibus,,,,
Survey of property in Tarn,,,,
Tafsīr al-Taḥrīr,تفسير التحرير.,,,
Taḥrīr Uṣūl al-handasah wa-al-ḥisāb,تحرير اصول الهندسة والحساب.,,,
Taḥṣīl al-munā fī sharḥ Talkhīṣ Ibn al-Bannāʼ,تحصيل المنا في شرح تلخيص ابن البناء.,,,
Tailles de Blois,,,,
Tax payment receipt,,,,
Tax table,,,,
Taxe cancellarie apostolice,,,,
Terms of payment,,,,
The names and armes of all the nobilitie who were in England at the tyme of King William the Conqueror,,,,
Three itineraries,,,,
Titus Flavius et alii opera tragica manuscripta,,,,
Tractato breve della via della salute ... etc,,,,
"Transaction dated July 4, 1447, relating to the disagreement between the clergy of the cathedral church of Arles and the vicar Dr. Jean Albalet",,,,
Treatise on practical mathematical calculation,,,,
Treatise on the seven deadly sins,,,,
Treatises on astronomical instruments,,,,
Tribunal arbitration,,,,
Tribunal nomination of guardian,,,,
Tsurat ha-arets ... etc,,,,
Two letters concerning the territories of the late Amaury de Sevrac,,,,
Università de' mercanti minutes,,,,
Verse chronicle of Metz,,,,
Versus reperti Hierosolimae in capella sepulchri domini nostri Jesu Christi,,,,
Vita di Bartolommeo di Meo di Taldo di Valore Rustichelli... /,,,,
"Vita, morte e miracoli di Bartolomeo Garosi detto Brandano e volgarmente detto il Pazzo di Gesù Christo ... etc",,,,
Vittoria Piccolomini dowry arrangement,,,,
Von den Tugenden ... etc,,,,
Wedding regulations,,,,
Welscher Krieg etwas zamengeclaupter Neuzeytt ... etc,,,,
Works on civil law,,,,
Ymbenttario delos bienes de Don Diego de Anaya,,,,
Ystoria gestorum Alexandri pueri magni,,,,
al-Bayān wa al-tidhkār fī ṣinʻat ʻamal al-ghubār,البيان و التذكار في صنعة عمل الغبار.,,,
al-Qāmūs al-muḥīṭ,القاموس المحيط.,,,
ʻIr siḥon,,,,
