title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label,authorized_label_add
"""Abd al-Majid Khan""",,,,,Abd al-Majid Khan
"""His Holiness Khwajah Nizam al-Din""",,,,,His Holiness Khwajah Nizam al-Din
"""Mustophy Mamalack,"" a Portrait of an Official Sitting Holding a Document",,,,,"""Mustophy Mamalack,"" a Portrait of an Official Sitting Holding a Document"
"""The Good Shepherd""",,,,,The Good Shepherd
12 miniatures with Biblical Scenes,,,,Miniatures;Biblical scenes,
"A Drawing of Sayyid Jalal Bukhari, Seated",,,,,Drawing of Sayyid Jalal Bukhari
A Drawing of a Woman by a Tree with a Peacock,,,,,Drawing of a Woman by a Tree with a Peacock
Ad adolescentes de legendis libris gentilium (Address to young men on the right use of greek literature),,,,Ad adolescentes de legendis libris gentilium,
Adoration of the Magi,,,,Miniature,
Africa,,,,Africa,
Ajbīyah. al-Salām la-ki yā Maryam.,[أجبية]. السلام لك يا مريم,,,,Ajbīyah. Al-Salām la-ki yā Maryam
Altar Card with the Deposition from the Cross,,,,Altar card,
Anna Peirce vs. John Stevens,,,,,Document; Anna Peirce vs. John Stevens
Antiphonal,,,,Antiphonary,
Antiphonal leaf with historiated initial leaf D depicting Christ healing the blind,,,,Antiphonary,
Antiphonal with Historiated Initial 'D',,,,Antiphonary,
Antiphonary,,,,Antiphonary,
"Antiphonary - Pentecost, three days following",,,,Antiphonary,
Antiphonary for Christmas,,,,Antiphonary,
Antiphonary for the feast of a virgin,,,,Antiphonary,
Antiphonary leaf with historiated D depicting St. John the Baptist,,,,Antiphonary,
"Antiphonary, Dominican use",,,,Antiphonary,
"Antiphonary, Feast of Saint Bartholomew",,,,Antiphonary,
"Antiphonary, diurnal (Ambrosian Rite)",,,,Antiphonary,
Antiquitates Judaicae,,,,Antiquitates judaicae,
Anvār-i Suhaylī.,انوار سهيلى,,,,Anvār-i Suhaylī
Anwār al-tanzīl wa-asrār al-taʼwīl.,أنوار التنزيل وأسرار التأويل,,,Anwār al-tanzīl wa-asrār al-taʼwīl,
Armenian,,,,Armenian fragment,
Armorial,,,,Armorial,
Ars Poetica (Art of Poetry); Carmen seculare; Epistolae (Epistles); Odes,,,,Ars poetica;Carmen seculare;Epistles;Odes,
Ars Poetica and Epistulae,,,,Ars poetica;Epistles,
Astronomical charts for Fatḥ-ʻAlī Shāh Qājār.,,,,,Astronomical charts for Fatḥ-ʻAlī Shāh Qājār
August calendar labor,,,,Calendar;August,
Aurora,,,,Aurora,
Betrothal and Marriage Ritual (perhaps from a Missal),,,,Betrothal and marriage ritual,
Bible,,,,Bible,
Bible Commentary,,,,Bible commentary,
"Bible Commentary on the Book of Job, Chapter 10",,,,Bible commentary,
Bible Commentary: Rabanus Maurus on Deuteronomy,,,,Bible commentary,
"Bible Concordance, Conrad of Halberstadt's",,,,Bible commentary,
Bible Concordance: Luc - Lus,,,,Biblical concordance,
Bible du XIIIe siècle,,,,Bible,
Bible historiale,,,,Bible,
"Bible, Epistles",,,,Bible;Epistles,
"Bible, Gospel of John",,,,Bible;Gospel of John,
"Bible, Gospels",,,,Bible;Gospels,
"Bible, Matthew",,,,Bible;Gospel of Matthew,
"Bible, glossed Epistles of Paul",,,,Bible;Epistles,
"Bible, glossed Mark",,,,Bible;Gospel of Mark,
"Bible, glossed minor prophets; Missal",,,,Bible;Minor prophets;Missal,
"Bible, with glossa ordinaria",,,,Bible;Glossa ordinaria,
Bible: Book of Tobit,,,,Bible;Tobit,
Bible: Colossians 4 - Thessalonians 1,,,,Bible;Epistles,
Bible: Ecclesiastes,,,,Bible;Ecclesiastes,
Bible: Ecclesiastes 16:18 - 25:2,,,,Bible;Ecclesiastes,
Bible: Esther 16:10 - end; Jerome's Prologue to Esdra; excerpts from I Esdra and II Esdra,,,,Bible,
"Bible: Exodus 22:28 - 23:3,11-15",,,,Bible;Exodus,
"Bible: Ezra 2() - 6:4; Tobias, Prologue 1:1-4, 23",,,,Bible,
"Bible: Ezra, Chapter 6",,,,Bible;Ezra,
Bible: Hebrews 1:1-9,,,,Bible;Hebrews;Epistles,
Bible: Jeremiah 5:27 - 6:27,,,,Bible;Jeremiah,
Bible: Job 35:10-37:21,,,,Bible;Job,
Bible: Judith 5:2 - 8:1; Job 1:15 - 6:29,,,,Bible;Judith;Job,
Bible: Judith 8:1 - 11:10,,,,Bible;Judith,
Bible: Kings III 22:54 - Kings IV 1:3,,,,Bible;Kings,
Bible: Luke 15:15-27; 16:19 - 17:2,,,,Bible;Gospel of Luke,
Bible: Mark and Prologue to Luke,,,,Bible;Gospel of Mark,
Bible: Numbers,,,,Bible;Numbers,
Bible: Romans,,,,Bible;Romans;Epistles,
Bible; Notes on a church synod,,,,Bible;Notes on a church synod,
Biblical commentary,,,,Bible commentary,
Biblical commentary on the Old Testament--I Kings - Esther,,,,Bible commentary,
"Biblical commentary on the Pentateuch (Exodus, Leviticus, Numbers)",,,,Bible commentary,
Biography of Petrarch; Glosse de libris meteororum (Gloss on the Book of Meteors); Glosse de libris meteororum IV (Gloss on the Book of Meteors IV),,,,Miscellany,
Bishop,,,,Illuminated initial,
Bishop kneeling in prayer,,,,Miniature,
"Book in Arabic on calendars, planets and astrology.",,,,,"Book on calendars, planets and astrology"
Book mark,,,,Book mark,
Book of Hours,,,,Book of hours,
Book of Hours (in French),,,,Book of hours,
Book of Hours by the Master of the Dark Eyes,,,,Book of hours,
"Book of Hours, Use of Besançon?",,,,Book of hours,
"Book of Hours, Use of Bourges",,,,Book of hours,
"Book of Hours, Use of Châlons",,,,Book of hours,
"Book of Hours, Use of Coutances",,,,Book of hours,
"Book of Hours, Use of Paris",,,,Book of hours,
"Book of Hours, Use of Rome",,,,Book of hours,
"Book of Hours, Use of Rouen",,,,Book of hours,
"Book of Hours, Use of Sarum (""The John Browne Hours"")",,,,Book of hours;John Brown Hours,
"Book of Hours, Use of Soissons?",,,,Book of hours,
"Book of Hours, Use of Troyes",,,,Book of hours,
"Book of Hours, Use of Utrecht",,,,Book of hours,
"Book of Hours, Use of Utrecht; Scenes from the Life of Christ",,,,Book of hours;Scenes from the life of Christ,
"Book of Hours, in Latin and French (printed)",,,,Book of hours,
"Book of Hours, use of Bourges",,,,Book of hours,
"Book of Hours, use of Paris",,,,Book of hours,
"Book of Hours, use of Rennes",,,,Book of hours,
"Book of Hours, use of Rome",,,,Book of hours,
"Book of Hours, use of Rome; Litany and Prayers",,,,Book of hours;Litany;Prayers,
"Book of Hours, use of Tours",,,,Book of hours,
"Book of Hours: Penitential Psalms 31, 50",,,,Book of hours,
"Book of hours, Use of Paris",,,,Book of hours,
Border Fragment,,,,Border fragment,
Border detail fragment,,,,Illuminated initial,
Breviary,,,,Breviary,
"Breviary (non-Roman), Saints Firminus, Cyprian and Justina, Cosmas and Damian, Sept. 26-27",,,,Breviary,
"Breviary (not Roman), Saints Cornelius and Cyprian, Saint Ursula and Companions, Sept. 16 and Oct. 21",,,,Breviary,
Breviary (or Psalter),,,,Breviary;Psalter,
"Breviary, 17th Sunday after Pentecost and the following four days",,,,Breviary,
"Breviary, 1st-2nd Sunday of Advent",,,,Breviary,
"Breviary, 3rd Sunday of November and 20th day after Pentecost",,,,Breviary,
"Breviary, Aug. 6-7",,,,Breviary,
"Breviary, Cistercian use",,,,Breviary,
"Breviary, Feast of Saint Lawrence, Aug. 10",,,,Breviary,
"Breviary, Octave of the Epiphany (Jan. 13), with commemoration of Saints Remigius and Hilary",,,,Breviary,
"Breviary, Saint Michael the Archangel, Sept. 29",,,,Breviary,
"Breviary, Susanna, Aug. 11",,,,Breviary,
"Breviary, Use of Ghent",,,,Breviary,
"Breviary, Visitation, July 2nd",,,,Breviary,
"Breviary, after the 1st Sunday in Lent and Ember Saturday, with neumes",,,,Breviary,
"Breviary, with neumes",,,,Breviary,
Britton,,,,Britton,
Brut Chronicle,,,,Chronicle,
Būstān.,[بوستان],,,,Būstān
"Calendar, July-October",,,,Calendar,
Canon Law,,,,Canon law,
Canon Law Commentary,,,,Commentary on canon law,
"Canon Law Commentary, Chapters 7-8 (examination of candidates for ordination)",,,,Commentary on canon law,
Canon Law Treatise,,,,Treatise on canon law,
Canon Law: 'De Iure Iurando' and Concerning Emperor Henry by a Pope,,,,De lure lurando;Concerning emperor Henry by a pope,
Canon Law: De Religiosis,,,,De religiosis,
Canon Law: Excerpts from the Decretals,,,,Decretals,
Canon Law: Treatise on Matrimony,,,,Canon law;Treatise on marriage,
Canon super almanach; De 12 signis et eorum naturis in generali,,,,Canon super almanach;De 12 signis et eorum naturis in generali,
Carmen in honorem Beatae Mariae Virginis,,,,Carmen in honorem beatae mariae virginis,
Carta executoria,,,,Carta executoria,
Carta executoria a pedimiento de Alonso Mendez de Parada,,,,Carta executoria,
"Carta executoria, in favor of Juan de Londono",,,,Carta executoria,
"Carta executoria, in favor of Luís and Andrés Ordóñez",,,,Carta executoria,
Carta pisana; Sententiae (Sentences),,,,Carta pisana;Sententiae,
Catholicon of Johannes Balbus,,,,Catholicon,
Chart of Consanguinity; Schwabenspiegel Landrecht (Common Law of the Swabians),,,,Chart of consanguinity;Schwabenspiegel landrecht,
Charter,,,,Charter,
Charter (in English),,,,Charter,
Charter (in French),,,,Charter,
"Charter, England",,,,Charter,
"Charter, Poughley Priory",,,,Charter,
Choir book,,,,Choir book,
Choir books,,,,Choir book,
Choir psalter,,,,Psalter,
Choir psalter and Hymnal,,,,Choir psalter;Hymnal,
Choir psalter; Hymnal,,,,Choir psalter;Hymnal,
Chronica summorum pontificum et imperatorum romanorum (Chronicle of Popes and Emperors),,,,Chronica summorum pontificum et imperatorum romanorum,
Chronici canones,,,,Chronici canones,
"Chronicle of the History of the World from Creation to Woden, with a Genealogy of Edward IV",,,,Chronicle,
"Civil Law: Justinian, Digests, Liber XXVII",,,,Digests,
Coat of arms,,,,Coat of arms,
"Collationes XXIV, incomplete",,,,Collationes,
Collection of stories in Hindustani.,,,,,Collection of stories in Hindustani
Comediae,,,,Comediae,
Commentary on Canon Law (dealing with the Mendicants),,,,Commentary on canon law,
Commentary on Canon Law: Chapter V (De Libellis Famosis),,,,Commentary on canon law,
Commentary on Civil Law,,,,Commentary on civil law,
Commentary on John 3:12-13,,,,Commentary on John;Gospel of John,
Commentary on Luke 9:32-38,,,,Commentary on Luke;Gospel of Luke,
Commentary on Psalm 82:10-13,,,,Commentary on Psalms;Psalms,
Commentary on Romans 3-4,,,,Commentary on Romans;Epistles,
Commentary on the Apocalypse 16:1-3,,,,Commentary on Apocalypse;Apocalypse,
Commentary on the Lord's Prayer,,,,Commentary on the Lord's prayer,
Commentary on the altar at the temple,,,,Miniature,
"Commentary or Homilies, John 21",,,,Commentary on John;Gospel of John;Homilies,
"Commentary, Daniel 2:12-31, sections 8-11",,,,Commentary on Daniel;Daniel,
"Commentary, Luke",,,,Commentary on Luke;Gospel of Luke,
"Commentary, Matthew 8:1-4",,,,Commentary on Matthew;Gospel of Matthew,
"Commentary, Psalms 136:7 - 137:4; Psalms 138:21 - 139:6",,,,Commentary on Psalms;Psalms,
"Commentary, literary or historical",,,,Commentary,
Communal Constitution,,,,Communal constitution,
Compendium historiae in genealogia Christi (Historical Compendium of the Genealogy of Christ),,,,Compendium historiae in genealogia Christi,
Compendium historiae in genealogia Christi (The Compendium of History in the Genealogy of Christ); Explanation of the Wheel of Sevens,,,,Compendium historiae in genealogia Christi;explanation of the Wheel of Sevens,
"Compendium historiae in genealogia christi (Historical compendium of the genealogy of Christ), with a treatise on the candelabrum",,,,Compendium historiae in genealogia christi;treatise on the candelabrum,
Compendium logicae (Compendium of logic),,,,Compendium logicae,
Complaint,,,,Complaint,
Complementum in partem III Summae S. Thomae de Aquino (Complement to the third part of the Summae of St. Thomas Aquinas),,,,Complementum in partem III summae S. Thomae de Aquino,
Condition of Obligation,,,,Condition of obligation,
Constitutiones clementinae (Clementine constitutions),,,,Constitutiones clementinae,
Coptic (from an Egyptian mummy case),,,,Coptic fragment,
Coptic hymns and prayers.,,,,,Coptic hymns and prayers
Corpus iuris civilis (Corpus of Civil Law),,,,Corpus iuris civilis,
Corpus iuris civilis (Corpus of civil law),,,,Corpus iuris civilis,
Court Scene,,,,Corpus iuris civilis;Miniature,
Cutting from an antiphonary,,,,Antiphonary,
Dalāʼil al-khayrāt wa shawāriq al-anwār fī dhikr al-ṣalawāt ʻalá al-nabī al-mukhtār.,دلائل الخيرات و شوارق الانوار في ذكر الصلوات على النبي المختار,,,Dalāʼil al-khayrāt,
Dalāʼil al-khayrāt wa shawāriq al-anwār fī dhikr al-ṣalāh ʻalá al-nabī al-mukhtār.,دلائل الخيرات و شوارق الانوار في ذكر الصلوة على النبي المختار,,,Dalāʼil al-khayrāt,
Dalāʼil al-khayrāt wa-shawāriq al-anwār fī dhikr al-ṣalāh ʻalá al-Nabī al-mukhtār.,دلائل الخيرات وشوارق الانوار في ذكر الصلوة على النبي المختار,,,,Dalāʼil al-khayrāt wa-shawāriq al-anwār fī dhikr al-ṣalāh ʻalá al-Nabī al-mukhtār
"Daniel 13:1-29, with part of Jerome's rubric and marginal and interlinear commentaries",,,,Bible;Daniel,
David and Bathsheba,,,,Miniature,
De Noe et Arca,,,,De noe et arca,
"De Sancto Iacobo Minore, Chapter 2",,,,De sancto iacobo minore,
De Virginitate (prose version),,,,De virginitate,
De amore et dilectione Dei (On the love and favor of God); De doctrina dicendi et tacendi (On the doctrine of speaking and keeping silent); De ritu et moribus Indorum (On the rites and ways of the Indians); Historia de preliis Alexandri Magni (History of the battles of Alexander the Great); Pseudo-Sibylline Prophecy; Sermones quattuor (Four sermons),,,,De amore Dei;Liber de doctrina dicendi et tacendi;De ritu et moribus Indorum;Historia de preliis Alexandri Magni;Sibylline Oracles;Sermons,
De casu diaboli (On the Fall of the Devil),,,,De casu diaboli,
De censuris ecclesiasticis; Three papal bulls,,,,Tractatus de censuris ecclesiasticis;Bull,
De claustro animae (The cloister of the soul),,,,De claustro animae,
De consideratione (On Consideration),,,,De consideratione,
De consolatione philosophiae; De mirabilis mundi; Grammatical treatise ?; Unidentified theological treatise; Miscellany,,,,De consolatione philosophiae;De mirabilibus mundi;Grammar;Theology;Miscellany,
De differentia translationis nostrae ab hebraica littera veteris testamentum,,,,De differentia translationis nostrae ab hebraica littera veteris testamentum,
De forma honestae vitae; De institutione monachorum,,,,De forma honestae vitae;De institutione monachorum,
De precetti della lege divina sacramento simbolo et altre cose della dottrina christiana,,,,De precetti della lege divina sacramento simbolo et altre cose della dottrina christiana,
De primo bello punico (On the first Punic War),,,,De primo bello punico,
De quattuor virtutibus caritatis (On the four virtues of charity),,,,De quattuor virtutibus caritatis,
De sermone domini in monte habito (On the sermon on the mount) and other treatises; De superbia (On pride) and other treatises; Expositio dominice orationis (Exposition on the lord's prayer),,,,Sermons;De superbia;Orationes,
"Death with armful of symbols of rank, in a churchyard",,,,Miniature,
Deccani portrait album.,,,,,Deccani portrait album
Decorated Initial Music Fragment,,,,Decorated initial,
Decorated border detail,,,,Illuminated initial,
Decorated initial A,,,,Decorated initial,
Decorated initial B,,,,Decorated initial,
Decorated initial C,,,,Decorated initial,
Decorated initial D,,,,Decorated initial,
Decorated initial G,,,,Decorated initial,
Decorated initial H,,,,Decorated initial,
Decorated initial I,,,,Decorated initial,
Decorated initial L,,,,Decorated initial,
Decorated initial M,,,,Decorated initial,
Decorated initial N,,,,Decorated initial,
Decorated initial O,,,,Decorated initial,
Decorated initial P,,,,Decorated initial,
Decorated initial Q,,,,Decorated initial,
Decorated initial S,,,,Decorated initial,
Decorated initial T,,,,Decorated initial,
Decretales Gregorii IX,,,,Decretales Gregorii IX,
Decretals,,,,Decretals,
Decretals with Glossa ordinaria of bernardo da parma,,,,Decretals,
Decretum,,,,Decretals,
Deed,,,,Deed,
Deed Recording a Grant (in French),,,,Deed,
"Deuteronomy 4:14-18, 19-25, 27-33, 34-40, with marginal commentary of Saint Augustine",,,,Bible;Deuteronomy,
Devotional Book.,,,,Devotional book,
Devotional Image (Andachtsbild),,,,Devotional image,
Devotional book.,,,,Devotional book,
Devotional extracts from the bible,,,,Devotional text,
Devotional text,,,,Devotional text,
Didactic Verse,,,,Didactic verse,
Didactic verse,,,,Didactic verse,
Die Vierundzwanzig Alten oder Der goldene Thron (The Twenty-Four Elders or the Golden Throne),,,,Die vierundzwanzig alten oder der goldene thron,
Divan-i Bâkî.,ديوان باقى,,,,Divan-i Bâkî
Document,,,,Document;fragment,
Dogale,,,,Dogale,
Dominican friar,,,,Miniature,
"Drawing of Emperor Akbar, Emperor Jahangir, and Shah Jahan",,,,,"Drawing of Emperor Akbar, Emperor Jahangir, and Shah Jahan"
Drawing of Emperor Jahangir Leaning on His Sword,,,,,Drawing of Emperor Jahangir
Drawing of Shapur the Great Accepting the Surrendor of Emperor Valerian,,,,,Drawing of Shapur the Great
Drawing of Sri Kishu,,,,,Drawing of Sri Kishu
Drawing of Two Men with Fragments of Quran Leaf Pasted On,,,,Qurʼan,
Drawing of Two Young Men Under a Tree,,,,,Drawing of Two Young Men Under a Tree
Drawing of a Bearded Man in a Turban,,,,,Drawing of a Bearded Man in a Turban
Drawing of a Couple Entertained in a Garden Pavilion,,,,,Drawing of a Couple in a Garden Pavilion
Drawing of a Man Begging Favors from Two Young Women,,,,,Drawing of a Man Begging Favors from Two Young Women
Drawing of a Man Offering a Cup of Wine to a Woman,,,,,Drawing of a Man Offering a Cup of Wine to a Woman
Drawing of a Man Standing by a Tree with Wine,,,,,Drawing of a Man Standing by a Tree with Wine
Drawing of a Man in Profile Wearing a Turban,,,,,Drawing of a Man in Profile Wearing a Turban
Drawing of a Mughal Nobleman Seated Holding a Flower,,,,,Drawing of a Mughal Nobleman Seated Holding a Flower
Drawing of a Prince Being Entertained by Musicians,,,,,Drawing of a Prince Being Entertained by Musicians
Drawing of a Sikh Warrior on Horseback,,,,,Drawing of a Sikh Warrior on Horseback
Drawing of a Young Man with Mace and Shield,,,,,Drawing of a Young Man with Mace and Shield
Drawing of a Young Man with a Fur Collar and Hat,,,,,Drawing of a Young Man with a Fur Collar and Hat
Drawing of a Young Prince,,,,,Drawing of a Young Prince
Drawing of a Young Woman Pouring Wine for Her Dog,,,,,Drawing of a Young Woman Pouring Wine for Her Dog
Drawing of a Young Woman Sitting in a Tree,,,,,Drawing of a Young Woman Sitting in a Tree
Drawing of a young flute player,,,,Drawing,
Drawing of an Unidentified Mughal Nobleman Leaning on His Staff,,,,,Drawing of an Unidentified Mughal Nobleman
Drawing of an Unidentified Nobleman on a Red Background; Painting of Three Women at a Temple,,,,,Drawing of an Unidentified Nobleman; Painting of Three Women at a Temple
Durr-i majālis.,در مجالس,,,,Durr-i majālis
Dīvān-i Khusraw va ʻIṣmat.,[دىوان خسرو و عصمت],,,,Dīvān-i Khusraw va ʻIṣmat
Dīvān-i Viṣāl.,[ديوان وصال],,,,Dīvān-i Viṣāl
Dīvān-i Ḥāfiẓ.,[ديوان حافظ],,,,Dīvān-i Ḥāfiẓ
Enarratio in prophetam Isaiam,,,,Enarratio in prophetam Isaiam,
Enarrationes in psalmos (Expositions on the Psalms),,,,Enarrationes in psalmos,
Enarrationes in psalmos (Expositions on the psalms); Initials (ABC); Prayer,,,,Expositions on the psalms;Prayer,
Epistola ad Iheronimum (Letter to Jerome); Vitae patrum (Lives of the Fathers),,,,Epistola ad Iheronimum;Vitae patrum,
Epistolae ad familiares (Letters to friends),,,,Epistolae ad familiares,
Epistolary,,,,Epistolary,
Evangelary,,,,Evangeliary;Gospels,
Evangelistary Fragment,,,,Evangeliary;Gospels,
Excerpta orationum Demosthenis et Aeschini (Excerpts of the Orations of Demosthenes and Aeschines); Historia Romana (History of Rome),,,,Excerpta orationum Demosthenis et Aeschini;Historia romana,
Excerpts from De viris illustribus (On Famous Men); Excerpts from the Supplementum chronicarum; Excerpts from the Vita Henrici Quinti (Life of Henry V); Excerpts from works on Venice; Rumores e venetiis allati...,,,,Miscellany,
Expositio in civitatem dei S. Augustini (Commentary on St. Augustine's City of god),,,,Expositio in civitatem dei S. Augustini,
Expositio psalmorum (Commentary on the Psalms),,,,Commentary on Psalms;Psalms,
Expositio super orationem dominicam (Exposition on Sunday oration); Expositio super salutationem angelicam (Exposition on the annunciation),,,,Expositio super orationem dominicam;Expositio super salutationem angelicam,
Exultet--music manuscript,,,,Exultet;music,
Female Saint with Attendant Transporting a Reliquary by Boat,,,,Historiated initial;Music,
Flight into Egypt,,,,Miniature;Music,
Flores; religious miscellany,,,,Flores;miscellany,
Forged initial T,,,,Forgery,
Forged miniature panel,,,,Forgery,
Forgery,,,,Forgery,
Forgery fragment,,,,Forgery,
Four Lines of Calligraphy from the Qasidat al-Burda,,,,,Four Lines of Calligraphy from the Qasidat al-Burda
Fragment attached to a paper fly-leaf: Medical text,,,,Medical fragment,
"Fragment in French, from a binding",,,,Binding fragment,
Fragment of a Martyrology,,,,Martyrology,
Fragment of a Menologium,,,,Menologium,
Fragment of a Missal,,,,Missal,
Fragment of a lectionary,,,,Lectionary,
Fragments from a Gradual,,,,Gradual,
"Frontispiece from a Dogale, depicting the Transfiguration",,,,Dogale frontispiece,
"Frontispiece from a Dogale, with Contarini arms",,,,Dogale frontispiece,
Fuero real (Royal municipal code),,,,Fuero real,
Futūḥ al-Ḥaramayn.,[فتوح الحرمين],,,,Futūḥ al-Ḥaramayn
Genealogical and dynastic tables.,,,,,Genealogical tables
Genealogical tables.,,,,,Genealogical tables
Genesis 1:20 - 5:4,,,,Bible;Genesis,
Genesis 9:27 - 15:4,,,,Bible;Genesis,
Gesta regum Anglorum (Deeds of the English Kings); Historia regum Britanniae (History of the Kings of Britain),,,,Gesta regum Anglorum;Historia regum Britanniae,
"Glossary of Biblical Names, Ez - Fi",,,,Glossary,
"Glossary of Names, A-B",,,,Glossary,
Glossary of Words Applied to the Virgin Mary,,,,Glossary,
Golden Bull of Charles IV,,,,Golden bull,
Gospel Lectionary,,,,Lectionary,
Gospel lectionary,,,,Lectionary,
Gospels. Questions and answers about Arabic grammar.,,,,,Gospels; grammar
Gradual,,,,Gradual,
Gradual or Missal,,,,Gradual;Missal,
Gradual or Missal with Neumes,,,,Gradual;Missal,
"Gradual, 4th Sunday of Lent, the day following",,,,Gradual,
"Gradual, Holy Saturday until Rogation Days",,,,Gradual,
"Gradual, May 1-3",,,,Gradual,
"Gradual: Hymn, 'Te deum laudamus, Agnus dei'",,,,"Gradual;Te deum laudamus, Agnus dei",
"Gradual: Quinquagesima Sunday, Ash Wednesday, et al.",,,,Gradual,
"Gradual: Second to Fourth Sundays after Easter, with neumes",,,,Gradual,
Grammatical Logical Treatise,,,,Treatise on grammar;Logic,
Grammatical Text with Commentary,,,,Grammar,
Grammatical Treatise,,,,Treatise on grammar,
Grammatical treatise,,,,Treatise on grammar,
Grant,,,,Grant,
Greek or Coptic on papyrus,,,,Greek or Coptic on papyrus,
Greek text,,,,Greek text,
"Gregory the Great, Commentary on Job",,,,Commentary on Job;Job,
"Gregory the Great, Liber Regulae Pastoralis",,,,Liber regulae pastoralis,
Gulistān.,[گلستان],,,,Gulistān
Gulshan-i ʻishq.,گلشن عشق,,,,Gulshan-i ʻishq
Harmony of the Bible,,,,Harmony of the Bible,
Haza rūznāme-yi Dārendevī.,هذا روزنامۀ دارنده‌وى,,,,Haza rūznāme-yi Dārendevī
Hexameron,,,,Hexameron,
Historia belli civilis inter Caesarem et Pompeium,,,,Historia belli civilis inter Caesarem et Pompeium,
Historia hierosolymitana (History of Jerusalem),,,,Historia hierosolymitana,
Historia scholastica,,,,Historia Scholastica,
Historiated Initial,,,,Historiated initial,
Historiated Initial A,,,,Historiated initial,
Historiated initial,,,,Historiated initial,
Historiated initial A depicting Christ as the Good Shepherd,,,,Historiated initial,
Historiated initial A depicting a cleric,,,,Historiated initial,
Historiated initial A depicting the Agnus Dei,,,,Historiated initial,
Historiated initial A depicting the Virgin enthroned,,,,Historiated initial,
Historiated initial A from an antiphonary depicting the Agnus Dei,,,,Historiated initial,
Historiated initial A from an antiphonary depicting the Invocation of the Virgin Mary,,,,Historiated initial,
Historiated initial B depicted Saints Nicholas and Julian,,,,Historiated initial,
Historiated initial C depicting a bishop,,,,Historiated initial,
Historiated initial C depicting the Last Supper,,,,Historiated initial,
"Historiated initial C from an antiphonary, with a Saint, possibly St. Ambrose, praying to God",,,,Historiated initial,
Historiated initial D,,,,Historiated initial,
Historiated initial D depicting Christ's entry into Jerusalem,,,,Historiated initial,
Historiated initial D depicting St. Barbara,,,,Historiated initial,
Historiated initial D depicting a male saint,,,,Historiated initial,
Historiated initial D depicting a monk,,,,Historiated initial,
"Historiated initial D from a breviary depicting St. Nicholas, Bishop of Myra",,,,Historiated initial,
"Historiated initial D from a gradual, depicting the baptism of Christ",,,,Historiated initial,
"Historiated initial D from an antiphonary, depicting St. Paul",,,,Historiated initial,
Historiated initial E depicting Christ and three angels,,,,Historiated initial,
Historiated initial E depicting a male saint,,,,Historiated initial,
Historiated initial E depicting the destruction of the Egyptians in the Red Sea,,,,Historiated initial,
Historiated initial G depicting All Saints,,,,Historiated initial,
Historiated initial G depicting John and Peter discovering the empty tomb,,,,Historiated initial,
Historiated initial G depicting the Assumption,,,,Historiated initial,
"Historiated initial G depicting the Trinity with saints below, including Mary and John the Baptist",,,,Historiated initial,
Historiated initial G from an antiphonary depicting David as a musician,,,,Historiated initial,
Historiated initial G from an antiphonary depicting the Invention of the Cross,,,,Historiated initial,
Historiated initial I depicting Joshua's messengers returning from the Promised Land,,,,Historiated initial,
"Historiated initial I depicting a pope, cardinal, and bishops",,,,Historiated initial,
Historiated initial I from a missal depicting St. Luke writing,,,,Historiated initial,
Historiated initial L depicting the supper at Emmaus,,,,Historiated initial,
"Historiated initial L from a gradual, depicting Christ",,,,Historiated initial,
Historiated initial M depicting God the Father surrounded by the four Gospels,,,,Historiated initial,
Historiated initial M depicting Saint Margaret of Antioch,,,,Historiated initial,
Historiated initial M depicting the parable of the Good Shepherd,,,,Historiated initial,
Historiated initial N depicting St. Helena finding the True Cross,,,,Historiated initial,
"Historiated initial N from an antiphonary, depicting St. John the Baptist",,,,Historiated initial,
Historiated initial O depicting David in Prayer,,,,Historiated initial,
"Historiated initial O depicting St. Dominic preaching on the Ascension; above, Christ in a mandorla",,,,Historiated initial,
Historiated initial O depicting a cleric,,,,Historiated initial,
Historiated initial O depicting the Ascension,,,,Historiated initial,
"Historiated initial O depicting the Resurrected Christ, St. Thomas, and the Apostles",,,,Historiated initial,
Historiated initial O from an antiphonal depicting a prophet (Ezekiel),,,,Historiated initial,
Historiated initial O from an antiphonary depicting clergy communing with God,,,,Historiated initial,
"Historiated initial O with a pope kneeling at an altar, communing with an angel",,,,Historiated initial,
"Historiated initial P from an antiphonary, depicting St. Peter of Verona",,,,Historiated initial,
"Historiated initial P from an antiphonary, depicting the Nativity",,,,Historiated initial,
Historiated initial R depicting Christ sitting in judgment,,,,Historiated initial,
Historiated initial S depicting All Saints,,,,Historiated initial,
Historiated initial S depicting the Assumption,,,,Historiated initial,
Historiated initial S depicting the Presentation in the Temple,,,,Historiated initial,
"Historiated initial S from an antiphonary, depicting King David communing with God",,,,Historiated initial,
Historiated initial U depicting Samson removing the Gates of Gaza,,,,Historiated initial,
Historiated initial U depicting the Resurrected Christ blessing Mary Magdalene,,,,Historiated initial,
Historiated initial U depicting the second miraculous catch of fish,,,,Historiated initial,
Historiated initial U with female saint,,,,Historiated initial,
Historiated initial depicting Virgin Mary,,,,Historiated initial,
"Historiated initial, forged",,,,Forgery,
"Homilia XI, In vigilia Pentecostes",,,,In vigilia pentecostes,
Hours of Louis XII (formerly Hours of Henry VII),,,,Book of hours;Hours of Louis XII,
Hymnal,,,,Hymnary,
