row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,instance_of,authorized_label,structured_value
11,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T00:45:17.090926Z | NAME RECON STEP 3: START HUMAN RECON 2022-10-07T00:46:18.870783Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-10-07T00:46:27.664033Z | NAME RECON STEP 6: START ORG RECON 2022-10-07T00:50:00.588020Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-10-07T00:50:09.147273Z | NAME RECON STEP 9: FINALIZED 2022-10-07T00:52:23.865568Z",Acquired before February 1992 and probably in library for many decades.,former owner,,,,,
12,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T00:45:17.090937Z | NAME RECON STEP 3: START HUMAN RECON 2022-10-07T00:46:18.870796Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-10-07T00:46:27.664038Z | NAME RECON STEP 6: START ORG RECON 2022-10-07T00:50:00.588023Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-10-07T00:50:09.147281Z | NAME RECON STEP 9: FINALIZED 2022-10-07T00:52:23.865578Z","Acquired by Bancroft Library UC Berkeley from J. Rosenthal (1936). Previous call numbers Ac 533, 2MS HF5616 G4H5.",former owner,,,,,
13,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T00:45:17.090946Z | NAME RECON STEP 3: START HUMAN RECON 2022-10-07T00:46:18.870804Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-10-07T00:46:27.664048Z | NAME RECON STEP 6: START ORG RECON 2022-10-07T00:50:00.588028Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-10-07T00:50:09.147285Z | NAME RECON STEP 9: FINALIZED 2022-10-07T00:52:23.865583Z","Acquired by Bancroft Library UC Berkeley with the library of C. K. Ogden, 1957. Previous call number 2MS DA358 S55.",former owner,,,,,
14,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T00:45:17.090961Z | NAME RECON STEP 3: START HUMAN RECON 2022-10-07T00:46:18.870877Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-10-07T00:46:27.664057Z | NAME RECON STEP 6: START ORG RECON 2022-10-07T00:50:00.588031Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-10-07T00:50:09.147290Z | NAME RECON STEP 9: FINALIZED 2022-10-07T00:52:23.865587Z","Acquired by Karen Gould (1946-2012) from Goodspeed’s Bookshop, Boston, July 6, 1981; gift of Lewis Gould to the Nelson-Atkins Museum of Art in 2012 in his wife's memory.",former owner,,,,,
15,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T00:45:17.090972Z | NAME RECON STEP 3: START HUMAN RECON 2022-10-07T00:46:18.870887Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-10-07T00:46:27.664063Z | NAME RECON STEP 6: START ORG RECON 2022-10-07T00:50:00.588034Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-10-07T00:50:09.147304Z | NAME RECON STEP 9: FINALIZED 2022-10-07T00:52:23.865593Z","Acquired by Karen Gould (1946-2012) from Phillip Pirages, possibly his catalogue 24, November 1987; gift of Lewis Gould to the Nelson-Atkins Museum of Art in 2012 in his wife's memory.",former owner,,,,,
16,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T00:45:17.090981Z | NAME RECON STEP 3: START HUMAN RECON 2022-10-07T00:46:18.870894Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-10-07T00:46:27.664073Z | NAME RECON STEP 6: START ORG RECON 2022-10-07T00:50:00.588039Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-10-07T00:50:09.147310Z | NAME RECON STEP 9: FINALIZED 2022-10-07T00:52:23.865597Z",Acquired by Karen Gould Fund. Gift of Lewis Gould to the Nelson-Atkins Museum of Art in 2014 in his wife's memory.,former owner,,,,,
17,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T00:45:17.091004Z | NAME RECON STEP 3: START HUMAN RECON 2022-10-07T00:46:18.870905Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-10-07T00:46:27.664079Z | NAME RECON STEP 6: START ORG RECON 2022-10-07T00:50:00.588042Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-10-07T00:50:09.147314Z | NAME RECON STEP 9: FINALIZED 2022-10-07T00:52:23.865600Z","Acquired by Linda Ehrsam Voigts from Bernard M. Rosenthal in 1975, and given by her to the Karen Gould Collection of the Nelson-Atkins Museum of Art in 2012.",former owner,,,,,
18,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T00:45:17.091015Z | NAME RECON STEP 3: START HUMAN RECON 2022-10-07T00:46:18.870911Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-10-07T00:46:27.664190Z | NAME RECON STEP 6: START ORG RECON 2022-10-07T00:50:00.588045Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-10-07T00:50:09.147322Z | NAME RECON STEP 9: FINALIZED 2022-10-07T00:52:23.865616Z",Acquired by Linda Ehrsam Voigts from Philip Pirages and given by her to the Karen Gould Collection of the Nelson-Atkins Museum of Art in 2012.,former owner,,,,,
19,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T00:45:17.091024Z | NAME RECON STEP 3: START HUMAN RECON 2022-10-07T00:46:18.870917Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-10-07T00:46:27.664201Z | NAME RECON STEP 6: START ORG RECON 2022-10-07T00:50:00.588056Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-10-07T00:50:09.147327Z | NAME RECON STEP 9: FINALIZED 2022-10-07T00:52:23.865621Z","Acquired by Maggs from Henry White (1902, n. 2238); acquired James K. Moffitt from Davis and Orioli (cat. XXXIX, n. 9); bequest of Moffitt to the Bancroft Library, UC Berkeley (1956). Previous call numbers MAR 34, 2MS PA6801 A106 1400.",former owner,,,,,
20,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T00:45:17.091039Z | NAME RECON STEP 3: START HUMAN RECON 2022-10-07T00:46:18.870926Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-10-07T00:46:27.664210Z | NAME RECON STEP 6: START ORG RECON 2022-10-07T00:50:00.588060Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-10-07T00:50:09.147331Z | NAME RECON STEP 9: FINALIZED 2022-10-07T00:52:23.865625Z",Acquired by the Bancroft Library UC Berkeley (1966). Previous call number t2MS uncat 1966 11.35.,former owner,,,,,
21,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T00:45:17.091050Z | NAME RECON STEP 3: START HUMAN RECON 2022-10-07T00:46:18.870933Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-10-07T00:46:27.664216Z | NAME RECON STEP 6: START ORG RECON 2022-10-07T00:50:00.588063Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-10-07T00:50:09.147339Z | NAME RECON STEP 9: FINALIZED 2022-10-07T00:52:23.865636Z",Acquired by the Bancroft Library UC Berkeley from Bernard Rosenthal (1966). Previous call number 2MS uncat 1966 11.28.,former owner,,,,,
22,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T00:45:17.091059Z | NAME RECON STEP 3: START HUMAN RECON 2022-10-07T00:46:18.870938Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-10-07T00:46:27.664228Z | NAME RECON STEP 6: START ORG RECON 2022-10-07T00:50:00.588068Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-10-07T00:50:09.147344Z | NAME RECON STEP 9: FINALIZED 2022-10-07T00:52:23.865640Z",Acquired by the Bancroft Library UC Berkeley from Bernard Rosenthal (1966). Previous call number 2MS uncat 1966 11.31.,former owner,,,,,
23,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T00:45:17.091074Z | NAME RECON STEP 3: START HUMAN RECON 2022-10-07T00:46:18.870947Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-10-07T00:46:27.664235Z | NAME RECON STEP 6: START ORG RECON 2022-10-07T00:50:00.588071Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-10-07T00:50:09.147349Z | NAME RECON STEP 9: FINALIZED 2022-10-07T00:52:23.865644Z",Acquired by the Bancroft Library UC Berkeley from Bernard Rosenthal (1966). Previous call number 2MS uncat 1966 11.34.,former owner,,,,,
24,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T00:45:17.091084Z | NAME RECON STEP 3: START HUMAN RECON 2022-10-07T00:46:18.870953Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-10-07T00:46:27.664245Z | NAME RECON STEP 6: START ORG RECON 2022-10-07T00:50:00.588074Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-10-07T00:50:09.147356Z | NAME RECON STEP 9: FINALIZED 2022-10-07T00:52:23.865654Z",Acquired by the Bancroft Library UC Berkeley from Bernard Rosenthal (1966). Previous call number t2MS uncat 1966 11.36.,former owner,,,,,
25,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T00:45:17.091093Z | NAME RECON STEP 3: START HUMAN RECON 2022-10-07T00:46:18.870970Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-10-07T00:46:27.664256Z | NAME RECON STEP 6: START ORG RECON 2022-10-07T00:50:00.588079Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-10-07T00:50:09.147361Z | NAME RECON STEP 9: FINALIZED 2022-10-07T00:52:23.865657Z",Acquired by the Bancroft Library UC Berkeley from Bernard Rosenthal 1967 (?). Previous call number 2MS PA8450 A68 parts 1-3.,former owner,,,,,
26,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T00:45:17.091108Z | NAME RECON STEP 3: START HUMAN RECON 2022-10-07T00:46:18.870978Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-10-07T00:46:27.664262Z | NAME RECON STEP 6: START ORG RECON 2022-10-07T00:50:00.588082Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-10-07T00:50:09.147366Z | NAME RECON STEP 9: FINALIZED 2022-10-07T00:52:23.865660Z",Acquired by the Bancroft Library UC Berkeley from Bernard Rosenthal ca. 1966. Previous call number 2MS uncat 1966 11.37.,former owner,,,,,
27,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T00:45:17.091118Z | NAME RECON STEP 3: START HUMAN RECON 2022-10-07T00:46:18.870983Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-10-07T00:46:27.664268Z | NAME RECON STEP 6: START ORG RECON 2022-10-07T00:50:00.588085Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-10-07T00:50:09.147379Z | NAME RECON STEP 9: FINALIZED 2022-10-07T00:52:23.865666Z",Acquired by the Bancroft Library UC Berkeley from Bredford (1994). Previous call number f2MS PA6456 A4 1380z.,former owner,,,,,
28,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T00:45:17.091128Z | NAME RECON STEP 3: START HUMAN RECON 2022-10-07T00:46:18.870991Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-10-07T00:46:27.664277Z | NAME RECON STEP 6: START ORG RECON 2022-10-07T00:50:00.588090Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-10-07T00:50:09.147384Z | NAME RECON STEP 9: FINALIZED 2022-10-07T00:52:23.865670Z","Acquired by the Bancroft Library UC Berkeley from Quaritch as part of the Harmsworth collection, lot 4652. Previous call number 2MS DP178 B75.",former owner,,,,,
29,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T00:45:17.091154Z | NAME RECON STEP 3: START HUMAN RECON 2022-10-07T00:46:18.870999Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-10-07T00:46:27.664283Z | NAME RECON STEP 6: START ORG RECON 2022-10-07T00:50:00.588093Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-10-07T00:50:09.147389Z | NAME RECON STEP 9: FINALIZED 2022-10-07T00:52:23.865675Z","Acquired by the Bancroft Library UC Berkeley from Sotheby's (16 July 1966, lot 250). Previous call number t2MS BS2833 L15.",former owner,,,,,
30,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T00:45:17.091164Z | NAME RECON STEP 3: START HUMAN RECON 2022-10-07T00:46:18.871004Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-10-07T00:46:27.664289Z | NAME RECON STEP 6: START ORG RECON 2022-10-07T00:50:00.588095Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-10-07T00:50:09.147400Z | NAME RECON STEP 9: FINALIZED 2022-10-07T00:52:23.865691Z","Acquired by the Bancroft Library UC Berkeley from Sotheby's (21 June 1994, lot 93).",former owner,,,,,
31,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T00:45:17.091173Z | NAME RECON STEP 3: START HUMAN RECON 2022-10-07T00:46:18.871052Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-10-07T00:46:27.664298Z | NAME RECON STEP 6: START ORG RECON 2022-10-07T00:50:00.588105Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-10-07T00:50:09.147405Z | NAME RECON STEP 9: FINALIZED 2022-10-07T00:52:23.865694Z",Acquired by the Bancroft Library UC Berkeley from William Salloch (1972). Previous call number 2MS PQ4299 C25.,former owner,,,,,
32,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T00:45:17.091189Z | NAME RECON STEP 3: START HUMAN RECON 2022-10-07T00:46:18.871060Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-10-07T00:46:27.664304Z | NAME RECON STEP 6: START ORG RECON 2022-10-07T00:50:00.588108Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-10-07T00:50:09.147409Z | NAME RECON STEP 9: FINALIZED 2022-10-07T00:52:23.865699Z","Acquired from Baynes ca. 1824 by Sir Thomas Phillipps, his n. 2262; E. Crawshaw (1903); Hancock (1920); James Westfall Thompson (1869-1941); Bancroft Library UC Berkeley (1942). Previous call numbers MAR 4, 2MS BX890 L4.",former owner,,,,,
33,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T00:45:17.091199Z | NAME RECON STEP 3: START HUMAN RECON 2022-10-07T00:46:18.871066Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-10-07T00:46:27.664310Z | NAME RECON STEP 6: START ORG RECON 2022-10-07T00:50:00.588112Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-10-07T00:50:09.147418Z | NAME RECON STEP 9: FINALIZED 2022-10-07T00:52:23.865708Z",Acquired from Bernard Rosenthal in 1966 by the Bancroft Library UC Berkeley. Previous call number 2MS uncat 1966 11.33.,former owner,,,,,
34,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T00:45:17.091213Z | NAME RECON STEP 3: START HUMAN RECON 2022-10-07T00:46:18.871075Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-10-07T00:46:27.664323Z | NAME RECON STEP 6: START ORG RECON 2022-10-07T00:50:00.588117Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-10-07T00:50:09.147423Z | NAME RECON STEP 9: FINALIZED 2022-10-07T00:52:23.865711Z","Acquired from Dr. Erich Junkelmann of Munich, f. 1 in 1930, and f. 2 ca. 1930. Earlier (pre-1956?) call number: Cabinet 28, Folder 3.",former owner,,,,,
35,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T00:45:17.091225Z | NAME RECON STEP 3: START HUMAN RECON 2022-10-07T00:46:18.871081Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-10-07T00:46:27.664329Z | NAME RECON STEP 6: START ORG RECON 2022-10-07T00:50:00.588120Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-10-07T00:50:09.147428Z | NAME RECON STEP 9: FINALIZED 2022-10-07T00:52:23.865716Z","Acquired from Thorpe by Sir Thomas Phillipps (1792-1872), his n. 8964; sold at Sotheby's (26 June 1973, lot 2209); acquired by the Bancroft Library UC Berkeley from Hoffmann and Freeman (1974). Previous call number f2MS BX2906 R65C7.",former owner,,,,,
36,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T00:45:17.091234Z | NAME RECON STEP 3: START HUMAN RECON 2022-10-07T00:46:18.871087Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-10-07T00:46:27.664335Z | NAME RECON STEP 6: START ORG RECON 2022-10-07T00:50:00.588123Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-10-07T00:50:09.147435Z | NAME RECON STEP 9: FINALIZED 2022-10-07T00:52:23.865725Z","Acquired from Thorpe in 1824 by Sir Thomas Phillipps, his n. 2703; sold at Sotheby's (27 April 1903, lot 144); acquired by the Bancroft Library UC Berkeley from Sotheby's (11 July 1966, lot 246). Previous call number 2MS BS2632 L15.",former owner,,,,,
37,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T00:45:17.091248Z | NAME RECON STEP 3: START HUMAN RECON 2022-10-07T00:46:18.871099Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-10-07T00:46:27.664403Z | NAME RECON STEP 6: START ORG RECON 2022-10-07T00:50:00.588128Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-10-07T00:50:09.147440Z | NAME RECON STEP 9: FINALIZED 2022-10-07T00:52:23.865729Z",Acquired in 1989 from P. Pirages.,former owner,,,,,
38,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T00:45:17.091259Z | NAME RECON STEP 3: START HUMAN RECON 2022-10-07T00:46:18.871106Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-10-07T00:46:27.664411Z | NAME RECON STEP 6: START ORG RECON 2022-10-07T00:50:00.588130Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-10-07T00:50:09.147444Z | NAME RECON STEP 9: FINALIZED 2022-10-07T00:52:23.865733Z",Acquired in 1990 from P. Pirages.,former owner,,,,,
39,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T00:45:17.091268Z | NAME RECON STEP 3: START HUMAN RECON 2022-10-07T00:46:18.871111Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-10-07T00:46:27.664417Z | NAME RECON STEP 6: START ORG RECON 2022-10-07T00:50:00.588133Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-10-07T00:50:09.147456Z | NAME RECON STEP 9: FINALIZED 2022-10-07T00:52:23.865739Z",Acquired in 1991 from P. Pirages.,former owner,,,,,
40,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T00:45:17.091290Z | NAME RECON STEP 3: START HUMAN RECON 2022-10-07T00:46:18.871120Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-10-07T00:46:27.664430Z | NAME RECON STEP 6: START ORG RECON 2022-10-07T00:50:00.588138Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-10-07T00:50:09.147461Z | NAME RECON STEP 9: FINALIZED 2022-10-07T00:52:23.865743Z",Acquired in 2000 from H.P. Kraus.,former owner,,,,,
