row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,instance_of,authorized_label,structured_value
12,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.223Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.356Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.728Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.103Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.236Z","Acquired by Bancroft Library UC Berkeley from J. Rosenthal (1936). Previous call numbers Ac 533, 2MS HF5616 G4H5.",former owner,,,,,
13,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.223Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.356Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.728Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.103Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.236Z","Acquired by Bancroft Library UC Berkeley with the library of C. K. Ogden, 1957. Previous call number 2MS DA358 S55.",former owner,,,,,
14,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.223Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.356Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.728Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.103Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.236Z","Acquired by Karen Gould (1946-2012) from Goodspeed’s Bookshop, Boston, July 6, 1981; gift of Lewis Gould to the Nelson-Atkins Museum of Art in 2012 in his wife's memory.",former owner,,,,,
15,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.223Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.356Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.728Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.103Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.236Z","Acquired by Karen Gould (1946-2012) from Phillip Pirages, possibly his catalogue 24, November 1987; gift of Lewis Gould to the Nelson-Atkins Museum of Art in 2012 in his wife's memory.",former owner,,,,,
16,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.223Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.356Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.728Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.103Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.236Z",Acquired by Karen Gould Fund. Gift of Lewis Gould to the Nelson-Atkins Museum of Art in 2014 in his wife's memory.,former owner,,,,,
17,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.223Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.356Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.728Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.103Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.236Z","Acquired by Linda Ehrsam Voigts from Bernard M. Rosenthal in 1975, and given by her to the Karen Gould Collection of the Nelson-Atkins Museum of Art in 2012.",former owner,,,,,
18,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.223Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.356Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.728Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.103Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.236Z",Acquired by Linda Ehrsam Voigts from Philip Pirages and given by her to the Karen Gould Collection of the Nelson-Atkins Museum of Art in 2012.,former owner,,,,,
19,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.223Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.356Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.728Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.103Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.236Z","Acquired by Maggs from Henry White (1902, n. 2238); acquired James K. Moffitt from Davis and Orioli (cat. XXXIX, n. 9); bequest of Moffitt to the Bancroft Library, UC Berkeley (1956). Previous call numbers MAR 34, 2MS PA6801 A106 1400.",former owner,,,,,
20,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.223Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.356Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.728Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.103Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.236Z",Acquired by the Bancroft Library UC Berkeley (1966). Previous call number t2MS uncat 1966 11.35.,former owner,,,,,
21,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.223Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.356Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.728Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:22.683Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:40.473Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.103Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.236Z",Acquired by the Bancroft Library UC Berkeley from Bernard Rosenthal (1966). Previous call number 2MS uncat 1966 11.28.,former owner,,,,,
22,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.223Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.356Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.728Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:22.683Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:40.473Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.103Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.236Z",Acquired by the Bancroft Library UC Berkeley from Bernard Rosenthal (1966). Previous call number 2MS uncat 1966 11.31.,former owner,,,,,
23,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.223Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.356Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.728Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:22.683Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:40.473Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.103Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.236Z",Acquired by the Bancroft Library UC Berkeley from Bernard Rosenthal (1966). Previous call number 2MS uncat 1966 11.34.,former owner,,,,,
24,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.223Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.356Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.728Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:22.683Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:40.473Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.103Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.236Z",Acquired by the Bancroft Library UC Berkeley from Bernard Rosenthal (1966). Previous call number t2MS uncat 1966 11.36.,former owner,,,,,
25,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.223Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.356Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.728Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:22.683Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:40.473Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.103Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.236Z",Acquired by the Bancroft Library UC Berkeley from Bernard Rosenthal 1967 (?). Previous call number 2MS PA8450 A68 parts 1-3.,former owner,,,,,
26,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.223Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.356Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.728Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:22.683Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:40.473Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.103Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.236Z",Acquired by the Bancroft Library UC Berkeley from Bernard Rosenthal ca. 1966. Previous call number 2MS uncat 1966 11.37.,former owner,,,,,
27,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.223Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.356Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.728Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:22.683Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:40.473Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.103Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.236Z",Acquired by the Bancroft Library UC Berkeley from Bredford (1994). Previous call number f2MS PA6456 A4 1380z.,former owner,,,,,
28,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.223Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.356Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.728Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:22.683Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:40.473Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.103Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.236Z","Acquired by the Bancroft Library UC Berkeley from Quaritch as part of the Harmsworth collection, lot 4652. Previous call number 2MS DP178 B75.",former owner,,,,,
29,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.223Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.356Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.728Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:22.683Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:40.473Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.103Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.236Z","Acquired by the Bancroft Library UC Berkeley from Sotheby's (16 July 1966, lot 250). Previous call number t2MS BS2833 L15.",former owner,,,,,
30,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.223Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.356Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.728Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:22.683Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:40.473Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.103Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.236Z","Acquired by the Bancroft Library UC Berkeley from Sotheby's (21 June 1994, lot 93).",former owner,,,,,
31,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.223Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.356Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.728Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:22.683Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:40.473Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.103Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.236Z",Acquired by the Bancroft Library UC Berkeley from William Salloch (1972). Previous call number 2MS PQ4299 C25.,former owner,,,,,
32,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.223Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.356Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.728Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:22.683Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:40.473Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.103Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.236Z","Acquired from Baynes ca. 1824 by Sir Thomas Phillipps, his n. 2262; E. Crawshaw (1903); Hancock (1920); James Westfall Thompson (1869-1941); Bancroft Library UC Berkeley (1942). Previous call numbers MAR 4, 2MS BX890 L4.",former owner,,,,,
33,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.223Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.356Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.728Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:22.683Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:40.473Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.103Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.236Z",Acquired from Bernard Rosenthal in 1966 by the Bancroft Library UC Berkeley. Previous call number 2MS uncat 1966 11.33.,former owner,,,,,
34,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.223Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.356Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.728Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:22.683Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:40.473Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.103Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.236Z","Acquired from Dr. Erich Junkelmann of Munich, f. 1 in 1930, and f. 2 ca. 1930. Earlier (pre-1956?) call number: Cabinet 28, Folder 3.",former owner,,,,,
35,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.223Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.356Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.728Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:22.683Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:40.473Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.103Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.236Z","Acquired from Thorpe by Sir Thomas Phillipps (1792-1872), his n. 8964; sold at Sotheby's (26 June 1973, lot 2209); acquired by the Bancroft Library UC Berkeley from Hoffmann and Freeman (1974). Previous call number f2MS BX2906 R65C7.",former owner,,,,,
36,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.223Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.356Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.728Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:22.683Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:40.473Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.103Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.236Z","Acquired from Thorpe in 1824 by Sir Thomas Phillipps, his n. 2703; sold at Sotheby's (27 April 1903, lot 144); acquired by the Bancroft Library UC Berkeley from Sotheby's (11 July 1966, lot 246). Previous call number 2MS BS2632 L15.",former owner,,,,,
