name_as_recorded,role,name_agr,source_authority_uri,instance_of,authorized_label,structured_value
"Benedictine abbey of Saint Peter, Chertsey, Surrey; C. L. Ricketts, who bought 27 leaves from Leighton, Catalogue of Manuscripts, 1912, no. 49 (now Ricketts MS 47) and 6 further leaves from Tregaskis (now Ricketts MS23); acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,organization;human,"Church of St Peter, Chertsey;Coella Lindsay Ricketts",Q17547928;Q116771179
"Bequeathed to Conception Abbey by Dr. Charles D. Humberd of Barnard, Missouri.",former owner,,,human,Charles D. Humberd,Q116379117
"Bernardo Mendel (1895-1967); given to the Lilly Library with the Mendel Collection of travel books, 1964.",former owner,,,human,Bernardo Mendel,Q116779944
"Bliss sale, Sotheby’s, 21 August 1858, lots 100 and 119, afterwards Phillipps MSS 15659 and 18133; from the collection of specimen leaves formed by Messrs. W. H. Robinson, who bought the residue of the Phillipps library in 1945-46, sold by them to George A. Poole in 1947, and acquired by the Lilly Library with the Poole Collection in 1958.",former owner,,,human;human;human,Thomas Phillipps;William Heath Robinson;George Amos Poole,Q2147709;Q731717;Q64683625
"Bonaventura Bertoni, O.F.M.",other,,,human,Bonaventura Bertoni,Q117338242
Bonaventure,author,,,human,Bonaventure,Q43746
"Bought by C. L. Ricketts from James Rimell, London bookseller, c. 1909; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,human;organization,Coella Lindsay Ricketts;James Rimell & Son,Q116771179;Q24207747
"Bought by C. L. Ricketts from Tregaskis, 1923, and acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,human;human,Coella Lindsay Ricketts;James Tregaskis,Q116771179;Q94138739
Bought in 1909 by C. L. Ricketts from Tregaskis; acquired by the Lilly Library with the Ricketts Collection in 1961.,former owner,,,human;human,Coella Lindsay Ricketts;James Tregaskis,Q116771179;Q94138739
Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,former owner,,,organization,Engelberg Abbey,Q667880
"C. L. Ricketts (bought in 1925 from Joseph Baer & Co., Frankfurt), and acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,human;organization,Coella Lindsay Ricketts;Joseph Baer & Co.,Q116771179;Q83552608
"C. L. Ricketts, and acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,human,Coella Lindsay Ricketts,Q116771179
"C. L. Ricketts, bought from Barroux, 1930 (with a second fragment, see below); acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,human,Coella Lindsay Ricketts,Q116771179
"C. L. Ricketts, bought from Erik von Scherling, Leiden, cat. 11 (November 1930), no. 953; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,human;human,Coella Lindsay Ricketts;Erik von Scherling,Q116771179;Q116780057
"C. L. Ricketts, bought from Maggs, 1930 (according to a pencil note; de Ricci says 1932); acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,human;organization,Coella Lindsay Ricketts;Maggs Bros Ltd,Q116771179;Q15067374
"C. L. Ricketts, bought from Sotheran’s, London, in 1912; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,human;organization,Coella Lindsay Ricketts;Henry Sotheran Ltd.,Q116771179;Q55948048
"C. L. Ricketts, bought from Tregaskis, cat. 764 (December 1914), no. 28; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,human;human,Coella Lindsay Ricketts;James Tregaskis,Q116771179;Q94138739
"C. L. Ricketts, bought from the bookseller E. Parsons in 1907; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,human;organization,Coella Lindsay Ricketts;Edwin Parsons & Sons,Q116771179;Q111399316
"C. L. Ricketts, bought in 1907 from Frederick Muller, Amsterdam; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,human;organization,Coella Lindsay Ricketts;Frederik Muller & Co,Q116771179;Q18821838
"C. L. Ricketts, bought in 1915 from Tammaro De Marinis; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,human;human,Coella Lindsay Ricketts;Tammaro De Marinis,Q116771179;Q3980638
C. L. Ricketts; acquired by the Lilly Library with the Ricketts Collection in 1961.,former owner,,,human,Coella Lindsay Ricketts,Q116771179
Caleb Wing,artist,,,human,Caleb William Wing,Q117426826
"Came to Conception Abbey from its motherhouse, Engelberg in Switzerland.",former owner,,,organization,Engelberg Abbey,Q667880
"Carlo Archinto of Milan (1669-1732); Adolph Sutro (1830-1898), mayor of San Francisco. A letter from George Moss (librarian of Sutro) addressed to Mrs. Morbio (presumably Mrs. Albert Morbio, Sutro's daughter), 23 May 1890, accompanies the manuscript.",former owner,,,human;human,Carlo Archinto;Adolph Sutro,Q665628;Q214461
"Carthusians of Buxheim; Hugo, Graf von Waldbott-Bassenhim (his sale, Munich, 20 September 1883, lot 2672); Adolph Sutro (1830-1898), mayor of San Francisco.",former owner,,,organization;human;human,Buxheim Charterhouse;Hugo Philipp Waldbott-Bassenheim;Adolph Sutro,Q460224;Q1682028;Q214461
Catholic Church.,author,,,organization,Catholic Church,Q9592
"Ce livre est et appartient à Escuyer Charles Busnel, sieur de la Retardaye, 1645i and by descent in the Busnel family of Montoray, to Henri-Jacques-François Busnel (1774) and Françoise Busnel (1824), who in 1842 gave it to her niece Julie de Busnel; Librairie Belin, Paris, cat. 171 (1892), no. 1331; Elisabeth Ball 1897-1982), of Muncie, Indiana; part of her bequest to the Lilly Library, 1982.",former owner,,,human;human;human;human;human,Charles Busnel;Henri-Jacques-François Busnel;Françoise Busnel;Julie de Busnel;Elisabeth Ball,Q116780147;Q116780151;Q116780153;Q116780164;Q94430387
Cicero,author,,,human,Cicero,Q1541
"Comte de Rochechouart arms on ff. 1, 84; Castel-Lodève arms on f. 2. Frederick Perkins of Chipstead, Kent to Bennett; Simon J. Schwartz of New Orleans to G. D. Smith; Smith sale to G. Wells; Waters S. Davis by whose children it was given to the Grolier.",former owner,,,organization;organization;human;human;human;human;human;human,House of Rochechouart;Castel-Lod�ve family;Frederick Perkins;Richard Bennett;Simon Jason Schwartz;George D. Smith;Gabriel Wells;Waters S. Davis,Q913890;Q116650610;Q18671229;Q51337634;Q116599128;Q116594130;Q17627120;Q94351921
Conrad of Werden,scribe,,,human,Conrad of Werden,Q117338246
Constantine the African,author,,,human,Constantine the African,Q468641
"Corbolinus of Pistoia, close to",scribe,,,human,Corbolinus of Pistoia,Q117338335
"Count Grigori Stroganoff (1829-1910, died in Rome), with his stamp on verso; doubtless from his sale, Jandolo and Travazzi, Rome, 18-24 April 1910; C. L. Ricketts, bought in 1911 from C. E. Rappaport, Rome; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,human;human,Grigorij Sergeevič Stroganov;Coella Lindsay Ricketts,Q4444046;Q116771179
"Cover of a binding, illegible on what was the outer side.",former owner,,,,,
"Damascène Morgand, Bulletin mensuel 29 (November 1891), no. 19790 (cutting inside upper cover); Elisabeth Ball (1897-1982); part of her bequest to the Lilly Library, 1982.",former owner,,,organization;human,Librairie Damascène Morgand;Elisabeth Ball,Q116784968;Q94430387
Daniel Sarracenus,scribe,,,human,Daniel Sarracenus,Q117448009
"Discovered in the Grolier Club's files, September 2009.",former owner,,,organization,Grolier Club,Q5174002
"Dorotea, daughter of Antonio Mella and widow of Giovanni Andrea",other,,,human,Dorotea Mella,Q117338254
"Draycot House (eighteenthcentury inscription on front pastedown), presumably the former country house near Chippenham, Wiltshire, built in 1784 for Sir James Tylney-Long (1736-1794), seventh baronet; C. L. Ricketts, bought from Maggs, December 1922; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,organization;human,Draycot House;Coella Lindsay Ricketts,Q26540874;Q116771179
"Earlier (pre-1956?) call number: C[abinet] 28, F[older] 3.",former owner,,,,,
Edmund of Abingdon,author,,,human,Edmund of Abingdon,Q1235967
"Elisabeth von Walmden, nun of Hildesheim who commissioned manuscript",other,,,human,Elisabeth von Walmden,Q117448054
"Entered the library between 1877 and 1900 as suggested by the hyphenated form of the city name in the library stamp on f. 1 as ""The College of the City of New-York.""",former owner,,,,,
Eugippius,author,,,human,Eugippius,Q738491
Eusebius,author,,,human,Eusebius of Caesarea,Q142999
Eusebius,other,,,human,Eusebius of Caesarea,Q142999
Evrard de Béthune,author,,,human,Eberhard of Béthune,Q5331803
"Found and acquired probably in the region of Rome by George N. Olcott (1869-1912), American classicist in Rome; given by his widow to the American Academy in Rome by 1927; sold by the Academy through B. l. Ullman to George A. Poole in 1951, and acquired by the Lilly Library with the Poole Collection in 1958.",former owner,,,human;human,George N. Olcott;George Amos Poole,Q18912535;Q64683625
"Four ownership notes on the front pastedown and front flyleaf recto: Mus__?___ Guichardin of Saint-Symphorien-le-Châtel, 1632; Jean Guichardin __?___ of Saint-Symphorien-le-Châtel, 1668; the Rev. J. M. Neale of Sackville College, 1858, who gave it to J. F. Young in 1864.",former owner,,,human,John Mason Neale,Q246018
Fra Bartolomeo,scribe,,,human,Fra Bartolomeo,Q7780
Fra Valentino,scribe,,,human,Fra Valentino,Q117338275
"Francesco Griffolini of Arezzo, translator",other,,,human,Francesco Griffolini,Q33110113
Francesco da Codigoro?,scribe,,,human,Francesco da Codigoro,Q117448115
"Franciscus Aloysius Phillipus, with his eighteenth-century booklabel (Gelli 1908, p. 168); C. L. Ricketts, bought in November 1924 from Lathrop Harper; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,human;human;organization,"Franciscus Aloysius Phillipus;Coella Lindsay Ricketts;Lathrop C. Harper, Inc.",Q116785077;Q116771179;Q116785327
Franciscus Coscolla,scribe,,,human,Franciscus Coscolla,Q117448167
Franciscus Weert,scribe,,,human,Franciscus van Weert,Q91114218
"Francoise Jullienne, on flyleaf.",other,,,human,Françoise Jullienne,Q117448205
"From a solicitor's office in Halifax; acquired, from a clerk who came to America ca. 1900, by Frederick W. Gnichtel (1860-1950); his gift in 1915.",former owner,,,human,Frederick W. Gnichtel,Q116860314
"From the chapel of Compagnia della Vergine Maria in Cento; Ernst F. Detterer (1888-1947), bought in 1913 from J. Lewine; bought from Detterer’s estate in 1948 by George A. Poole, and acquired by the Lilly Library with the Poole Collection in 1958.",former owner,,,organization,"Compagnia della Vergine Maria (Cento, Italy)",Q116785169
"From the collection of the Abate Matteo Luigi Canonici (1727-1806), purchased in 1835 by Rev. Walter Sneyd (1810?-1888); his sale, London, 1903, n. 344 to Quaritch; given to the Grolier Club in 1912 by Archer M. Huntington (Grolier member, 1894-1955).",former owner,,,human;human;organization;human,Matteo Luigi Canonici;Walter Sneyd;Bernard Quaritch Ltd;Archer Milton Huntington,Q55226394;Q62619661;Q65034936;Q4785964
From the leaves of Otto F. Ege (1888-1951).,former owner,,,human,Otto Ege,Q7109575
"Geoffroy Tory, similar to style of",scribe,,,human,Geoffroy Tory,Q722911
"George A. Poole, bought from H. P. Kraus, cat. 75 (1955), no. 19, and acquired by the Lilly Library with the Poole Collection in 1958.",former owner,,,human;organization,George Amos Poole;H. P. Kraus (firm),Q64683625;Q113864096
George Bruce collection; given to the Grolier Club in July 1894 by David Wolfe Bruce.,former owner,,,human;human,George Bruce;David Wolfe Bruce,Q2757147;Q116598092
Gerolamo Michele,other,,,human,Gerolamo Michele,Q117338264
Giacomo Michele,other,,,human,Giacomo Michele,Q117321234
Gift in 1975 of Dr. Martin Picker (1929-2005). Earlier call number: Ac. 2834.,former owner,,,human,Martin Picker,Q75709832
Gift in January 1898 by Samuel Putnam Avery.,former owner,,,human,Samuel Putnam Avery,Q3819081
Gift of Audry Wilkens (1910-2003).,former owner,,,human,Audry Wilkens,Q114242438
Gift of Edith Wetmore (1870-1966) in 1955 to the Providence Public Library.,former owner,,,human,Edith Wetmore,Q65166159
"Gift of Marilyn Carbonell and David Weinglass, April 2013 and given to the Karen Gould Collection of the Nelson-Atkins Museum of Art in 2012. Purchased from Eleven Eleven Books, March 2013.",former owner,,,human;human;human,Karen L. Gould;Marilyn Carbonell;David Weinglass,Q6369801;Q116849845;Q116849885
Gift to the Grolier Club by Miss Ellen King.,former owner,,,human,Ellen King,Q116626344
Gilbert de la Porrée,author,,,human,Gilbert de La Porrée,Q583119
Giorgio d'Alemagna,artist,,,human,Giorgio d'Alemagna,Q3106916
"Giovanni Battista Cavalletto and his son Scipione Cavalletto, in the style of.",artist,,,human;human,Giovanni Battista de Cavalletto;Scipione de Cavalletto,Q98431860;Q117448239
Giovanni Boccaccio,author,,,human,Giovanni Boccaccio,Q1402
"Giovanni Colonna, or family member",other,,,human,Giovanni Colonna,Q1402326
"Giovanni Pietro Visconti, owner, canon and later provost of Milan cathedral",other,,,human,Giovanni Pietro Visconti,Q116811697
Giuliano d'Antonio da Prato,scribe,,,human,Giuliano d'Antonio da Prato,Q117448251
"Giulio Lucio Mancini, recipient of letter",other,,,human,Giulio Lucio Mancini,Q117448256
"Given to C. L. Ricketts in 1913 by Dr. B. L. Riese, of Chicago; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,human;human,B. L. Riese;Coella Lindsay Ricketts,Q116786322;Q116771179
Given to the Grolier Club in 1931 by Charles Bain Hoyt.,former owner,,,human,Charles B. Hoyt,Q78162371
"Gold Scrolls Group, school of",artist,,,organization,Masters of the Gold Scrolls,Q23888760
Gratian,author,,,human,Gratian,Q549041
Gregory I,author,,,human,Gregory I,Q42827
"Gregory I, the Great.",author,,,human,Gregory I,Q42827
Gregory IX,author,,,human,Gregory IX,Q124831
Gregory of Tours,author,,,human,Gregory of Tours,Q67841
"Guglielmo Libri (1802-1869); his sale, Sotheby's, 28 March 1859, part of lot 1111 (""Fragmenta Vetusta"" with Poole MS 40); Sir Thomas Phillips (1972-1872); from the collection of specimen leaves formed by Messrs. W. H. Robinson, who bought the residue of the Phillipps library in 1945-46, sold by them to George A. Poole in 1947, acquired by the Lilly Library with the Poole Collection in 1958.",former owner,,,Human;human;human,Guglielmo Libri Carucci dalla Sommaja;Thomas Phillipps;George Amos Poole,Q1251586;Q2147709;Q64683625
Guido delle Colonne,author,,,human,Guido delle Colonne,Q1248842
"Guiniforte da Vimercate, Basilius de Gallis",other,,,human;human,Guiniforte da Vimercate;Basilius de Gallis,Q117448293;Q117448301
"Guiniforte da Vimercate, Basilius de Gallis",artist,,,human;human,Guiniforte da Vimercate;Basilius de Gallis,Q117448293;Q117448301
"Hans Wertinger, also called Hans Schwab von Wertinger (1465/70–1533), of Landshut, or his workshop",artist,,,human,Hans Wertinger,Q3127027
"Haymo of Auxerre, possible author",other,,,human,Haimo of Auxerre,Q2934990
Haymo of Halberstadt,author,,,human,Haymo of Halberstadt,Q472833
"He was one of the two artists of the Jeanson Hours, Use of Sarum, perhaps made for Sir John Talbot, first earl of Shrewsbury (Sotheby’s, 5 July 2005, lot 97).",artist,,,human,"John Talbot, 1st Earl of Shrewsbury",Q561173
"Henri, Duc de Rohan",author,,,human,Henri II de Rohan,Q701048
Henry Suso,author,,,human,Henry Suso,Q303435
Henry VIII,author,,,human,Henry VIII of England,Q38370
"Henry the Liberal, count of Champagne, 1126-1181",other,,,human,"Henry I, Count of Champagne",Q364517
"Henry, Prince of Wales (1594-1612); Thomas Watson (1720-79), S. J.;Thomas Pennant (1726-98); by inheritance to Rudolph (1823-92), Earl of Denbigh; Denbigh sale, Christie's, 4-7-1938, lot 12 to Stonehill; Edith Wetmore (1870-1966); in 1955 to Prov.Pub.Lib.",former owner,,,human;human;human;human;human,"Edith Wetmore;Henry Frederick, Prince of Wales;Thomas Watson;Thomas Pennant;Rudolph Feilding, 8th Earl of Denbigh",Q65166159;Q82631;Q116751654;Q545123;Q7377411
"Herman C. Hoskier of South Orange NJ (1864-1938), a biblical scholar who purchased it in Macedonia (possibly from the Czech scholar Vladimir Sis, specialized in Macedonian studies, who may have made the note in the upper margin of f. 1, Č29, using a letter of the Czech alphabet) and presented it to General Theological Seminary in 1922.",former owner,,,human,Herman C. Hoskier,Q5739603
