File,name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,ds_id_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
20240903-names-indiana-mets-legacy.csv,"The abbey of Saint Maximin in Treir (founded c. 500, supressed 1802); Fritz Rörig (1882-1952), of Berlin, bought in Keil (where he taught 1923-35); bought from his widow in 1953 by H.P. Kraus and sold by him in January 1954 to George A. Poole; acquired by the Lilly Library with the Poole Collection in 1958.",former owner,,,,,,,,organization;human;human,St. Maximin's Abbey;Fritz Rörig;George Amos Poole,Q118786;Q1468108;Q64683625,Q1536;Q1537;Q1524
20240903-names-indiana-mets-legacy.csv,Marcus Ulpius Julianus,author,,,,,,,,human,Marcus Ulpius Julianus,Q121956495,Q1538
20240903-names-indiana-mets-legacy.csv,Nene,author,,,,,,,,human,Nene,Q121957090,Q1539
20240903-names-indiana-mets-legacy.csv,"Found and acquired probably in the region of Rome by George N. Olcott (1869-1912), American classicist in Rome; given by his widow to the American Academy in Rome by 1927; sold by the Academy through B. l. Ullman to George A. Poole in 1951, and acquired by the Lilly Library with the Poole Collection in 1958.",former owner,,,,,,,,human;human,George N. Olcott;George Amos Poole,Q18912535;Q64683625,Q1540;Q1524
20240903-names-indiana-mets-legacy.csv,Alcuin,author,,,,,,,,human,Alcuin,Q154332,Q1543
20240903-names-indiana-mets-legacy.csv,"The Abbey of St-Vaast in Arras; Sir Thomas Phillips (1792-1872), part of his MS 22229; from the collection of specimen leaves formed by Messrs. W.H. Robinson, who bought the residue of the Phillips Library in 1945-46, sold by them to George A. Poole in 1947, and acquired by the Lilly Library with the Poole Collection in 1958.",former owner,,,,,,,,organization;human,Abbey of St. Vaast;George Amos Poole,Q334220;Q64683625,Q1544;Q1524
20240903-names-indiana-mets-legacy.csv,Paul the Deacon,author,,,,,,,,human,Paul the Deacon,Q160424,Q1545
20240903-names-indiana-mets-legacy.csv,"The Cistercian abbey of Hautecombe, diocese of Geneva, suppressed in 1792; acquired in or after 1796 by Giacinto della Torre, P.S.A. (1747-1814), canon and later archbishop of Turin 1805-14, who gave it to the biblioteca del Semainario metropolitano, Turin, the library was dispersed c. 1954;",former owner,,,,,,,,organization;human;organization,Hautecombe Abbey;Giacinto della Torre;Biblioteca del Seminario Arcivescovile,Q63524;Q3105018;Q113093144,Q1546;Q1547;Q1548
20240903-names-indiana-mets-legacy.csv,the present two leaves were bought by George A. Poole in 1954 from C.A. Stonehill; acquired by the Lilly Library with the Poole Collection in 1958.,former owner,,,,,,,,human;human,Charles Archibald Stonehill;George Amos Poole,Q116869308;Q64683625,Q1549;Q1524
20240903-names-indiana-mets-legacy.csv,"Guglielmo Libri (1802-1869); his sale, Sotheby's, 28 March 1859, part of lot 1111 (""Fragmenta Vetusta"" with Poole MS 40); Sir Thomas Phillips (1972-1872); from the collection of specimen leaves formed by Messrs. W. H. Robinson, who bought the residue of the Phillipps library in 1945-46, sold by them to George A. Poole in 1947, acquired by the Lilly Library with the Poole Collection in 1958.",former owner,,,,,,,,human;human;human,Guglielmo Libri Carucci dalla Sommaja;Thomas Phillipps;George Amos Poole,Q1251586;Q2147709;Q64683625,Q382;Q385;Q1524
20240903-names-indiana-mets-legacy.csv,Ælfric,author,,,,,,,,human,Ælfric of Eynsham,Q271377,Q1550
20240903-names-indiana-mets-legacy.csv,One,scribe,,,,,,,,,,,
20240903-names-indiana-mets-legacy.csv,"Guglielmo Libri (1802-1869); his sale, Sotheby's, 28 March 1859, part of lot 1111 (""Fragmenta Vetusta ...some of the smallest fragments being also in the Anglo-Saxon language"", with Poole MS 41); Sir Thomas Phillipps (1792-1872), not obviously from his MS 22229 (the reference given by Ker);",former owner,,,,,,,,human;human,Guglielmo Libri Carucci dalla Sommaja;Thomas Phillipps,Q1251586;Q2147709,Q382;Q385
20240903-names-indiana-mets-legacy.csv,"from the collection of specimen leaves formed by Messrs. W.H. Robinson, who bought the residue of the Phillipps library in 1945-46, sold by them to George A. Poole in 1947, and acquired by the Lilly Library with the Poole Collection in 1958.",former owner,,,,,,,,human,George Amos Poole,Q64683625,Q1524
20240903-names-indiana-mets-legacy.csv,"Found and first published by Anton Birlinger (1834-1891, of Bonn) who describes it as having been in the possession of Karl Strauven (d. 1886), notary in Düsseldorf; by 1870 acquired by Karl Anton, Fürst von Hohenzollern- Sigmaringen (1811-1885, prime minister of Prussia 1858-62) for the court library at Sigmaringen;",former owner,,,,,,,,human;human;human,"Anton Birlinger;Karl Leopold Strauven;Karl Anton, Prince of Hohenzollern",Q588335;Q11028150;Q58012,Q1551;Q1552;Q1553
20240903-names-indiana-mets-legacy.csv,"bought from there by the bookseller Herbert Reichner (1899-1971), of Stockbridge, Mass., who sold it to the Lilly Library in 1960.",former owner,,,,,,,,human,Herbert Reichner,Q27229630,Q1554
20240903-names-indiana-mets-legacy.csv,"Probably the Benedictine monastery of San Domenico in Sora (see below); Ernst F. Detterer (1888-1947), bought in July 1931 from Emil Hirsch, bookseller in Munich; bought from Detterer’s estate in 1948 by George A. Poole, and acquired by the Lilly Library with the Poole Collection in 1958.",former owner,,,,,,,,organization;human;human;organization,Abbazia di San Domenico;Ernst F. Detterer;George Amos Poole;Antiquariat Emil Hirsch,Q3603214;Q5394976;Q64683625;Q116809892,Q1556;Q1557;Q1524;Q1558
20240903-names-indiana-mets-legacy.csv,Sidonius Appolinaris,author,,,,,,,,human,Sidonius Apollinaris,Q302936,Q1561
20240903-names-indiana-mets-legacy.csv,Augustine,author,,,,,,,,human,Augustine of Hippo,Q8018,Q1515
20240903-names-indiana-mets-legacy.csv,"Augustine, Isidore, Cassiodorus, Damasus, and others",author,,,,,,,,human;human;human;human,Augustine of Hippo;Isidore of Seville;Cassiodorus;Damasus I,Q8018;Q166876;Q192365;Q130997,Q1515;Q428;Q1562;Q1563
20240903-names-indiana-mets-legacy.csv,"Jean-Baptiste Joseph Barrois, of Lille (1784-1855), his 297 (green label on spine); the collection bought in 1849 by Bertram, fourth earl of Ashburnham (1797-1878); the fifth earl’s sale, Sotheby’s, 10 June 1901, lot 33;",former owner,,,,,,,,human;human;human,"Joseph Barrois;Bertram Ashburnham, 4th Earl of Ashburnham;Bertram Ashburnham, 5th Earl of Ashburnham",Q97783947;Q21855104;Q19894272,Q1564;Q1565;Q1566
20240903-names-indiana-mets-legacy.csv,"Quaritch, cat. 211 (January 1902), no. 24, and cat. 290 (June 1910), no. 448; bought by C. L. Ricketts from W. M. Voynich, January 1917, and acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,,,,organization;human;human,Bernard Quaritch Ltd;Coella Lindsay Ricketts;Wilfrid Voynich,Q65034936;Q116771179;Q336453,Q892;Q1527;Q1567
20240903-names-indiana-mets-legacy.csv,"Corbolinus of Pistoia, close to",scribe,,,,,,,,human,Corbolinus of Pistoia,Q117338335,Q1570
20240903-names-indiana-mets-legacy.csv,"(Berg 1968, pp. 259–60, no. 58",scribe,,,,,,,,,,,
20240903-names-indiana-mets-legacy.csv,cf. especially his figs. 123–24),scribe,,,,,,,,,,,
20240903-names-indiana-mets-legacy.csv,C. L. Ricketts; acquired by the Lilly Library with the Ricketts Collection in 1961.,former owner,,,,,,,,human,Coella Lindsay Ricketts,Q116771179,Q1527
20240903-names-indiana-mets-legacy.csv,Hugh of St. Victor,author,,,,,,,,human,Hugh of Saint Victor,Q317554,Q1511
20240903-names-indiana-mets-legacy.csv,Walter of Mortagne,author,,,,,,,,human,Walter of Mortagne,Q583077,Q1571
20240903-names-indiana-mets-legacy.csv,"Earls of Hopetown, at Hopetown House, West Lothian, Scotland, and by descent to John Hope 860-1908, seventh earl, succeeded in 1873, created marquess of Linlithgow in 1902, first Governor General of Australia); his sale, Sotheby’s, 25 February 1889, lot 499, to Ridler; George Dunn (1865-1912); his sale, Sotheby’s, 11 February 1913, lot 535,",former owner,,,,,,,,human;human,"John Hope, 1st Marquess of Linlithgow;George Dunn",Q335178;Q112841325,Q884;Q1572
20240903-names-indiana-mets-legacy.csv,"to Maggs (their cat. 308, 1913, no. 76, and cat. 341, 1914, no. 235); Herschel V. Jones (1861-1928), of Minneapolis, MN; his sale, Anderson, New York, 29 January 1919, lot 1069a, to Martini, with his collation note; bought by C. L. Ricketts from Martini, cat. 15 (1919), no. 10a, and acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,,,,organization;human;human,Maggs Bros Ltd;Herschel V. Jones;Coella Lindsay Ricketts,Q15067374;Q15485383;Q116771179,Q1573;Q876;Q1527
20240903-names-indiana-mets-legacy.csv,Pseudo-Cyprian,author,,,,,,,,human,Pseudo-Cyprian,Q66134384,Q1575
20240903-names-indiana-mets-legacy.csv,Hugh of Fouilloi,author,,,,,,,,human,Hugh of Fouilloy,Q5631,Q1576
20240903-names-indiana-mets-legacy.csv,"Bliss sale, Sotheby’s, 21 August 1858, lots 100 and 119, afterwards Phillipps MSS 15659 and 18133; from the collection of specimen leaves formed by Messrs. W. H. Robinson, who bought the residue of the Phillipps library in 1945-46, sold by them to George A. Poole in 1947, and acquired by the Lilly Library with the Poole Collection in 1958.",former owner,,,,,,,,human;human;human,Thomas Phillipps;William Heath Robinson;George Amos Poole,Q2147709;Q731717;Q64683625,Q385;Q1577;Q1524
20240903-names-indiana-mets-legacy.csv,Julian Pomerius,author,,,,,,,,human,Julianus Pomerius,Q3189618,Q670
20240903-names-indiana-mets-legacy.csv,Pseudo-Prosper,author,,,,,,,,human,Pseudo-Prosper,Q114242511,Q1578
20240903-names-indiana-mets-legacy.csv,Anselm,author,,,,,,,,human,Anselm of Canterbury,Q43939,Q1579
20240903-names-indiana-mets-legacy.csv,"François-Nicolas Comynet (1791-1848), no. 168 in the list of manuscripts bought by him in 1825 from the municipality of Auxerre (Liber Prosperi De vita contemplativa, et liber Anselmi De processione Spiritus Sancti; sent by Comynet to the dealer Sylvestre, in Paris; the abbé Joseph-Félix Allard (1795-1831), translator of Tertullian and priest of St-Eustache in Paris,",former owner,,,,,,,,human;human,François-Nicolas Comynet;Joseph-Félix Allard,Q116785081;Q116785090,Q1580;Q1581
20240903-names-indiana-mets-legacy.csv,"bought probably from Sylvestre and sold, perhaps through Teschener, to Sir Thomas Phillipps (1792-1872), his MS 3735 (Ex Bibliotheca M. Allard; Phillipps sale, Sotheby’s, 23 March 1895, lot 918; Harold Baillie Weaver (d. 1926); his sale, Christie’s, 29 March 1898, lot 483; Laurence Hodson (1864-1933), with his booklabel in Kelmscott type; his sale, Sotheby’s, 5 December 1906, lot 504;",former owner,,,,,,,,human;human;human,Thomas Phillipps;Harold Baillie Weaver;Laurence William Hodson,Q2147709;Q18821788;Q116378155,Q385;Q1582;Q1583
20240903-names-indiana-mets-legacy.csv,"Maggs cat. 246 (1909), no. 820; Sotheby’s, 21 July 1913, lot 1077; Maggs cat. 380 (1919), no. 1699, and cat. 542 (1930), no. 46;Edward Duff Balken, of Pittsburg, PA, with his bookplate; George A. Poole (bought from H. P. Kraus, cat. 75, 1955, no. 5), and acquired by the Lilly Library with the Poole Collection in 1958.",former owner,,,,,,,,human;human;organization,Edward Duff Balken;George Amos Poole;Maggs Bros Ltd,Q112300686;Q64683625;Q15067374,Q1584;Q1524;Q1573
20240903-names-indiana-mets-legacy.csv,Gratian,author,,,,,,,,human,Gratian,Q549041,Q1588
20240903-names-indiana-mets-legacy.csv,"Almost certainly from the Cistercian abbey of Pontigny, and probably from the Volumine uno, Decreta Gratiani no. 153 in the late twelfth century catalogue of Pontigny, no. 100 in the early seventeenth-century catalogue, no. 235 in the catalogue of 1778, no. 7 in the catalogue of 1791,",former owner,,,,,,,,organization,Pontigny Abbey,Q591296,Q1589
20240903-names-indiana-mets-legacy.csv,"and finally no. 73 in the list prepared after the sequestration of Pontigny at the French Revolution, described there as in-folio atlantico, elegans et completus dismembered probably in Auxerre in the early nineteenth century; John William Bradley (1830-1916), who gave it to C. L. Ricketts in 1913; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,,,,human;human,John William Bradley;Coella Lindsay Ricketts,Q52148380;Q116771179,Q1590;Q1527
20240903-names-indiana-mets-legacy.csv,Gilbert de la Porrée,author,,,,,,,,human,Gilbert de La Porrée,Q583119,Q1591
20240903-names-indiana-mets-legacy.csv,"Cistercian abbey of Cambron, north of Mons, Hainault (now in Belgium), founded c. 1148; doubtless the Gilebertus . . . Super Epistolas Paulirecorded at Cambron in 1641 and the gillebertus Super epistolas Sti Pauli Completerecorded at Cambron in 1782 (Sanderus 1641, I, p. 355; Planke 1938, p. 55, no. 168);",former owner,,,,,,,,organization,Abbaye de Cambron,Q948743,Q1592
20240903-names-indiana-mets-legacy.csv,"the abbey was suppressed in 1789 and the monks finally left in 1797; at least 34 manuscripts from Cambron were bought c. 1823 from P. J. De Mat (d. 1828), bookseller in Brussels, by Sir Thomas Phillipps (1792-1872), his MSS 333-62 and 4765-68, together with an unknown number of fragments;",former owner,,,,,,,,human;human,P. J. De Mat;Thomas Phillipps,Q79406248;Q2147709,Q1593;Q385
20240903-names-indiana-mets-legacy.csv,"from the collection of specimen leaves formed by Messrs. W. H. Robinson, who bought the residue of the Phillipps library in 1945-6, sold by them to George A. Poole in 1947, and acquired by the Lilly Library with the Poole Collection in 1958.",former owner,,,,,,,,organization;human,William H. Robinson Ltd.;George Amos Poole,Q116786331;Q64683625,Q1594;Q1524
20240903-names-indiana-mets-legacy.csv,Peter Lombard,author,,,,,,,,human,Peter Lombard,Q315347,Q1124
20240903-names-indiana-mets-legacy.csv,"Perhaps the Cistercian Abbey of Aulne (founded c. 656, Cistercian in 1147, suppressed 1796), and possibly from the Petrus Longobardus in Paulumrecorded at Aulne in the early seventeenth century (Sanderus 1641, I, p. 239); over 100 manuscripts from Aulne were bought in Brussels c. 1823 by Sir Thomas Phillipps (1792-1872), his MSS 4621-4734, together with an unknown number of fragments;",former owner,,,,,,,,organization;human,Aulne Abbey;Thomas Phillipps,Q333832;Q2147709,Q1595;Q385
20240903-names-indiana-mets-legacy.csv,"Phillipps MS 29507 (the ‘9’ written over ‘0’, as in Lilly Poole 39); from the collection of specimen leaves formed by Messrs. W. H. Robinson, who bought the residue of the Phillipps library in 1945-46, sold by them to George A. Poole in 947, and acquired by the Lilly Library with the Poole Collection in 1958.",former owner,,,,,,,,organization;human,William H. Robinson Ltd.;George Amos Poole,Q116786331;Q64683625,Q1594;Q1524
20240903-names-indiana-mets-legacy.csv,Peter Comestor,author,,,,,,,,human,Petrus Comestor,Q785250,Q1586
20240903-names-indiana-mets-legacy.csv,"Premonstratensian abbey of Steinfeld, near Cologne, founded in 1130 and suppressed in 1802, with the contemporary inscription and curse against theft on fol. 1r, liber ecclesie sancte marie de steinfelt Si quis abstulerit anathema sit amen and the late medieval inscription on fol. 158v, Liber Ecclesie Sancte marie virginis in steinfelt(the last two words in slightly paler ink);",former owner,,,,,,,,organization,Steinfeld Abbey,Q883617,Q1596
20240903-names-indiana-mets-legacy.csv,"other inscriptions include the numbers 255 and N. 14 and a note on fol. 1r dated 1447 recording an outbreak of the plague in the houses of Heinrich, count of Nassau, lasting from Michaelmas (29 September, 1446 presum-ably) to the feast of Saint John the Baptist (24 June the following year); Dr. Leander van Ess (1772-1847), of Darmstadt, his no. 26 (label on spine);",former owner,,,,,,,,human,Johann Heinrich van Ess,Q1810643,Q1514
20240903-names-indiana-mets-legacy.csv,"Sir Thomas Phillipps (1792-1872), bought with the van Ess library in 1824, his MS 409, with his stencilled crest; his sale, Sotheby’s, 9 June 1910, lot 660, to Edwards; bought by C. L. Ricketts, and acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,,,,human;human,Thomas Phillipps;Coella Lindsay Ricketts,Q2147709;Q116771179,Q385;Q1527
20240903-names-indiana-mets-legacy.csv,Alulfus of Tournai,author,,,,,,,,human,Alulphe of Tournai,Q46592455,Q1597
20240903-names-indiana-mets-legacy.csv,"Cistercian abbey of Villers-en-Brabant, founded from Clairvaux in 1146 and suppressed in 1796; doubtless from the Quarta pars Gregorialis et sermo quidam sancti Bernardilisted in the Villers library catalogue of 1309 (Derolez 2001, p. 219, no.164); part of a group of 20 manuscripts from Villers bought in Brussels c. 1823 by Sir Thomas Phillipps (1792-1872);",former owner,,,,,,,,organization;human,Villers Abbey;Thomas Phillipps,Q1493708;Q2147709,Q1598;Q385
20240903-names-indiana-mets-legacy.csv,"Phillipps MS 29506 (the ‘9’ written over ‘0’, as in item 21 above); from the collection of specimen leaves formed by Messrs. W. H. Robinson, who bought the residue of the Phillipps library in 1945-46, sold by them to George A. Poole in 1947, and acquired by the Lilly Library with the Poole Collection in 1958.",former owner,,,,,,,,organization;human,William H. Robinson Ltd.;George Amos Poole,Q116786331;Q64683625,Q1594;Q1524
20240903-names-indiana-mets-legacy.csv,"C. L. Ricketts, bought from Barroux, 1930 (with a second fragment, see below); acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,,,,human,Coella Lindsay Ricketts,Q116771179,Q1527
20240903-names-indiana-mets-legacy.csv,"C. L. Ricketts, and acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,,,,human,Coella Lindsay Ricketts,Q116771179,Q1527
20240903-names-indiana-mets-legacy.csv,Horace,author,,http://id.loc.gov/authorities/names/n79081354.html,,,,,,human,Horace,Q6197,Q1599
20240903-names-indiana-mets-legacy.csv,"Recovered from use as a pastedown in Boethius, De consolatione philosophiae Louvain, 1487, bound in Oxford by the binder who used Gibson’s roll XII; Sotheby’s, 5 February 1951, lot 54; Gaston Ruddoff, of Santiago, Chile; acquired from his family by the Lilly Library.",former owner,,,,,,,,human,Gaston Ruddoff,Q116809987,Q1600
20240903-names-indiana-mets-legacy.csv,"Rufillus, artist-scribe",scribe,,,,,,,,human,Ruffilus,Q29343541,Q1601
20240903-names-indiana-mets-legacy.csv,"Given by Rudolf, priest of Lindau, to a monastery, doubtless the Premonstratensian imperial abbey of Weissenau (founded in 1145, suppressed in 1803), where it was by the time of the eighteenth-century inscription on fol. 1r, Bibliothecę Weissenaw probably one of the two twelfth- to thirteenth-century Psalter commentaries noted by M. Gerbert on his visit to Weissenau in 1760 (Lehmann 1918, p. 408)",former owner,,,,,,,,organization,Weissenau Abbey,Q458074,Q1602
20240903-names-indiana-mets-legacy.csv,"; many manuscripts from Weissenau were appropriated by the last abbot, Bonaventura Brem (1755-1818), who retired to Schloss Liebenau, whence they were bought c. 1842 by Georg von Waldburg-Zeil, S.J. [1823-1866), for the Jesuit College at Fribourg-en-Suisse, but were dispersed in 1854 before the presentation had been made; bound in London, c. 1860;",former owner,,,,,,,,human;human,Bonaventura Brem;Georg von Waldburg-Zeil,Q892116;Q1504200,Q1603;Q1604
20240903-names-indiana-mets-legacy.csv,"probably not lot 106 in the Savile sale, Sotheby’s, 6 February 1861 (as suggested by de Ricci); Sir Thomas Brooke (1830-1908), by 1891; his sale, Sotheby’s, 24 November 1913, lot 13; bought from W. M. Voynich in January 1917 by C. L. Ricketts, and acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,,,,human;human;human,"Sir Thomas Brooke, 1st Baronet;Wilfrid Voynich;Coella Lindsay Ricketts",Q33389639;Q336453;Q116771179,Q1605;Q1567;Q1527
20240903-names-indiana-mets-legacy.csv,"Perhaps from an institutional library in Chartres dispersed at the French Revolution; Pierre Gélis-Didot (b. 1853), his sale, Paris, Belin-Drouot, 12 April 1897, lot 3; Cecil Mallaby Firth (1878-1931), Egyptologist, with his bookplate; George Dunn (1865-1912), with his booklabel, bought in March 1900, probably from Sydney Cockerell (to judge from Dunn’s pencil note ""S.C.C."");",former owner,,,,,,,,human;human;human,Pierre Gélis-Didot;Cecil Mallaby Firth;George Dunn,Q106675850;Q1052325;Q112841325,Q1607;Q1608;Q1572
20240903-names-indiana-mets-legacy.csv,"Dunn sale, Sotheby’s, 11 February 1913, lot 356, to Young; bought the following day by C. L. Ricketts, and acquired by the Lilly Library with the Ricketts collection in 1961.",former owner,,,,,,,,human;human,Sydney Cockerell;Coella Lindsay Ricketts,Q966843;Q116771179,Q1609;Q1527
20240903-names-indiana-mets-legacy.csv,John of Damascus,author,,,,,,,,human,John of Damascus,Q51884,Q1610
20240903-names-indiana-mets-legacy.csv,"Franciscan convent of Arras (founded in 1223), with their contemporary inscription on fol. 60v (partly trimmed), ""liber iste fratrum minorum Attrebatensis. qui furatus fuerit non absolvatur nisi eis restituat ablatum"" and, late thirteenth century,""hic est liber fratrom minorum Attrebati"";",former owner,,,,,,,,organization,Franciscan convent of Arras,Q116785049,Q1611
20240903-names-indiana-mets-legacy.csv,"signature on fols. 1r and 58v, ""De monchaulx"", early sixteenth century (perhaps related to Gilles Moncheaulx, who signed Arras, Bibliothèque municipale, ms 728, in 1565); bound in Ghent by François Duquesne (1830-1902); given to the Lilly Library by Mrs. Thelma Sansberry, 1984.",former owner,,,,,,,,human;human,Emile François Duquesne;Thelma Sansberry,Q115828731;Q116785053,Q1612;Q1613
20240903-names-indiana-mets-legacy.csv,William de Brailes,artist,,,,,,,,human,William de Brailes,Q8020766,Q1614
20240903-names-indiana-mets-legacy.csv,Bought in 1909 by C. L. Ricketts from Tregaskis; acquired by the Lilly Library with the Ricketts Collection in 1961.,former owner,,,,,,,,human;human,Coella Lindsay Ricketts;James Tregaskis,Q116771179;Q94138739,Q1527;Q1615
20240903-names-indiana-mets-legacy.csv,"Bought by C. L. Ricketts from Tregaskis, 1923, and acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,,,,human;human,Coella Lindsay Ricketts;James Tregaskis,Q116771179;Q94138739,Q1527;Q1615
20240903-names-indiana-mets-legacy.csv,Several,artist,,,,,,,,human,Terry Harknett,Q7704489,Q1616
20240903-names-indiana-mets-legacy.csv,"V. M. Voynich (1865-1930), Polish revolutionary and bookseller, who gave it to C. L. Ricketts; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,,,,human;human,Coella Lindsay Ricketts;Wilfrid Voynich,Q116771179;Q336453,Q1527;Q1567
20240903-names-indiana-mets-legacy.csv,Aristotle,author,,,,,,,,human,Aristotle,Q868,Q395
20240903-names-indiana-mets-legacy.csv,"Given to C. L. Ricketts in 1913 by Dr. B. L. Riese, of Chicago; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,,,,human;human,B.L. Riese;Coella Lindsay Ricketts,Q116786322;Q116771179,Q1617;Q1527
20240903-names-indiana-mets-legacy.csv,"From a manuscript bequeathed to Beauvais Cathedral by Robert de Hangest (d. 1356); the cathedral library was dispersed at the French Revolution; a group of its best manuscripts re-appeared in the sale of the architect Gay, Lyons, October 1833;",former owner,,,,,,,,organization;human,Beauvais Cathedral;Robert de Hangest,Q513300;Q116785131,Q1619;Q1620
20240903-names-indiana-mets-legacy.csv,"Henri-Auguste Brölemann (1775-1869), of Lyons, and by descent to his grandson Arthur Brölemann (1826-1904) and his great-granddaughter Madame Etienne Mallet; her sale, Sotheby’s, 5 May 1926, lot 161, to Permain; Otto F. Ege (1888-1951), who cut it up.",former owner,,,,,,,,human;human;human;human,Henri Auguste Brölemann;Arthur Brölemann;Etienne Mallet;Otto Ege,Q116785149;Q116785153;Q33270281;Q7109575,Q1621;Q1622;Q1623;Q808
20240903-names-indiana-mets-legacy.csv,"Johannes de Toussens, possibly",scribe,,,,,,,,human,Johannes de Tossens,Q117352004,Q1624
20240903-names-indiana-mets-legacy.csv,"From volume III of the Antiphoner made for the prioress of the Cistercian nunnery of Beaupré (founded 1228, suppressed 1796), at Grimminge, east of Brussels and north of Cambron; gothic foliation in roman numerals added during the revision of the text under Jacquemine Hendricx, abbess of Beaupré 1473-1500,",former owner,,,,,,,,organization;human,Cistercian Abbey of Beaupré;Jacquemine Hendricx,Q2698735;Q116785243,Q1625;Q1626
20240903-names-indiana-mets-legacy.csv,"and pagination in arabic numerals during the revision under Angéline de Lossy, abbess 1755-96;sold with the Beaupré manuscripts in 1797; John Ruskin (1819-1900), who owned six volumes from two sets of choirbooks from Beaupré and removed the present leaves himself;",former owner,,,,,,,,human,John Ruskin,Q179126,Q1627
20240903-names-indiana-mets-legacy.csv,"probably Laurence Hilliard (d. 1887, aged 32), Ruskin’s secretary, who was given many manuscript specimens by Ruskin; sale by his heirs, Sotheby’s, 28 April 1913, part of lot 508; C. L. Ricketts, bought from Tregaskis, 1922; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,,,,human;human;human,Laurence Hilliard;James Tregaskis;Coella Lindsay Ricketts,Q116785270;Q94138739;Q116771179,Q1628;Q1615;Q1527
20240903-names-indiana-mets-legacy.csv,Master of the Gerona Bible,artist,,,,,,,,human,Maestro di Gerona,Q112509654,Q1629
