name,wikidata_qid,instance_of,name_agr
"Saffārīnī, Muḥammad ibn Aḥmad, 1702 or 1703-1774.",Q12240064,human,
"Kemalpaşazade, 1468 or 1469-1534.",Q449254,human,
"Nābulusī, ʻAbd al-Ghanī ibn Ismāʻīl, 1641-1731.",Q4164547,human,
"Khādimī, Muḥammad ibn Muṣṭafá, 1701 or 1702-1762 or 1763.",Q12178022,human,
"Jabartī, Ḥasan ibn Ibrāhīm, 1698 or 1699-1774?",Q5679896,human,
"Ibn Abī al-Dunyā, ʻAbd Allāh ibn Muḥammad, 823-894.",Q6532706,human,
"Suyūṭī, 1445-1505.",Q468432,human,
"Abū al-Layth al-Samarqandī, Naṣr ibn Muḥammad, -983?",Q938348,human,
"Ghazzālī, 1058-1111.",Q9546,human,
"Khādimī, Muḥammad ibn Muṣṭafá, 1701 or 1702-1762 or 1763.",Q12178022,human,
"Ghazzālī, 1058-1111.",Q9546,human,
"Ibn Bashkuwāl, Khalaf ibn ʻAbd al-Malik, 1101-1183.",Q1655886,human,
"Ibn al-Jawzī, Abū al-Faraj ʻAbd al-Raḥmān ibn ʻAlī, approximately 1116-1201.",Q731866,human,
"Ibn Ṭugharbak, Aḥmad.",Q55418191,human,
"Ibn al-ʻArabī, 1165-1240.",Q46420,human,
"Ibn Ghānim, ʻIzz al-Dīn ʻAbd al-Salām ibn Aḥmad, -1279?",Q15930652,human,
"Raqqī, Ibrāhīm ibn Aḥmad, 1249 or 1250-1303 or 1304.",Q60844447,human,
"Ibn Qayyim al-Jawzīyah, Muḥammad ibn Abī Bakr, 1292-1350.",Q119679,human,
