title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,structured_value_add,authorized_label,ds_qid
Folio of a calendar from a Carthusian Breviary,,,,Liturgical calendar,Q39578,,
Folio from an English Bible (Maccabees),,,,Bible;Book of Maccabees,Q661;Q39138,,
Folio from a Missal with neumes,,,,Missal,Q662,,
Folio from a Paris Bible with extensive glossing from the Historia Scholastic by Petrus Comestor (2 Samuel),,,,Bible;Historia scholastica,Q661;Q1372,,
Folio from a monastic liturgical manuscript,,,,Monastic text;Liturgical text,Q18459;Q10839,,
Folio from an unidentified commentary on Aristotle's Categoriae,,,,Commentary on Aristotle,Q3120,,
Folio from a Greek manuscript,,,,Greek text,Q20490,,
Binding fragment: Folio from an English Bible (Zechariah),,,,Bible;Book of Zachariah,Q661;Q20430,,
Folio from an English Breviary,,,,Breviary,Q657,,
Binding fragments: Four fragments from various unidenitifed manuscripts,,,,Binding fragment,Q10843,,
Binding fragment: Folio from a Concordance to the Bible,,,,Bible concordance,Q20472,,
Folio from a French Bible (2 Ezra),,,,Bible;Book of Ezra,Q661;Q20502,,
Binding Fragment: Folio from St. Gregory's Moralia in Job,,,,Moralia in Job,Q863,,
Binding Fragment: Folio from Corpus grammaticorum Medii Aevi by Evrard of Béthune,,,,Corpus grammaticorum Medii Aevi,Q103470,,
"Folio from a Book of Hours, with text of the Stabat Mater",,,,Book of hours,Q795,,
Folio from an unidentified Latin dictionary or encyclopedia,,,,Dictionary;Encyclopedia,Q7823;Q103471,,
Binding fragment: Folio from a Breviary,,,,Breviary,Q657,,
Folio from a pocket Bible (Joshua),,,,Bible;Book of Joshua,Q661;Q76627,,
Folio from a Book of Hours,,,,Book of hours,Q795,,
"Folio from Peter Lombard, Sententiarum (Sentences)",,,,Sentences,Q1119,,
Binding fragment: horizontal strip from an English Romanesque Atlantic Bible,,,,Bible,Q661,,
Correspondence regarding 0431.115,,,,Correspondence,Q38385,,
Folio from the Beauvais Missal (Luke 19:1–10),,,,Beauvais Missal,Q44072,,
"Folio from an English Bible (1 Maccabbees 13-14), from the workshop of William de Brailes",,,,Bible;Book of Maccabees,Q661;Q39138,,
Folio from a Breviary with neumes,,,,Breviary,Q657,,
Charter of Gilbert Swyft,,,,Charter,Q8385,,
Unidentified chirograph,,,,Chirograph,Q76588,,
Folio from a miniature Psalter,,,,Psalter,Q660,,
Binding fragment: folio from a Gospel Lectionary,,,,Lectionary,Q663,,
"Binding fragment, bifolio of Sulpicus Severus, Vita Sancti Martini (Life of Saint Martin)",,,,Life of Saint Martin,Q1443,,
Folio from a Quran,,,,Qurʼan,Q3697,,
Binding fragment: bifolio from a Lectionary (?),,,,Lectionary,Q663,,
Folio from a Bible,,,,Bible,Q661,,
Binding fragment: horizontal fragment from a noted liturgical manuscript,,,,Liturgical text,Q10839,,
Binding fragment: small horizontal fragment from a noted liturgical manuscript,,,,Liturgical text,Q10839,,
Folio from a large Carolingian Bible (Lamentations),,,,Bible;Book of Lamentations,Q661;Q39983,,
"Folio from a Book of Hours, in Dutch",,,,Book of hours,Q795,,
Folio from a French Book of Hours,,,,Book of hours,Q795,,
Binding: cover wrap from a liturgical manuscript,,,,Binding fragment,Q10843,,
Folio from a French Book of Devotions,,,,Devotional text,Q19956,,
Binding fragment: small horizontal fragment from a liturgical manuscript (?),,,,Liturgical text,Q10839,,
Binding: cover wrap from a Psalter,,,,Binding fragment,Q10843,,
Binding: cover wrap from a Bible,,,,Binding fragment,Q10843,,
Fragment of a folio from a 12th century German missal,,,,Missal,Q662,,
Folio from a pocket Bible (Isaiah),,,,Bible;Book of Isaiah,Q661;Q20433,,
Folio from a Psalter,,,,Psalter,Q660,,
The Deblois Hours,,,,Deblois Hours;Book of hours,Q103466;Q795,,
"Augustine De civitate Dei, book 21",,,,De civitate Dei,Q6047,,
Innocent IV Apparatus super quinque libris decretalium.,,,,Apparatus super libros decretalium,Q1339,,
Lombard's commentary on the Psalms,,,,Commentary on Psalms,Q20442,,
Folio from a pocket Bible (2 Samuel),,,,Bible;Second Book of Samuel,Q661;Q103469,,
